B L' R2 U' L2 B
B L' R2 U' B L2
B' L' U F' R' U2
B L' U F' U2 L2
R2 L' B' U' B2 L
R2 L' B2 U' B' L
L' R2 B' U' B2 L
L' R2 B2 U' B' L
B R2 L' U' L2 B
B R2 L' U' B L2
F' U' F L' B' U'
L' B R2 U' L B
L' B U F' U2 L
R2 B' L' U' B2 L
L' B' U F' R' U2
L' R B R U' L B
R2 L B' L2 U' B2 L
B L F2 D F2 R2 B
R2 L' U' L' B D L2
R2 L' U2 F' U L' B
R2 L' U2 F' U B L'
R' L' D B R' U' L
L' R' D B R' U' L
R2 L' D B' U' B2 L
R2 L' D B2 U' B' L
B2 L' R2 U' B' L B2
B L' R2 U' L' B L'
B L' R2 U' L2 D B
B L' R2 U' L2 D' B
B L' R2 U' L2 D2 B
B L' R2 U' L2 B D
B L' R2 U' L2 B D'
B L' R2 U' L2 B D2
B L' R2 U' B L2 D
B L' R2 U' B L2 D'
B L' R2 U' B L2 D2
B L' R2 U' B' L2 B2
B L' R2 D' B2 U' B'
D2 L' R2 B' U' B2 L
D' L' R2 B' U' B2 L
D2 L' R2 B2 U' B' L
D' L' R2 B2 U' B' L
U' L' R2 B' U' R2 B2
U' L' R2 B' U' B2 R2
R2 L' D' B' U' B2 L
R2 L' D' B2 U' B' L
D L' R2 B' U' B2 L
B2 L' R2 B' U' L B2
D L' R2 B2 U' B' L
B L' R2 B' U' L2 B2
B L' R2 B' U' B2 L2
B L' R2 B2 U' B' L2
U L' U L F' U2 L'
B' L' U D F' R' U2
B' L' U D' F' R' U2
B' L' U D2 F' R' U2
R' L' D2 B U' L B'
B L' U R2 U2 L2 B
B' L' U F R' F2 U2
B L' U R2 U2 B L2
L' R' D2 B U' L B'
B' L' U F' R' U2 D
B' L' U F' R' U2 D'
B' L' U F' R' U2 D2
B' L' U F' R' D U2
B' L' U F' R' D' U2
B' L' U F' R' D2 U2
B2 L' U D2 F' R U2
B' L' U F' D R' U2
B' L' U F' D' R' U2
B' L' U F' D2 R' U2
B' L' U F2 R' F U2
B L' U D2 R2 U2 B
B L' U D2 F' R2 U2
B L' U F' R U2 L2
B L' U F' R' U2 L2
B L' U F' R2 U2 L2
B L' U F' U2 L2 D
B L' U F' U2 L2 D'
B L' U F' U2 L2 D2
R2 L' D2 B' U' B2 L
B L' U F' D2 R2 U2
B L' U F2 U2 L2 B'
U L' U F' L U2 L2
R2 L' D2 B2 U' B' L
B L' U' L2 R2 B R2
B L' U' L2 U2 F' U2
B L' U' R2 L2 B R2
B L' U' R2 B L2 R2
B L' U' R2 B R2 L2
B L' U' F2 L2 F2 B'
B L' U' F2 L2 B' F2
B L' U2 F2 U L2 B'
B' L' D U F' R' U2
R' L' B R' U' L B
L' R' B R' U' L B
R' L' B U' D2 L B'
L' R' B U' D2 L B'
R L' B R U' L B
B' L' D' U F' R' U2
B2 L' D' R2 U' B L
R' L' B D2 U' L B'
L' R' B D2 U' L B'
B L' D' R2 B2 U' B'
R' L' B' U R' U2 B
B L' D' B2 R2 U' B
B L' D' B2 U F' U2
L' R' B' U R' U2 B
B' L' D2 U F' R' U2
R2 L' B' U R' U2 B2
R2 L' B' U' L B2 L
R2 L' B' U' L' B2 L
R2 L' B' U' L2 B2 L
B2 L' D2 U F' R U2
R2 L' B' U' B2 L D
R2 L' B' U' B2 L D'
R2 L' B' U' B2 L D2
R2 L' B' U' B2 D L
R2 L' B' U' B2 D' L
R2 L' B' U' B2 D2 L
B L' D2 U R2 U2 B
B L' D2 U F' R2 U2
R2 L' B2 R U' B' L
R2 L' B2 R' U' B' L
R2 L' B2 R2 U' B' L
R2 L' B2 U' B' L D
R2 L' B2 U' B' L D'
R2 L' B2 U' B' L D2
R2 L' B2 U' B' D L
R2 L' B2 U' B' D' L
R2 L' B2 U' B' D2 L
L' R2 U' L' B D L2
D' L' B R2 U' L B
D2 L' B R2 U' L B
D' L' B U F' U2 L
D2 L' B U F' U2 L
L' R2 U2 F' U L' B
L' R2 U2 F' U B L'
B2 L' B U F' R' U2
D L' B R2 U' L B
B L' B R2 U' L2 B
B L' B R2 U' B L2
D L' B U F' U2 L
B L' B U F' U2 L2
D2 L' B' U F' R' U2
D' L' B' U F' R' U2
U' L' B' R2 U' B R2
B2 L' B' R2 U' L B
B2 L' B' U F' U2 L
B L' B' R2 U' L2 B
B L' B' R2 U' B L2
L' R2 D B' U' B2 L
D L' B' U F' R' U2
B L' B' U F' U2 L2
