B2 R F L B' U'
B2 L D2 R F' B' U'
B2 L D2 R B' F' U'
B2 L D2 B' R F' U'
B2 L B' D2 R F' U'
F2 L' R2 B R F U
F L' U2 R' F L' U
F L' U2 F L' R' U
F L' U2 F R' L' U
F2 L' F R' U D R2
F2 L' F R' U2 F2 U'
F2 L' F R' D U R2
F2 L' F R' D2 B2 U
F2 L' F D R' U R'
F2 L' F D2 R' B2 U
B' R D F U' L' F
B2 R D F L U' L2
D' R D2 F L2 U' L
B' R F L B' L U'
B2 R F L D B' U'
B2 R F L D' B' U'
B2 R F L D2 B' U'
B2 R F L B' U' D
B2 R F L B' U' D'
B2 R F L B' U' D2
B2 R F L B' D U'
B2 R F L B' D' U'
B2 R F L B' D2 U'
D2 R F U' D' L2 F2
D2 R F U' D' F2 L2
D2 R F U2 R2 F2 U
D2 R F U2 F2 R2 U
D2 R F D' U' L2 F2
D2 R F D' U' F2 L2
D2 R F D2 L2 B2 U'
D2 R F D2 B2 L2 U'
B' R F B' L B' U'
D R F U' L' D' F2
D R F U' D' L' F2
D R F U2 R2 U L'
D R F D' U' L' F2
D R F D2 L2 U' L
B2 R F' L F2 B' U'
B2 R F' L B' F2 U'
B R F B L B' U'
B2 R F2 L F' B' U'
B2 R F2 L B' F' U'
B R B F L B' U'
B' R B' F L B' U'
D2 R' U2 F B R2 U'
D2 R' U2 B R2 F U'
D2 R' U2 B F R2 U'
D R' U2 R2 F U' L'
D R' U2 F R2 U' L'
D R' D2 L2 B' U L
B2 R' F L R2 B' U'
B2 R' F L B' R2 U'
B2 R' F R2 L B' U'
R' U2 R2 D F U' L'
R' U2 D F U' L' B2
R' U2 D F U' B2 L'
F2 R2 L' B R F U
B2 R2 F L R' B' U'
B2 R2 F R' L B' U'
F2 R2 B L' R F U
F2 R2 B R L' F U
R' D U2 F U' L' B2
R' D U2 F U' B2 L'
R' D F U L' B2 R'
R D F U B2 U2 L'
R D F U' L' D2 F2
R D F U' D2 L' F2
R D F D L2 U' L
R D F D2 U' L' F2
B2 U R F L B' U'
R D' F U' D2 F L'
R D' F D2 U' F L'
R D' F B' U' F L
B2 U' R F L B' U'
R D' B' F U' F L
R' D2 L2 D B' U L
F U2 L' R' F L' U
F U2 L' F L' R' U
F U2 L' F R' L' U
B2 U2 R F L B' U'
F U2 R' L' F L' U
F U2 R' F L' F U
R F L D' B' U' F2
R F L D2 B' L2 U'
R F L B' U' D' F2
R F L B' U2 R2 U
R F L B' D' U' F2
R F L B' D2 L2 U'
F U2 F L' R' F U
F U2 F L' F R' U
R F L' U2 R2 F U
R F L' U2 F R2 U
F U2 F R' L' F U
R F L' D2 L2 B' U'
B' D R F U' L' F
B2 D R F L U' L2
R F D' B' U' L F2
R F D' B' U' F2 L
L' F2 L' F' R' B' U
F D2 B R' B L U'
B2 F D' L U' B' L
U' B2 R F L B' U'
U2 B2 R F L B' U'
D B2 R F L U' L2
U B2 R F L B' U'
F B2 D' L U' B' L
