B L F D F R2 B
D L' R2 B U L B2
R2 L' B U L F2 B2
R2 L' B U L B2 F2
R2 L' B U F2 L B2
B2 L' F' U' F' B' L
B2 L' F' U' B' L F'
B2 L' F' U' B' F' L
B L' F' U' F' B' L2
B L' F' U' B' L2 F'
B L' F' U' B' F' L2
F' L' B U' L F' B2
F' L' B U' L B2 F'
F' L' B U' F' L B2
D L2 R2 B U L B'
L' R2 B U L F2 B2
L' R2 B U L B2 F2
L' R2 B U F2 L B2
L2 R2 B U L F2 B'
L2 R2 B U L B' F2
R2 L2 B U L F2 B'
R2 L2 B U L B' F2
L2 R2 B U F2 L B'
R2 L2 B U F2 L B'
D' L2 F' B U' L B'
F2 L2 B L D' R2 B'
F2 L2 B L D' B' R2
F' L2 B U' L F' B'
F' L2 B U' L B' F'
F' L2 B U' F' L B'
D' L2 B F' U' L B'
L' U' F' U' F' B' L'
L' U' F' U' B' F' L'
D R2 L' B U L B2
L' U2 F' U' B' L' F'
D R2 L2 B U L B'
B' R2 F2 L' B' D' R2
D R2 B L' U B' L2
L' D R2 B U L B2
U' F R F2 U' F' L'
L F U' F2 U' F' L'
L F D F R2 B L
L F D' L2 B' R' U2
D' F' L2 B U' L B'
U' F' U2 L' U F' L'
L' F' B U' L F' B2
L' F' B U' L B2 F'
L' F' B U' F' L B2
L2 F' B U' L F' B'
L2 F' B U' L B' F'
L2 F' B U' F' L B'
U2 F2 U F R U' L'
R2 B L' U F2 B' L2
R2 B L' U B' L2 F2
R2 B L' U B' F2 L2
F' B L' U' F' B' L2
F' B L' U' B' L2 F'
F' B L' U' B' F' L2
L' B F' U' L F' B2
L' B F' U' L B2 F'
L' B F' U' F' L B2
L2 B F' U' L F' B'
L2 B F' U' L B' F'
L2 B F' U' F' L B'
F' B U' F' L D' B2
B2 F' L' U' F' B' L
B2 F' L' U' B' L F'
B2 F' L' U' B' F' L
B F' L' U' F' B' L2
B F' L' U' B' L2 F'
B F' L' U' B' F' L2
B F' U' F' L D' B2
F' B2 L' U' F' B' L
F' B2 L' U' B' L F'
F' B2 L' U' B' F' L
