U L' R B D' R2 F'
B2 L2 U2 D L B' R'
B2 L2 D U2 L B' R'
B' L2 F L R D B2
B' L2 F R L D B2
B' L2 F R D L B2
U R L' B D' R2 F'
B2 U L' B' L U L'
U' D L2 U' L B' R'
D U' L2 U' L B' R'
B2 U' B2 U' L' B' R'
B2 U2 L' D' B' R' B
B2 U2 L2 D L B' R'
B2 U2 D L B' L2 R'
B2 U2 D L B' R' L2
B2 U2 D' L' B' R' B
B2 U2 D' B' L' R' B
B2 U2 D' B' R' L' B
B2 U2 D' B' R' B L'
B2 U2 B' L' R' D' B2
B2 U2 B' L' D' R' B2
B2 U2 B' R' L' D' B2
B2 D L U2 B' L2 R'
B2 D L U2 B' R' L2
B2 D U2 L B' L2 R'
B2 D U2 L B' R' L2
B2 D F' L' F U2 L'
B2 D' R2 U2 L' B' R'
B2 D' U2 L' B' R' B
B2 D' U2 B' L' R' B
B2 D' U2 B' R' L' B
B2 D' U2 B' R' B L'
B2 D' F2 R F' U2 R
L B' L2 F R D B2
