F' L R2 B U' B'
U L D' F' U' L2
U L D2 F' B2 U'
U L D2 B2 F' U'
U L F' U2 F' U
D2 L F' B2 U' B2
D2 L B2 F' U' B2
D' L2 U L' F' U'
F' R2 L B U' B'
D2 U L F' B2 U'
D' U L F' U' L
D2 U L B2 F' U'
D2 U F' L B2 U'
D' U F' L U' L
F2 U F L U' L'
U D' L F' U' L
U D' F' L U' L
U D2 L F' B2 U'
U D2 L B2 F' U'
U D2 F' L B2 U'
L D2 F' B2 U' B2
L D2 B2 F' U' B2
D2 F' L B2 U' B2
U F' L U2 F' U
L F' R2 B U' B'
U' F2 U2 F L U'
F' L R B' U' B L
R2 L U' F2 B U F2
F' L R2 D B U' B'
R2 L U' B F2 U F2
F' L R2 D' B U' B'
F' L R2 D2 B U' B'
F' L R2 B R U' B'
F' L R2 B R' U' B'
F' L R2 B R2 U' B'
F' L R2 B U' D B'
F' L R2 B U' D' B'
F' L R2 B U' D2 B'
F' L R2 B U' B' D
F' L R2 B U' B' D'
F' L R2 B U' B' D2
F' L R2 B D U' B'
F' L R2 B D' U' B'
F' L R2 B D2 U' B'
F' L U2 F' L2 U B'
F' L U2 F' U' F U2
U L U2 F2 U2 F U'
F' L D R2 B U' B'
D L D F' B2 U' B2
U L D F' U R2 U2
U L D F' U' D2 L2
U L D F' D B2 U'
U L D F' D2 U' L2
D L D B2 F' U' B2
F' L D' R2 B U' B'
U2 L D' F' U' L2 B'
U L D' F' U' L2 D
U L D' F' U' L2 D'
U L D' F' U' L2 D2
U L D' F' D' B2 U'
U L D' F' B U' L2
U L D' F' B' U' L2
U L D' F' B2 U' L2
U L D' B F' U' L2
U L D' B' F' U' L2
U L D' B2 F' U' L2
F' L D2 R2 B U' B'
L2 R F2 R B U B'
U L D2 F' U' D L2
U L D2 F' D U' L2
U L D2 F' B2 U' D
U L D2 F' B2 U' D'
U L D2 F' B2 U' D2
U L D2 F' B2 D U'
U L D2 F' B2 D' U'
U L D2 F' B2 D2 U'
U L D2 B2 D F' U'
U L D2 B2 D' F' U'
U L D2 B2 D2 F' U'
U L D2 B2 F' U' D
U L D2 B2 F' U' D'
U L D2 B2 F' U' D2
U L D2 B2 F' D U'
U L D2 B2 F' D' U'
U L D2 B2 F' D2 U'
D2 L F' R B2 U' B2
D2 L F' R' B2 U' B2
D2 L F' R2 B2 U' B2
U L F' R2 B R2 U'
D L F' D B2 U' B2
D' L F' B U' B' L
D2 L F' B2 R U' B2
D2 L F' B2 R' U' B2
U L F' U2 D F' U
U L F' U2 D' F' U
D2 L F' B2 R2 U' B2
U L F' U2 D2 F' U
U L F' U2 F' U D
U L F' U2 F' U D'
U L F' U2 F' U D2
U L F' U2 F' D U
U L F' U2 F' D' U
U L F' U2 F' D2 U
D2 L F' B2 U' B2 D
D2 L F' B2 U' B2 D'
D2 L F' B2 U' B2 D2
D2 L F' B2 D' R2 U'
D' L F' B2 U' B2 L
U L F' D U2 F' U
U L F' D' U2 F' U
U L F' D2 U2 F' U
U L F' B U2 F' U
U L F' B' U2 F' U
U L F' B2 U2 F' U
F' L B R2 B U' B2
F' L B U2 F' U B'
D' L B F' U' B' L
U L B D' F' U' L2
U L B D2 F' B2 U'
U L B D2 B2 F' U'
U L B F' U2 F' U
F' L B' U2 F' U B
U L B' D' F' U' L2
U L B' D2 F' B2 U'
U L B' D2 B2 F' U'
U L B' F' U2 F' U
F' L B2 R2 B U' B
F' L B2 U2 F' U B2
D2 L B2 D' F' R2 U'
F' L B2 D' R2 B U'
D2 L B2 F' R U' B2
D2 L B2 F' R' U' B2
D2 L B2 F' R2 U' B2
D2 L B2 F' U' B2 D
D2 L B2 F' U' B2 D'
D2 L B2 F' U' B2 D2
D2 L B2 F' D' R2 U'
D' L B2 F' U' B2 L
U L B2 D' F' U' L2
U L B2 D2 F' B2 U'
U L B2 D2 B2 F' U'
U L B2 F' U2 F' U
D2 L' U L2 F' B2 U'
D2 L' U L2 B2 F' U'
D' L' U L2 F' U' L
D2 L' U F' L2 B2 U'
D2 L' U F' B2 L2 U'
D2 L' U B2 L2 F' U'
D2 L' U B2 F' L2 U'
D2 L' F D L2 R2 F2
D2 L' F D L2 F2 R2
D2 L' F D R2 L2 F2
D2 L' F D R2 F2 L2
D2 L' F D F2 L2 R2
D2 L' F D F2 R2 L2
U L' F L2 F2 B' U'
U L' F L2 B' F2 U'
D2 L' F' L2 B2 U' B2
U L' F' L2 U2 F' U
D2 L' F' B2 L2 U' B2
L2 R2 U' F2 B R U
R2 L2 U' F2 B R U
L R2 U' F2 B U F2
L2 R2 U' B F2 R U
R2 L2 U' B F2 R U
L R2 U' B F2 U F2
D2 L' B2 L2 F' U' B2
D2 L' B2 F' L2 U' B2
D' L2 U L F' L2 U'
D2 L2 U L' F' B2 U'
