U' F R B U B'
F L U R' F R2 B
R2 L D F L' R B2
R2 L D F L' B2 R
R2 L D F R L' B2
R2 L D F R B2 L'
R2 L D F B2 L' R
R2 L D F B2 R L'
R2 L D B2 F L' R
R2 L D B2 F R L'
F2 L U2 F' U R F2
F' L D2 B2 U' R2 F
F' L D2 B2 U' F R2
F L' U' B' U2 B R
L R2 D F L' R B2
L R2 D F L' B2 R
L R2 D F R L' B2
L R2 D F R B2 L'
L R2 D F B2 L' R
L R2 D F B2 R L'
L R2 D B2 F L' R
L R2 D B2 F R L'
U' R F B R U B'
U' R B F R U B'
U2 R' F B' U R' F2
U2 R' F B' U F2 R'
U2 R' B' F U R' F2
U2 R' B' F U F2 R'
F R2 U2 R2 U' R F'
L2 D F B' L' U' R
L D F' U' F2 L' R
L D F' U' F2 R L'
U' D F R B U B'
L2 D B' F L' U' R
L2 D' F B' L U' R
D' U' F R B U B'
U' D' F R B U B'
D2 U' F R B U B'
D U' F R B U B'
L2 D' B' L F U' R
L2 D' B' F L U' R
B' U' F R B U B'
B2 U' F R B U B'
B U' F R B U B'
U' D2 F R B U B'
L2 D2 F B' U' R F'
F' U2 R' F2 U R F
F' U2 R2 F2 U R F'
L2 D2 B' F U' R F'
U' F L R B U B'
U' F L' R B U B'
U' F L2 R B U B'
U' F R L B U B'
U' F R L' B U B'
U' F R L2 B U B'
U' F R D B U B'
F2 U2 F' R' U F' R2
U' F R D' B U B'
U' F R D2 B U B'
U' F R B U D B'
U' F R B U D' B'
U' F R B U D2 B'
U' F R B U B' D
U' F R B U B' D'
U' F R B U B' D2
U' F R B D U B'
U' F R B D' U B'
U' F R B D2 U B'
F' U2 F2 R' U F' R2
U2 F R' B' U F' R'
L' F U B' R' U2 R2
U' F D R B U B'
U F U' F' L' B' U2
U' F D' R B U B'
R F U2 R' U' F' R2
U' F D2 R B U B'
L2 F D' B' L U' R
U' F B R B U B2
L2 F D2 B' U' R F'
L2 F B' L' U' R F
U' F B2 R B U B
U2 F B' R U R2 F'
U2 F B' R2 U R F'
L2 F B' U' D2 R F'
L2 F B' D2 U' R F'
R F B2 L U R F
L' F' U B' L' R' U2
L' F' U B' R' L' U2
L2 F' B' U L' U2 F
L F2 L B' U' F' R
L F2 L2 U' F' L' R
L F2 L2 U' F' R L'
U' B F R B U B2
L2 B' L' F' U' F2 R
L2 B' L' F2 U' F' R
U2 B' R F U R2 F'
L2 B' D F L' U' R
L2 B' D2 F U' R F'
L2 B' F L' U' R F
U2 B' F R U R2 F'
U2 B' F R2 U R F'
L2 B' F U' D2 R F'
L2 B' F D2 U' R F'
L2 B' F' U L' U2 F
U' B2 F R B U B
R B2 F L U R F
