B' L' D F2 R U' L'
D L' F U F U2 L'
B L' F2 R U' L' R2
B L' F2 R U' R2 L'
D' R U' L' F' U' B2
F2 R B L2 U L R'
F2 R B L2 U R' L
L D L B' U F2 L'
D2 F' D R F' L' B2
D2 F' D R F' B2 L'
D2 F' D R B2 F' L'
D2 F' D B2 R F' L'
L' F2 R B U' L' R'
L' F2 R B U' R' L'
L' F2 B R U' L' R2
L' F2 B R U' R2 L'
F2 B L2 R U L R2
F2 B L2 R U R2 L
F2 B R L2 U L R2
F2 B R L2 U R2 L
F2 B R' D' L' F2 B2
F2 B R' D' L' B2 F2
F2 B R' D' B2 L' F2
L' B F2 R U' L' R2
L' B F2 R U' R2 L'
L2 B' U' L R U2 F
L2 B' U' R L U2 F
B F2 L2 R U L R2
B F2 L2 R U R2 L
B F2 R L2 U L R2
B F2 R L2 U R2 L
B F2 R' D' L' F2 B2
B F2 R' D' L' B2 F2
B F2 R' D' B2 L' F2
