L2 U' B2 R' U B
L' R U' L' D' R2 B
L' R U' D' L' R2 B
L' R U' D' R2 L' B
L' R U' D' R2 B L'
R' L D' L B R2 F'
L' R D' U' L' R2 B
L' R D' U' R2 L' B
L' R D' U' R2 B L'
B2 L D2 R2 U L B'
L' R' U' L' D' B R2
R' L' U' L' D' B R2
R L' U' L' D' R2 B
R' L' U' D' L' B R2
L' R' U' D' L' B R2
R' L' U' D' B L' R2
R' L' U' D' B R2 L'
L' R' U' D' B L' R2
L' R' U' D' B R2 L'
R L' U' D' L' R2 B
R L' U' D' R2 L' B
R L' U' D' R2 B L'
L2 R' U' B2 R' U B'
R' L' U2 B2 U B' L'
L' R' U2 B2 U B' L'
L R' D' L B R2 F'
R' L' D' U' L' B R2
R' L' D' U' B L' R2
R' L' D' U' B R2 L'
L' R' D' U' L' B R2
L' R' D' U' B L' R2
L' R' D' U' B R2 L'
R L' D' U' L' R2 B
R L' D' U' R2 L' B
R L' D' U' R2 B L'
B2 L' U' L' B2 R' B
L2 R' B U' B R' U
D' L' F' R B2 U' R
D' L' F' B2 R U' R
D2 L' F2 U R2 U2 B
D2 L' F2 U F' R2 U2
R' L2 U' B2 R' U B'
D' L' B2 F' R U' R
F2 L2 R' D' F2 B R2
F2 L2 R' D' B R2 F2
F2 L2 R' D' B F2 R2
R' L2 B U' B R' U
U' L2 U' B2 R' U B
U2 L2 U' B2 R' U B
U L2 U' B2 R' U B
L2 U D2 L F2 U' B'
L2 U D2 F2 L U' B'
F2 R U L2 D' R2 B
L' U' L' R D' R2 B
L' U' L' R' D' B R2
L' U' R L' D' R2 B
L' U' R D' L' R2 B
L' U' R D' R2 L' B
L' U' R D' R2 B L'
B2 R F2 R U L2 B'
L' U' R' L' D' B R2
L' U' R' D' L' B R2
L' U' R' D' B L' R2
L' U' R' D' B R2 L'
F2 R F2 B2 U L2 B'
L2 U' R' B2 R' U B'
F2 R B2 U' F' U2 L2
F2 R B2 F2 U L2 B'
F2 R' L2 D' F2 B R2
F2 R' L2 D' B R2 F2
F2 R' L2 D' B F2 R2
B2 R' U2 L' U' L' B
B2 R' U2 L' U' B L'
L2 U' B2 L R' U B
L2 U' B2 L' R' U B
L2 U' B2 L2 R' U B
L2 U' B2 R' L U B
L2 U' B2 R' L' U B
L2 U' B2 R' L2 U B
L2 U' B2 R' U D B
L2 U' B2 R' U D' B
L2 U' B2 R' U D2 B
L2 U' B2 R' U B D
L2 U' B2 R' U B D'
L2 U' B2 R' U B D2
L2 U' B2 R' D U B
L2 U' B2 R' D' U B
L2 U' B2 R' D2 U B
F2 R' B2 R2 U B' L2
B2 R2 U2 L' U' B' L'
B2 R2 D F2 R U B
B2 R2 F2 R U L2 B
B2 R2 F2 R U B L2
R' D' L' B2 U' R2 B'
R' D' L' B2 U' B' R2
R D' L' B2 U' R2 B
R D' B2 L' U' R2 B
L2 D2 U L F2 U' B'
L2 D2 U F2 L U' B'
B2 U2 L' R' U' L' B
B2 U2 L' R' U' B L'
L2 D2 F2 L U' B' L'
B2 U2 R' L' U' L' B
B2 U2 R' L' U' B L'
L2 F U' B2 R' U B
B' D F2 R B' L U
B' D F2 B' L R U
B' D F2 B' R L U
B' D B' F2 L R U
B' D B' F2 R L U
L2 F' U' B2 R' U B
R2 F2 R B2 U B' L2
R F2 R B2 U L2 B'
L2 F2 U' B2 R' U B
R' F2 B2 R U B' L2
R2 F2 B2 R U L2 B
R2 F2 B2 R U B L2
R F2 B2 R U L2 B'
L2 B U' B R' U B
L2 B2 L R' U L' B
L2 B2 L R' U B L'
D' B2 L' F' R U' R
L2 B2 L' R' U L B
L2 B2 L2 R' U L2 B
L2 B2 L2 R' U B L2
L2 B2 R' L U L' B
L2 B2 R' L U B L'
L2 B2 R' L' U L B
L2 B2 R' L2 U L2 B
L2 B2 R' L2 U B L2
B2 F2 R U' F' U2 L2
F2 B2 R U' F' U2 L2
B2 F2 R F2 U L2 B'
F2 B2 R F2 U L2 B'
L' B2 U' L' B2 R' B
R2 B2 U2 L' U' B' L'
R' B2 D F2 R U B'
R2 B2 D F2 R U B
R' B2 F2 R U B' L2
R2 B2 F2 R U L2 B
R2 B2 F2 R U B L2
R2 B2 F2 R U B L2
R B2 F2 R U L2 B'
