B' L' U2 R' B' U' F'
U R F B L D' R2
U R F B D' L R2
U R F B D' R2 L
U R B D' R2 F L
U R B D' F L R2
U R B D' F R2 L
U R B F L D' R2
U R B F D' L R2
U R B F D' R2 L
U R B' U F B2 L
U R B' U B2 F L
U2 R' F' B' L' U F2
U2 R' B' F' L' U F2
B' R2 U2 R B U' F
B' U2 R B R2 U' F
B' U2 R' U' F D' L2
B' U2 R' U2 F' U F2
U F R B L D' R2
U F R B D' L R2
U F R B D' R2 L
F2 U2 B' U F' L' B'
F' B L F B2 U F
F' B L B2 F U F
F2 B L F B2 U F2
F2 B L B2 F U F2
B F L F B2 U F'
B F L B2 F U F'
F B L F B2 U F'
F B L B2 F U F'
U2 B' R' F' L' U F2
B F' L F B2 U F
B F' L B2 F U F
U2 B' U F' L' F2 B'
U2 B' U F' L' B' F2
B F2 L F B2 U F2
B F2 L B2 F U F2
