U2 R F U L' B
U2 R F U B L'
U2 D R F' U B
D U2 R F' U B
U2 L R F U L' B
U2 L R F U B L'
L R U F U2 L' F'
R L U F U2 L' F'
R' L D2 L2 U' B' L
U2 L D R F' U B
U2 L' R F U L' B
U2 L' R F U B L'
L R' D2 L2 U' B' L
D2 L' U2 R U B' L
D' L' U2 R F U B'
D L' U2 R F' U B'
U2 L' D R F' U B
F2 L' F2 U' D2 B' L
F2 L' F2 D2 U' B' L
U2 L2 R F U L' B
U2 L2 R F U B L'
U2 L2 D R F' U B
U2 R L F U L' B
U2 R L F U B L'
U2 R L' F U L' B
U2 R L' F U B L'
L U F U2 D' L' F
L U F D' U2 L' F
U2 R L2 F U L' B
U2 R L2 F U B L'
U2 R U D2 B' L B2
U2 R U F L' F' B
U2 R U F L' B F'
U2 R U F B L' F'
U2 R U B F L' F'
U2 R U B2 D2 B' L
U2 R U' R2 F' R U2
U2 R U' F U2 L' B
U2 R U' F U2 B L'
U2 R U' F2 U2 B L
U2 R D' L' F U B
U2 R D' L2 U B L
U2 R D2 U B' L B2
U2 R F L U L2 B
U2 R F L U B L2
U2 R F L2 U L B
U2 R F U L B L2
U2 R F U L' D B
U2 R F U L' D' B
U2 R F U L' D2 B
U2 R F U L' B D
U2 R F U L' B D'
U2 R F U L' B D2
U2 R F U D L' B
U2 R F U D B L'
U2 R F U D' L' B
U2 R F U D' B L'
U2 R F U D2 L' B
U2 R F U D2 B L'
U2 R F U B L' D
U2 R F U B L' D'
U2 R F U B L' D2
U2 R F U B D L'
U2 R F U B D' L'
U2 R F U B D2 L'
U2 R F U B' L' B2
U2 R F D U L' B
U2 R F D U B L'
U2 R F D' U L' B
U2 R F D' U B L'
U2 R F D2 U L' B
U2 R F D2 U B L'
D R F' L' U B' R'
L' U' F D' B' L' F
L' U' F B' D' L' F
L' U' B' F D' L' F
L' U2 R U D2 B' L
L' U2 R D2 U B' L
L' U2 R F U B' L'
L U2 R U' F U2 L'
R2 U2 R' U' F' R U2
L' U2 D R F' U B'
L' U2 D2 R U B' L
U2 R2 F R' U L' B
U2 R2 F R' U B L'
L' D U2 R F' U B'
U2 D L R F' U B
U2 D L' R F' U B
F2 U L' F2 B' R' U'
F2 U L' B' R' F2 U'
F2 U L' B' F2 R' U'
U2 D L2 R F' U B
U2 D R L F' U B
U2 D R L' F' U B
U2 D R L2 F' U B
U' D R F' L' U R'
U2 D R D F' U B
U2 D R D' F' U B
U2 D R D2 F' U B
U2 D R F' L U B
U2 D R F' L' U B
U2 D R F' L2 U B
U2 D R F' U D B
U2 D R F' U D' B
U2 D R F' U D2 B
U2 D R F' U B D
U2 D R F' U B D'
U2 D R F' U B D2
U2 D R F' D U B
U2 D R F' D' U B
U2 D R F' D2 U B
U2 D' L' R F U B
U2 D' L2 R U B L
U2 D' R L' F U B
U2 D' R L2 U B L
D U' R F' L' U R'
R' D2 L2 U' L B' L
R' D2 L2 U' B' L B'
R' D2 L2 B' U' L B'
D' U2 L' R F U B
D U2 L R F' U B
D' U2 L2 R U B L
D U2 L' R F' U B
D' U2 R L' F U B
D' U2 R L2 U B L
D U2 L2 R F' U B
D2 U2 R U B' L B2
U2 D2 R U B' L B2
D U2 R L F' U B
D U2 R L' F' U B
D U2 R L2 F' U B
D U2 R D F' U B
D U2 R D' F' U B
D U2 R D2 F' U B
D U2 R F' L U B
D U2 R F' L' U B
D U2 R F' L2 U B
D U2 R F' U D B
D U2 R F' U D' B
D U2 R F' U D2 B
D U2 R F' U B D
D U2 R F' U B D'
D U2 R F' U B D2
D U2 R F' D U B
D U2 R F' D' U B
D U2 R F' D2 U B
L' D2 U2 R U B' L
B' U2 R F U L' B
B' U2 R F U B L'
B2 U2 R F U L' B
B2 U2 R F U B L'
B U2 R F U L' B
B U2 R F U B L'
B' U2 D R F' U B
B2 U2 D R F' U B
B U2 D R F' U B
B' D U2 R F' U B
B2 D U2 R F' U B
B D U2 R F' U B
F D' L' F D R2 B'
F D' L' F D B' R2
F D' L' F B' D R2
F D' L' B' F D R2
D2 F2 L' F2 U' B' L
D B U2 R F' U B
D2 B' U2 R U L B
D B' U2 R F' U B
R2 B2 L U F U2 L'
D B2 U2 R F' U B
