F R' D B' L2 U'
D2 R' F B' U' F
F R' D2 B' U' F2
D R' F B' L2 U'
D2 R' B' F U' F
F R' B' L2 U' F
F R' B' U B' U2
D R' B' F L2 U'
R' D F B' L2 U'
R' D B' F L2 U'
R' D2 F B' U' F
R' D2 B' F U' F
D2 F R' B' U' F
D F R' B' L2 U'
R' F D B' L2 U'
R' F D2 B' U' F2
R' F B' L2 U' F
R' F B' U B' U2
F D R' B' L2 U'
F D2 R' B' U' F2
R' B' F L2 U' F
R' B' F U B' U2
L2 R' D L2 F B' U'
L2 R' D L2 B' F U'
F L' D2 R' B U' F2
R' L2 D L2 F B' U'
R' L2 D L2 B' F U'
D L2 R' U2 F B' U
D L2 R' U2 B' F U
F L2 R' D L2 B' U'
F L2 D L2 R' B' U'
F L2 D R' L2 B' U'
R' U B2 U' F B U'
R' U B2 U' B F U'
D2 R F R2 B' U' F
D R F R2 B' L2 U'
D2 R F B' R2 U' F
D R F B' L2 R2 U'
D R F B' R2 L2 U'
F R B R2 B2 U' F'
D2 R B' R2 F U' F
D2 R B' F R2 U' F
D R B' R2 F L2 U'
F R B' L2 R2 U' F
F R B' R2 L2 U' F
F R B' R2 U B' U2
D R B' F L2 R2 U'
D R B' F R2 L2 U'
D R' L2 U2 F B' U
D R' L2 U2 B' F U
F R' L2 D L2 B' U'
F R' U B2 U' B U'
U' R' D F B' L2 U'
F' R' D B' L2 U' R2
U' R' D B' F L2 U'
U2 R' D F B' L2 U'
F R' D L2 U2 F U
D R' D F B' U' F
U2 R' D B' F L2 U'
D R' D B' F U' F
D2 R' D' F B' L2 U'
U R' D F B' L2 U'
F R' D B L2 B2 U'
F R' D B' L2 U' D
F R' D B' L2 U' D'
F R' D B' L2 U' D2
F R' D B' L2 D U'
F R' D B' L2 D' U'
F R' D B' L2 D2 U'
F R' D B' U' D F2
F R' D B' D U' F2
D2 R' D' B' F L2 U'
F R' D B2 L2 B U'
U R' D B' F L2 U'
U' R' D2 F B' U' F
F R' D' B' U' D' F2
F R' D' B' U2 R2 U
F R' D' B' D' U' F2
F R' D' B' D2 L2 U'
U' R' D2 B' F U' F
U2 R' D2 F B' U' F
U2 R' D2 B' F U' F
D2 R' F D B' U' F
U R' D2 F B' U' F
D2 R' F D' B' U' F
D2 R' F D2 B' U' F
U' R' F D B' L2 U'
D R' F L2 U2 F U
F R' D2 B' L U' F2
F R' D2 B' L' U' F2
F R' D2 B' L2 U' F2
F R' D2 B' U' F2 D
F R' D2 B' U' F2 D'
F R' D2 B' U' F2 D2
F R' D2 B' D' L2 U'
D2 R' F B' U' D F
D2 R' F B' U' D' F
D2 R' F B' U' D2 F
D2 R' F B' U' F D
D2 R' F B' U' F D'
D2 R' F B' U' F D2
D2 R' F B' D U' F
D2 R' F B' D' U' F
D2 R' F B' D2 U' F
D' R' F B2 L B U'
U' R' F D2 B' U' F2
U R' D2 B' F U' F
U' R' F B' L2 U' F
U' R' F B' U B' U2
U2 R' F D B' L2 U'
U2 R' F D2 B' U' F2
D R' F D B' U' F2
U2 R' F B' L2 U' F
U2 R' F B' U B' U2
D R' F B L2 B2 U'
D R' F B' L2 U' D
D R' F B' L2 U' D'
D R' F B' L2 U' D2
D R' F B' L2 D U'
D R' F B' L2 D' U'
D R' F B' L2 D2 U'
D R' F B' U' D F2
D R' F B' D U' F2
D R' F B2 L2 B U'
U R' F D B' L2 U'
U R' F D2 B' U' F2
U R' F B' L2 U' F
U R' F B' U B' U2
D R' F' B' L2 F2 U'
F' R' F2 D B' L2 U'
F' R' F2 D2 B' U' F2
F' R' F2 B' L2 U' F
F' R' F2 B' U B' U2
D R' F2 B' L2 F' U'
F' R' B' L2 F2 U' F'
D R' B F L2 B2 U'
D2 R' B' D' F L2 U'
D' R' B' D2 F L' U'
D2 R' B' F U' D F
D2 R' B' F U' D' F
D2 R' B' F U' D2 F
D2 R' B' F U' F D
D2 R' B' F U' F D'
D2 R' B' F U' F D2
D2 R' B' F D U' F
D2 R' B' F D' U' F
D2 R' B' F D2 U' F
D R' B' L2 U2 B' U
U' R' B' F L2 U' F
U' R' B' F U B' U2
F' R' B' F2 L2 U' F
F' R' B' F2 U B' U2
F R' B' L2 U' D F
F R' B' L2 U' D' F
F R' B' L2 U' D2 F
F R' B' L2 U' F D
F R' B' L2 U' F D'
F R' B' L2 U' F D2
F R' B' L2 D U' F
F R' B' L2 D' U' F
F R' B' L2 D2 U' F
U2 R' B' F L2 U' F
U2 R' B' F U B' U2
D R' B' D F U' F
F R' B' U D B' U2
F R' B' U D' B' U2
F R' B' U D2 B' U2
F R' B' U B' U2 D
F R' B' U B' U2 D'
F R' B' U B' U2 D2
F R' B' U B' D U2
F R' B' U B' D' U2
F R' B' U B' D2 U2
F R' B' U' L2 F L2
D R' B' F L2 U' D
D R' B' F L2 U' D'
D R' B' F L2 U' D2
D R' B' F L2 D U'
D R' B' F L2 D' U'
D R' B' F L2 D2 U'
D R' B' F U' D F2
D R' B' F D U' F2
D R' B' F' L2 F2 U'
F R' B' D L2 U' F
F R' B' D U B' U2
D R' B' F2 L2 F' U'
F R' B' D' L2 U' F
F R' B' D' U B' U2
F R' B' D2 L2 U' F
F R' B' D2 U B' U2
D' R' B2 F L B U'
U R' B' F L2 U' F
U R' B' F U B' U2
D R' B2 F L2 B U'
D' R2 U2 R F B' U'
D' R2 U2 R B' F U'
D' R2 U2 B' R F U'
F R2 D R B' L2 U'
F R2 D B' L2 R U'
F R2 D B' R L2 U'
F R2 D2 R B' U' F2
R' D L2 U2 F B' U
R' D L2 U2 B' F U
F R2 D2 B' R U' F2
L2 D L2 R' F B' U'
L2 D L2 R' B' F U'
L2 D L2 F R' B' U'
R2 D R F B' L2 U'
R2 D R B' F L2 U'
L2 D R' L2 F B' U'
L2 D R' L2 B' F U'
D2 R2 B' R F U' F
D R2 B' R F L2 U'
F R2 B' L2 R U' F
F R2 B' R L2 U' F
F R2 B' R U B' U2
R' D F L2 U2 F U
R' D F D B' U' F2
R' D F B L2 B2 U'
R' D F B' L2 U' D
R' D F B' L2 U' D'
R' D F B' L2 U' D2
R' D F B' L2 D U'
R' D F B' L2 D' U'
R' D F B' L2 D2 U'
R' D F B' U' D F2
R' D F B' D U' F2
R' D F B2 L2 B U'
R' D F' B' L2 F2 U'
R' D F2 B' L2 F' U'
D2 U R' F B' U' F
U' D R' F B' L2 U'
R' D B F L2 B2 U'
U' D R' B' F L2 U'
D2 U R' B' F U' F
R' D B' L2 U2 B' U
U2 D R' F B' L2 U'
U2 D R' B' F L2 U'
R' D B' D F U' F
D U R' F B' L2 U'
R' D B' F L2 U' D
R' D B' F L2 U' D'
R' D B' F L2 U' D2
R' D B' F L2 D U'
R' D B' F L2 D' U'
R' D B' F L2 D2 U'
R' D B' F U' D F2
R' D B' F D U' F2
R' D B' F' L2 F2 U'
R' D B' F2 L2 F' U'
D U R' B' F L2 U'
U D R' F B' L2 U'
R2 D B' R F L2 U'
U D R' B' F L2 U'
U' D F R' B' L2 U'
D2 U F R' B' U' F
R' D B2 F L2 B U'
U2 D F R' B' L2 U'
D U F R' B' L2 U'
U D F R' B' L2 U'
R' D' F D' B' U' F2
R' D' F D2 B' L2 U'
R' D' F B' U' D' F2
R' D' F B' U2 R2 U
R' D' F B' D' U' F2
R' D' F B' D2 L2 U'
D2 U' R' F B' U' F
D2 U' R' B' F U' F
D U' R' F B' L2 U'
D U' R' B' F L2 U'
D2 U' F R' B' U' F
D U' F R' B' L2 U'
R' D' B' D' F U' F
R' D' B' D2 F L2 U'
R' D' B' F U' D' F2
R' D' B' F U2 R2 U
R' D' B' F D' U' F2
R' D' B' F D2 L2 U'
B2 U' F B2 R' B' U'
R D2 L2 F B' U F
R2 D2 R F B' U' F
R D2 L2 B' F U F
R2 D2 R B' F U' F
U' D2 R' F B' U' F
B2 U' B2 R' F B' U'
B2 U' B2 R' B' F U'
D2 U2 R' F B' U' F
U' D2 R' B' F U' F
D2 U2 R' B' F U' F
B2 U' B2 F R' B' U'
U2 D2 R' F B' U' F
U2 D2 R' B' F U' F
D U2 R' F B' L2 U'
D U2 R' B' F L2 U'
U' D2 F R' B' U' F
U D2 R' F B' U' F
D2 U2 F R' B' U' F
U D2 R' B' F U' F
R' D2 F D B' U' F
R' D2 F D' B' U' F
R' D2 F D2 B' U' F
R' D2 F B' U' D F
R' D2 F B' U' D' F
R' D2 F B' U' D2 F
R' D2 F B' U' F D
R' D2 F B' U' F D'
R' D2 F B' U' F D2
R' D2 F B' D U' F
R' D2 F B' D' U' F
R' D2 F B' D2 U' F
U2 D2 F R' B' U' F
D U2 F R' B' L2 U'
U D2 F R' B' U' F
R' D2 B' D' F L2 U'
R' D2 B' F U' D F
R' D2 B' F U' D' F
R' D2 B' F U' D2 F
R' D2 B' F U' F D
R' D2 B' F U' F D'
R' D2 B' F U' F D2
R' D2 B' F D U' F
R' D2 B' F D' U' F
R' D2 B' F D2 U' F
R2 D2 B' R F U' F
R' F L2 D L2 B' U'
D F L2 R' U2 F U
D2 F R B' R2 U' F
U' F R' D B' L2 U'
U' F R' D2 B' U' F2
D2 F R' D B' U' F
D2 F R' D' B' U' F
D2 F R' D2 B' U' F
U' F R' B' L2 U' F
U' F R' B' U B' U2
D' F R' B2 L B U'
D2 F R' B' U' D F
D2 F R' B' U' D' F
D2 F R' B' U' D2 F
D2 F R' B' U' F D
D2 F R' B' U' F D'
D2 F R' B' U' F D2
D2 F R' B' D U' F
D2 F R' B' D' U' F
D2 F R' B' D2 U' F
U2 F R' D B' L2 U'
D F R B' L2 R2 U'
D F R B' R2 L2 U'
U2 F R' D2 B' U' F2
D F R' L2 U2 F U
U2 F R' B' L2 U' F
U2 F R' B' U B' U2
D F R' D B' U' F2
D2 F R2 B' R U' F
D F R' B L2 B2 U'
U F R' D B' L2 U'
D F R' B' L2 U' D
D F R' B' L2 U' D'
D F R' B' L2 U' D2
D F R' B' L2 D U'
D F R' B' L2 D' U'
D F R' B' L2 D2 U'
D F R' B' U' D F2
D F R' B' D U' F2
D F R' B2 L2 B U'
U F R' D2 B' U' F2
U F R' B' L2 U' F
U F R' B' U B' U2
R' F U B2 U' B U'
D F R2 B' L2 R U'
D F R2 B' R L2 U'
R F R2 D B' L2 U'
R F R2 D2 B' U' F2
R F R2 B' L2 U' F
R F R2 B' U B' U2
R' F D L2 U2 F U
U' F D R' B' L2 U'
D2 F D R' B' U' F
R' F D B L2 B2 U'
R' F D B' L2 U' D
R' F D B' L2 U' D'
R' F D B' L2 U' D2
R' F D B' L2 D U'
R' F D B' L2 D' U'
R' F D B' L2 D2 U'
R' F D B' U' D F2
R' F D B' D U' F2
R' F D B2 L2 B U'
U2 F D R' B' L2 U'
D' F D' R' B' U' F2
D2 F D' R' B' U' F
D F D R' B' U' F2
R' F D' B' U' D' F2
R' F D' B' U2 R2 U
R' F D' B' D' U' F2
R' F D' B' D2 L2 U'
U F D R' B' L2 U'
U' F D2 R' B' U' F2
F D L2 R' U2 F U
D' F D2 R' B' L2 U'
D2 F D2 R' B' U' F
R' F D2 B' L U' F2
R' F D2 B' L' U' F2
R' F D2 B' L2 U' F2
R' F D2 B' U' F2 D
R' F D2 B' U' F2 D'
R' F D2 B' U' F2 D2
R' F D2 B' D' L2 U'
U2 F D2 R' B' U' F2
R' F B' L2 U' D F
R' F B' L2 U' D' F
R' F B' L2 U' D2 F
R' F B' L2 U' F D
R' F B' L2 U' F D'
R' F B' L2 U' F D2
R' F B' L2 D U' F
R' F B' L2 D' U' F
R' F B' L2 D2 U' F
F D R B' L2 R2 U'
F D R B' R2 L2 U'
U F D2 R' B' U' F2
R' F B' U D B' U2
R' F B' U D' B' U2
R' F B' U D2 B' U2
R' F B' U B' U2 D
R' F B' U B' U2 D'
R' F B' U B' U2 D2
R' F B' U B' D U2
R' F B' U B' D' U2
R' F B' U B' D2 U2
R' F B' U' L2 F L2
F D R' L2 U2 F U
R' F B' D L2 U' F
R' F B' D U B' U2
R' F B' D' L2 U' F
R' F B' D' U B' U2
R' F B' D2 L2 U' F
R' F B' D2 U B' U2
F D R' D B' U' F2
F D R' B L2 B2 U'
F D R' B' L2 U' D
F D R' B' L2 U' D'
F D R' B' L2 U' D2
F D R' B' L2 D U'
F D R' B' L2 D' U'
F D R' B' L2 D2 U'
F D R' B' U' D F2
F D R' B' D U' F2
F D R' B2 L2 B U'
R F B R2 B2 U' F'
R F B' L2 R2 U' F
F D R2 B' L2 R U'
F D R2 B' R L2 U'
R F B' R2 L2 U' F
R F B' R2 U B' U2
F2 D F' R' B' L2 U'
D F' R' F2 B' L2 U'
D F' R' B' L2 F2 U'
D F' R' B' F2 L2 U'
R' F' D B' L2 U' R2
R' F' B' L2 F2 U' F'
F D' R' B2 L B U'
D2 F2 U F' R' B' U'
R' F2 D F' B' L2 U'
R' F2 D B' L2 F' U'
R' F2 D B' F' L2 U'
R' F2 D2 F' B' U' F'
R' F2 D2 B' F' U' F'
R' F2 B' L2 F' U' F2
F D2 R B' R2 U' F2
F D2 R' D' B' L2 U'
F D2 R' B' L U' F2
F D2 R' B' L' U' F2
F D2 R' B' L2 U' F2
F D2 R' B' U' F2 D
F D2 R' B' U' F2 D'
F D2 R' B' U' F2 D2
F D2 R' B' D' L2 U'
F D2 R2 B' R U' F2
R B R2 F B2 U' F2
R B R2 B2 F U' F2
B' F U B' U L U
R B F R2 B2 U' F'
R' B' L2 U2 B' U F
D B' L2 U2 B' L U
R2 B' R F L2 U' F
R2 B' R F U B' U2
R' B' U B' U' F U'
R B' R2 F L2 U' F
R B' R2 F U B' U2
R' B' D F L2 U' F
R' B' D F U B' U2
R' B' D' F L2 U' F
R' B' D' F U B' U2
R' B' D2 F L2 U' F
R' B' D2 F U B' U2
R' B' F L2 U' D F
R' B' F L2 U' D' F
R' B' F L2 U' D2 F
R' B' F L2 U' F D
R' B' F L2 U' F D'
R' B' F L2 U' F D2
R' B' F L2 D U' F
R' B' F L2 D' U' F
R' B' F L2 D2 U' F
R' B' F U D B' U2
R' B' F U D' B' U2
R' B' F U D2 B' U2
R' B' F U B' U2 D
R' B' F U B' U2 D'
R' B' F U B' U2 D2
R' B' F U B' D U2
R' B' F U B' D' U2
R' B' F U B' D2 U2
R' B' F U' L2 F L2
R' B' F D L2 U' F
R' B' F D U B' U2
R' B' F D' L2 U' F
R' B' F D' U B' U2
R' B' F D2 L2 U' F
R' B' F D2 U B' U2
R' B' F' L2 F2 U' F'
R' B' F2 L2 F' U' F2
F B' U B' U L U
R B' F L2 R2 U' F
R B' F R2 L2 U' F
R B' F R2 U B' U2
L2 B2 U F L B U
R' B2 U' F B U' B'
R' B2 U' B F U' B'
R2 B2 U' B R F U'
R B2 U' F B R2 U'
R B2 U' B R2 F U'
R B2 U' B F R2 U'
