U L' D F2 R
D' B2 R' U L'
U2 L U L U2 L
U2 L D' B2 U' R'
D L F2 R U' L2
U2 L B2 U' L2 R'
U2 L B2 U' R' L2
U L' R D F2 R
U L' R' D F2 R
U L' R2 D F2 R
U L' D R F2 R
U L' D R' F2 R
U L' D R2 F2 R
U L' D F2 R D
U L' D F2 R D'
U L' D F2 R D2
U L' D F2 D R
U L' D F2 D' R
U L' D F2 D2 R
U L' F2 R D F2
U L' F2 D R F2
U' L2 U' L' U' L2
U' L2 U2 L D F2
R' U L' D F2 R
R2 U L' D F2 R
R U L' D F2 R
U R L' D F2 R
D' R B2 R' U L'
U R' L' D F2 R
B2 R' U D2 L' R2
B2 R' U D2 R2 L'
B2 R' U' L2 U2 L
B2 R' D' B2 U L'
B2 R' D2 U L' R2
B2 R' D2 U R2 L'
D' R' B2 R' U L'
U R2 L' D F2 R
D' R2 B2 R' U L'
U2 D L F2 U' L2
D2 U L' R2 D F2
U D L' D R2 F2
U D L' D F2 R2
D U L' D R2 F2
D U L' D F2 R2
D2 U R2 L' D F2
R' D' B2 R' U L'
R2 D' B2 R' U L'
R D' B2 R' U L'
U2 D2 L U' L2 R2
U2 D2 L U' R2 L2
D2 U2 L U' L2 R2
D2 U2 L U' R2 L2
D U2 L F2 U' L2
U D2 L' R2 D F2
U D2 L' R2 D F2
U D2 R2 L' D F2
B2 D' R' B2 U L'
B2 D2 R' U L' R'
B2 D2 R' U R' L'
D2 B2 R' U L' R'
D2 B2 R' U R' L'
D' B2 R' U L' D
D' B2 R' U L' D'
D' B2 R' U L' D2
D' B2 R' U D L'
D' B2 R' U D' L'
D' B2 R' U D2 L'
D' B2 R' D U L'
D' B2 R' D' U L'
D' B2 R' D2 U L'
D' B2 D R' U L'
D' B2 D' R' U L'
D' B2 D2 R' U L'
D L R F2 R U' L2
D L R' F2 R U' L2
D L R2 F2 R U' L2
U2 L U L R U2 L
U2 L U L R' U2 L
U2 L U L R2 U2 L
U2 L U L U2 L D
U2 L U L U2 L D'
U2 L U L U2 L D2
U2 L U L U2 D L
U2 L U L U2 D' L
U2 L U L U2 D2 L
U2 L U L D U2 L
U2 L U L D' U2 L
U2 L U L D2 U2 L
U2 L U R L U2 L
U2 L U R' L U2 L
U2 L U R2 L U2 L
U2 L U D2 L R2 U2
U2 L U D2 R2 L U2
U2 L U' L' D2 L' R2
U2 L U' L' D2 R2 L'
U2 L U' L2 U2 L' U2
U2 L U' L2 F2 R F2
U2 L U' F2 L2 F2 R
U2 L U' B2 L2 R' B2
U2 L U' B2 R' L2 B2
U2 L U' B2 R' B2 L2
D2 L U2 L' U L' R2
D2 L U2 L' U R2 L'
D' L U2 L' B2 U L'
D' L U2 B2 L' U L'
U2 L U2 B2 U L2 R'
U2 L U2 B2 U R' L2
U2 L D' F B2 U' R'
D2 L D' F2 R B2 U'
D2 L D' F2 B2 R U'
U2 L D' F' B2 U' R'
U2 L D' F2 B2 U' R'
D2 L D' B2 F2 R U'
U2 L D' B2 U' R' D
U2 L D' B2 U' R' D'
U2 L D' B2 U' R' D2
U2 L D' B2 U' D R'
U2 L D' B2 U' D' R'
U2 L D' B2 U' D2 R'
U2 L D' B2 D U' R'
U2 L D' B2 D' U' R'
U2 L D' B2 D2 U' R'
U2 L D' B2 F U' R'
U2 L D' B2 F' U' R'
U2 L D' B2 F2 U' R'
U L D' B2 U' R' B2
U2 L D2 U L R2 U2
U2 L D2 U R2 L U2
U L F L2 D F2 R
U2 L F U L U2 L
U2 L F D' B2 U' R'
U2 L F B2 U' L2 R'
U2 L F B2 U' R' L2
U2 L F' U L U2 L
