U' R F B' U2 R
U R F B' U2 R'
U' R B' F U2 R
U R B' F U2 R'
U' B' R F U2 R
U B' R F U2 R2
U L' F2 L' F B' R'
U L' F2 L' B' R' F
U L' F2 L' B' F R'
U' L2 R U2 F B' R'
U' L2 R U2 B' R' F
U' L2 R U2 B' F R'
U L2 R U2 F R B'
U L2 R U2 F B' R
U L2 R U2 B' F R
U' L2 F R D2 B' L
U' L2 F D2 R B' L
U' L2 F D2 B' L R
U' L2 F D2 B' R L
U L2 F D2 B' L R'
U L2 F D2 B' R' L
U' L2 F2 B' L' F' R
R2 U R' F B' U2 R'
U L2 F2 B' L' F' R'
R2 U R' B' F U2 R'
R' U R2 F B' U2 R'
R' U R2 B' F U2 R'
U' L2 B' F2 L' F' R
U L2 B' R' D2 F L2
U L2 B' R' F D2 L2
U L2 B' F2 L' F' R'
R' U D2 L2 F B' R'
R' U D2 L2 B' R' F
R' U D2 L2 B' F R'
R' U F R2 B' U2 R'
R' U F B' R2 U2 R
R2 U F R' B' U2 R'
U' R L2 U2 F B' R'
U' R L2 U2 B' R' F
U' R L2 U2 B' F R'
U R L2 U2 F R B'
U R L2 U2 F B' R
U R L2 U2 B' F R
R' U B' F R2 U2 R
U' R D F B' U2 R
U' R D B' F U2 R
U R D F B' U2 R'
U' R D' F B' U2 R
U R D B' F U2 R'
U' R D' B' F U2 R
U R D' F B' U2 R'
U' R D2 F B' U2 R
U R D' B' F U2 R'
U' R D2 B' F U2 R
B' R F L U' F U'
B' R F L' U B' U
U' R F L2 U2 R F
U R D2 F B' U2 R'
B' R F U B' U R'
B' R F U' F U' R
U R D2 B' F U2 R'
U' R F D B' U2 R
U' R F D' B' U2 R
U' R F D2 B' U2 R
U' R F B' L U2 R
U' R F B' L' U2 R
U' R F B' L2 U2 R
U' R F B' U2 R D
U' R F B' U2 R D'
U' R F B' U2 R D2
U' R F B' U2 D R
U' R F B' U2 D' R
U' R F B' U2 D2 R
U R F L2 U2 F R
U' R F B' D U2 R
U' R F B' D' U2 R
U' R F B' D2 U2 R
U2 R F B' U B2 U
U2 R F B' U2 D' R2
U2 R F B' D L2 U2
U2 R F B' D' U2 R2
U R F D B' U2 R'
U R F D' B' U2 R'
U R F D2 B' U2 R'
U R F B L B2 U2
U R F B' L U2 R'
U R F B' L' U2 R'
U R F B' L2 U2 R'
U R F B' U2 R' D
U R F B' U2 R' D'
U R F B' U2 R' D2
U R F B' U2 D R'
U R F B' U2 D' R'
U R F B' U2 D2 R'
U R F B' D U2 R'
U R F B' D' U2 R'
U R F B' D2 U2 R'
U' R F' B' L' F2 U2
R2 U' R' F B' U2 R
R2 U' R' B' F U2 R
R' U' R2 F B' U2 R
U' R B' L2 U2 B' R'
R' U' R2 B' F U2 R
U R B F L B2 U2
U' R B' D F U2 R
U' R B' D' F U2 R
U' R B' D2 F U2 R
U' R B' F L U2 R
U' R B' F L' U2 R
U' R B' F L2 U2 R
U' R B' F U2 R D
U' R B' F U2 R D'
U' R B' F U2 R D2
U' R B' F U2 D R
U' R B' F U2 D' R
U' R B' F U2 D2 R
U' R B' F D U2 R
U' R B' F D' U2 R
U' R B' F D2 U2 R
U' R B' F' L' F2 U2
U2 R B' D L2 U2 B'
U2 R B' D F L2 U2
U R B' L2 U2 R' B'
U2 R B' D' F U2 R2
U2 R B' F U B2 U
U2 R B' F U2 D' R2
U2 R B' F D L2 U2
U2 R B' F D' U2 R2
U R B' D F U2 R'
U R B' D' F U2 R'
U R B' D2 F U2 R'
U R B' F L U2 R'
U R B' F L' U2 R'
U R B' F L2 U2 R'
U R B' F U2 R' D
U R B' F U2 R' D'
U R B' F U2 R' D2
U R B' F U2 D R'
U R B' F U2 D' R'
U R B' F U2 D2 R'
U R B' F D U2 R'
U R B' F D' U2 R'
U R B' F D2 U2 R'
R' U' D2 L2 F R B'
R' U' D2 L2 F B' R
R' U' D2 L2 B' F R
R' U' F B' R2 U2 R'
R2 U' F R' B' U2 R2
R' U' B' R2 F U2 R
R' U' B' F R2 U2 R'
U' R' D2 L2 F R B'
U' R' D2 L2 F B' R
U' R' D2 L2 B' F R
U R' D2 L2 F B' R'
U R' D2 L2 B' R' F
U R' D2 L2 B' F R'
U' R' F B' R2 U2 R'
U R' F R2 B' U2 R'
U R' F B' R2 U2 R
U' R' B' R2 F U2 R
U' R' B' F R2 U2 R'
U R' B' F R2 U2 R
U' R2 F R' B' U2 R2
U R2 F R' B' U2 R'
D' U R F B' U2 R'
D2 U R F B' U2 R'
U' D R F B' U2 R
D' U R B' F U2 R'
D2 U R B' F U2 R'
U' D R B' F U2 R
D U R F B' U2 R'
D U R B' F U2 R'
U D R F B' U2 R'
U D R B' F U2 R'
D' U B' R F U2 R2
