F2 L' R2 U L' R'
F2 L' R2 U R' L'
D' R B2 U' F2 R
F2 R2 L' U L' R'
F2 R2 L' U R' L'
R F2 L' U' L' R
R F2 L' U' R L'
D' B2 R U' F2 R
L' R U2 R U L' R'
L' R U2 R U R' L'
L R D F2 L' U' L2
R L D F2 L' U' L2
F2 L D' L R F2 B2
F2 L D' L R B2 F2
F2 L D' L B2 R F2
F2 L D' R L F2 B2
F2 L D' R L B2 F2
F2 L D' R F2 L B2
R2 L' U2 R' U' L' R
R2 L' U2 R' U' R L'
R L' U2 R U L' R'
R L' U2 R U R' L'
D2 L' R2 U' L' R' U'
D2 L' R2 U' R' L' U'
F2 L' R2 U L' R' D
F2 L' R2 U L' R' D'
F2 L' R2 U L' R' D2
F2 L' R2 U L' D R'
F2 L' R2 U L' D' R'
F2 L' R2 U L' D2 R'
F2 L' R2 U R' L' D
F2 L' R2 U R' L' D'
F2 L' R2 U R' L' D2
F2 L' R2 U R' D L'
F2 L' R2 U R' D' L'
F2 L' R2 U R' D2 L'
F2 L' R2 U D L' R'
F2 L' R2 U D R' L'
F2 L' R2 U D' L' R'
F2 L' R2 U D' R' L'
F2 L' R2 U D2 L' R'
F2 L' R2 U D2 R' L'
F2 L' R2 D U L' R'
F2 L' R2 D U R' L'
F2 L' R2 D' U L' R'
F2 L' R2 D' U R' L'
F2 L' R2 D2 U L' R'
F2 L' R2 D2 U R' L'
F2 L' U L' D' R F2
F2 L' U D' L' R F2
F2 L' U D' R L' F2
D' L' U' R B2 U' F2
D' L' U' B2 R U' F2
F2 L' D' U L' R F2
F2 L' D' U R L' F2
L' R2 U2 R' U' L' R
L' R2 U2 R' U' R L'
F2 L' B R2 U L' R'
F2 L' B R2 U R' L'
F2 L' B' R2 U L' R'
F2 L' B' R2 U R' L'
F2 L' B2 R2 U L' R'
F2 L' B2 R2 U R' L'
D L' B2 U F2 L' U
D2 L2 R U L R U2
D2 L2 R U R L U2
F2 L2 R U' L R U
F2 L2 R U' R L U
D' L2 R B2 U' R' F2
D' L2 R B2 U' F2 R'
F2 L2 U' L R2 U R'
F2 L2 U' R2 L U R'
D2 L2 D R B2 U' R'
L2 R2 B2 L U L' R'
L2 R2 B2 L U R' L'
R2 L2 B2 L U L' R'
R2 L2 B2 L U R' L'
D2 L2 D B2 R U' R2
R U L' U R U L'
R2 U L2 R D B2 R'
R2 U R L2 D B2 R'
L' U R2 U2 R' U' L'
D' L2 B2 R U' R2 F2
D' L2 B2 R U' F2 R2
D2 R L2 U L R U2
D2 R L2 U R L U2
F2 R L2 U' L R U
F2 R L2 U' R L U
D' R L2 B2 U' R' F2
D' R L2 B2 U' F2 R'
F2 R U' L' R U L'
D2 R U' D F2 L' R
D2 R U' D F2 R L'
F2 R U' R L' U L'
D' R U' F2 R D L2
D' R U' F2 D L2 R
D' R U' F2 D R L2
D2 R D U' F2 L' R
D2 R D U' F2 R L'
R2 U' L' U' R' U' L'
D R D2 B2 U' F2 R
L' U' R U2 R U L'
D' R F' B2 U' F' R
B' R F2 L' U' L' R
B' R F2 L' U' R L'
D2 R F2 L2 U' L R
D2 R F2 L2 U' R L
U' R F2 L' U' L' R
U' R F2 L' U' R L'
B2 R F2 L' U' L' R
B2 R F2 L' U' R L'
U2 R F2 L' U' L' R
U2 R F2 L' U' R L'
B R F2 L' U' L' R
B R F2 L' U' R L'
U R F2 L' U' L' R
U R F2 L' U' R L'
L2 U' R2 B2 L U R'
D' R B2 U L' U2 F2
D' R B2 U' R F2 R
D' R B2 U' R' F2 R
D' R B2 U' R2 F2 R
D' R B2 U' F2 R D
D' R B2 U' F2 R D'
D' R B2 U' F2 R D2
D' R B2 U' F2 D R
D' R B2 U' F2 D' R
D' R B2 U' F2 D2 R
L' U' D' R U' L' F2
D' R B2 F' U' F' R
L' U' D2 L2 R U' L
L' U' D2 R L2 U' L
D2 R' D F2 B2 L R
D2 R' D F2 B2 R L
D2 R' D B2 F2 L R
D2 R' D B2 F2 R L
D' R' F2 D L2 R B2
D' R' F2 D L2 B2 R
D' R' F2 D R L2 B2
D' R' F2 D R B2 L2
D' R' F2 D B2 L2 R
D' R' F2 D B2 R L2
R U2 R U' L' U2 L'
R U2 R D F2 U R
R U2 R F2 U L2 R
R U2 R F2 U R L2
R2 U2 R' U L' U2 L'
R2 U2 R' F2 U' L2 R
R2 U2 R' F2 U' R L2
R2 U2 R' F2 U' R L2
D' R' B2 R2 U' F2 R
R U2 D R F2 U R
D2 R2 L' U' L' R' U'
D2 R2 L' U' R' L' U'
F2 R2 L' U L' R' D
F2 R2 L' U L' R' D'
F2 R2 L' U L' R' D2
F2 R2 L' U L' D R'
F2 R2 L' U L' D' R'
F2 R2 L' U L' D2 R'
F2 R2 L' U R' L' D
F2 R2 L' U R' L' D'
F2 R2 L' U R' L' D2
F2 R2 L' U R' D L'
F2 R2 L' U R' D' L'
F2 R2 L' U R' D2 L'
F2 R2 L' U D L' R'
F2 R2 L' U D R' L'
F2 R2 L' U D' L' R'
F2 R2 L' U D' R' L'
F2 R2 L' U D2 L' R'
F2 R2 L' U D2 R' L'
F2 R2 L' D U L' R'
F2 R2 L' D U R' L'
F2 R2 L' D' U L' R'
F2 R2 L' D' U R' L'
F2 R2 L' D2 U L' R'
F2 R2 L' D2 U R' L'
R2 U2 F2 R' U' L2 R2
R2 U2 F2 R' U' R2 L2
F2 R2 D L' F2 U R'
F R2 F L' U L' R
F R2 F L' U R L'
F' R2 F' L' U L' R
F' R2 F' L' U R L'
D' R2 F2 R D L2 B2
D' R2 F2 R D B2 L2
R' D R' F2 U R B2
R' D R' F2 U B2 R
F2 U L' R2 U L' R'
F2 U L' R2 U R' L'
R D U2 R F2 U R
R' D F2 R' U R2 B2
R' D F2 R' U B2 R2
D' U R B2 U' F2 R
R2 D F2 U R D B2
R2 D F2 U2 R' U' R2
R2 D F2 B U R B
R2 D F2 B2 L U R
F2 U R2 L' U L' R'
