B L D R2 F2 B2
B L D R2 B2 F2
B L D F2 R2 B2
B L D F2 B2 R2
B L D B2 R2 F2
B L D B2 F2 R2
B' L' R2 F2 U' L'
U' L' R2 F2 B' U'
U' L' R2 B' F2 U'
B L' R2 F2 U' L2
R2 L' F2 B U' L
R2 L' B F2 U' L
U' L' F2 R2 B' U'
U' L' F2 B' R2 U'
B L' F2 R2 U' L2
U' L' B' R2 F2 U'
U' L' B' F2 R2 U'
L' R2 F2 B U' L
L' R2 B F2 U' L
B' R2 L' F2 U' L'
U' R2 L' F2 B' U'
U' R2 L' B' F2 U'
B R2 L' F2 U' L2
F2 R2 B U' L F
L' F2 R2 B U' L
L' F2 B R2 U' L
R2 B L' F2 U' L2
L' B R2 F2 U' L
L' B F2 R2 U' L
L' B' R2 F2 U' L'
B' L R2 F2 L2 U' L
B L R2 F2 L2 U' L2
F2 L R2 B U' L F
B L U L2 R2 F2 U'
B L U L2 F2 R2 U'
B L U R2 L2 F2 U'
B L U R2 F2 L2 U'
B L U F2 L2 R2 U'
B L U F2 R2 L2 U'
B' L D R2 F2 L' B2
B' L D R2 F2 B2 L'
B' L D R2 B2 F2 L'
B L D R B2 R F2
B L D R' F2 R' B2
B L D R2 F2 B2 D
B L D R2 F2 B2 D'
B L D R2 F2 B2 D2
B L D R2 B2 F2 D
B L D R2 B2 F2 D'
B L D R2 B2 F2 D2
B' L D F2 B2 L R2
B' L D F2 B2 R2 L
B L D F R2 F B2
B L D F R2 B2 F
B L D F B2 R2 F
B L D F2 R B2 R
B' L D B2 L R2 F2
B' L D B2 L F2 R2
B L D F2 R2 B2 D
B L D F2 R2 B2 D'
B L D F2 R2 B2 D2
B' L D B2 R2 L F2
B' L D B2 R2 F2 L
B L D F2 B' R2 B'
B L D F2 B2 R2 D
B L D F2 B2 R2 D'
B L D F2 B2 R2 D2
B' L D B2 F2 L R2
B' L D B2 F2 R2 L
B L D B' R2 F2 B'
B L D B' R2 B' F2
B L D B' F2 R2 B'
B L D B2 R' F2 R'
B L D B2 R2 F2 D
B L D B2 R2 F2 D'
B L D B2 R2 F2 D2
B L D B2 F R2 F
B L D B2 F2 R2 D
B L D B2 F2 R2 D'
B L D B2 F2 R2 D2
R2 L F2 L2 B U' L
R2 L F2 B L2 U' L'
L' R B R F2 U' L
R2 L B F2 L2 U' L'
U' L F2 L2 R2 B U'
B L F2 L2 R2 U' L2
U' L F2 R2 L2 B U'
U' L F2 R2 B L2 U'
B L F2 R2 L2 U' L2
B L B D R2 F2 B2
B L B D R2 B2 F2
B L B D F2 R2 B2
B L B D F2 B2 R2
B L B D B2 R2 F2
B L B D B2 F2 R2
B L B' D R2 F2 B2
B L B' D R2 B2 F2
B L B' D F2 R2 B2
B L B' D F2 B2 R2
B L B' D B2 R2 F2
B L B' D B2 F2 R2
B L B2 D R2 F2 B2
B L B2 D R2 B2 F2
B L B2 D F2 R2 B2
B L B2 D F2 B2 R2
B L B2 D B2 R2 F2
B L B2 D B2 F2 R2
U' L' R B' R F2 U'
U L' R B R F2 U'
R2 L' D B U' L R2
R2 L' D B U' R2 L
U' L' R' F2 R' B' U'
B L' R' F2 R' U' L2
U' L' R2 D B' U' R2
B L' R2 U' L2 D R2
B' L' R2 F2 U' L' D
B' L' R2 F2 U' L' D'
B' L' R2 F2 U' L' D2
B' L' R2 F2 U' D L'
B' L' R2 F2 U' D' L'
B' L' R2 F2 U' D2 L'
B' L' R2 F2 D U' L'
B' L' R2 F2 D' U' L'
B' L' R2 F2 D2 U' L'
B' L' R2 F2 B U' L'
B' L' R2 F2 B' U' L'
B' L' R2 F2 B2 U' L'
U' L' R2 F2 D B' U'
U' L' R2 F2 D' B' U'
U' L' R2 F2 D2 B' U'
U' L' R2 F2 B' U' D
U' L' R2 F2 B' U' D'
U' L' R2 F2 B' U' D2
U' L' R2 F2 B' D U'
U' L' R2 F2 B' D' U'
U' L' R2 F2 B' D2 U'
B' L' R2 B F2 U' L'
F2 L' R2 B U' L F
B2 L' R2 F2 B' U' L
U' L' R2 B' U' D R2
B' L' R2 B' F2 U' L'
U' L' R2 B' D U' R2
U' L' R2 B' F2 U' D
U' L' R2 B' F2 U' D'
U' L' R2 B' F2 U' D2
U' L' R2 B' F2 D U'
U' L' R2 B' F2 D' U'
U' L' R2 B' F2 D2 U'
B L' R2 F2 U' L2 D
B L' R2 F2 U' L2 D'
B L' R2 F2 U' L2 D2
B' L' R2 B2 F2 U' L'
B L' R2 F2 D' B2 U'
B L' R2 F2 B U' L2
B L' R2 F2 B' U' L2
B L' R2 F2 B2 U' L2
B2 L' R2 B' F2 U' L
B L' R2 B F2 U' L2
B L' R2 B' F2 U' L2
B L' R2 B2 F2 U' L2
B L' U' L2 D R2 B2
B L' U' L2 D B2 R2
B' L' U' D B2 L R2
B' L' U' D B2 R2 L
R' L' F2 R' B U' L
L' R' F2 R' B U' L
B' L' D U' B2 L R2
B' L' D U' B2 R2 L
R2 L' F2 U2 F' U L'
R2 L' F2 D B U' L
R2 L' F2 D' B U' L
R2 L' F2 D2 B U' L
U' L' D B' U' R2 B'
U' L' D B' U' B' R2
R2 L' F2 B U' L D
R2 L' F2 B U' L D'
R2 L' F2 B U' L D2
R2 L' F2 B U' D L
R2 L' F2 B U' D' L
R2 L' F2 B U' D2 L
R2 L' F2 B D U' L
R2 L' F2 B D' U' L
R2 L' F2 B D2 U' L
R2 L' F2 B' U R' U2
R L' B R F2 U' L
R2 L' B U' L D R2
R2 L' B U' D L R2
R2 L' B U' D R2 L
R2 L' B D U' L R2
R2 L' B D U' R2 L
R2 L' B F2 U' L D
R2 L' B F2 U' L D'
R2 L' B F2 U' L D2
R2 L' B F2 U' D L
R2 L' B F2 U' D' L
R2 L' B F2 U' D2 L
R2 L' B F2 D U' L
R2 L' B F2 D' U' L
R2 L' B F2 D2 U' L
R2 L' B' F2 U R' U2
U' L' F R2 F B' U'
U' L' F R2 B' F U'
B L' F R2 F U' L2
U' L' F B' R2 F U'
U' L' F2 R B' R U'
B' L' F2 R2 U R U2
U' L' F2 R2 D B' U'
U' L' F2 R2 D' B' U'
U' L' F2 R2 D2 B' U'
U' L' F2 R2 B' U' D
U' L' F2 R2 B' U' D'
U' L' F2 R2 B' U' D2
U' L' F2 R2 B' D U'
U' L' F2 R2 B' D' U'
U' L' F2 R2 B' D2 U'
B' L' F2 U' D B2 L
B2 L' F2 R2 B' U' L
B L' F2 R2 U' L2 D
B L' F2 R2 U' L2 D'
B L' F2 R2 U' L2 D2
B L' F2 R2 D' B2 U'
B' L' F2 D U' B2 L
B L' F2 R2 B U' L2
B L' F2 R2 B' U' L2
B L' F2 R2 B2 U' L2
U' L' F2 D B' U' B'
U L' F2 R B R U'
B L' F2 U' L2 D B2
U' L' F2 B R2 B2 U'
U' L' F2 B' R2 U' D
U' L' F2 B' R2 U' D'
U' L' F2 B' R2 U' D2
U' L' F2 B' R2 D U'
U' L' F2 B' R2 D' U'
U' L' F2 B' R2 D2 U'
B' L' F2 B2 R2 U' L
U' L' F2 B' U' D B2
U' L' F2 B' D U' B2
B2 L' F2 B' R2 U' L
B L' F2 B R2 U' L2
B L' F2 B' R2 U' L2
B L' F2 B2 R2 U' L2
U' L' B R2 F2 B2 U'
U' L' B R2 B2 F2 U'
B2 L' B R2 F2 U' L'
B L' B R2 F2 U' L2
D L' B U' L B R2
U' L' B F2 R2 B2 U'
B L' B F2 R2 U' L2
U' L' B' R' F2 R' U'
U' L' B' R2 U' D R2
U' L' B' R2 D U' R2
U' L' B' R2 F2 U' D
U' L' B' R2 F2 U' D'
U' L' B' R2 F2 U' D2
U' L' B' R2 F2 D U'
U' L' B' R2 F2 D' U'
U' L' B' R2 F2 D2 U'
B2 L' B' R2 F2 U' L
U' L' B' U' D R2 B2
U' L' B' U' D B2 R2
L' R2 D B U' L R2
L' R2 D B U' R2 L
B L' B' R2 F2 U' L2
U' L' B' D U' R2 B2
U' L' B' D U' B2 R2
U' L' B' F R2 F U'
U' L' B' F2 R2 U' D
U' L' B' F2 R2 U' D'
U' L' B' F2 R2 U' D2
U' L' B' F2 R2 D U'
U' L' B' F2 R2 D' U'
U' L' B' F2 R2 D2 U'
U' L' B' F2 U' D B2
U' L' B' F2 D U' B2
B2 L' B' F2 R2 U' L
B L' B' F2 R2 U' L2
B' L' B2 R2 F2 U' L
B L' B2 R2 F2 U' L2
B' L' B2 F2 R2 U' L
B L' B2 F2 R2 U' L2
B' L2 R2 F2 L U' L2
U' L2 R2 F2 L B' U'
F2 L2 R2 B U' L F
L2 R2 F2 L B U' L
R2 L2 F2 L B U' L
L' R2 F2 U2 F' U L'
L R2 F2 L2 B U' L
L' R2 F2 D B U' L
L' R2 F2 D' B U' L
L' R2 F2 D2 B U' L
L' R2 F2 B U' L D
L' R2 F2 B U' L D'
L' R2 F2 B U' L D2
L' R2 F2 B U' D L
L' R2 F2 B U' D' L
L' R2 F2 B U' D2 L
L' R2 F2 B D U' L
L' R2 F2 B D' U' L
L' R2 F2 B D2 U' L
L' R2 F2 B' U R' U2
L R2 F2 B L2 U' L'
L' R2 B U' L D R2
L' R2 B U' D L R2
L' R2 B U' D R2 L
L' R2 B D U' L R2
L' R2 B D U' R2 L
L' R2 B F2 U' L D
L' R2 B F2 U' L D'
L' R2 B F2 U' L D2
L' R2 B F2 U' D L
L' R2 B F2 U' D' L
L' R2 B F2 U' D2 L
L' R2 B F2 D U' L
L' R2 B F2 D' U' L
L' R2 B F2 D2 U' L
L R2 B F2 L2 U' L'
L' R2 B' F2 U R' U2
R U L' R F2 B U'
R U L' R B F2 U'
U' L2 F2 L R2 B' U'
U' L2 F2 L B' R2 U'
R U R L' F2 B U'
R U R L' B F2 U'
U' L2 F2 R2 L B' U'
R U R B L' F2 U'
U' R L' B' R F2 U'
U R L' B R F2 U'
R' U' L' R' F2 B' U'
R' U' L' R' B' F2 U'
L2 U' L F2 R2 B U'
R' U' L' F2 R' B' U'
R U' L' R F2 B' U'
R U' L' R B' F2 U'
R2 U' L' F2 B' U' B
R2 U' L' B' F2 U' B
R U' L' B' R F2 U'
R U' R L' F2 B' U'
R U' R L' B' F2 U'
R' U' R' L' F2 B' U'
R' U' R' L' B' F2 U'
U R B L' R F2 U'
U R B R L' F2 U'
U' R' L' F2 R' B' U'
B R' L' F2 R' U' L2
B' R' U' L' R' F2 U'
B' R' U' L' F2 R' U'
B' R' U' R' L' F2 U'
B' R2 L F2 L2 U' L
F2 R2 L B U' L F
U' R2 L' D B' U' R2
B R2 L F2 L2 U' L2
B' R2 L' F2 U' L' D
B' R2 L' F2 U' L' D'
B' R2 L' F2 U' L' D2
B' R2 L' F2 U' D L'
B' R2 L' F2 U' D' L'
B' R2 L' F2 U' D2 L'
U' R2 L' F2 D B' U'
B' R2 L' F2 D U' L'
U' R2 L' F2 D' B' U'
B' R2 L' F2 D' U' L'
U' R2 L' F2 D2 B' U'
B' R2 L' F2 D2 U' L'
U' R2 L' F2 B' U' D
U' R2 L' F2 B' U' D'
U' R2 L' F2 B' U' D2
U' R2 L' F2 B' D U'
B' R2 L' F2 B U' L'
U' R2 L' F2 B' D' U'
U' R2 L' F2 B' D2 U'
B' R2 L' F2 B' U' L'
B' R2 L' F2 B2 U' L'
B' R2 L' B F2 U' L'
B R2 L' U' L2 D R2
U' R2 L' B' U' D R2
U' R2 L' B' D U' R2
B' R2 L' B' F2 U' L'
U' R2 L' B' F2 U' D
U' R2 L' B' F2 U' D'
U' R2 L' B' F2 U' D2
U' R2 L' B' F2 D U'
U' R2 L' B' F2 D' U'
U' R2 L' B' F2 D2 U'
B' R2 L' B2 F2 U' L'
B2 R2 L' F2 B' U' L
F2 R2 L' B U' L F
B2 R2 L' B' F2 U' L
B R2 L' F2 U' L2 D
B R2 L' F2 U' L2 D'
B R2 L' F2 U' L2 D2
B R2 L' F2 D' B2 U'
B R2 L' F2 B U' L2
B R2 L' F2 B' U' L2
B R2 L' F2 B2 U' L2
B R2 L' B F2 U' L2
B' R2 L2 F2 L U' L2
U' R2 L2 F2 L B' U'
B R2 L' B' F2 U' L2
B R2 L' B2 F2 U' L2
F2 R2 L2 B U' L F
B R2 U' L D R2 F2
B R2 U' L D F2 R2
F2 R2 U2 R' F' U L'
F2 R2 U2 F' R' U L'
U' R2 D L' B' U' R2
B R2 D L' U' L2 R2
B R2 D L' U' R2 L2
F2 R2 D B U' L F
F2 R2 D' B U' L F
F2 R2 D2 B U' L F
R2 D L' B U' L R2
R2 D L' B U' R2 L
B' R2 F2 U2 R U L'
U' R2 B L' F2 B' U'
U' R2 B L' B' F2 U'
B' R2 B L' F2 U' L'
B R2 F2 U2 R U L
U R2 F2 U2 R F' U
D R2 B L D F2 B
D R2 B L D B F2
F2 R2 B U' L D F
F2 R2 B U' L D' F
F2 R2 B U' L D2 F
F2 R2 B U' L F D
F2 R2 B U' L F D'
F2 R2 B U' L F D2
D R2 B L B D F2
F2 R2 B U' D L F
F2 R2 B U' D' L F
F2 R2 B U' D2 L F
F2 R2 B U' F L F
F2 R2 B U' F' L F
F2 R2 B U' F2 L F
F2 R2 B D U' L F
F2 R2 B D' U' L F
U' R2 B' L' F2 B' U'
U' R2 B' L' B' F2 U'
F2 R2 B D2 U' L F
B' R2 B' L' F2 U' L'
B2 R2 B' L' F2 U' L2
U' R2 B2 L' F2 B' U'
U' R2 B2 L' B' F2 U'
B' R2 B2 L' F2 U' L'
F2 R2 B2 L B' U' L
L D R2 F2 B L B
L D R2 B L F2 B
L D R2 B L B F2
L D R2 B F2 L B
F2 R2 B2 D L B' U'
B' U L' R2 F2 U' L'
B U L D R2 F2 B2
B U L D R2 B2 F2
B U L D F2 R2 B2
B U L D F2 B2 R2
B U L D B2 R2 F2
B U L D B2 F2 R2
U' D L' B' U' R2 B'
U' D L' B' U' B' R2
B U L' R2 F2 U' L2
B U L' F2 R2 U' L2
D2 U L2 B2 R' F' U
L' D B U' L B R2
L D F2 R2 B L B
R2 D B L' U' L2 R2
R2 D B L' U' R2 L2
B' U R2 L' F2 U' L'
L D F2 B L B R2
L D B L F2 B R2
L D B L B R2 F2
L D B L B F2 R2
B U R2 L' F2 U' L2
L D B F2 L B R2
L D B' R2 F2 B' L'
L D B' R2 B' F2 L'
D U' L' B' U' R2 B'
D U' L' B' U' B' R2
B' U' L' R2 F2 U' L'
B U' L D R2 F2 B2
B U' L D R2 B2 F2
B U' L D F2 R2 B2
B U' L D F2 B2 R2
B U' L D B2 R2 F2
B U' L D B2 F2 R2
B U' L' R2 F2 U' L2
B U' L' F2 R2 U' L2
B' U' R2 L' F2 U' L'
B U' R2 L' F2 U' L2
U D2 L2 B2 R' F' U
B' U2 L' R2 F2 U' L'
B U2 L D R2 F2 B2
B U2 L D R2 B2 F2
B U2 L D F2 R2 B2
B U2 L D F2 B2 R2
B U2 L D B2 R2 F2
B U2 L D B2 F2 R2
B U2 L' R2 F2 U' L2
B U2 L' F2 R2 U' L2
F2 U2 R F' U L' B'
B' U2 R2 L' F2 U' L'
B U2 R2 L' F2 U' L2
L' F R2 F B U' L
L' F R2 B F U' L
B' D L' U' B2 L R2
B' D L' U' B2 R2 L
B D L R2 B2 D F2
B D L B2 R2 D F2
B D L' U' L2 R2 B2
B D L' U' L2 B2 R2
B D L' U' R2 L2 B2
B D L' U' R2 B2 L2
B D L' U' B2 L2 R2
B D L' U' B2 R2 L2
L' F B R2 F U' L
B D R2 L B2 D F2
B' D B2 L R2 D F2
B' D B2 R2 L D F2
L2 F2 L R2 B U' L
L2 F2 L B R2 U' L
L' F2 R B R U' L
L F2 L2 R2 B U' L
L F2 L2 B R2 U' L
U' F2 R2 U2 R' F' U
L' F2 R2 U2 F' U L'
L' F2 R2 D B U' L
L' F2 R2 D' B U' L
L' F2 R2 D2 B U' L
L2 F2 R2 L B U' L
L' F2 R2 B U' L D
L' F2 R2 B U' L D'
L' F2 R2 B U' L D2
L' F2 R2 B U' D L
L' F2 R2 B U' D' L
L' F2 R2 B U' D2 L
L' F2 R2 B D U' L
L' F2 R2 B D' U' L
L' F2 R2 B D2 U' L
L' F2 R2 B' U R' U2
L F2 R2 L2 B U' L
L F2 R2 B L2 U' L'
R2 F2 U2 R F' U L'
L' F2 D B U' L B
B' D2 L2 B2 R' U L
B D2 L2 B2 R' U L'
L' F2 B R2 U' L D
L' F2 B R2 U' L D'
L' F2 B R2 U' L D2
L' F2 B R2 U' D L
L' F2 B R2 U' D' L
L' F2 B R2 U' D2 L
L' F2 B R2 D U' L
L' F2 B R2 D' U' L
L' F2 B R2 D2 U' L
L' F2 B U' L D B2
L' F2 B U' D L B2
L' F2 B D U' L B2
L' F2 B' R2 U R U2
L' F2 B' U' D B2 L
L' F2 B' D U' B2 L
R2 F2 B U2 R U L
L F2 B L2 R2 U' L'
L' F2 B2 R2 B' U' L
L F2 B R2 L2 U' L'
U' B L' R2 F2 B' U'
U' B L' R2 B' F2 U'
U' B L' F2 R2 B' U'
U' B L' F2 B' R2 U'
U' B L' B' R2 F2 U'
U' B L' B' F2 R2 U'
R2 B L F2 L2 U' L2
D B L B R2 D F2
R2 B L' U' L2 D R2
D B L' U' L2 B R2
D B L' U' B L2 R2
D B L' U' B R2 L2
