L' U' R' B' L U'
L' R U' R2 B' L U'
L' R U' B' L R2 U'
L' R U' B' R2 L U'
R2 L' U' R B' L U'
R L' U' R2 B' L U'
R' L' U' B' L U' B
L' R' U' B' L U' B
R2 L' U' B' L R U'
R2 L' U' B' R L U'
R L' U' B' L R2 U'
R L' U' B' R2 L U'
F2 L' R' B' L U' R2
D L' U' R' B' U' F
R' L' B' L U L' U2
R' L' B' L F2 U' R
L' R' B' L U L' U2
L' R' B' L F2 U' R
L2 R' B' L B' U' R'
L' R2 U' R B' L U'
L' R2 U' B' L R U'
L' R2 U' B' R L U'
R' L2 B' L B' U' R'
L' U' R B' L R2 U'
L' U' R B' R2 L U'
L' U' R' B' L U' D
L' U' R' B' L U' D'
L' U' R' B' L U' D2
L' U' R' B' L D U'
L' U' R' B' L D' U'
L' U' R' B' L D2 U'
L' U' R' B' D L U'
L' U' R' B' D' L U'
L' U' R' B' D2 L U'
L' U' R2 B' L R U'
L' U' R2 B' R L U'
F2 R' L' B' L U' R2
D' R' U L' B U2 L
D' R' U B L' U2 L2
L' U' B' D L U' B'
B R' F2 U R B L
L' U2 R' B' L U' R
R' D' F2 U' R F' L'
L' F U' R' B' L U'
L' F' U' R' B' L U'
F2 D' R' U' R2 F' L'
R' F2 L' B' L U' R
D' F2 R' U' R2 F' L'
R' F2 U' D' R F' L'
L' F2 U' R' B' L U'
R' F2 D' U' R F' L'
