R' U' B2 L F
R' L U' B2 L F
B L U R2 F' U2
B L U' D2 L2 B
B L U' D2 B L2
B L U' B D2 L2
B L D B2 U' B'
U' L D2 F L2 B'
B L D2 U' L2 B
B L D2 U' B L2
U' L F B2 D2 L2
R' L' U' B2 L F
L' R' U' B2 L F
L R' U' B2 L F
L2 R' U' B2 L F
U' L B2 D2 F L2
U' L B2 F D2 L2
R' L2 U' B2 L F
R' U R' U2 F' B2
R' U R' U2 B2 F'
R U R B U2 B
R' U' L F B2 L
R' U' L B2 F L
R' U' F B2 L F
R' U' F' B2 L F
R' U' F2 B2 L F
U2 R' U B2 L F
R' U' B2 L D F
R' U' B2 L D' F
R' U' B2 L D2 F
R' U' B2 L F D
R' U' B2 L F D'
R' U' B2 L F D2
R' U' B2 D L F
R' U' B2 D' L F
R' U' B2 D2 L F
R' U' B2 F L F
U R' U2 F' B2 L
R' U' B2 F' L F
R' U' B2 F2 L F
U R' U2 B2 L F'
U R' U2 B2 F' L
U' R' B2 L R F
U' R' B2 R L F
B D L B2 U' B'
B' D B2 L U' B
B D2 L U' L B
U' B2 L D2 F L2
U' B2 L F D2 L2
U' B2 L' D2 L2 F
U' B2 D2 L F L
L' R U R B U2 B
B L R U R F' U2
R' L U R' U2 F' B2
R' L U R' U2 B2 F'
L2 R U R B U2 B
L R U R B U2 B
R L U R B U2 B
U2 L R' U B2 L F
R' L U' L F B2 L
R' L U' L B2 F L
R' L U' F B2 L F
U' L R' B2 R F L
R' L U' F' B2 L F
R' L U' F2 B2 L F
U' L R2 U2 R2 F B2
U' L R2 U2 R2 B2 F
U' L R2 U2 F R2 B2
U' L R2 U2 F B2 R2
U' L R2 U2 B2 R2 F
U' L R2 U2 B2 F R2
R' L U' B2 L D F
R' L U' B2 L D' F
R' L U' B2 L D2 F
R' L U' B2 L F D
R' L U' B2 L F D'
R' L U' B2 L F D2
R' L U' B2 D L F
R' L U' B2 D' L F
R' L U' B2 D2 L F
R' L U' B2 F L F
R' L U' B2 F' L F
R' L U' B2 F2 L F
B L U R2 D F' U2
B L U R2 D' F' U2
B L U R2 D2 F' U2
B L U R2 F' U2 D
B L U R2 F' U2 D'
B L U R2 F' U2 D2
B L U R2 F' D U2
B L U R2 F' D' U2
B L U R2 F' D2 U2
B L U F R2 F' U2
D2 L U F2 U2 L F
B L U F' R2 F' U2
B L U F2 R2 F' U2
D2 L U' L D2 F B2
D2 L U' L D2 B2 F
B L U' L D2 L2 B
B L U' L D2 B L2
B L U' L B D2 L2
B L U' L' D2 L2 B
B L U' L' D2 B L2
B L U' L' B D2 L2
B L U' L2 D2 L2 B
B L U' L2 D2 B L2
B L U' L2 B D2 L2
D2 L U' D2 L F B2
D2 L U' D2 L B2 F
B L U' D' B D' L2
B L U' D2 L' B L'
B L U' D2 L2 D B
B L U' D2 L2 D' B
B L U' D2 L2 D2 B
B L U' D2 L2 B D
B L U' D2 L2 B D'
B L U' D2 L2 B D2
B L U' D2 B L2 D
B L U' D2 B L2 D'
B L U' D2 B L2 D2
B L U' D2 B' L2 B2
B L U' B L D2 L2
B L U' B L' D2 L2
B L U' B L2 D2 L2
B L U' B U2 R2 U2
B L U' B D2 L2 D
B L U' B D2 L2 D'
B L U' B D2 L2 D2
B L U' B2 D2 B' L2
U' L U2 R2 U2 F B2
U' L U2 R2 U2 B2 F
B L U2 D' F2 U B
D2 L D R2 U' L F
B L D B2 R U' B'
B L D B2 R' U' B'
B L D B2 R2 U' B'
B L D B2 U' D B'
B L D B2 U' D' B'
B L D B2 U' D2 B'
B L D B2 U' B' D
B L D B2 U' B' D'
B L D B2 U' B' D2
B L D B2 D U' B'
B L D B2 D' U' B'
B L D B2 D2 U' B'
B L D' U' B D' L2
B L D' U2 F2 U B
D2 L D2 U' L F B2
D2 L D2 U' L B2 F
U' L D2 F L2 D B'
U' L D2 F L2 D' B'
U' L D2 F L2 D2 B'
U' L D2 F L2 B' D
U' L D2 F L2 B' D'
U' L D2 F L2 B' D2
B L D2 U' L' B L'
B L D2 U' L2 D B
B L D2 U' L2 D' B
B L D2 U' L2 D2 B
B L D2 U' L2 B D
B L D2 U' L2 B D'
B L D2 U' L2 B D2
U' L D2 F B L2 B'
B L D2 U' B L2 D
B L D2 U' B L2 D'
B L D2 U' B L2 D2
U' L D2 F B' L2 B'
U' L D2 F B2 L2 B'
B L D2 U' B' L2 B2
U' L D2 B F L2 B'
U' L D2 B' F L2 B'
U' L D2 B2 F L2 B'
B L D2 B' U' L2 B2
B L D2 B' U' B2 L2
U' L F L B2 D2 L2
B L D2 B2 U' B' L2
U' L F L' B2 D2 L2
U' L F L2 B2 D2 L2
U' L F R' B2 L R
U' L F R' B2 R L
U' L F U2 R2 U2 B2
U' L F D2 L2 D2 B2
U' L F B D2 L2 B
U' L F B D2 B L2
U' L F B' D2 B' L2
U' L F B2 L D2 L2
U' L F B2 L' D2 L2
U' L F B2 L2 D2 L2
U' L F B2 U2 R2 U2
U' L F B2 D2 L2 D
U' L F B2 D2 L2 D'
U' L F B2 D2 L2 D2
U' L F2 B2 D2 L2 F'
U' L F2 B2 D2 F' L2
D L B L B R' U'
R' L' U R' U2 F' B2
R' L' U R' U2 B2 F'
L' R' U R' U2 F' B2
L' R' U R' U2 B2 F'
L R' U R' U2 F' B2
L R' U R' U2 B2 F'
U' L B D2 F L2 B
U' L B D2 F B L2
L2 R' U R' U2 F' B2
L2 R' U R' U2 B2 F'
U' L B D2 B F L2
R L' U R B U2 B
B L B D B2 U' B2
U' L B F D2 L2 B
U' L B F D2 B L2
L' R' U' L F B2 L
R' L' U' L F B2 L
L' R' U' L B2 F L
R' L' U' L B2 F L
B L B' R' U' B2 L
L R' U' L F B2 L
L2 R' U' L F B2 L
L R' U' L B2 F L
L2 R' U' L B2 F L
B L B' U R2 U2 B2
B L B' U' B2 D2 L2
U' L B' D2 F B' L2
U' L B' D2 B' F L2
U' L B' F D2 B' L2
R' L' U' F B2 L F
L' R' U' F B2 L F
R' L' U' F' B2 L F
L' R' U' F' B2 L F
R' L' U' F2 B2 L F
L' R' U' F2 B2 L F
L R' U' F B2 L F
L2 R' U' F B2 L F
U' L B2 L2 D2 L2 F
R' L' U' B2 L D F
R' L' U' B2 L D' F
R' L' U' B2 L D2 F
R' L' U' B2 L F D
R' L' U' B2 L F D'
R' L' U' B2 L F D2
L' R' U' B2 L D F
L' R' U' B2 L D' F
L R' U' F' B2 L F
L' R' U' B2 L D2 F
L' R' U' B2 L F D
L' R' U' B2 L F D'
L' R' U' B2 L F D2
L2 R' U' F' B2 L F
R' L' U' B2 D L F
R' L' U' B2 D' L F
L' R' U' B2 D L F
R' L' U' B2 D2 L F
R' L' U' B2 F L F
L' R' U' B2 D' L F
R' L' U' B2 F' L F
L' R' U' B2 D2 L F
R' L' U' B2 F2 L F
L' R' U' B2 F L F
L' R' U' B2 F' L F
L' R' U' B2 F2 L F
L R' U' F2 B2 L F
L2 R' U' F2 B2 L F
L R' U' B2 L D F
L R' U' B2 L D' F
L R' U' B2 L D2 F
L R' U' B2 L F D
L R' U' B2 L F D'
L R' U' B2 L F D2
L2 R' U' B2 L D F
L2 R' U' B2 L D' F
L2 R' U' B2 L D2 F
L2 R' U' B2 L F D
L2 R' U' B2 L F D'
L2 R' U' B2 L F D2
L R' U' B2 D L F
L R' U' B2 D' L F
L R' U' B2 D2 L F
L R' U' B2 F L F
L R' U' B2 F' L F
L2 R' U' B2 D L F
L R' U' B2 F2 L F
L2 R' U' B2 D' L F
L2 R' U' B2 D2 L F
L2 R' U' B2 F L F
L2 R' U' B2 F' L F
L2 R' U' B2 F2 L F
U' L B2 U2 R2 U2 F
B L B2 U R2 U2 B'
U' L B2 D F D L2
B L B2 U' D2 B' L2
B L B2 U' B' D2 L2
U' L B2 D2 F L2 D
U' L B2 D2 F L2 D'
U' L B2 D2 F L2 D2
U' L B2 D2 F' L2 F2
U' L B2 D2 F2 L2 F'
U' L B2 F L D2 L2
U' L B2 F L' D2 L2
U' L B2 F L2 D2 L2
U' L B2 F U2 R2 U2
B L B2 D B2 U' B
U' L B2 F D2 L2 D
U' L B2 F D2 L2 D'
U' L B2 F D2 L2 D2
B L B2 D2 U' B' L2
U' L B2 F2 D2 L2 F'
U' L B2 F2 D2 F' L2
U2 L' R' U B2 L F
U L' R' F' B2 L R'
U L' R' F' B2 R' L
U' L' R2 U2 B2 R2 F'
U L' R' B2 L F' R'
U L' R' B2 F' L R'
U L' R' B2 F' R' L
U' L' R2 B' U2 R2 B'
U' L' R2 B' U2 B' R2
D2 L' U F2 R B U2
D2 L' U' L F L2 B'
U' L' U2 R2 B' U2 B'
