L' B2 U' F' R' B
D2 L F2 U R F B'
D2 L F2 U R B' F
D2 L F2 U B' R F
F' L' U B2 U' R' B
B2 L' U' F' B2 R' B
B2 L' U' B2 F' R' B
F L' B2 U' R' F2 B
F L' B2 U' R' B F2
F L' B2 U' F2 R' B
F' R D L2 D2 R2 B
D' R D R F' B U2
D' R D R B F' U2
F R U2 F2 D L2 B'
F' R D F' U2 F L2
F2 R D F' U2 L2 F2
F2 R D F' U2 F2 L2
L' U B2 U' F' R' B
F2 R D' R2 U2 F B
F2 R D' R2 U2 B F
F' R D' F' R2 U2 F
F2 R D' F' R2 U2 F2
B R D' F' R B U2
F' R F' U' B2 U' F
F' R F' U2 D F L2
F' R F' U2 F D L2
F' R F' D U2 F L2
F' R F' D' R2 U2 F
F2 R F' U' B2 U' F2
F2 R F' U2 F2 D L2
F R F' U' B2 U' F'
F R F' U2 D L2 F'
F R F' U2 D F' L2
F R F' U2 F' D L2
F R F' D U2 L2 F'
F R F' D U2 F' L2
F R F' D' R2 B U2
F2 R' U' B2 U' F B'
F2 R' U' B2 U' B' F
F' R' U2 D B L2 F
F2 R' U2 D F L2 B
F2 R' U2 D F B L2
F2 R' U2 D B F L2
F R' U' B2 U' F2 B'
F R' U' B2 U' B' F2
F2 R' U2 F D L2 B
F2 R' U2 F D B L2
F' R' D L2 D2 B R2
F' R' D L2 B D2 R2
R' U' B2 R U' F' B'
R' U' B2 R U' B' F'
F R' U2 F2 D L2 B
F' R' D U2 B L2 F
F R' U2 F2 D B L2
F' R' D B L2 D2 R2
F2 R' D U2 F L2 B
F2 R' D U2 F B L2
F2 R' D U2 B F L2
L' U' B2 U' F' R' B
F' R' D' R2 F' U2 F
F2 R' D' R2 F' U2 F2
U' R' B2 R U' F' B'
U' R' B2 R U' B' F'
U2 R' B2 U' R F' B'
U2 R' B2 U' R B' F'
U2 R' B2 U' B' R F'
L' U2 B2 U' F' R' B
D' R2 D2 B U' R' U'
D' R2 F B U L' U
D' R2 F' B U' R U'
D' R2 B F U L' U
B2 R2 B U' B' R' U'
D' R2 B F' U' R U'
B R2 B U F' L' U
D R2 B U' R' U' L2
D2 U L F2 U F B'
D2 U L F2 U B' F
U2 D L D L F' B'
U2 D L D L B' F'
U2 D L D F' L B'
U2 D L F' D L B'
R D F' R B U2 L2
R D F' R' U2 L2 F'
R D F' R' U2 F' L2
R D F' U2 L F L
R2 D B R U2 L2 B
R2 D B R U2 B L2
R2 D B R' F' U2 L2
R2 D B U2 L' B' L'
U2 D F' L D L B'
R D' R B R U2 B
R2 D' R' F' R' U2 F'
R' D' R2 F' U R U
R D' F' R B R U2
R2 D' B R' F' R' U2
F2 U' R' B2 U' F B'
F2 U' R' B2 U' B' F
F U' R' B2 U' F2 B'
F U' R' B2 U' B' F2
D2 U2 L D' F' B' L2
D2 U2 L D' B' L2 F'
D2 U2 L D' B' F' L2
D2 U2 L B' D' L2 F'
D2 U2 L B' D' F' L2
U2 D2 L D' F' B' L2
U2 D2 L D' B' L2 F'
U2 D2 L D' B' F' L2
D2 U2 L' D' L2 F' B'
D2 U2 L' D' L2 B' F'
D U2 L D L F' B'
D U2 L D L B' F'
U2 D2 L B' D' L2 F'
U2 D2 L B' D' F' L2
D U2 L D F' L B'
D U2 L F' D L B'
U2 D2 L' D' L2 F' B'
U2 D2 L' D' L2 B' F'
U D2 L F2 U F B'
U D2 L F2 U B' F
F2 U' B2 R' U' F B
F2 U' B2 R' U' B F
F U' B2 R' U' F2 B
F U' B2 R' U' B F2
D U2 F' L D L B'
B2 U2 R' U B R F'
D' F R2 U L' U F2
L' F B2 U' R' F2 B
L' F B2 U' R' B F2
L' F B2 U' F2 R' B
U2 F' R' D L2 B R
U2 F' R' D B L2 R
U2 F' R' D B R L2
R F' R D B U2 L2
R F' R D' R2 U2 F'
R F' R D' B R2 U2
R F' R B U' B U'
R F' R' U' B2 U' F'
R F' R' U2 D L2 F'
R F' R' U2 D F' L2
R F' R' U2 F' D L2
R F' R' D U2 L2 F'
R F' R' D U2 F' L2
R F' R' D' R2 B U2
U2 F' U R' B2 U' B'
L' F' U B2 U' R' B
U2 F' U B2 R' U' B
U2 F' D L D L B'
R F' U' B L B U'
R F' U2 L D F L2
R F' U2 L F D L2
R F' U2 L' D L2 F
R F' U2 D L F L
R F' D R B U2 L2
R F' D R' U2 L2 F'
R F' D R' U2 F' L2
R F' D U2 L F L
U2 F' D2 L D' B' L2
U2 F' D2 L B' D' L2
U2 F' D2 L' D' L2 B'
R F' D' R B R U2
R F' B U' B L U'
L' F2 B2 U' R' F B
L' F2 B2 U' R' B F
L' F2 B2 U' F R' B
R2 B U' B U2 L U
R2 B U' B' R' B2 U'
R2 B U2 L' B' D L2
R B F' U' B L U'
D B' U L U L F'
D B' U L U F' L
L' B2 L U' F' R' B
L' B2 L' U' F' R' B
L' B2 L2 U' F' R' B
U2 B2 R' U' B R F'
U' B2 U' R' B R F'
U' B2 U' F' R' B R
L' B2 U' F R' F2 B
L' B2 U' F R' B F2
L' B2 U' F' R' D B
L' B2 U' F' R' D' B
L' B2 U' F' R' D2 B
L' B2 U' F' R' B D
L' B2 U' F' R' B D'
L' B2 U' F' R' B D2
L' B2 U' F2 R' F B
L' B2 U' F2 R' B F
U' B2 D2 L U' F' B'
U' B2 D2 L U' B' F'
L' B2 F U' R' F2 B
L' B2 F U' R' B F2
L' B2 F U' F2 R' B
L' B2 F2 U' R' F B
L' B2 F2 U' R' B F
L' B2 F2 U' F R' B
