U B R' U B U
U L B R' U B U
U L B R' U B U
D L B' U L B2 U2
D L B' U B2 U2 R'
D2 L' F U B U2 L'
U L' B R' U B U
D L2 U B U2 L R'
D L2 U B U2 R' L
U L2 B R' U B U
L' U B R' U B U
L2 U B R' U B U
L U B R' U B U
B R' U B U2 R U'
B R' U' R2 F' R' U'
B R' F2 U L' B U
B R' F2 U B L' U
B U R' U B R U
F' U B R' U B U
F2 U B R' U B U
F U B R' U B U
B' U B2 R' U B U
U2 D' R F' U R F'
U2 D' R2 U F' L' R
U2 D' R2 U F' R L'
D' U2 R F' U R F'
D' U2 R2 U F' L' R
D' U2 R2 U F' R L'
B' D L2 B U' L' R'
B' D L2 B U' R' L'
R F' R' U B R' U2
B' D2 L' F U' F L2
U B L R' U B U
U B L' R' U B U
U' B R' U B U B2
U' B R' U2 B' D' R2
U B L2 R' U B U
U2 B R' U B U B'
U B R' L U B U
U B R' L' U B U
U B R' L2 U B U
U B R' U D B U
U B R' U D' B U
U B R' U D2 B U
U B R' U B U D
U B R' U B U D'
U B R' U B U D2
U B R' U B D U
U B R' U B D' U
U B R' U B D2 U
U B R' D U B U
U B R' D' U B U
U B R' D2 U B U
D2 B2 L' F U' L' F
D2 B2 L2 U' F L' R
D2 B2 L2 U' F R L'
U B2 D B' L R' U2
U B2 D B' R' L U2
