U B' L F U2
D L2 U' F R B
F R U B' L U2
R' U B' L F U2
R2 U B' L F U2
R U B' L F U2
L2 U' R F B R'
L2 U' R B R' F
L2 U' R B F R'
U' R B R' D2 F2
U' R B D2 R' F2
U' R B D2 F2 R'
L2 U' F R B R'
U F B' L F U2
U F' B' L F U2
U F2 B' L F U2
U' B R B R2 F'
U' B' L U2 L' B'
U B' L D F U2
U B' L D' F U2
U B' L D2 F U2
U B' L F U2 D
U B' L F U2 D'
U B' L F U2 D2
U B' L F D U2
U B' L F D' U2
U B' L F D2 U2
U B' D L F U2
U B' D' L F U2
U B' D2 L F U2
U B' F L F U2
U B' F' L F U2
U B' F2 L F U2
L2 R U' R F B R'
L2 R U' R B R' F
L2 R U' R B F R'
L2 R U' F R B R'
B' L U' B R U' B
U L D2 F L' B' U2
U L F L' B' L U2
B' L F U' B R U'
U L F B U2 R' F'
U L F B' L U2 F
U2 L B L U R' F
U2 L B L U F R'
U L B F U2 R' F'
L2 R' U' R F B R'
L2 R' U' R B R' F
L2 R' U' R B F R'
U L B' F L U2 F
L2 R' U' F R B R'
D L' D F L' R U'
D L' D F R L' U'
F L' D2 R U' F' R
D L' D2 F R U' F'
D L' F L' R U' F
D L' F R L' U' F
D L' F D2 R U' F'
R' L2 U' R F B R'
R' L2 U' R B R' F
R' L2 U' R B F R'
L2 R2 U' R F B R'
R' L2 U' F R B R'
R2 L2 U' R F B R'
L2 R2 U' R B R' F
L2 R2 U' R B F R'
R2 L2 U' R B R' F
R2 L2 U' R B F R'
R L2 U' R F B R'
R L2 U' R B R' F
R L2 U' R B F R'
L2 R2 U' F R B R'
R2 L2 U' F R B R'
R L2 U' F R B R'
U L' B' L B' U2 B
D L2 R U' F R B
U' L2 R F L2 B R'
U' L2 R F B L2 R'
U' L2 R F B R' L2
U' L2 R B R' F L2
U' L2 R B F L2 R'
U' L2 R B F R' L2
D L2 R' U' F R B
D L2 R2 U' F R B
U2 L2 U R F B R'
U2 L2 U R B R' F
U2 L2 U R B F R'
U2 L2 U F R B R'
D L2 U' R F B R
D L2 U' R B F R
D2 L2 U' F' R F2 B
D2 L2 U' F' R B F2
D L2 U' D F R B
D L2 U' D' F R B
D L2 U' D2 F R B
D L2 U' F R D B
D L2 U' F R D' B
D L2 U' F R D2 B
D L2 U' F R B D
D L2 U' F R B D'
D L2 U' F R B D2
D L2 U' F D R B
D L2 U' F D' R B
D L2 U' F D2 R B
D L2 U' F B R B
D L2 U' F B' R B
D L2 U' F B2 R B
D L2 U' B F R B
D L2 U' B' F R B
D L2 U' B2 F R B
D L2 D U' F R B
F L2 D' R F' U' F2
D L2 D' U' F R B
L' U L F B' L U2
L' U L B' F L U2
D L2 D2 U' F R B
U' L2 F L2 R B R'
D' L2 F R F' U' F
U' L2 F R L2 B R'
U' L2 F R B L2 R'
U' L2 F R B R' L2
L2 U L2 B' L U2 B'
R' U F B' L F U2
U' R L2 F L2 B R'
U' R L2 F B L2 R'
U' R L2 F B R' L2
D R L2 U' F R B
U' R L2 B R' F L2
R2 U F B' L F U2
U' R L2 B F L2 R'
U' R L2 B F R' L2
R U F B' L F U2
R' U F' B' L F U2
R2 U F' B' L F U2
R U F' B' L F U2
R' U F2 B' L F U2
F R U B' L U2 D
F R U B' L U2 D'
F R U B' L U2 D2
F R U B' L D U2
F R U B' L D' U2
F R U B' L D2 U2
F R U B' D L U2
F R U B' D' L U2
F R U B' D2 L U2
R2 U F2 B' L F U2
U2 R U' B' L F U2
R U F2 B' L F U2
R' U B' L D F U2
R' U B' L D' F U2
R' U B' L D2 F U2
R' U B' L F U2 D
R' U B' L F U2 D'
R' U B' L F U2 D2
R' U B' L F D U2
R' U B' L F D' U2
R' U B' L F D2 U2
L' U B' L F B' U2
L' U B' L B' F U2
U' R U2 B' L U2 B2
U' R U2 B' U2 B2 R'
R' U B' D L F U2
R2 U B' L D F U2
R2 U B' L D' F U2
R2 U B' L D2 F U2
R2 U B' L F U2 D
R2 U B' L F U2 D'
R2 U B' L F U2 D2
R2 U B' L F D U2
R2 U B' L F D' U2
R2 U B' L F D2 U2
R' U B' D' L F U2
R' U B' D2 L F U2
R' U B' F L F U2
R' U B' F' L F U2
R U B' L D F U2
R U B' L D' F U2
R U B' L D2 F U2
R U B' L F U2 D
R U B' L F U2 D'
R U B' L F U2 D2
R U B' L F D U2
R U B' L F D' U2
R U B' L F D2 U2
R' U B' F2 L F U2
R2 U B' D L F U2
R2 U B' D' L F U2
R2 U B' D2 L F U2
F R D L2 U' F R
R2 U B' F L F U2
R2 U B' F' L F U2
R U B' D L F U2
R2 U B' F2 L F U2
R U B' D' L F U2
R U B' D2 L F U2
R U B' F L F U2
R U B' F' L F U2
R U B' F2 L F U2
L2 U B2 U2 F R B
U' R F B R' D2 F2
U' R F B D2 R' F2
U' R F B D2 F2 R'
F R F U B' L U2
U' R F' B R' D2 F2
U' R F' B D2 R' F2
U' R F' B D2 F2 R'
R' U' R B R' D2 F2
F R F' U B' L U2
R' U' R B D2 R' F2
R' U' R B D2 F2 R'
L2 U' R F B R' D
L2 U' R F B R' D'
L2 U' R F B R' D2
L2 U' R F B D R'
L2 U' R F B D' R'
L2 U' R F B D2 R'
L2 U' R F' B R' F2
L2 U' R B R F R2
L2 U' R B R' D F
L2 U' R B R' D' F
L2 U' R B R' D2 F
L2 U' R B R' F D
L2 U' R B R' F D'
L2 U' R B R' F D2
L2 U' R B D R' F
L2 U' R B D F R'
L2 U' R B D' R' F
L2 U' R B D' F R'
L2 U' R B D2 R' F
L2 U' R B D2 F R'
L2 U' R B F R' D
L2 U' R B F R' D'
L2 U' R B F R' D2
L2 U' R B F D R'
L2 U' R B F D' R'
L2 U' R B F D2 R'
L2 U' R B F' R' F2
R2 U' R B R' D2 F2
U' R F2 B R' D2 F2
R2 U' R B D2 R' F2
R2 U' R B D2 F2 R'
U' R F2 B D2 R' F2
U' R F2 B D2 F2 R'
R U' R B R' D2 F2
R U' R B D2 R' F2
R U' R B D2 F2 R'
F R F2 U B' L U2
U' R B R' U2 B2 U2
U' R B R' D2 F2 D
U' R B R' D2 F2 D'
U' R B R' D2 F2 D2
U' R B R' F D2 F2
U' R B R' F' D2 F2
U' R B R' F2 D2 F2
U' R B R2 D2 R F2
U' R B U2 B2 L U2
U' R B D R' D F2
U' R B D2 R F2 R2
U' R B D2 R' F2 D
U' R B D2 R' F2 D'
U' R B D2 R' F2 D2
U' R B D2 F R' F
U' R B D2 F2 R' D
U' R B D2 F2 R' D'
U' R B D2 F2 R' D2
U' R B D2 F2 D R'
U' R B D2 F2 D' R'
U' R B D2 F2 D2 R'
U' R B F R' D2 F2
U' R B F D2 R' F2
U' R B F D2 F2 R'
U' R B F' R' D2 F2
U' R B F' D2 R' F2
U' R B F' D2 F2 R'
U' R B F2 R' D2 F2
U' R B F2 D2 R' F2
U' R B F2 D2 F2 R'
U' R B' L U2 L' B2
U' R B' L U2 B2 L'
L2 U' R2 F R' B R'
L2 U' R2 F B R' B
L2 U' R2 B R' F B
L2 U' R2 B R' B F
L2 U' R2 B F R' B
