F' R D R2 U2 F'
F' R D B R2 U2
F' R D' B U2 L2
U R F R U B
F' R B U F2 U
F' R B U2 D' L2
F' R B U2 D' L2
F' R B D R2 U2
F' R B D' U2 L2
F' R' U F2 U F
F' R' U2 D' L2 F'
F' R' U2 D' F' L2
F' R' D R2 B U2
F' R' D' U2 L2 F'
F' R' D' U2 F' L2
F' U F R F U
F' U2 L D' F L2
F' U2 L' D' L2 F
F' U2 D' L F L
U F R U D2 B2
U F R U' F2 U2
U F R D' L2 U
U F R D2 U B2
F' D R B R U2
U F D' L2 R U
U F D' R L2 U
U F D2 R U B2
F' D' R B U2 L2
F' D' R' U2 L2 F'
F' D' R' U2 F' L2
F' D' U2 L F L
U2 L D F L' D2 B2
U2 L D F D2 L' B2
U2 L D F D2 B2 L'
U L' R2 U B L F
F' L' D' L U2 L F
R' U D' F L' U F2
R' U F R' U F2 B
R' U F R' U B F2
F' R U R2 F2 U F
F' R U F2 R2 U F'
F' R U F2 U' B U2
F' R D R2 U2 D F'
F' R D R2 U2 D' F'
F' R D R2 U2 D2 F'
F' R D R2 U2 F' D
F' R D R2 U2 F' D'
F' R D R2 U2 F' D2
F' R D R2 D U2 F'
F' R D R2 D' U2 F'
F' R D R2 D2 U2 F'
F' R D R2 B U2 F'
F' R D R2 B' U2 F'
F' R D R2 B2 U2 F'
F' R D B R2 U2 D
F' R D B R2 U2 D'
F' R D B R2 U2 D2
F' R D B R2 D U2
F' R D B R2 D' U2
F' R D B R2 D2 U2
F' R D B U2 D2 L2
F' R D B D2 U2 L2
F' R D B' R2 B2 U2
F' R D B2 R2 B' U2
U R D F R U B
F' R D' R2 U2 L2 F'
F' R D' R2 U2 F' L2
F' R D' B R U2 L2
F' R D' B R' U2 L2
F' R D' B R2 U2 L2
F' R D' B U2 L2 D
F' R D' B U2 L2 D'
F' R D' B U2 L2 D2
F' R D' B D2 R2 U2
F' R D' B2 U2 L2 F
U R D' F R U B
F' R D2 B U' B U'
U R D2 F R U B
U R F L R U B
U R F L' R U B
U R F L2 R U B
U R F R L U B
U R F R L' U B
U R F R L2 U B
U R F R U D B
U R F R U D' B
U R F R U D2 B
U R F R U B D
U R F R U B D'
U R F R U B D2
U R F R D U B
U R F R D' U B
U R F R D2 U B
U R F D R U B
U R F D' R U B
U R F D2 R U B
F' R B R U F2 U
F' R B R U2 D' L2
F' R B R D R2 U2
F' R B R D' U2 L2
F' R B R' U F2 U
F' R B R' U2 D' L2
F' R B R' D R2 U2
F' R B R' D' U2 L2
F R F2 D R2 U2 F'
F' R B R2 U F2 U
F R F2 D B R2 U2
F' R B R2 U2 D' L2
F' R B R2 D R2 U2
F' R B R2 D' U2 L2
F R F2 D' B U2 L2
F' R B U F2 U D
F' R B U F2 U D'
F' R B U F2 U D2
F' R B U F2 D U
F' R B U F2 D' U
F' R B U F2 D2 U
F' R B U' D2 B2 U'
F R F2 B U F2 U
F' R B U2 L D' L2
F' R B U2 L' D' L2
F R F2 B U2 D' L2
F' R B U2 L2 D' L2
F R F2 B D R2 U2
F R F2 B D' U2 L2
F' R B U2 D' L2 D
F' R B U2 D' L2 D'
F' R B U2 D' L2 D2
F' R B D R2 U2 D
F' R B D R2 U2 D'
F' R B D R2 U2 D2
F' R B D R2 D U2
F' R B D R2 D' U2
F' R B D R2 D2 U2
F' R B D' R U2 L2
F' R B D' R' U2 L2
F' R B D' R2 U2 L2
F' R B D' U2 L2 D
F' R B D' U2 L2 D'
F' R B D' U2 L2 D2
F' R B D2 U' B2 U'
F R B F2 U F2 U
F R B F2 U2 D' L2
F R B F2 D R2 U2
F R B F2 D' U2 L2
F' R B2 U2 D' L2 F
F' R B2 D R2 B' U2
F' R B2 D B' R2 U2
F' R B2 D' U2 L2 F
F' R B2 D' B' U2 L2
F' R' U F2 R U F
F' R' U F2 R' U F
F' R' U F2 R2 U F
F' R' U F2 U D F
F' R' U F2 U D' F
F' R' U F2 U D2 F
F' R' U F2 U F D
F' R' U F2 U F D'
F' R' U F2 U F D2
F' R' U F2 D U F
F' R' U F2 D' U F
F' R' U F2 D2 U F
F' R' U' D2 B2 U' F'
F' R' U2 L D' L2 F'
F' R' U2 L D' F' L2
F' R' U2 L' D' L2 F'
F' R' U2 L' D' F' L2
F' R' U2 L2 D' L2 F'
F' R' U2 L2 D' F' L2
F' R' U2 D F' D2 L2
F' R' U2 D' L F' L
F' R' U2 D' L2 D F'
F' R' U2 D' L2 D' F'
F' R' U2 D' L2 D2 F'
F' R' U2 D' L2 F' D
F' R' U2 D' L2 F' D'
F' R' U2 D' L2 F' D2
F' R' U2 D' F L2 F2
F' R' U2 D' F' L2 D
F' R' U2 D' F' L2 D'
F' R' U2 D' F' L2 D2
F' R' U2 D2 F' D L2
F' R' U2 F' U' F' U
F' R' D R2 D B U2
F' R' D R2 D' B U2
F' R' D R2 D2 B U2
F' R' D R2 B U2 D
F' R' D R2 B U2 D'
F' R' D R2 B U2 D2
F' R' D R2 B D U2
F' R' D R2 B D' U2
F' R' D R2 B D2 U2
F' R' D U2 F' D2 L2
F' R' D B R2 B U2
F' R' D B' R2 B U2
F' R' D B2 R2 B U2
F' R' D' R2 B U2 L2
F' R' D' U2 L F' L
F' R' D' U2 L2 D F'
F' R' D' U2 L2 D' F'
F' R' D' U2 L2 D2 F'
F' R' D' U2 L2 F' D
F' R' D' U2 L2 F' D'
F' R' D' U2 L2 F' D2
F' R' D' U2 F L2 F2
F' R' D' U2 F' L2 D
F' R' D' U2 F' L2 D'
F' R' D' U2 F' L2 D2
F' R' D' B U2 L2 F'
F' R' D' B U2 F' L2
F' R' D' B' U2 L2 F'
F' R' D' B' U2 F' L2
F2 R' D' F U2 L' F2
F' R' D' B2 U2 L2 F'
F' R' D' B2 U2 F' L2
U R' D' F L' R U
U R' D' F R L' U
F' R' D2 U' B2 U' F'
F' R' D2 U2 F' D L2
U R' F R U' F' U2
F R' F2 U F2 U F'
F' R' B U F2 U F
F R' F2 U2 D' F L2
F R' F2 D R2 U2 F
F' R' B U2 D' L2 F'
F' R' B U2 D' F' L2
F R' F2 D' U2 F L2
F' R' B D R2 B U2
F' R' B D' U2 L2 F'
F' R' B D' U2 F' L2
F' R' B' U F2 U F
F' R' B' U2 D' L2 F'
F' R' B' U2 D' F' L2
F' R' B' D R2 B U2
F' R' B' D' U2 L2 F'
F' R' B' D' U2 F' L2
F' R' B2 U F2 U F
F' R' B2 U2 D' L2 F'
F' R' B2 U2 D' F' L2
F' R' B2 D R2 B U2
F' R' B2 D' U2 L2 F'
F' R' B2 D' U2 F' L2
U R2 L' U B L F
F' R2 U R F2 U F
F' R2 U F2 R U F'
L D L' F' R B U2
D' U R F R U B
D2 U R F R U B
F' U R F R F U
B' U R F R U B
B2 U R F R U B
B U R F R U B
D U R F R U B
F' U R' F R F U
U D R F R U B
F' U R2 F R F U
D' U F R U D2 B2
D' U F R U' F2 U2
D' U F R D' L2 U
D' U F R D2 U B2
D2 U F R U D2 B2
D2 U F R U' F2 U2
D2 U F R D' L2 U
D2 U F R D2 U B2
D' U F D' L2 R U
D' U F D' R L2 U
D' U F D2 R U B2
D2 U F D' L2 R U
D2 U F D' R L2 U
D2 U F D2 R U B2
D U F R U D2 B2
D U F R U' F2 U2
D U F R D' L2 U
D U F R D2 U B2
F' U D' F R U L2
U D F R U D2 B2
U D F R U' F2 U2
U D F R D' L2 U
U D F R D2 U B2
D U F D' L2 R U
D U F D' R L2 U
D U F D2 R U B2
U D F D' L2 R U
U D F D' R L2 U
U D F D2 R U B2
B' U F R U D2 B2
B' U F R U' F2 U2
B' U F R D' L2 U
B' U F R D2 U B2
F' U F R D F U
F' U F R D' F U
F' U F R D2 F U
F' U F R F U D
F' U F R F U D'
F' U F R F U D2
F' U F R F D U
F' U F R F D' U
F' U F R F D2 U
F' U F R' F R2 U
F' U F R2 F R' U
B2 U F R U D2 B2
B2 U F R U' F2 U2
B2 U F R D' L2 U
B2 U F R D2 U B2
F' U F D R F U
B' U F D' L2 R U
B' U F D' R L2 U
F' U F D' R F U
B' U F D2 R U B2
F' U F D2 R F U
B2 U F D' L2 R U
B2 U F D' R L2 U
B2 U F D2 R U B2
B U F R U D2 B2
B U F R U' F2 U2
B U F R D' L2 U
B U F R D2 U B2
B U F D' L2 R U
B U F D' R L2 U
B U F D2 R U B2
F' U F2 D R U F'
R' D' U F L' U F2
U D' R F R U B
U D' F R U D2 B2
U D' F R U' F2 U2
U D' F R D' L2 U
U D' F R D2 U B2
U D' F D' L2 R U
U D' F D' R L2 U
U D' F D2 R U B2
F' U' D' L U' L F
F' U' D' B L U' L
F' U' D2 B L B U'
F' U' B L U' D' L2
F' U' B L U2 F2 U
F' U' B L D' U' L2
F' U' B L D2 B2 U'
F' U' B D' L U' L
F' U' B D2 L B2 U'
F' U' B' U2 R' F2 U
F' U' B' U2 F2 R' U
F' U' B' D2 B2 L U'
U D2 R F R U B
F' U2 L U' F2 U F'
F' U2 L D F D2 L2
F' U2 L D' F L2 D
F' U2 L D' F L2 D'
F' U2 L D' F L2 D2
F' U2 L D' F' L2 F2
F' U2 L D' F2 L2 F'
F' U2 L D2 F D L2
F' U2 L F U' F U
F' U2 L' D' L2 D F
F' U2 L' D' L2 D' F
F' U2 L' D' L2 D2 F
F' U2 L' D' L2 F D
F' U2 L' D' L2 F D'
F' U2 L' D' L2 F D2
F' U2 L' D' F L2 F
F' U2 L' D' F' L2 F
F' U2 L' D' F2 L2 F
U D2 F R U D2 B2
U D2 F R U' F2 U2
U D2 F R D' L2 U
U D2 F R D2 U B2
U D2 F D' L2 R U
U D2 F D' R L2 U
U D2 F D2 R U B2
F' U2 D L D2 F L2
F' U2 D L F D2 L2
F' U2 D L' D2 L2 F
F' U2 D' L D F L
F' U2 D' L D' F L
F' U2 D' L D2 F L
F' U2 D' L F L D
F' U2 D' L F L D'
F' U2 D' L F L D2
F' U2 D' L F D L
F' U2 D' L F D' L
F' U2 D' L F D2 L
F' U2 D' L F' L F2
F' U2 D' L F2 L F'
F' U2 D' F L F L
F' U2 D' F' L F L
F' U2 D' F2 L F L
F' U2 D2 L D F L2
F' U2 D2 L F D L2
F' U2 D2 L' D L2 F
U F L R U D2 B2
U F L R U' F2 U2
U F L R D' L2 U
U F L R D2 U B2
F' U2 F L D F L'
U F L D' L2 R U
U F L D' R L2 U
U F L D2 R U B2
F' U2 F U' F R U
U F L' R U D2 B2
U F L' R U' F2 U2
U F L' R D' L2 U
U F L' R D2 U B2
F' U2 F' L F D' L2
U F L' D' L2 R U
U F L' D' R L2 U
U F L' D2 R U B2
U F L2 R U D2 B2
U F L2 R U' F2 U2
U F L2 R D' L2 U
U F L2 R D2 U B2
U F L2 D' L2 R U
U F L2 D' R L2 U
U F L2 D2 R U B2
U F R L U D2 B2
U F R L U' F2 U2
U F R L D' L2 U
U F R L D2 U B2
U F R L' U D2 B2
U F R L' U' F2 U2
U F R L' D' L2 U
U F R L' D2 U B2
U F R L2 U D2 B2
U F R L2 U' F2 U2
U F R L2 D' L2 U
U F R L2 D2 U B2
U F R U D2 B2 D
U F R U D2 B2 D'
U F R U D2 B2 D2
U F R U B D2 B2
U F R U B' D2 B2
U F R U B2 D2 B2
U F R U' F2 U2 D
U F R U' F2 U2 D'
U F R U' F2 U2 D2
U F R U' F2 D U2
U F R U' F2 D' U2
U F R U' F2 D2 U2
U F R U2 D R2 U'
U F R D U2 R2 U'
U F R D' L2 U D
U F R D' L2 U D'
U F R D' L2 U D2
U F R D' L2 D U
U F R D' L2 D' U
U F R D' L2 D2 U
U F R D2 L U B2
U F R D2 L' U B2
U F R D2 L2 U B2
U F R D2 U B2 D
U F R D2 U B2 D'
U F R D2 U B2 D2
U F R' D' L2 U F2
U F R2 D' L2 R' U
U F R2 D' R' L2 U
U F R2 D2 R' U B2
U F U' F2 U' L' U'
U F D R U2 R U'
F' D R D B R U2
F' D R D' B R U2
F' D R D2 B R U2
F' D R B R U2 D
F' D R B R U2 D'
F' D R B R U2 D2
F' D R B R D U2
F' D R B R D' U2
F' D R B R D2 U2
F' D R B D R U2
F' D R B D' R U2
F' D R B D2 R U2
F' D R B' R B2 U2
F' D R B2 R B' U2
U F D' L2 R U D
U F D' L2 R U D'
U F D' L2 R U D2
U F D' L2 R D U
U F D' L2 R D' U
U F D' L2 R D2 U
U F D' L2 D R U
U F D' L2 D' R U
U F D' L2 D2 R U
U F D' R L2 U D
U F D' R L2 U D'
U F D' R L2 U D2
U F D' R L2 D U
U F D' R L2 D' U
U F D' R L2 D2 U
U F D' R U D' B2
U F D' R D' U B2
F' D R' B U2 F' L'
F' D R' B2 U2 L F'
F' D R' B2 U2 F' L
U F D2 L R U B2
U F D2 L' R U B2
F' D R2 U R U F'
U F D2 L2 R U B2
U F D2 R L U B2
U F D2 R L' U B2
U F D2 R L2 U B2
U F D2 R U B2 D
U F D2 R U B2 D'
U F D2 R U B2 D2
U F D2 R D L2 U
F' D R2 U2 R F' R'
L' F' L U F R U
F' D U2 L D2 F L2
F' D U2 L F D2 L2
F' D U2 L' D2 L2 F
L2 F' L2 U F R U
D2 F' R D R2 U2 F'
D' F' R D R2 U2 F'
D2 F' R D B R2 U2
D' F' R D B R2 U2
D2 F' R D' B U2 L2
D' F' R D' B U2 L2
D' F' R B U F2 U
D2 F' R B U F2 U
D' F' R B U2 D' L2
D2 F' R B U2 D' L2
D' F' R B D R2 U2
D2 F' R B D R2 U2
D' F' R B D' U2 L2
D2 F' R B D' U2 L2
D2 F' R' U F2 U F
D' F' R' U F2 U F
D2 F' R' U2 D' L2 F'
D2 F' R' U2 D' F' L2
D' F' R' U2 D' L2 F'
D' F' R' U2 D' F' L2
D2 F' R' D R2 B U2
D' F' R' D R2 B U2
D2 F' R' D' U2 L2 F'
D2 F' R' D' U2 F' L2
D' F' R' D' U2 L2 F'
D' F' R' D' U2 F' L2
D F' R D R2 U2 F'
D F' R D B R2 U2
D F' R D' B U2 L2
F' D B R B R U2
D F' R B U F2 U
D F' R B U2 D' L2
D F' R B D R2 U2
D F' R B D' U2 L2
D F' R' U F2 U F
D F' R' U2 D' L2 F'
D F' R' U2 D' F' L2
D F' R' D R2 B U2
D F' R' D' U2 L2 F'
D F' R' D' U2 F' L2
F' D B' R B R U2
D2 F' U F R F U
D' F' U F R F U
F' D B2 R B R U2
D F' U F R F U
D2 F' U2 L D' F L2
D' F' U2 L D' F L2
D2 F' U2 L' D' L2 F
D' F' U2 L' D' L2 F
D2 F' U2 D' L F L
D' F' U2 D' L F L
U F' U F2 R U R'
D2 F' D R B R U2
D' F' D R B R U2
D F' U2 L D' F L2
D F' U2 L' D' L2 F
D F' U2 D' L F L
D2 F' D' R B U2 L2
D' F' D' R B U2 L2
D2 F' D' R' U2 L2 F'
D2 F' D' R' U2 F' L2
D' F' D' R' U2 L2 F'
D' F' D' R' U2 F' L2
D2 F' D' U2 L F L
D' F' D' U2 L F L
D F' D R B R U2
F' D' R D2 R2 U2 F'
F' D' R D2 B R2 U2
F' D' R B R U2 L2
F' D' R B R' U2 L2
F' D' R B R2 U2 L2
F' D' R B U2 L2 D
F' D' R B U2 L2 D'
F' D' R B U2 L2 D2
F' D' R B D2 R2 U2
D F' D' R B U2 L2
D F' D' R' U2 L2 F'
D F' D' R' U2 F' L2
F' D' R B2 U2 L2 F
D F' D' U2 L F L
F' D' R' U2 L F' L
F' D' R' U2 L2 D F'
F' D' R' U2 L2 D' F'
F' D' R' U2 L2 D2 F'
F' D' R' U2 L2 F' D
F' D' R' U2 L2 F' D'
F' D' R' U2 L2 F' D2
F' D' R' U2 F L2 F2
F' D' R' U2 F' L2 D
F' D' R' U2 F' L2 D'
F' D' R' U2 F' L2 D2
F' D' R' D2 R2 B U2
F' D' R' B U2 L2 F'
F' D' R' B U2 F' L2
F' D' R' B' U2 L2 F'
F' D' R' B' U2 F' L2
F' D' R' B2 U2 L2 F'
F' D' R' B2 U2 F' L2
F' D' U F R U L2
F' D' U' L U' L F
F' D' U' B L U' L
F' D' U2 L D F L
F' D' U2 L D' F L
F' D' U2 L D2 F L
F' D' U2 L F L D
F' D' U2 L F L D'
F' D' U2 L F L D2
F' D' U2 L F D L
F' D' U2 L F D' L
F' D' U2 L F D2 L
F' D' U2 L F' L F2
F' D' U2 L F2 L F'
F' D' U2 F L F L
F' D' U2 F' L F L
F' D' U2 F2 L F L
U F2 L2 F' R U B'
F' D' B R B U2 L2
F' D' B R' U2 L2 F'
F' D' B R' U2 F' L2
F' D' B U2 L F L
F' D' B' R B U2 L2
F' D' B' R' U2 L2 F'
F' D' B' R' U2 F' L2
F' D' B' U2 L F L
F' D' B2 R B U2 L2
F' D' B2 R' U2 L2 F'
F' D' B2 R' U2 F' L2
F' D' B2 U2 L F L
F' D2 R D B U2 L2
F' D2 R D' R2 U2 F'
F' D2 R D' B R2 U2
F' D2 R B U' B U'
F' D2 R' U' B2 U' F'
F' D2 R' U2 D L2 F'
F' D2 R' U2 D F' L2
F' D2 R' U2 F' D L2
F' D2 R' D U2 L2 F'
F' D2 R' D U2 F' L2
F' D2 R' D' R2 B U2
R F2 B U F' L' U
F' D2 U' B L B U'
F' D2 U2 L D F L2
F' D2 U2 L F D L2
F' D2 U2 L' D L2 F
F' D2 B U' B L U'
R B R U F U B
R B R' F' U F2 U
R B R' F' U2 D' L2
R B R' F' D R2 U2
R B R' F' D' U2 L2
R B U F U2 R U'
R B U F' L' F2 U
