U L R B' U
U L B' R U
U R L B' U
U L R D B' U
U L R D' B' U
U L R D2 B' U
U L R B' U D
U L R B' U D'
U L R B' U D2
U L R B' D U
U L R B' D' U
U L R B' D2 U
U2 L R B' U L'
U L R' B' R2 U
U L D R B' U
U L D B' R U
U L D' R B' U
U L D' B' R U
U L D2 R B' U
U L D2 R B' U
U L D2 B' R U
U L B R B2 U
U L B' R U D
U L B' R U D'
U L B' R U D2
U L B' R D U
U2 L B' R U L'
U L B' R D' U
U L B' R D2 U
U L B' D R U
U L B' D' R U
U L B' D2 R U
L' U L2 R B' U
L' U L2 B' R U
L' U R L2 B' U
L U R B' U B
U R L D B' U
U R L D' B' U
U R L D2 B' U
U2 R L B' U L'
U R L B' U D
U R L B' U D'
U R L B' U D2
U R L B' D U
U R L B' D' U
U R L B' D2 U
U R' L B' R2 U
F' U L B' U F
L B R B2 U L
L B' R U' R' U2
U2 L R D B' U L'
U2 L R D' B' U L'
U2 L R D2 B' U L'
U L R D B' U D
U L R D B' U D'
U L R D B' U D2
U L R D B' D U
U L R D B' D' U
U L R D B' D2 U
U L R D' B' U D
U L R D' B' U D'
U L R D' B' U D2
U L R D' B' D U
U L R D' B' D' U
U L R D' B' D2 U
U L R D2 B' U D
U L R D2 B' U D'
U L R D2 B' U D2
U L R D2 B' D U
U L R D2 B' D' U
U L R D2 B' D2 U
U' L R B' U2 B U'
U2 L R B' U L' D
U2 L R B' U L' D'
U2 L R B' U L' D2
U2 L R B' U D L'
U2 L R B' U D' L'
U2 L R B' U D2 L'
U2 L R B' D U L'
U2 L R B' D' U L'
U2 L R B' D2 U L'
U L R B U D' R2
U L R B D' U R2
U L R B2 D B U
U L R B2 D' B U
U L R B2 D2 B U
L R U' R' U B' U
U L R' D' B' U F2
U' L R' B' R2 F' U
R L U' R' U B' U
U2 L R' B' R2 U L'
U L R' B R2 B2 U
U L R' B' R2 U D
U L R' B' R2 U D'
U L R' B' R2 U D2
U L R' B' R2 D U
U L R' B' R2 D' U
U L R' B' R2 D2 U
U L R' B' U D' F2
U L R' B' D' U F2
U L R2 D R' B' U
U L R2 D' R' B' U
U L R2 D2 R' B' U
B' L U R B' U B2
B L U R B' L U
B' L U B' R U B
B L U B' L R U
B L U B' R L U
R2 L D' R' F2 B' U
R2 L D' R' B' F2 U
F2 L U2 L2 F U' L2
R' L D' B' U F2 L'
R2 L D' F2 R' B' U
R2 L D2 R' B' U L2
U2 L D R B' U L'
U L D R D B' U
U L D R D' B' U
U L D R D2 B' U
U L D R B' U D
U L D R B' U D'
U L D R B' U D2
U L D R B' D U
U L D R B' D' U
U L D R B' D2 U
U L D R' B' R2 U
U2 L D B' R U L'
U L D B R B2 U
U L D B' R U D
U L D B' R U D'
U L D B' R U D2
U L D B' R D U
U L D B' R D' U
U L D B' R D2 U
U L D B' D R U
U L D B' D' R U
U L D B' D2 R U
U2 L D' R B' U L'
U L D' R D B' U
U L D' R D' B' U
U L D' R D2 B' U
U L D' R B' U D
U L D' R B' U D'
U L D' R B' U D2
U L D' R B' D U
U L D' R B' D' U
U L D' R B' D2 U
U L D' R' B' R2 U
U2 L D' B' R U L'
U L D' B R B2 U
U L D' B' R U D
U L D' B' R U D'
U L D' B' R U D2
U L D' B' R D U
U L D' B' R D' U
U L D' B' R D2 U
U L D' B' D R U
U L D' B' D' R U
U L D' B' D2 R U
U2 L D2 R B' U L'
U L D2 R D B' U
U L D2 R D' B' U
U L D2 R D2 B' U
U L D2 R B' U D
U L D2 R B' U D'
U L D2 R B' U D2
U L D2 R B' D U
U L D2 R B' D' U
U L D2 R B' D2 U
U L D2 R' B' R2 U
R' L F2 R2 B' U L'
U2 L D2 B' R U L'
U L D2 B R B2 U
U L D2 B' R U D
U L D2 B' R U D'
U L D2 B' R U D2
U L D2 B' R D U
U L D2 B' R D' U
U L D2 B' R D2 U
U L D2 B' D R U
U L D2 B' D' R U
U L D2 B' D2 R U
R' L F2 B' R2 U L'
R' L B R2 B2 U L
L' R B' L2 B' U L
L2 R B' L' B' U L
R' L B' R2 U' R' U2
R' L B' U D' F2 L'
L R B' U B' L B
R' L B' D' U F2 L'
R L B' U B' L B
L R B' U2 B' U' L
R L B' U2 B' U' L
R' L B' F2 R2 U L'
L R B' D2 F U L'
R L B' D2 F U L'
L' R B2 L2 B' U L'
L2 R B2 L' B' U L2
U2 L B R B2 U L'
U L B R U D' R2
U L B R D' U R2
U L B R B2 U D
U L B R B2 U D'
U L B R B2 U D2
U L B R B2 D U
U L B R B2 D' U
U L B R B2 D2 U
U L B R' B2 R2 U
U L B D' R U R
U2 L B' R U L' D
U2 L B' R U L' D'
U2 L B' R U L' D2
U2 L B' R U D L'
U2 L B' R U D' L'
U2 L B' R U D2 L'
U2 L B' R D U L'
U2 L B' R D' U L'
U2 L B' R D2 U L'
U' L B' R2 F' R' U
U L B' R' U D' F2
F2 L B' U2 L2 U' L2
U L B' R' D' U F2
U L B' R2 D R' U
U L B' R2 D' R' U
U L B' R2 D' R' U
U L B' R2 D2 R' U
U2 L B' D R U L'
U2 L B' D' R U L'
U2 L B' D2 R U L'
U L B' D R U D
U L B' D R U D'
U L B' D R U D2
U L B' D R D U
U L B' D R D' U
U L B' D R D2 U
U L B' D' R U D
U L B' D' R U D'
U L B' D' R U D2
U L B' D' R D U
U L B' D' R D' U
U L B' D' R D2 U
U L B' D2 R U D
U L B' D2 R U D'
U L B' D2 R U D2
U L B' D2 R D U
U L B' D2 R D' U
U L B' D2 R D2 U
U L B2 D B R U
U L B2 D' B R U
U L B2 D2 B R U
U L' R B L2 B' U
U L' R B' L2 B' U
U L' R B2 L2 B' U
L R' D' B' U F2 L'
U' L' U2 L2 R B' U
U' L' U2 L2 B' R U
U' L' U2 R L2 B' U
F2 L' U2 L2 B' U L2
L R' F2 R2 B' U L'
L R' F2 B' R2 U L'
L R' B R2 B2 U L
R L' B' L2 B' U L
L R' B' R2 U' R' U2
L R' B' U D' F2 L'
L R' B' D' U F2 L'
L R' B' F2 R2 U L'
R L' B2 L2 B' U L'
F2 L' F U2 L2 U L2
U L' B L2 R B' U
U L' B L2 B' R U
U L' B R L2 B' U
U L' B' L2 R B' U
U L' B' L2 B' R U
U L' B' R L2 B' U
L R2 D' R' F2 B' U
L R2 D' R' B' F2 U
U L' B2 L2 R B' U
U L' B2 L2 B' R U
U L' B2 R L2 B' U
L R2 D' F2 R' B' U
L R2 D2 R' B' U L2
U L2 R D L' B' U
U L2 R D' L' B' U
U L2 R D2 L' B' U
U L2 R B L' B' U
U L2 R B' L' B' U
U L2 R B2 L' B' U
U' L2 U2 L' R B U
U' L2 U2 R L' B U
U' L2 U2 R B L' U
R L2 B' L' B' U L
U L2 D L' R B' U
U L2 D L' B' R U
U L2 D R L' B' U
R L2 B2 L' B' U L2
U L2 D' L' R B' U
U L2 D' L' B' R U
U L2 D' R L' B' U
U L2 D2 L' R B' U
U L2 D2 L' B' R U
L2 U L' R B' U R'
U L2 D2 R L' B' U
L' U L2 R D B' U
L' U L2 R D' B' U
L' U L2 R D2 B' U
L' U L2 R B' U D
L' U L2 R B' U D'
L' U L2 R B' U D2
L' U L2 R B' D U
L' U L2 R B' D' U
L' U L2 R B' D2 U
L' U L2 R' B' R2 U
L2 U L' B' R U R2
L' U L2 D R B' U
L' U L2 D B' R U
L' U L2 D' R B' U
L' U L2 D' B' R U
L' U L2 D2 R B' U
L' U L2 D2 B' R U
L' U L2 B R B2 U
L' U L2 B' R U D
L' U L2 B' R U D'
