R' L U B L B2
D2 L R' U B L
L R' U B L B2
L2 R' F L' U B'
R' L2 F L' U B'
D2 L2 R' F U B
D L2 R' F L' U
D2 L2 F R' U B
D L2 F L' R' U
D L2 F R' L' U
D2 R' L U B L
D2 R' L2 F U B
D R' L2 F L' U
D2 R' U B D L2
D2 R' U2 B' U' B2
R' D L2 F L' U
L2 F L' R' U B'
L2 F R' L' U B'
U2 B2 L B U' B2
R' L U L' B L B'
R' L U D B L B2
R' L U D' B L B2
R' L U D2 B L B2
R' L U B L B2 D
R' L U B L B2 D'
R' L U B L B2 D2
R' L U B L' B2 L2
R' L U B L2 B2 L'
R' L U B' U2 R' U2
D2 L R' U L B L
F' L R' U B L B2
D2 L R' U L' B L
D2 L R' U L2 B L
D2 L R' U D B L
D2 L R' U D' B L
D2 L R' U D2 B L
D2 L R' U B L D
D2 L R' U B L D'
D2 L R' U B L D2
D2 L R' U B D L
D2 L R' U B D' L
D2 L R' U B D2 L
F2 L R' U B L B2
F L R' U B L B2
D2 L R' D U B L
D2 L R' D' U B L
D2 L R' D2 U B L
D2 L R' F U B L
D2 L R' F' U B L
D2 L R' F2 U B L
R' L U' F R U2 B'
R' L U' F' U2 B' L'
R' L U2 R B U' B2
R' L U2 B2 U' B L
R' L D U B L B2
R' L D' U B L B2
U2 L U2 R' F' U B'
B' L U2 B R' U B2
R' L D2 U B L B2
D L D R' U B L
L2 R F L' R2 U B'
R' L F U B L B2
L2 R F R2 L' U B'
D' L D' R' U B L
R' L F' U B L B2
B2 L D' B U' R2 B2
B2 L D' B U' B2 R2
R' L F2 U B L B2
B2 L D2 F2 B U' B2
B2 L D2 B F2 U' B2
D2 L F R' U B L
D2 L F' R' U B L
D2 L F2 R' U B L
B2 L B R2 F' U' B2
L R' U L' B L B'
B2 L B U2 B U B
L' R' U D' L2 B' L
R' L' U D' L2 B' L
B2 L B D' R2 F' U'
L R' U D B L B2
L R' U D' B L B2
L R' U D2 B L B2
L R' U B L B2 D
L R' U B L B2 D'
L R' U B L B2 D2
L R' U B L' B2 L2
L R' U B L2 B2 L'
L R' U B' U2 R' U2
R' L' U' D F U2 L'
L' R' U' D F U2 L'
L R' U' F R U2 B'
L R' U' F' U2 B' L'
L R' U2 R B U' B2
L R' U2 B2 U' B L
R' L' D U' F U2 L'
L' R' D U' F U2 L'
L R' D U B L B2
L2 R' D F L' U B'
D L' R' F L' F U
R' L' D' L2 U B' L
L' R' D' L2 U B' L
R' L' D' U L2 B' L
L' R' D' U L2 B' L
L R' D' U B L B2
L2 R' D' F L' U B'
L R' D2 U B L B2
L2 R' D2 F L' U B'
L2 R' F L U' F U2
L2 R' F L' U D B'
L2 R' F L' U D' B'
L2 R' F L' U D2 B'
L2 R' F L' U B' D
L2 R' F L' U B' D'
L2 R' F L' U B' D2
L2 R' F L' D U B'
L2 R' F L' D' U B'
L2 R' F L' D2 U B'
L R' F U B L B2
L2 R' F U2 R U' B
L2 R' F D L' U B'
L2 R' F D' L' U B'
L2 R' F D2 L' U B'
L2 R' F' L' F2 U B'
L R' F' U B L B2
L2 R' F2 L' F' U B'
L R' F2 U B L B2
D L' F L' R' F U
D L' F L' F R' U
D L' F R' L' F U
R' L2 D F L' U B'
R' L2 D' F L' U B'
R' L2 D2 F L' U B'
D L2 R F L' R2 U
D L2 R F R2 L' U
R' L2 F L U' F U2
R' L2 F L' U D B'
R' L2 F L' U D' B'
R' L2 F L' U D2 B'
R' L2 F L' U B' D
R' L2 F L' U B' D'
R' L2 F L' U B' D2
R' L2 F L' D U B'
R' L2 F L' D' U B'
R' L2 F L' D2 U B'
D2 L2 R' D F U B
D2 L2 R' D' F U B
D2 L2 R' D2 F U B
D' L2 R' D2 F L' U
D2 L2 R' F L U B
D2 L2 R' F L' U B
D2 L2 R' F L2 U B
D2 L2 R' F U D B
D2 L2 R' F U D' B
D2 L2 R' F U D2 B
D2 L2 R' F U B D
D2 L2 R' F U B D'
D2 L2 R' F U B D2
D2 L2 R' F D U B
D2 L2 R' F D' U B
D2 L2 R' F D2 U B
F' L2 R' F L' U B'
R' L2 F U2 R U' B
F2 L2 R' F L' U B'
R' L2 F D L' U B'
R' L2 F D' L' U B'
R L2 F L' R2 U B'
R' L2 F D2 L' U B'
D L2 R' F L' U D
D L2 R' F L' U D'
D L2 R' F L' U D2
D L2 R' F L' D U
D L2 R' F L' D' U
D L2 R' F L' D2 U
D L2 R' F D L' U
D L2 R' F D' L' U
D L2 R' F D2 L' U
F L2 R' F L' U B'
R L2 F R2 L' U B'
R' L2 F' L' F2 U B'
R' L2 F2 L' F' U B'
D L2 D R' F U B
D L2 D F R' U B
D2 L2 D' R' F L' U
D' L2 D' R' F U B
D2 L2 D' F L' R' U
D2 L2 D' F R' L' U
D' L2 D' F R' U B
D' L2 D2 R' F L' U
D' L2 D2 F L' R' U
D' L2 D2 F R' L' U
R' U L' D' L2 B' L
D2 L2 F L R' U B
D2 L2 F L' R' U B
D2 L2 F L2 R' U B
F' L2 F L' R' U B'
D2 L2 F R' L U B
D2 L2 F R' L' U B
D2 L2 F R' L2 U B
D2 L2 F R' U D B
D2 L2 F R' U D' B
D2 L2 F R' U D2 B
D2 L2 F R' U B D
D2 L2 F R' U B D'
D2 L2 F R' U B D2
D2 L2 F R' D U B
D2 L2 F R' D' U B
D2 L2 F R' D2 U B
F2 L2 F L' R' U B'
F' L2 F R' L' U B'
D L2 F L' R' U D
D L2 F L' R' U D'
D L2 F L' R' U D2
D L2 F L' R' D U
D L2 F L' R' D' U
D L2 F L' R' D2 U
D L2 F L' D R' U
D L2 F L' D' R' U
D L2 F L' D2 R' U
F2 L2 F R' L' U B'
F L2 F L' R' U B'
D L2 F R' L' U D
D L2 F R' L' U D'
D L2 F R' L' U D2
D L2 F R' L' D U
D L2 F R' L' D' U
D L2 F R' L' D2 U
D L2 F R' D L' U
D' L2 F D' R' U B
D L2 F R' D' L' U
D L2 F R' D2 L' U
F L2 F R' L' U B'
D L2 F D L' R' U
D L2 F D R' L' U
D L2 F D' L' R' U
D L2 F D' R' L' U
D L2 F D2 L' R' U
D L2 F D2 R' L' U
D2 L2 F' R' F2 U B
L2 U F R' U R B
D R L2 F L' R2 U
D R L2 F R2 L' U
R' U B L D B' L2
R' U B L' D L2 B'
R' U B2 L B' D L2
D2 R' L U L B L
D2 R' L U L' B L
D2 R' L U L2 B L
D2 R' L U D B L
D2 R' L U D' B L
D2 R' L U D2 B L
D2 R' L U B L D
D2 R' L U B L D'
D2 R' L U B L D2
D2 R' L U B D L
D2 R' L U B D' L
D2 R' L U B D2 L
F' R' L U B L B2
D2 R' L D U B L
D2 R' L D' U B L
D2 R' L D2 U B L
D2 R' L F U B L
F2 R' L U B L B2
D2 R' L F' U B L
D2 R' L F2 U B L
F R' L U B L B2
D R' L' F L' F U
D2 R' L2 D F U B
D2 R' L2 D' F U B
D2 R' L2 D2 F U B
D' R' L2 D2 F L' U
D2 R' L2 F L U B
D2 R' L2 F L' U B
D2 R' L2 F L2 U B
D2 R' L2 F U D B
D2 R' L2 F U D' B
D2 R' L2 F U D2 B
D2 R' L2 F U B D
D2 R' L2 F U B D'
D2 R' L2 F U B D2
D2 R' L2 F D U B
D2 R' L2 F D' U B
D2 R' L2 F D2 U B
F' R' L2 F L' U B'
F2 R' L2 F L' U B'
D R' L2 F L' U D
D R' L2 F L' U D'
D R' L2 F L' U D2
D R' L2 F L' D U
D R' L2 F L' D' U
D R' L2 F L' D2 U
D R' L2 F D L' U
D R' L2 F D' L' U
D R' L2 F D2 L' U
D2 R' U D B D L2
