D' F' R U' L' F
D' L' F' R U' L' F2
F L' F2 R' U' L' B
F L' F2 R' U' B L'
F' R U F' U2 F L'
F' R' U' L' D' F2 B
F' R' U' L' D' B F2
F' R' U' L' B D' F2
F' R' U' D' L' F2 B
F' R' U' D' L' B F2
F' R' U' D' B L' F2
F' R' U' B L' D' F2
F' R' U' B D' L' F2
F' R' D' U' L' F2 B
F' R' D' U' L' B F2
F' R' D' U' B L' F2
F' R' D2 L2 U' L B
R' D B R F' L' R2
R' D B R F' R2 L'
R' D' F' L' B R F
L' D' F' R U' L' F
R' D' F' B L' R F
R' D' F' B R L' F
L2 D' F' R U' L' F
L D' F' R U' L' F
R' D' B F' L' R F
R' D' B F' R L' F
D' F' L R U' L2 F
D' F' R L U' L2 F
D' F' R U' L' D F
D' F' R U' L' D' F
D' F' R U' L' D2 F
D' F' R U' L' F D
D' F' R U' L' F D'
D' F' R U' L' F D2
D' F' R B U' L' F
D' F' R B' U' L' F
D' F' R B2 U' L' F
D' F' D2 R U' L' F'
D' F' B R U' L' F
D2 F' B' L U' B' L2
D' F' B' R U' L' F
R2 F' B R U L' B
R2 F' B R U B L'
D' F' B2 R U' L' F
B' D' F' R U' L' F
B2 D' F' R U' L' F
B D' F' R U' L' F
R' B D' F' L' R F
R' B D' F' R L' F
D' B F' R U' L' F
R2 B F' R U L' B
R2 B F' R U B L'
D2 B' L F' U' B' L'
D2 B' F' L U' B' L2
D' B' F' R U' L' F
D' B2 F' R U' L' F
