D' R' F' B2 U2 R
D' R' B2 F' U2 R
D' L R' F' B2 U2 R
D' L R' B2 F' U2 R
L2 R D F' B2 U' B'
L2 R D B2 F' U' B'
L2 R D2 F' U' L2 B
L2 R D2 F' U' B L2
L2 R F' U R2 F' U2
L2 R F' U' D2 L2 B
L2 R F' U' D2 B L2
L2 R F' U' B D2 L2
L2 R F' D B2 U' B'
L2 R F' D2 U' L2 B
L2 R F' D2 U' B L2
D' L' R' F' B2 U2 R
D' L' R' B2 F' U2 R
R2 L2 U R F' L' U2
L2 R2 U R F' L' U2
R L2 D F' B2 U' B'
R L2 D B2 F' U' B'
R L2 D2 F' U' L2 B
R L2 D2 F' U' B L2
D' L2 R' F' B2 U2 R
D' L2 R' B2 F' U2 R
R L2 F' U R2 F' U2
R L2 F' U' D2 L2 B
R L2 F' U' D2 B L2
R L2 F' U' B D2 L2
R L2 F' D B2 U' B'
R L2 F' D2 U' L2 B
R L2 F' D2 U' B L2
R' U D2 B R2 U B
R' U B D2 R2 U B
D' R D2 L2 F2 B R'
D' R D2 L2 B R' F2
D' R D2 L2 B F2 R'
D' R D2 F2 L2 B R'
D' R D2 F2 B L2 R'
D' R D2 F2 B R' L2
D' R D2 B L2 R' F2
D' R D2 B L2 F2 R'
D' R D2 B R' L2 F2
D' R D2 B R' F2 L2
D' R D2 B F2 L2 R'
D' R D2 B F2 R' L2
R' U' L2 R2 F' U' B
B2 R F' L2 U' L' B
B2 R F' L2 U' B L'
D R F2 B D2 L2 R'
D R F2 B D2 R' L2
R' U' R2 L2 F' U' B
D R B R F2 L' R2
D R B R F2 R2 L'
R' U' R2 F' L2 U' B
D R B F2 D2 L2 R'
D R B F2 D2 R' L2
D' R' L F' B2 U2 R
D' R' L B2 F' U2 R
D' R' L' F' B2 U2 R
D' R' L' B2 F' U2 R
D' R' L2 F' B2 U2 R
D' R' L2 B2 F' U2 R
D R' U2 R2 F2 B R'
D R' U2 R2 B R' F2
D R' U2 R2 B F2 R'
D' R' F L' F2 B2 U2
D' R' F L' B2 F2 U2
D R' D2 F' B2 U2 R
D R' D2 B2 F' U2 R
D' R' F B2 L' F2 U2
D' R' F' L B2 U2 R
D' R' F' L' B2 U2 R
D' R' F' L2 B2 U2 R
D' R' F' U2 R D2 F2
D' R' F' U2 D2 R F2
D' R' F' D2 U2 R F2
D' R' F' B2 L U2 R
D' R' F' B2 L' U2 R
D' R' F' B2 L2 U2 R
D' R' F' B2 U2 R D
D' R' F' B2 U2 R D'
D' R' F' B2 U2 R D2
D' R' F' B2 U2 D R
D' R' F' B2 U2 D' R
D' R' F' B2 U2 D2 R
D' R' F' B2 D U2 R
D' R' F' B2 D' U2 R
D' R' F' B2 D2 U2 R
D R' F' U2 D2 F' R
D R' F' D2 U2 F' R
D R' F' B U2 F' R'
D R' F' B' L U2 F'
D R' B F' U2 F' R'
D R' B' L F' U2 F'
D' R' B2 L F' U2 R
D' R' B2 L' F' U2 R
D' R' B2 L2 F' U2 R
D R' B' F' L U2 F'
D' R' B2 F L' F2 U2
D' R' B2 F' L U2 R
D' R' B2 F' L' U2 R
D' R' B2 F' L2 U2 R
D' R' B2 F' U2 R D
D' R' B2 F' U2 R D'
D' R' B2 F' U2 R D2
D' R' B2 F' U2 D R
D' R' B2 F' U2 D' R
D' R' B2 F' U2 D2 R
D' R' B2 F' D U2 R
D' R' B2 F' D' U2 R
D' R' B2 F' D2 U2 R
D R2 F2 L' R' B R'
D R2 F2 L' B R' B
D R2 F2 R' L' B R'
D R2 F2 R' B L' R'
D R2 F2 R' B R' L'
D R2 F2 B L' R' B
D R2 F2 B R' L' B
D R2 F2 B R' B L'
D R2 B F2 L' R' B
D R2 B F2 R' L' B
D R2 B F2 R' B L'
D' R2 B2 R F' U2 R
R' D F' U B U F'
R D F' B2 U' F' B'
R D F' B2 U' B' F'
R D B2 F' U' F' B'
R D B2 F' U' B' F'
R' D' F' B2 U B' U
R' D' B2 F' U B' U
R' D2 U B R2 U B
R' D2 F' U B R2 U
D' F L' R' F' B2 U2
D' F L' R' B2 F' U2
D' F R' L' F' B2 U2
D' F R' L' B2 F' U2
D' F R' B2 L' F' U2
B2 D L R F2 B R'
B2 D L R B R' F2
B2 D L R B F2 R'
B2 D L F2 R B R'
B2 D R L F2 B R'
B2 D R L B R' F2
B2 D R L B F2 R'
B2 D R F2 L B R'
B D R F2 B L R'
B D R F2 B R' L
B D R B L R' F2
B D R B L F2 R'
B D R B R' L F2
B D R B R' F2 L
B D R B F2 L R'
B D R B F2 R' L
D' F' R D2 L2 F2 B
D' F' R D2 L2 B F2
D' F' R D2 F2 L2 B
D' F' R D2 F2 B L2
D' F' R D2 B L2 F2
D' F' R D2 B F2 L2
B2 D F2 L R B R'
B2 D F2 R L B R'
R F' L2 U R2 F' U2
R F' L2 U' D2 L2 B
R F' L2 U' D2 B L2
R F' L2 U' B D2 L2
R F' L2 D B2 U' B'
R F' L2 D2 U' L2 B
R F' L2 D2 U' B L2
D' F' R' F' B2 U2 R2
D' F' R' B2 U2 R2 B
D' F' R' B2 F' U2 R2
B D F2 R B L R'
B D F2 R B R' L
R' F' U D B U F2
R' F' U D2 B R2 U
R' F' U B U D F2
R' F' U B U2 L2 U'
R' F' U B D U F2
R' F' U B D2 R2 U
R' F' U' L2 U2 B U
R' F' D U B U F2
R' F' D' B2 U B' U
R' F' D2 U B R2 U
R F' D B2 U' F2 B'
R F' D B2 U' B' F2
F' D' R' F' B2 U2 R
F' D' R' B2 F' U2 R
F2 D' R' F' B2 U2 R
F2 D' R' B2 F' U2 R
R' F' B' D L2 U2 F2
R' F' B' D' B2 U2 R2
F D' R' F' B2 U2 R
R' F' B2 U' L2 F U'
F D' R' B2 F' U2 R
D' F2 R' F' L' B2 U2
D' F2 R' F' B2 L' U2
D' F2 R' B2 F' L' U2
D F2 R B D2 L2 R'
