F' U' L' R2 F B'
F' U' L' R2 B' F
F' U' L' F R2 B'
F' U' L' F R2 B'
F' U' L' F B' R2
F' U' L' B' R2 F
F' U' L' B' F R2
F' U' R2 L' F B'
F' U' R2 L' B' F
U' L' R2 D F B' L
U' L' R2 D B' F L
U' L' R2 D' F B' L'
U' L' R2 D' B' F L'
U' L' R2 F D B' L
U' L' R2 B' D' F L'
F2 L' U' R2 F L' B'
F2 L' U' F L' R2 B'
F2 L' U' F L' B' R2
F2 L' U' F R2 L' B'
U' L' F R2 D B' L
B L' F R2 D' B2 L
U' L' B' R2 D' F L'
F' R U L' R F B
F' R U L' R B F
F' R U R L' F B
F' R U R L' B F
F' R U R B L' F
F' R U' L' R F B'
F' R U' L' R B' F
F' R U' L' B' R F
F' R U' R L' F B'
F' R U' R L' B' F
L' U' R2 D' F L' B'
F' R' U' L' R' F B'
F' R' U' L' R' B' F
F' R' U' L' F R' B'
F' R' U' R' L' F B'
F' R' U' R' L' B' F
B' R' F' U' L' R' F
B' R' F' U' L' F R'
B' R' F' U' R' L' F
U' R2 L' D F B' L
U' R2 L' D B' F L
U' R2 L' D' F B' L'
U' R2 L' D' B' F L'
U' R2 L' F D B' L
U' R2 L' B' D' F L'
B R2 F' L' D' F B2
B R2 F' L' D' B2 F
B R2 F' L' F D' B2
F' R2 B L' D' F B2
F' R2 B L' D' B2 F
F' R2 B L' F D' B2
F' U L' R B R F
F' U L' F R B R
F' U R L' B R F
F' U R B L' R F
F' U R B R L' F
F' U' L' R B' R F
F' U' L' R' F R' B'
F' U' L' R2 D F B'
F' U' L' R2 D B' F
F' U' L' R2 D' F B'
F' U' L' R2 D' B' F
F' U' L' R2 D2 F B'
F' U' L' R2 D2 B' F
F' U' L' R2 F D B'
F' U' L' R2 F D' B'
F' U' L' R2 F D2 B'
F' U' L' R2 F B' D
F' U' L' R2 F B' D'
F' U' L' R2 F B' D2
F' U' L' R2 B' D F
F' U' L' R2 B' D' F
F' U' L' R2 B' D2 F
F' U' L' R2 B' F D
F' U' L' R2 B' F D'
F' U' L' R2 B' F D2
F2 U' L' R2 F B' L'
F2 U' L' R2 B' F L'
F' U' L' F R B' R
F' U' L' F R2 D B'
F' U' L' F R2 D' B'
F' U' L' F R2 D2 B'
F' U' L' F R2 B' D
F' U' L' F R2 B' D'
F' U' L' F R2 B' D2
F' U' L' F B R2 B2
F' U' L' F B' R2 D
F' U' L' F B' R2 D'
F' U' L' F B' R2 D2
F' U' L' F' R2 F2 B'
F' U' L' F' R2 B' F2
F' U' L' F' B' R2 F2
F' U' L' B R2 F B2
F' U' L' B R2 B2 F
F' U' L' B F R2 B2
F' U' L' B' R' F R'
F' U' L' B' R2 D F
F' U' L' B' R2 D' F
F' U' L' B' R2 D2 F
F' U' L' B' R2 F D
F' U' L' B' R2 F D'
F' U' L' B' R2 F D2
F2 U' L' F R2 B' L'
F' U' L' B' F R2 D
F' U' L' B' F R2 D'
F' U' L' B' F R2 D2
F' U' L' B' F' R2 F2
F2 U' L' F B' L' R2
F2 U' L' F B' R2 L'
F2 U' L' B' R2 F L'
F2 U' L' B' F L' R2
F2 U' L' B' F R2 L'
F' U' R L' B' R F
F' U' R' L' F R' B'
F' U' R2 L' D F B'
F' U' R2 L' D B' F
F' U' R2 L' D' F B'
F' U' R2 L' D' B' F
F' U' R2 L' D2 F B'
F' U' R2 L' D2 B' F
F' U' R2 L' F D B'
F' U' R2 L' F D' B'
F' U' R2 L' F D2 B'
F' U' R2 L' F B' D
F' U' R2 L' F B' D'
F' U' R2 L' F B' D2
F' U' R2 L' B' D F
F' U' R2 L' B' D' F
F' U' R2 L' B' D2 F
F' U' R2 L' B' F D
F' U' R2 L' B' F D'
F' U' R2 L' B' F D2
F2 U' R2 L' F B' L'
F2 U' R2 L' B' F L'
F' U' R2 B L' F B'
F' U' R2 B L' B' F
F' U' R2 B' L' F B'
F' U' R2 B' L' B' F
F2 U' R2 F L' F B'
F2 U' R2 F L' B' F
F' U' R2 B2 L' F B'
F' U' R2 B2 L' B' F
F2 U' F L' R2 F B'
F2 U' F L' R2 B' F
F2 U' F L' F R2 B'
F2 U' F L' F B' R2
F2 U' F L' B' R2 F
F2 U' F L' B' F R2
F2 U' F R2 L' F B'
F2 U' F R2 L' B' F
F' U' B L' R2 F B'
F' U' B L' R2 B' F
F' U' B L' F R2 B'
F' U' B L' F B' R2
F' U' B L' B' R2 F
F' U' B L' B' F R2
F' U' B R2 L' F B'
F' U' B R2 L' B' F
F U' F2 L' R2 F B'
