B' R2 F' R U' L'
F' L U2 L' R U' L'
F' L U2 R L' U' L'
F' L D F2 L' R U
F' L D F2 R L' U
F' L F2 L' R U L'
F' L F2 R L' U L'
F L F2 L2 R U L
F L F2 R L2 U L
F L' R U2 L U' L'
F' L' U L R U' R'
F' L' U R L U' R'
F L' U L' D F2 L'
F L' U F2 L' D F2
F L' U' R U' L U'
F L' U2 L U R U2
F L' F2 U L' D F2
F L' F2 U2 L U' L2
F' L2 U2 L2 R U' L'
F' L2 U2 R L2 U' L'
F L2 D L U F2 L'
F R L' U2 L U' L'
F' R U R U2 L' R'
F' R U R U2 R' L'
F' R U R' U2 L' R
F' R U R' U2 R L'
F' R U R2 U2 L' R2
F' R U R2 U2 R2 L'
F' R U' L' U2 L U2
F' R U' L' B2 R' B2
F' R U' L2 D2 L R2
F' R U' L2 D2 R2 L
F' R U' B2 L' B2 R'
F' R F2 U R U2 R'
F' R B U2 B' U L'
F' R B' U2 B U L'
F' R B2 U' L' D' R2
F' R B2 U' D' L' R2
F' R B2 U' D' R2 L'
F' R B2 U2 B2 U L'
F' R B2 D' U' L' R2
F' R B2 D' U' R2 L'
F' R' U' L' D B2 R'
F' R' U' D L' B2 R'
F' R' D U' L' B2 R'
B' R2 F' R U' L' D
B' R2 F' R U' L' D'
B' R2 F' R U' L' D2
B' R2 F' R U' D L'
B' R2 F' R U' D' L'
B' R2 F' R U' D2 L'
B' R2 F' R D U' L'
B' R2 F' R D' U' L'
B' R2 F' R D2 U' L'
B' R2 F' R B U' L'
B' R2 F' R B' U' L'
B' R2 F' R B2 U' L'
B' R2 F' D R U' L'
B' R2 F' D' R U' L'
B' R2 F' D2 R U' L'
B' R2 F' B R U' L'
B' R2 F' B' R U' L'
B' R2 F' B2 R U' L'
B' R2 B F' R U' L'
B' R2 B' F' R U' L'
B' R2 B2 F' R U' L'
F U R U L' U R'
F' U' L' R' D B2 R'
F' U' L' B2 R' D B2
F' U' R' L' D B2 R'
F' U' R' D L' B2 R'
F2 U' R' F' R U2 F
F2 U' F U2 L' F' B'
F2 U' F U2 L' B' F'
F2 U' F' R U2 F B
F2 U' F' R U2 B F
F U2 L' U' R U2 R'
F' U2 R U2 R' U L'
F' U2 R B2 L U' L2
B' U2 D' B U L B'
L' F L' U D F2 L'
L' F L' D U F2 L'
B' U2 F L' B U L
U2 F L' U2 F' U' L'
B' U2 F B L' U L2
L2 F L' F2 R U L'
L F L' U' R B U2
B' U2 B U D' L B'
B' U2 B D' U L B'
B' U2 B F L' U L2
D F U R F' U2 R'
D F U' R F' U2 F
L2 F D L' U F2 L'
L' F' U2 L R U' L2
L' F' U2 R L U' L2
D F' U' L' B2 R' B
L2 F' U2 L2 R U' L
L2 F' U2 R L2 U' L
B' D' U2 B U L B'
L F2 D R F' L' U
F' B R U2 B' U L'
B2 F D2 F2 R U' L'
R' B' R2 F' R U' L'
R2 B' R2 F' R U' L'
D2 B' U2 L B U L
R B' R2 F' R U' L'
B2 F' R U' L' D' R2
B2 F' R U' D' L' R2
B2 F' R U' D' R2 L'
B2 F' R U2 B2 U L'
D' B' U2 B U L B'
B2 F' R D' U' L' R2
B2 F' R D' U' R2 L'
B F' R U2 B' U L'
B2 F' D' R U' L' R
B2 F' D' R U' R L'
F' B2 R U' L' D' R2
F' B2 R U' D' L' R2
F' B2 R U' D' R2 L'
F' B2 R U2 B2 U L'
F' B2 R D' U' L' R2
F' B2 R D' U' R2 L'
F' B2 D' R U' L' R
F' B2 D' R U' R L'
F B2 D2 F2 R U' L'
