U L U2 F U' F'
U2 L B' U L' R'
U2 L B' U R' L'
B2 U' R' F' U' F
F U2 L U L' R
F U2 L U R L'
U L R U2 F U' F'
U L R' U2 F U' F'
U L R2 U2 F U' F'
B' L U' L' U' B' R'
B2 L U' L' R' F' U'
B2 L U' R' L' F' U'
F L U2 L' U' L R
F L U2 L' U' R L
U L U2 D F U' F'
U L U2 D' F U' F'
U L U2 D2 F U' F'
U L U2 F L U' F'
U L U2 F L' U' F'
U L U2 F L2 U' F'
U L U2 F U' D F'
U L U2 F U' D' F'
U L U2 F U' D2 F'
U L U2 F U' F' D
U L U2 F U' F' D'
U L U2 F U' F' D2
U L U2 F D U' F'
U L U2 F D' U' F'
U L U2 F D2 U' F'
U L D U2 F U' F'
U2 L D B' U L' R'
U2 L D B' U R' L'
U L D' U2 F U' F'
U2 L D' B' U L' R'
U2 L D' B' U R' L'
U L D2 U2 F U' F'
U2 L D2 B' U L' R'
U2 L D2 B' U R' L'
U2 L B U L' D2 R2
U2 L B U' L U2 L2
U2 L B' U L' R' D
U2 L B' U L' R' D'
U2 L B' U L' R' D2
U2 L B' U L' D R'
U2 L B' U L' D' R'
U2 L B' U L' D2 R'
U2 L B' U R' L' D
U2 L B' U R' L' D'
U2 L B' U R' L' D2
U2 L B' U R' D L'
U2 L B' U R' D' L'
U2 L B' U R' D2 L'
U2 L B' U D L' R'
U2 L B' U D R' L'
U2 L B' U D' L' R'
U2 L B' U D' R' L'
U2 L B' U D2 L' R'
U2 L B' U D2 R' L'
U2 L B' D U L' R'
U2 L B' D U R' L'
U2 L B' D' U L' R'
U2 L B' D' U R' L'
U2 L B' D2 U L' R'
U2 L B' D2 U R' L'
F' L' U L2 U2 L' U'
F' L' U' L U2 L U
B2 L' U' L R' F' U'
U L' U B' L2 U L2
B2 L' U' R' L F' U'
F' L' U' D' L U' B2
B2 L' U' R' F' L U'
F' L' U' D2 L R2 U'
F' L' U' D2 R2 L U'
F' L' D F2 U' L U'
F' L' D' U' L U' B2
F' L' D2 U' L R2 U'
F' L' D2 U' R2 L U'
U L' B L2 B2 U F
U L' B' L2 R2 U F'
U L' B' L2 U' B U2
U L' B' R2 L2 U F'
F' L' B2 U L2 R' U
F' L' B2 U R' L2 U
B2 L2 U' L2 R' F' U'
B2 L2 U' R' L2 F' U'
B2 L2 U' R' F' L2 U'
