R B U' B U2 B'
U2 L R D F L2 U'
U2 L R D2 F U' F
U2 L R F U B2 U2
U2 L R F U' D2 F2
U2 L R F D L2 U'
U2 L R F D2 U' F2
D L U2 L R F U'
D L U2 R L F U'
U2 L D R F L2 U'
U2 L D2 R F U' F
L' R B U' B U2 B'
L R B U' B U2 B'
L2 R B U' B U2 B'
R L B U' B U2 B'
U2 L' R D L2 F U'
U2 L' D L2 R F U'
U2 L' D R L2 F U'
R L' B U' B U2 B'
B' L2 U2 R U' F R
R L2 B U' B U2 B'
U2 L2 D2 R F' U' F'
U2 R L D F L2 U'
U2 R L D2 F U' F
U2 R L F U B2 U2
U2 R L F U' D2 F2
U2 R L F D L2 U'
U2 R L F D2 U' F2
U2 R L' D L2 F U'
U2 R U B L B U2
U2 R U' D2 F R F
U2 R U' F R D2 F2
U2 R U' F D2 R F2
U2 R U' F' D2 F2 R
U2 R D L F L U'
U2 R D2 L F U' F
U2 R D2 U' F R F
U2 R D2 F U' F R
D' R B R U2 R' U'
D2 R B U F2 D2 B2
B' R B U' B2 U2 B2
B2 R B U' B' U2 B
D' R B' R B2 L U
D R' U2 L2 F' R2 U'
B2 R' U2 F' R2 U' F
D R' U2 F' L2 R2 U'
D R' U2 F' R2 L2 U'
D2 R' D R2 B U B
R' U' B2 U' F' R2 U'
R U' B2 U B' U B'
D R' D2 L2 R2 B U
D R' D2 R2 L2 B U
D R' D2 R2 B L2 U
D R' F' L2 R2 B' U'
D R' F' L2 B' R2 U'
D R' F' R2 L2 B' U'
R' U2 D L2 F' U' B2
R' U2 D F' L2 U' B2
R' U2 F' R2 U B2 U2
R' U2 F' R2 U' D2 F2
R' U2 F' R2 D L2 U'
R' U2 F' R2 D2 U' F2
R' U2 F' D L2 U' B2
D' R2 U2 R F' R2 U'
D' R2 U2 R' U2 B U
D' R2 D2 B2 L B' U
D' R2 B2 D2 L B' U
R' D U2 L2 F' U' B2
R' D U2 F' L2 U' B2
U2 D L R F L U'
R' D F' L2 B' U' B'
U2 D L2 D2 R F' U'
U2 D R L F L U'
R' D' R2 D' L2 B U
R' D' R2 D' B L2 U
R' D' R2 D2 B U B
R' D' R2 B U D2 B2
R' D' R2 B U' F2 U2
R' D' R2 B D' L2 U
R' D' R2 B D2 U B2
R D' R2 U2 F' R2 U'
U2 D' R U2 R B U
R D' B R2 U D B2
R D' B R2 U2 R2 U'
R D' B R2 D U B2
R D' B R2 D2 L2 U
R' D2 L2 R2 B U F2
R' D2 L2 U2 F' U' F'
R' D2 L2 D R2 B U
D2 U2 L R F U' F
U2 D2 L R F U' F
D U2 L R F L U'
R' D2 R2 L2 B U F2
D2 U2 R L F U' F
D' U2 R U2 R B U
R' D2 R2 B L2 U F2
B U' B L U' R U'
D2 U2 R U' F R F
B' U' B' U' R U' R2
D2 U2 R F U' F R
B' U' B' U2 R' D B2
U2 D2 R L F U' F
D U2 L2 D2 R F' U'
U2 D2 R U' F R F
D U2 R L F L U'
U2 D2 R F U' F R
B2 U2 L R F U' F'
B' U2 R U B' U2 R'
B2 U2 R L F U' F'
B2 U2 R F' U' F R
B U2 R U' F R F'
R D2 B U F2 D2 B2
R2 D2 B2 L B' U F2
B2 U2 F' U' F R B
R' F' R2 D L2 B' U'
R' F' D L2 B' U' B'
D F2 L' F2 R B U
U' B L B U' R U'
R B L U' B U2 B'
R B L' U' B U2 B'
R B L2 U' B U2 B'
R B R2 U D F' B2
R B R2 U D B2 F'
R B R2 U F' D B2
R B R2 D U F' B2
R B R2 D U B2 F'
R B R2 D2 L2 U F'
R' B U2 F' R2 U' F'
R B U' D B U2 B'
R B U' D' B U2 B'
R B U' D2 B U2 B'
R B U' F B U2 B'
R B U' F' B U2 B'
R B U' F2 B U2 B'
R B U' B U2 D B'
R B U' B U2 D' B'
R B U' B U2 D2 B'
R B U' B U2 B' D
R B U' B U2 B' D'
R B U' B U2 B' D2
R B U' B D U2 B'
R B U' B D' U2 B'
R B U' B D2 U2 B'
R B U' B F U2 B'
R B U' B F' U2 B'
R B U' B F2 U2 B'
R B D U' B U2 B'
R B D' U' B U2 B'
R B D2 U' B U2 B'
U' B2 U' D' R F' U'
U' B2 U2 B R' D B2
R' B2 U2 F' R2 U' F
U' B2 D' U' R F' U'
