B R F2 L' U F
R2 L D' F' U' L2 F
F2 L D2 L2 B U F
B L F2 D2 L2 U F
F2 L B D2 L2 U F2
B L' R F2 L' U F'
F' L' R2 F' B U' F2
R2 L' D' F' U' L2 F2
R2 L' D' F' U' F2 L2
F' L' R2 B F' U' F2
B L' U D' F L2 B'
R2 L' D2 F' B2 U' F2
R2 L' D2 B2 F' U' F2
F2 L' U2 R2 F' U' F2
R2 L' F' U2 F' U F'
F2 L' D B U F B
F2 L' D B U B F
B' L' D' R2 F L2 B'
B' L' D' F L2 R2 B'
B' L' D' F L2 B' R2
B' L' D' F R2 L2 B'
B L' D' U F L2 B'
B L' F2 U D F' B2
B L' F2 U D B2 F'
B L' F2 U F' D B2
B L' F2 D U F' B2
B L' F2 D U B2 F'
B L' F2 D2 L2 U F'
F2 L' B U D F B2
F2 L' B U D B2 F
F2 L' B U F D B2
F2 L' B U2 R2 U' F
F2 L' B D U F B2
F2 L' B D U B2 F
L' R2 D' F' U' L2 F2
L' R2 D' F' U' F2 L2
L R2 D' F' U' L2 F
L' R2 D2 F' B2 U' F2
L' R2 D2 B2 F' U' F2
L' R2 F' U2 F' U F'
D2 L2 D B R' U L2
B R L' F2 L' U F'
B' R F2 L' B2 U F
B R F2 L' R U F
B R F2 L' R' U F
B R F2 L' R2 U F
B R F2 L' U D F
B R F2 L' U D' F
B R F2 L' U D2 F
B R F2 L' U F D
B R F2 L' U F D'
B R F2 L' U F D2
B R F2 L' D U F
B R F2 L' D' U F
B R F2 L' D2 U F
B R F2 R L' U F
B R F2 R' L' U F
B R F2 R2 L' U F
B' R F2 B2 L' U F
B2 R F2 B' L' U F
B2 R B' F2 L' U F
B' R B2 F2 L' U F
F' R2 L' F' B U' F2
F' R2 L' B F' U' F2
F' R2 F' L' B U' F
F' R2 F' B L' U' F
F' R2 B L' F' U' F2
F' R2 B F' L' U' F
B U L' D' F L2 B'
L' D' F L2 B' D' R2
R2 D' F' B' L U' L
L' D' B U F L2 B'
R2 D' B' L F' U' L
R2 D' B' F' L U' L
F2 U2 L' R2 F' U' F2
F2 U2 R2 L' F' U' F2
F2 U2 R2 F' L' U' F
R2 F L' F2 U' F' L'
D' F B R' U L2 B'
R2 F' L' U' F D' L2
R2 F' L' U2 F' U F2
L' F' R2 F' B U' F'
L' F' R2 B F' U' F'
R2 F' U' L' F D' L2
R2 F' U2 D F' R U
R2 F' D U2 F' R U
R F2 L' R' B U F
R F2 L' R2 U F R
F2 D' B R' U D2 B2
F2 D' B R' U' F2 U2
F2 D' B R' D' L2 U
F2 D' B R' D2 U B2
F2 D' B D' L2 R' U
F2 D' B D' R' L2 U
F2 D' B D2 R' U B2
R F2 R' L' B U F
D' F2 U B R' U L2
R F2 R' B L' U F
R F2 R2 L' U F R
L' F2 D B U F' B
L' F2 D B U B F'
F2 D2 L2 D B R' U
F2 D2 L2 B R U F'
L' F2 D2 L2 B U F'
L' F2 D2 B L2 U F'
L' F2 B U D F' B2
L' F2 B U D B2 F'
L' F2 B U F' D B2
L' F2 B D U F' B2
L' F2 B D U B2 F'
L' F2 B D2 L2 U F'
L F2 D2 L2 B U F
L F2 B D2 L2 U F2
U' B R F2 L' U F
L' B R F2 L' U F'
D' B R' U L2 D2 B2
D' B R' U' F2 U2 L2
U2 B R F2 L' U F
D' B R' F U L2 B'
F2 D2 B L2 R U F'
F2 D2 B R L2 U F'
U B R F2 L' U F
L' B U D' F L2 B'
F2 B L D2 L2 U F
F2 B L' U D F B2
F2 B L' U D B2 F
F2 B L' U F D B2
F2 B L' U2 R2 U' F
F2 B L' D U F B2
F2 B L' D U B2 F
L' B D' U F L2 B'
D' B D2 R' U B2 L
D' B F R' U L2 B'
L' B F2 U D F' B2
L' B F2 U D B2 F'
L' B F2 U F' D B2
L' B F2 D U F' B2
L' B F2 D U B2 F'
L' B F2 D2 L2 U F'
F2 B U2 L' R2 U' F
F2 B U2 R2 L' U' F
L B F2 D2 L2 U F2
F' B D F' R U B2
F2 B D2 L2 R U F'
F2 B D2 R L2 U F'
L' B' D' R2 F L2 B'
L' B' D' F L2 R2 B'
L' B' D' F L2 B' R2
L' B' D' F R2 L2 B'
L B' D L2 R2 U2 B2
L B' D R2 L2 U2 B2
L B' D' F2 U2 L2 R2
L B' D' F2 U2 R2 L2
B F' D F' R U B2
B F2 L D2 L2 U F
B F2 L' U D F B2
B F2 L' U D B2 F
B F2 L' U F D B2
B F2 L' U2 R2 U' F
B F2 L' D U F B2
B F2 L' D U B2 F
B F2 U2 L' R2 U' F
B F2 U2 R2 L' U' F
B F2 D2 L2 R U F'
B F2 D2 R L2 U F'
