F' L' R U' B L
F' R L' U' B L
F2 U2 F L' U' B'
F' L' R U' L B L
F' L' R U' L' B L
F' L' R U' L2 B L
F' L' R U' D B L
F' L' R U' D' B L
F' L' R U' D2 B L
F' L' R U' B L D
F' L' R U' B L D'
F' L' R U' B L D2
F' L' R U' B D L
F' L' R U' B D' L
F' L' R U' B D2 L
F' L' R D U' B L
F' L' R D' U' B L
F' L' R D2 U' B L
F' L' R2 D B R' U'
F' L' R2 B R' U' B
F' L' U2 L' F' U B'
F' L' U2 F' L' U B'
F' L' D R U' B L
F' L' D' R U' B L
F' L' D2 R U' B L
F' L' B R U' B L
F' L' B' R U' B L
F' L' B2 R U' B L
F' R L' U' L B L
F' R L' U' L' B L
F' R L' U' L2 B L
F' R L' U' D B L
F' R L' U' D' B L
F' R L' U' D2 B L
F' R L' U' B L D
F' R L' U' B L D'
F' R L' U' B L D2
F' R L' U' B D L
F' R L' U' B D' L
F' R L' U' B D2 L
F' R L' D U' B L
F' R L' D' U' B L
F' R L' D2 U' B L
F' R U' B L D F2
F2 R U2 F L' U' B
F' R D L' U' B L
F' R D' L' U' B L
F R D F U B R2
F' R D2 L' U' B L
F R D2 F B2 U B'
F R D2 B2 F U B'
F R F L2 B' U B2
F R F U2 F U' B
D2 R B2 U' B' R' F'
F' R2 L' D B R' U'
F' R2 L' B R' U' B
F' R2 D L' B R' U'
F' R2 D B L' R' U'
F' R2 D B R' L' U'
F' R2 B L' R' U' B
F' R2 B R' L' U' B
F2 U F L' R U' L
F2 U F R L' U' L
F2 U2 R F L' U' B'
F2 U2 R' F L' U' B'
F2 U2 R2 F L' U' B'
R D2 B2 U' B' R' F'
F2 U2 F L' R U' B'
F2 U2 F L' R' U' B'
F2 U2 F L' R2 U' B'
F2 U2 F L' U' D B'
F2 U2 F L' U' D' B'
F2 U2 F L' U' D2 B'
F2 U2 F L' U' B' D
F2 U2 F L' U' B' D'
F2 U2 F L' U' B' D2
F2 U2 F L' D U' B'
F2 U2 F L' D' U' B'
F2 U2 F L' D2 U' B'
F2 U2 F R L' U' B'
F2 U2 F R' L' U' B'
F2 U2 F R2 L' U' B'
F2 U2 F D L' U' B'
F2 U2 F D' L' U' B'
F2 U2 F D2 L' U' B'
F' D L' R U' B L
F' D R L' U' B L
D' F' L' R U' L' B
D' F' L' R U' B L'
D2 F' L' R B2 U' B'
L' F' L' R U' B L
L2 F' L' R U' B L
D2 F' L' B2 R U' B
L F' L' R U' B L
D' F' R L' U' L' B
D' F' R L' U' B L'
D2 F' R L' B2 U' B'
L' F' R L' U' B L
L2 F' R L' U' B L
L F' R L' U' B L
F' D' L' R U' B L
F' D' R L' U' B L
D2 F' B2 L' R U' B
D2 F' B2 R L' U' B
U2 F2 L' U B' R' F'
F' D2 L' R U' B L
L' F2 U2 F L' U' B'
L2 F2 U2 F L' U' B'
L F2 U2 F L' U' B'
F' D2 R L' U' B L
F D2 R F B2 U B'
F D2 R B2 F U B'
F D2 B2 R F U B
F' B L' R U' B L
F' B R L' U' B L
F2 B U2 F L' U' B'
B' F' L' R U' B L
F' B' L' R U' B L
B2 F' L' R U' B L
B F' L' R U' B L
B' F' R L' U' B L
F' B' R L' U' B L
B2 F' R L' U' B L
B F' R L' U' B L
F2 B' U2 F L' U' B'
F' B2 L' R U' B L
F' B2 R L' U' B L
B' F2 U2 F L' U' B'
B2 F2 U2 F L' U' B'
F2 B2 U2 F L' U' B'
B F2 U2 F L' U' B'
D2 B2 F' L' R U' B
D2 B2 F' R L' U' B
