B R D F L B2
B R F L D B2
B R F D L B2
D R F B L B'
D R B F L B'
B R' U' R2 F L
B R' U' F L R2
B R' U' F R2 L
D' R' F B L R2
D' R' F B R2 L
D' R' B R2 F L
D' R' B F L R2
D' R' B F R2 L
R D F B L B'
R D B F L B'
R2 D' R' F B L
R2 D' R' B F L
R2 D' F R' B L
R2 F D' R' B L
R F D B L B'
D B R F L B'
L' R D B L F B'
L' R D B L B' F
B L D2 R D F' B2
B L D2 R D B2 F'
B L D2 R F' D B2
D' L' R' B L R2 F
D' L' R' B L F R2
D' L' R' B R2 L F
R L' D B L F B'
R L' D B L B' F
R2 L' D' R' B L F
B' L' D' B2 L R F
B' L' D' B2 R L F
L' R2 D' R' B L F
R U R B R' U' F
D' L2 B' R' U2 B R2
B R U R2 U' F L
U R U B R' U' F
D' R U2 F' U2 L' F2
B R D F L B2 D
B R D F L B2 D'
B R D F L B2 D2
B R D F L' B2 L2
B R D F L2 B2 L'
B R D F' L F2 B2
B R D F' L B2 F2
B R D F2 L F' B2
B R D F2 L B2 F'
D2 R D' F B L B'
D2 R D' B F L B'
B R D' F L2 B' L'
B R D2 F D' L B2
D R F L B L B2
B R F L U R2 U'
B R F L D B2 D
B R F L D B2 D'
B R F L D B2 D2
B R F L B D B2
B R F L B' D B2
B R F L B2 D B2
B R F L2 D L' B2
B R F L2 D B2 L'
D2 R F B L D' B2
D' R F D2 B L B
D' R F B L D2 B2
D' R F B D2 L B2
D' R F B' D2 B2 L
B R F U R2 U' L
B R F D L B2 D
B R F D L B2 D'
B R F D L B2 D2
B R F D L' B2 L2
B R F D L2 B2 L'
B R F D' L D2 B2
D R F B L D B'
D R F B L D' B'
D R F B L D2 B'
D R F B L B' D
D R F B L B' D'
D R F B L B' D2
U R F U B R' U'
D R F B2 L B' L
B R F B2 D B2 L
B R F' L F2 D B2
D R F' B L F2 B'
D R F' B L B' F2
B R F2 L D F' B2
B R F2 L D B2 F'
B R F2 L F' D B2
B R F2 D L F' B2
B R F2 D L B2 F'
B R F2 D F' L B2
D R F2 B L F' B'
D R F2 B L B' F'
D2 R B D' F L B'
D2 R B F L D' B2
D' R B F L D2 B2
D' R B F D2 L B2
U R B R' U' R F
D R B F L D B'
D R B F L D' B'
D R B F L D2 B'
D R B F L B' D
D R B F L B' D'
D R B F L B' D2
D R B F' L F2 B'
D R B F' L B' F2
D R B F2 L F' B'
D R B F2 L B' F'
D' R B' F D2 B2 L
B R B2 D F B2 L
B R B2 D B2 F L
D R B2 F L B' L
B R B2 F D B2 L
D' R' L' B L R2 F
D' R' L' B L F R2
D' R' L' B R2 L F
B R' U F L R2 B
B R' U F R2 L B
B R' U' R' F L R'
B R' U' R' F R' L
B R' U' R2 D F L
B R' U' R2 D' F L
B R' U' R2 D2 F L
B R' U' R2 F L D
B R' U' R2 F L D'
B R' U' R2 F L D2
B R' U' R2 F D L
B R' U' R2 F D' L
B R' U' R2 F D2 L
B R' U' R2 F' L F2
B R' U' R2 F2 L F'
B R' U' F L R2 D
B R' U' F L R2 D'
B R' U' F L R2 D2
B R' U' F R2 L D
B R' U' F R2 L D'
B R' U' F R2 L D2
B R' U' F R2 D L
B R' U' F R2 D' L
B R' U' F R2 D2 L
B R' U' F' L R2 F2
B R' U' F' L F2 R2
B R' U' F' R2 L F2
B R' U' F' R2 F2 L
B R' U' F2 L F' R2
B R' D' F2 U' L F'
B R' D' F2 U' F' L
D' R' F L B L R2
D' R' F L B R2 L
D' R' F L' B L R2
D' R' F L' B R2 L
D' R' F L2 B L R2
D' R' F L2 B R2 L
B R' F L R2 D B2
D' R' F B L R2 D
D' R' F B L R2 D'
D' R' F B L R2 D2
D' R' F B R2 L D
D' R' F B R2 L D'
D' R' F B R2 L D2
D' R' F B R2 D L
D' R' F B R2 D' L
D' R' F B R2 D2 L
D' R' F B2 R2 B' L
B R' F R2 L D B2
D R' F R2 B L B'
B R' F R2 D L B2
D R' F B L R2 B'
D R' F B L B' R2
D R' F B R2 L B'
D' R' F' B L R2 F2
D' R' F' B L F2 R2
D' R' F' B R2 L F2
D' R' F' B R2 F2 L
B R' F' U' L R2 F2
