F' L' U R2 F' U2
F' L' U' D2 L2 B
F' L' U' D2 B L2
F' L' U' B D2 L2
F' L' D B2 U' B'
F' L' D2 U' L2 B
F' L' D2 U' B L2
F' D L' B2 U' B'
D2 F' L' U' L' B
D2 F' L' U' B L'
D F' L' B2 U' B'
F' D2 L' U' L' B
F' D2 L' U' B L'
F' L D B2 U' F2 B'
F' L D B2 U' B' F2
D2 L F' L' U' L2 B
D2 L F' L' U' B L2
D L F' L' B2 U' B'
F' L' R U R F' U2
F' L' U R2 D F' U2
F' L' U R2 D' F' U2
F' L' U R2 D2 F' U2
F' L' U R2 F' U2 D
F' L' U R2 F' U2 D'
F' L' U R2 F' U2 D2
F' L' U R2 F' D U2
F' L' U R2 F' D' U2
F' L' U R2 F' D2 U2
F' L' U F R2 F' U2
F' L' U F' R2 F' U2
F' L' U F2 R2 F' U2
F' L' U' L D2 L2 B
F' L' U' L D2 B L2
F' L' U' L B D2 L2
F' L' U' L' D2 L2 B
F' L' U' L' D2 B L2
F' L' U' L' B D2 L2
F' L' U' L2 D2 L2 B
F' L' U' L2 D2 B L2
F' L' U' L2 B D2 L2
F' L' U' D' B D' L2
F' L' U' D2 L' B L'
F' L' U' D2 L2 D B
F' L' U' D2 L2 D' B
F' L' U' D2 L2 D2 B
F' L' U' D2 L2 B D
F' L' U' D2 L2 B D'
F' L' U' D2 L2 B D2
F' L' U' D2 B L2 D
F' L' U' D2 B L2 D'
F' L' U' D2 B L2 D2
F' L' U' D2 B' L2 B2
F' L' U' B L D2 L2
F' L' U' B L' D2 L2
F' L' U' B L2 D2 L2
F' L' U' B U2 R2 U2
F' L' U' B D2 L2 D
F' L' U' B D2 L2 D'
F' L' U' B D2 L2 D2
F' L' U' B2 D2 B' L2
F' L' U2 D' F2 U B
F' L' D B2 R U' B'
F' L' D B2 R' U' B'
F' L' D B2 R2 U' B'
F' L' D B2 U' D B'
F' L' D B2 U' D' B'
F' L' D B2 U' D2 B'
F' L' D B2 U' B' D
F' L' D B2 U' B' D'
F' L' D B2 U' B' D2
F' L' D B2 D U' B'
F' L' D B2 D' U' B'
F' L' D B2 D2 U' B'
F' L' D' U' B D' L2
F' L' D' U2 F2 U B
F' L' D2 U' L' B L'
F' L' D2 U' L2 D B
F' L' D2 U' L2 D' B
F' L' D2 U' L2 D2 B
F' L' D2 U' L2 B D
F' L' D2 U' L2 B D'
F' L' D2 U' L2 B D2
F' L' D2 U' B L2 D
F' L' D2 U' B L2 D'
F' L' D2 U' B L2 D2
F' L' D2 U' B' L2 B2
F' L' D2 B' U' L2 B2
F' L' D2 B' U' B2 L2
F' L' D2 B2 U' B' L2
D L' F' L' B2 U' B'
F' L' B D B2 U' B2
F' L' B' R' U' B2 L
F' L' B' U R2 U2 B2
F' L' B' U' B2 D2 L2
F' L' B2 U R2 U2 B'
F' L' B2 U' D2 B' L2
F' L' B2 U' B' D2 L2
F' L' B2 D B2 U' B
F' L' B2 D2 U' B' L2
F' L2 D L B2 U' B'
F' L2 D2 L U' L B
D2 L2 F' L' U' L B
D L2 F' L' B2 U' B'
R U R F' L' B' U2
F' R L' U R F' U2
R U' R F' B L U2
R U' R B L F' U2
R U' R B F' L U2
F' R2 F' U' F L' U'
F2 R2 F' U' F2 L' U'
L' D F' L' B2 U' B'
L2 D F' L' B2 U' B'
L D F' L' B2 U' B'
L' D2 F' L' U' L' B
L' D2 F' L' U' B L'
L2 D2 F' L' U' L' B
L2 D2 F' L' U' B L'
L D2 F' L' U' L' B
L D2 F' L' U' B L'
F' D L' U' D L2 B
F' D L' U' D B L2
F' D L' D U' L2 B
F' D L' D U' B L2
F' D L' B2 R U' B'
F' D L' B2 R' U' B'
F' D L' B2 R2 U' B'
F' D L' B2 U' D B'
F' D L' B2 U' D' B'
F' D L' B2 U' D2 B'
F' D L' B2 U' B' D
F' D L' B2 U' B' D'
F' D L' B2 U' B' D2
F' D L' B2 D U' B'
F' D L' B2 D' U' B'
F' D L' B2 D2 U' B'
D2 F' L' U' L B L2
D2 F' L' U' L' D B
D2 F' L' U' L' D' B
D2 F' L' U' L' D2 B
D2 F' L' U' L' B D
D2 F' L' U' L' B D'
D2 F' L' U' L' B D2
D2 F' L' U' D L' B
D2 F' L' U' D B L'
D2 F' L' U' D' L' B
D2 F' L' U' D' B L'
D2 F' L' U' D2 L' B
D2 F' L' U' D2 B L'
D2 F' L' U' B L' D
D2 F' L' U' B L' D'
D2 F' L' U' B L' D2
D2 F' L' U' B D L'
D2 F' L' U' B D' L'
D2 F' L' U' B D2 L'
D2 F' L' U' B' L' B2
D' F' L' U2 F' U B
L' F' L' U R2 F' U2
D2 F' L' D U' L' B
D2 F' L' D U' B L'
L' F' L' U' D2 L2 B
L' F' L' U' D2 B L2
D2 F' L' D' U' L' B
D2 F' L' D' U' B L'
L' F' L' U' B D2 L2
D2 F' L' D2 U' L' B
D2 F' L' D2 U' B L'
L' F' L' D B2 U' B'
L' F' L' D2 U' L2 B
L' F' L' D2 U' B L2
D2 F' L' B' U' L' B2
D2 F' L' B' U' B2 L'
L2 F' L' U R2 F' U2
D2 F' L' B2 U' B' L'
L2 F' L' U' D2 L2 B
L2 F' L' U' D2 B L2
L2 F' L' U' B D2 L2
L2 F' L' D B2 U' B'
L2 F' L' D2 U' L2 B
L2 F' L' D2 U' B L2
D F' L' U' D L2 B
D F' L' U' D B L2
D F' L' D U' L2 B
D F' L' D U' B L2
L F' L' U R2 F' U2
L F' L' U' D2 L2 B
L F' L' U' D2 B L2
L F' L' U' B D2 L2
D F' L' B2 R U' B'
D F' L' B2 R' U' B'
D F' L' B2 R2 U' B'
D F' L' B2 U' D B'
D F' L' B2 U' D' B'
D F' L' B2 U' D2 B'
D F' L' B2 U' B' D
D F' L' B2 U' B' D'
D F' L' B2 U' B' D2
D F' L' B2 D U' B'
D F' L' B2 D' U' B'
D F' L' B2 D2 U' B'
L F' L' D B2 U' B'
L F' L' D2 U' L2 B
L F' L' D2 U' B L2
B2 D F' B2 L' U' B
B D F' L' B2 U' B2
B D F' B2 L' U' B2
F' D B L' B U' B'
B2 D B2 F' L' U' B
R2 F' U B U2 L' U'
R2 F' U' L' U2 B U
B D B2 F' L' U' B2
F' D' L' U' D' L2 B
F' D' L' U' D' B L2
F' D' L' U' B D' L2
F' D' L' U2 F2 U B
F' D' L' D' U' L2 B
F' D' L' D' U' B L2
F' D' L' D2 B2 U' B'
L' F' D L' B2 U' B'
L2 F' D L' B2 U' B'
D2 F' D' L' B2 U' B'
D F' D L' U' L' B
D F' D L' U' B L'
L F' D L' B2 U' B'
L' F' D2 L' U' L' B
L' F' D2 L' U' B L'
L2 F' D2 L' U' L' B
L2 F' D2 L' U' B L'
D2 F' B' L' U' L' B2
D2 F' B' L' U' B2 L'
L F' D2 L' U' L' B
L F' D2 L' U' B L'
D F' B L' B U' B'
B' D' F' L' R2 B U'
B' D' F' R2 L' B U'
B' D' F' R2 B L' U'
D' F2 U2 F L' U' B
F' D2 L' U' L B L2
F' D2 L' U' L' D B
F' D2 L' U' L' D' B
F' D2 L' U' L' D2 B
F' D2 L' U' L' B D
F' D2 L' U' L' B D'
F' D2 L' U' L' B D2
F' D2 L' U' D L' B
F' D2 L' U' D B L'
F' D2 L' U' D' L' B
F' D2 L' U' D' B L'
F' D2 L' U' D2 L' B
F' D2 L' U' D2 B L'
F' D2 L' U' B L' D
F' D2 L' U' B L' D'
F' D2 L' U' B L' D2
F' D2 L' U' B D L'
F' D2 L' U' B D' L'
F' D2 L' U' B D2 L'
F' D2 L' U' B' L' B2
F' D2 L' D U' L' B
F' D2 L' D U' B L'
F' D2 L' D' U' L' B
F' D2 L' D' U' B L'
F' D2 L' D2 U' L' B
F' D2 L' D2 U' B L'
F' D2 L' B' U' L' B2
F' D2 L' B' U' B2 L'
F' D2 L' B2 U' B' L'
F' D2 B' L' U' L' B2
F' D2 B' L' U' B2 L'
F D2 B2 R U B' L2
F' B L' D B2 U' B2
D B F' L' B U' B'
F' B D L' B2 U' B2
F' B D B2 L' U' B2
B' F' L' R' U' B2 L
B' F' L' U R2 U2 B2
B' F' L' U' B2 D2 L2
F' B' L' R' U' B2 L
F' B' L' U R2 U2 B2
F' B' L' U' B2 D2 L2
B F' L' D B2 U' B2
B' F' R' L' U' B2 L
F' B' R' L' U' B2 L
D2 B' F' L' U' L' B2
D2 B' F' L' U' B2 L'
B2 F' D B2 L' U' B
B F' D L' B2 U' B2
B F' D B2 L' U' B2
D B2 L F' L' U' B'
D B2 R U' B' R' F'
F' B2 D B2 L' U' B
