U2 L' U R' F' U2 R
D' L' F R U R2 U2
D' L' F R U' D2 L2
D' L' F R D B2 U'
D' L' F R D2 U' L2
D' L' F B2 R U' L
D' L' B2 F R U' L
L' U L R' F L' U2
L' U L F L' R' U2
L' U L F R' L' U2
L' U R' L F L' U2
L' U R' F L' U2 B'
L' U R' F' U2 R B
L' U F L' R' U2 B'
L' U F R' L' U2 B'
F R U L' R2 B' U2
F R U L' B' R2 U2
F R U R2 L' B' U2
L' U' R D2 L2 B R'
L' U' R D2 B L2 R'
L' U' R D2 B R' L2
L' U' R' F' U2 R F
U' R' F' U2 D R F'
U' R' F' D U2 R F'
L' F R U L' R2 U2
L' F R U R2 L' U2
B2 D' L' F R U' L2
D' B2 L' F R U' L2
