F' R U D L2 B
F' R U D B L2
D R U L2 F' B
D R U L2 B F'
D R U F' L2 B
D R U F' B L2
D R U B L2 F'
D R U B F' L2
F' R U2 B2 U' B'
F' R D U L2 B
F' R D U B L2
F' R D2 F2 U B
F U2 L' B2 U' B
F U2 B2 L' U' B'
F' D R U L2 B
F' D R U B L2
F' D2 R F2 U B
F D2 F2 R U B
F' L R U D L2 B
F' L R U D B L2
D L R U L F' B
D L R U L B F'
F' L R U2 B2 U' B'
D L R U F' L B
F' L R D U L2 B
F' L R D U B L2
F' L R D2 F2 U B
F' L D R U L2 B
F' L D R U B L2
F' L D2 R F2 U B
F' L' R U D L2 B
F' L' R U D B L2
D L' R U L' F' B
D L' R U L' B F'
F' L' R U2 B2 U' B'
D L' R U B L' F'
F' L' R D U L2 B
F' L' R D U B L2
F' L' R D2 F2 U B
F' L' D R U L2 B
F' L' D R U B L2
F' L' D2 R F2 U B
F' L2 R U D L2 B
F' L2 R U D B L2
F' L2 R U2 B2 U' B'
F' L2 R D U L2 B
F' L2 R D U B L2
F' L2 R D2 F2 U B
F' L2 D R U L2 B
F' L2 D R U B L2
F' L2 D2 R F2 U B
F' R L U D L2 B
F' R L U D B L2
F' R L U2 B2 U' B'
F' R L D U L2 B
F' R L D U B L2
F' R L D2 F2 U B
D R L U L F' B
D R L U L B F'
D R L U F' L B
F' R L' U D L2 B
F' R L' U D B L2
F' R L' U2 B2 U' B'
F' R L' D U L2 B
F' R L' D U B L2
F' R L' D2 F2 U B
D R L' U L' F' B
D R L' U L' B F'
D R L' U B L' F'
F' R L2 U D L2 B
F' R L2 U D B L2
F' R L2 U2 B2 U' B'
F' R L2 D U L2 B
F' R L2 D U B L2
F' R L2 D2 F2 U B
F' R U L D L2 B
F' R U L D B L2
F' R U L' D L2 B
F' R U L' D B L2
F' R U L2 D L2 B
F' R U L2 D B L2
F' R U D L' B L'
F' R U D L2 D B
F' R U D L2 D' B
F' R U D L2 D2 B
F' R U D L2 B D
F' R U D L2 B D'
F' R U D L2 B D2
D R U L F' L B
F' R U D B L2 D
F' R U D B L2 D'
F' R U D B L2 D2
F' R U D B' L2 B2
F' R U D' B D2 L2
D R U L' B L' F'
F' R U D2 B D' L2
D R U L2 D F' B
D R U L2 D B F'
D R U L2 D' F' B
D R U L2 D' B F'
D R U L2 D2 F' B
D R U L2 D2 B F'
D R U L2 F' D B
D R U L2 F' D' B
D R U L2 F' D2 B
D R U L2 F' B D
D R U L2 F' B D'
D R U L2 F' B D2
D R U L2 B D F'
D R U L2 B D' F'
D R U L2 B D2 F'
D R U L2 B F' D
D R U L2 B F' D'
D R U L2 B F' D2
D' R U F2 L' F B
D' R U F2 L' B F
D' R U F2 B L' F
F' R U B U B U'
D' R U B F2 L' F
D R U F L2 F2 B
D R U F L2 B F2
D R U F B L2 F2
D R U F' L' B L'
D R U F' L2 D B
D R U F' L2 D' B
D R U F' L2 D2 B
D R U F' L2 B D
D R U F' L2 B D'
D R U F' L2 B D2
D R U F' B L2 D
D R U F' B L2 D'
D R U F' B L2 D2
D R U F' B' L2 B2
D R U B L F' L
D R U B L2 D F'
D R U B L2 D' F'
D R U B L2 D2 F'
D R U B L2 F' D
D R U B L2 F' D'
D R U B L2 F' D2
D R U B F L2 F2
D R U B F' L2 D
D R U B F' L2 D'
D R U B F' L2 D2
D R U B' L2 F' B2
D R U B' L2 B2 F'
D R U B' F' L2 B2
F' R U' D' R2 F' U2
F R U2 L' B2 U' B'
F' R U2 B2 R U' B'
F' R U2 B2 R' U' B'
F' R U2 B2 R2 U' B'
F' R U2 B2 U' D B'
F' R U2 B2 U' D' B'
F' R U2 B2 U' D2 B'
F' R U2 B2 U' B' D
F' R U2 B2 U' B' D'
F' R U2 B2 U' B' D2
F' R U2 B2 D U' B'
F' R U2 B2 D' U' B'
F' R U2 B2 D2 U' B'
F' R D L U L B
F' R D L' U L' B
F' R D L' U B L'
F' R D U L' B L'
F' R D U L2 D B
F' R D U L2 D' B
F' R D U L2 D2 B
F' R D U L2 B D
F' R D U L2 B D'
F' R D U L2 B D2
F' R D U B L2 D
F' R D U B L2 D'
F' R D U B L2 D2
F' R D U B' L2 B2
F' R D F U L2 B
F' R D F U B L2
F' R D F' U L2 B
F' R D F' U B L2
F' R D F2 U L2 B
F' R D F2 U B L2
D R D F2 U F B
D R D F2 U B F
F' R D' U B D2 L2
F' R D' U' R2 F' U2
F' R D2 L F2 U B
F' R D2 L' F2 U B
F' R D2 L2 F2 U B
F' R D2 U B D' L2
F' R D2 F2 L U B
F' R D2 F2 L' U B
F' R D2 F2 L2 U B
F' R D2 F2 U D B
F' R D2 F2 U D' B
F' R D2 F2 U D2 B
F' R D2 F2 U B D
F' R D2 F2 U B D'
F' R D2 F2 U B D2
F' R D2 F2 D U B
F' R D2 F2 D' U B
F' R D2 F2 D2 U B
F' R F U D L2 B
