D' L' F' B' L R'
D' L' F' B' R' L
D' L' B' L F' R'
D' L' B' F' L R'
D' L' B' F' R' L
D F L' F2 B' R'
D F L' B' R' F2
D F L' B' F2 R'
D' F' L' B' L R'
D' F' L' B' R' L
F2 D F L' B' R'
L' F' D' B' L2 R'
L' F' D' B' R' L2
F' D' L' B' L R'
F' D' L' B' R' L
L' F' B' R' D' L2
L' F' B' D' L2 R'
L' F' B' D' R' L2
L' B' F' R' D' L2
L' B' F' D' L2 R'
L' B' F' D' R' L2
U' L F R B' U' F2
B L F U' B' U' F2
U' L F B' R U' F2
L' R B' R' F' D' L2
U' L B' F R U' F2
D' L' R B' L R' F'
D' L' R B' R' L F'
D' L' R B' R' F' L
F' L' U' F U B' R'
D2 L' D F' B' L R'
D2 L' D F' B' R' L
D2 L' D B' L F' R'
D2 L' D B' F' L R'
D2 L' D B' F' R' L
R L' B' R' F' D' L2
D L' D2 F' B' L R'
D L' D2 F' B' R' L
D L' D2 B' L F' R'
D L' D2 B' F' L R'
D L' D2 B' F' R' L
B' L' F U R' F2 B'
B' L' F U R' B' F2
B' L' F U F2 R' B'
D' L' F B' L R' F2
D' L' F B' L F2 R'
D' L' F B' R' L F2
D' L' F B' R' F2 L
D L' F B' L' R' F2
D L' F B' L' F2 R'
D L' F B' R' L' F2
D' L' F' R B' L R'
D' L' F' R B' R' L
D' L' F' R' B' L R'
D' L' F' R' B' R' L
D' L' F' R2 B' L R'
B' L' F' R' D' B' L2
D' L' F' R2 B' R' L
B' L' F' R' B' D' L2
D2 L' F' D B' L R'
D2 L' F' D B' R' L
B' L' F' D' R' B' L2
D' L' F' B' L R' D
D' L' F' B' L R' D'
D' L' F' B' L R' D2
D' L' F' B' L D R'
D' L' F' B' L D' R'
D' L' F' B' L D2 R'
D' L' F' B' R' L D
D' L' F' B' R' L D'
D' L' F' B' R' L D2
D' L' F' B' R' D L
D' L' F' B' R' D' L
D' L' F' B' R' D2 L
D' L' F' B' D L R'
D' L' F' B' D R' L
D' L' F' B' D' L R'
D' L' F' B' D' R' L
D' L' F' B' D2 L R'
D' L' F' B' D2 R' L
D L' F' B' R' D2 L2
D' L' F2 B' R' F L
D' L' B' L D F' R'
D' L' B' L D' F' R'
D' L' B' L D2 F' R'
D' L' B' L F R' F2
D' L' B' L F' R' D
D' L' B' L F' R' D'
D' L' B' L F' R' D2
D' L' B' L F' D R'
D' L' B' L F' D' R'
D' L' B' L F' D2 R'
D' L' B' L F2 R' F
D' L' B' L' F' L2 R'
D' L' B' L' F' R' L2
F' L' B' R' U' F U
F' L' B' U' F U R'
D' L' B' D L F' R'
D' L' B' D F' L R'
D' L' B' D F' R' L
D' L' B' D' L F' R'
D' L' B' D' F' L R'
D' L' B' D' F' R' L
D' L' B' D2 L F' R'
D' L' B' D2 F' L R'
D' L' B' D2 F' R' L
D' L' B' F L R' F2
D' L' B' F L F2 R'
D' L' B' F R' L F2
D' L' B' F R' F2 L
D' L' B' F' L R' D
D' L' B' F' L R' D'
D' L' B' F' L R' D2
D' L' B' F' L D R'
D' L' B' F' L D' R'
D' L' B' F' L D2 R'
D' L' B' F' R' L D
D' L' B' F' R' L D'
D' L' B' F' R' L D2
D' L' B' F' R' D L
D' L' B' F' R' D' L
D' L' B' F' R' D2 L
D' L' B' F' D L R'
D' L' B' F' D R' L
D' L' B' F' D' L R'
D' L' B' F' D' R' L
D' L' B' F' D2 L R'
D' L' B' F' D2 R' L
D' L' B' F2 R' F L
D L' B' F L' R' F2
D L' B' F L' F2 R'
D L' B' F R' L' F2
D L' B' F' R' D2 L2
U L2 U' F' L' B' R'
D' L2 F' L B' L R'
D' L2 F' L B' R' L
D' L2 F' B' L R' B'
D' L2 F' B' R' L B'
D' L2 B' L F' R' B'
D' L2 B' F' L R' B'
D' L2 B' F' R' L B'
D' R L' B' L R' F'
D' R L' B' R' L F'
D' R L' B' R' F' L
F2 R D F L' B' R'
