R2 L F B U' B2
R2 L B F U' B2
L R2 F B U' B2
L R2 B F U' B2
F' U2 L U' B' R'
L F U' D' B' L2
L F U' B' D' L2
L F U2 F2 U B'
L F D' U' B' L2
L F D2 B2 U' B
D' L R2 F B R' U'
D' L R2 B R' F U'
D' L R2 B F R' U'
U L R2 B U' B2 R'
R' L D F U' B' L
R2 L D F B U' B2
R2 L D B F U' B2
R' L D' F U' B' L'
R2 L D' F B U' B2
R2 L D' B F U' B2
U2 L U2 F' U B' R'
R2 L D2 F B U' B2
R2 L D2 B F U' B2
F2 L D F U' B' L'
R' L F R' B U' B2
L R F R B U' B2
R' L F U' D B' L
R L F R B U' B2
R' L F D U' B' L
R2 L F U' B' D L2
L R F U' B L B2
R L F U' B L B2
R2 L F D B U' B2
R2 L F D' B U' B2
R2 L F D2 B U' B2
R2 L F B R U' B2
R2 L F B R' U' B2
R2 L F B R2 U' B2
R2 L F B U' B2 D
R2 L F B U' B2 D'
R2 L F B U' B2 D2
R2 L F B D' R2 U'
L R F B2 U' B L
R L F B2 U' B L
F2 L D' F U' B' L
F L D' F U' B' L2
F L D2 F B2 U' B
F L D2 B2 F U' B
F' L F R2 B U' B2
F2 L F U' D' B' L
F' L F U2 F' U B'
D L F U2 L' F2 U
F L F U2 F U B'
R2 L B R F U' B2
F2 L F D' U' B' L
R2 L B R' F U' B2
R2 L B R2 F U' B2
R2 L B D' R2 F U'
R2 L B D' F R2 U'
R2 L B F R U' B2
R2 L B F R' U' B2
R2 L B F R2 U' B2
R2 L B F U' B2 D
R2 L B F U' B2 D'
R2 L B F U' B2 D2
R2 L B F D' R2 U'
L R B2 F U' B L
R L B2 F U' B L
L R' D F U' B' L
L R' D' F U' B' L'
L R' F R' B U' B2
L R' F U' D B' L
L R' F D U' B' L
F' L' U2 L2 F U' B'
F' L' B' U2 L2 U' B'
L R2 D F B U' B2
L R2 D B F U' B2
L R2 D' F B U' B2
L R2 D' B F U' B2
L R2 D2 F B U' B2
L R2 D2 B F U' B2
L R2 F U' B' D L2
L R2 F D B U' B2
L R2 F D' B U' B2
L R2 F D2 B U' B2
L R2 F B R U' B2
L R2 F B R' U' B2
L R2 F B R2 U' B2
L R2 F B U' B2 D
L R2 F B U' B2 D'
L R2 F B U' B2 D2
L R2 F B D' R2 U'
L2 R2 B L' F U' B'
R2 L2 B L' F U' B'
L R2 B R F U' B2
L R2 B R' F U' B2
L R2 B R2 F U' B2
L R2 B D' R2 F U'
L R2 B D' F R2 U'
L R2 B F R U' B2
L R2 B F R' U' B2
L R2 B F R2 U' B2
L R2 B F U' B2 D
L R2 B F U' B2 D'
L R2 B F U' B2 D2
L R2 B F D' R2 U'
R2 U L B U' B2 R'
F2 L2 B' L' F U' B'
F' R U2 L U' B' R'
F' R' U2 L U' B' R'
D' R2 L F B R' U'
D' R2 L B R' F U'
D' R2 L B F R' U'
U R2 L B U' B2 R'
L U2 F' U D R2 B'
L U2 F' U D B' R2
L U2 F' U B' D R2
L U2 F' U2 F2 U' B'
L U2 F' D U R2 B'
L U2 F' D U B' R2
L U2 F' D2 B2 U B
F' R2 U2 L U' B' R'
B' R2 B L F U' B'
L D R2 F B U' B2
L D R2 B F U' B2
L D F U' D' B' L2
L D F U' B' D' L2
L D F U2 F2 U B'
L D F D' U' B' L2
L D F D2 B2 U' B
R2 D' L F B R' U'
R2 D' L B R' F U'
R2 D' L B F R' U'
L D' R2 F B U' B2
L D' R2 B F U' B2
L D' F U' D' B' L2
L D' F U' B' D' L2
L D' F U2 F2 U B'
L D' F D' U' B' L2
L D' F D2 B2 U' B
L D2 R2 F B U' B2
L D2 R2 B F U' B2
F' U2 L R' F' U' B'
F' U2 L U' R B' R'
F' U2 L U' R' B' R'
F' U2 L U' R2 B' R'
F' U2 L U' D B' R'
F' U2 L U' D' B' R'
F' U2 L U' D2 B' R'
F' U2 L U' B' R' D
F' U2 L U' B' R' D'
F' U2 L U' B' R' D2
F' U2 L U' B' D R'
F' U2 L U' B' D' R'
F' U2 L U' B' D2 R'
F' U2 L D U' B' R'
F' U2 L D' U' B' R'
F' U2 L D2 U' B' R'
F' U2 L F U' B' R'
F' U2 L F' U' B' R'
F' U2 L F2 U' B' R'
L D2 F U' D' B' L2
L D2 F U' B' D' L2
L D2 F U2 F2 U B'
L D2 F D' U' B' L2
L D2 F D2 B2 U' B
F' U2 R' L F' U' B'
F' U2 R' F' L U' B'
R2 F L F B U' B2
F' U2 F L U' B' R'
R2 F L B F U' B2
F' U2 F' L U' B' R'
F' U2 F2 L U' B' R'
L F R U' D' B' L2
L F R U' B' D' L2
L F R U2 F2 U B'
L F R D' U' B' L2
L F R D2 B2 U' B
L F R' U' D' B' L2
L F R' U' B' D' L2
L F R' U2 F2 U B'
L F R' D' U' B' L2
L F R' D2 B2 U' B
L F R2 U' D' B' L2
L F R2 U' B' D' L2
L F R2 U2 F2 U B'
L F R2 D' U' B' L2
L F R2 D2 B2 U' B
L F U D R2 U2 B'
L F U' L2 D' L2 B'
L F U' D B' D2 L2
L F U' D' B L2 B2
L F U' D' B' L2 D
L F U' D' B' L2 D'
L F U' D' B' L2 D2
L F U' D' B2 L2 B
L F U' B' L D' L2
L F U' B' L' D' L2
L F U' B' L2 D' L2
L F U' B' U' F2 U
L F U' B' D' L2 D
L F U' B' D' L2 D'
L F U' B' D' L2 D2
L F U' B2 D' L2 B
L F U' B2 D' B L2
L F U2 F2 U D B'
L F U2 F2 U D' B'
L F U2 F2 U D2 B'
L F U2 F2 U B' D
L F U2 F2 U B' D'
L F U2 F2 U B' D2
L F U2 F2 D U B'
L F U2 F2 D' U B'
L F U2 F2 D2 U B'
L F D U R2 U2 B'
L F D U' B' D2 L2
L F D' R U' B' L2
L F D' R' U' B' L2
L F D' R2 U' B' L2
L F D' U' B L2 B2
L F D' U' B' L2 D
L F D' U' B' L2 D'
L F D' U' B' L2 D2
L F D' U' B2 L2 B
L F D' B U' L2 B2
L F D' B U' B2 L2
L F D' B2 U' L2 B
L F D' B2 U' B L2
L F D2 R B2 U' B
L F D2 R' B2 U' B
L F D2 R2 B2 U' B
L F D2 B2 U' D B
L F D2 B2 U' D' B
L F D2 B2 U' D2 B
L F D2 B2 U' B D
L F D2 B2 U' B D'
L F D2 B2 U' B D2
L F D2 B2 D U' B
L F D2 B2 D' U' B
L F D2 B2 D2 U' B
L F B U' B2 D' L2
L F B U2 F2 U B2
L F B D' R2 U' L2
L F B' D2 B2 U' B2
L F B2 U' D' L2 B
L F B2 U' D' B L2
L F B2 U' B D' L2
L F B2 U2 F2 U B
R2 F' L F B U' B2
L F B2 D' U' L2 B
L F B2 D' U' B L2
L F B2 D2 B2 U' B'
R2 F' L B F U' B2
L F' U D B' R2 F'
U2 F' U2 L F U' B'
L F' U B' D R2 F'
L' F' D' B' L2 U F
L F' D U B' R2 F'
L' F' D2 R2 B' U B'
L' F' D2 B' R2 U B'
L' F' B' D2 R2 U B2
R2 F2 L F B U' B2
R2 F2 L B F U' B2
L B R2 F B U' B
L B R2 B F U' B
L B D' R2 F B U'
L B D' R2 B F U'
L B F U' B2 D' L2
L B F U2 F2 U B2
L B F D' R2 U' L2
L B' R2 F B U' B'
L B' R2 B F U' B'
L' B' F' D2 R2 U B2
L B' F D2 B2 U' B2
L B2 F U' D' L2 B
L B2 F U' D' B L2
