L' U' D' L' R2 B2
L' U' D' L' B2 R2
L' U' D' R2 L' B2
L' U' D' R2 B2 L'
L' U' D' B2 L' R2
L' U' D' B2 R2 L'
L2 U' B2 L' R' U
L2 U' B2 R' L' U
L' U2 B2 L2 U L
L' D' U' L' R2 B2
L' D' U' L' B2 R2
L' D' U' R2 L' B2
L' D' U' R2 B2 L'
L' D' U' B2 L' R2
L' D' U' B2 R2 L'
B2 U2 L' R' U' L'
B2 U2 R' L' U' L'
D' B2 L' R' U' R'
L2 B2 L' R' U L
D' B2 R' L' U' R'
L2 B2 R' L' U L
F2 L R U L D' R2
F2 L R U D' L R2
F2 L R U D' R2 L
F2 L R D' U L R2
F2 L R D' U R2 L
F2 L R B2 U' R' U2
L' R U' D' L' R2 B2
L' R U' D' L' B2 R2
L' R U' D' R2 L' B2
L' R U' D' R2 B2 L'
L' R U' D' B2 L' R2
L' R U' D' B2 R2 L'
L2 R U' B2 L' R' U
L2 R U' B2 R' L' U
F L U L D' R2 F
F L U L D' F R2
F L U L F D' R2
L' R U2 B2 L2 U L
D' L U R2 D L2 F2
D' L U R2 D F2 L2
F L U D' L R2 F
F L U D' L F R2
F L U D' R2 L F
L' R D' U' L' R2 B2
L' R D' U' L' B2 R2
L' R D' U' R2 L' B2
L' R D' U' R2 B2 L'
L' R D' U' B2 L' R2
L' R D' U' B2 R2 L'
B2 L U2 L2 R' U' L'
D' L U2 L2 B2 U' R2
B2 L U2 R' L2 U' L'
D' L U2 B2 L2 U' R2
D' L D B2 U L2 F2
D' L D B2 U F2 L2
F2 L D' R U L R
F2 L D' R U R L
F L D' U L R2 F
F L D' U L F R2
F L D' U R2 L F
D2 L D2 R2 B2 U L2
D2 L D2 B2 R2 U L2
L2 R B2 L' R' U L
L2 R B2 R' L' U L
R' L' U' D' L' R2 B2
R' L' U' D' L' B2 R2
L' R' U' D' L' R2 B2
L' R' U' D' L' B2 R2
R' L' U' D' R2 L' B2
R' L' U' D' R2 B2 L'
L' R' U' D' R2 L' B2
L' R' U' D' R2 B2 L'
R' L' U' D' B2 L' R2
R' L' U' D' B2 R2 L'
L' R' U' D' B2 L' R2
L' R' U' D' B2 R2 L'
R2 L' U' D' L' R2 B2
R2 L' U' D' L' B2 R2
R2 L' U' D' R2 L' B2
R2 L' U' D' R2 B2 L'
R2 L' U' D' B2 L' R2
R2 L' U' D' B2 R2 L'
R L' U' D' L' R2 B2
R L' U' D' L' B2 R2
R L' U' D' R2 L' B2
R L' U' D' R2 B2 L'
R L' U' D' B2 L' R2
R L' U' D' B2 R2 L'
F2 L B2 R U D2 L2
F2 L B2 R U' R2 U2
F2 L B2 R D' F2 U
F2 L B2 R D2 U L2
L2 R' U' B2 L' R' U
L2 R' U' B2 R' L' U
F L B2 U' R' U2 F'
R' L' U2 B2 L2 U L
L' R' U2 B2 L2 U L
R2 L' U2 B2 L2 U L
R L' U2 B2 L2 U L
F2 L' R B2 L2 U L
R' L' D' U' L' R2 B2
R' L' D' U' L' B2 R2
R' L' D' U' R2 L' B2
R' L' D' U' R2 B2 L'
L' R' D' U' L' R2 B2
R' L' D' U' B2 L' R2
R' L' D' U' B2 R2 L'
L' R' D' U' L' B2 R2
L' R' D' U' R2 L' B2
L' R' D' U' R2 B2 L'
L' R' D' U' B2 L' R2
L' R' D' U' B2 R2 L'
R2 L' D' U' L' R2 B2
R2 L' D' U' L' B2 R2
R2 L' D' U' R2 L' B2
R2 L' D' U' R2 B2 L'
R2 L' D' U' B2 L' R2
R2 L' D' U' B2 R2 L'
R L' D' U' L' R2 B2
R L' D' U' L' B2 R2
R L' D' U' R2 L' B2
R L' D' U' R2 B2 L'
R L' D' U' B2 L' R2
R L' D' U' B2 R2 L'
U' L' U' D' L' R2 B2
U' L' U' D' L' B2 R2
U' L' U' D' R2 L' B2
U' L' U' D' R2 B2 L'
U' L' U' D' B2 L' R2
U' L' U' D' B2 R2 L'
U2 L' U' D' L' R2 B2
U2 L' U' D' L' B2 R2
U2 L' U' D' R2 L' B2
U2 L' U' D' R2 B2 L'
U2 L' U' D' B2 L' R2
U2 L' U' D' B2 R2 L'
D L' U' D' L2 B2 R'
U L' U' D' L' R2 B2
U L' U' D' L' B2 R2
U L' U' D' R2 L' B2
U L' U' D' R2 B2 L'
U L' U' D' B2 L' R2
U L' U' D' B2 R2 L'
D L' U2 F2 L2 U R
U' L' U2 B2 L2 U L
U2 L' U2 B2 L2 U L
U L' U2 B2 L2 U L
F' L' D' L' R2 F B2
F' L' D' L' R2 B2 F
F' L' D' L' F R2 B2
F' L' D' L' F B2 R2
F' L' D' L' B2 R2 F
F' L' D' L' B2 F R2
F' L' D' R2 L' F B2
F' L' D' R2 L' B2 F
F' L' D' R2 B2 L' F
U' L' D' U' L' R2 B2
U' L' D' U' L' B2 R2
U' L' D' U' R2 L' B2
U' L' D' U' R2 B2 L'
U' L' D' U' B2 L' R2
U' L' D' U' B2 R2 L'
U2 L' D' U' L' R2 B2
U2 L' D' U' L' B2 R2
U2 L' D' U' R2 L' B2
U2 L' D' U' R2 B2 L'
U2 L' D' U' B2 L' R2
U2 L' D' U' B2 R2 L'
D L' D' U' L2 B2 R'
F' L' D' B2 L' R2 F
F' L' D' B2 L' F R2
U L' D' U' L' R2 B2
U L' D' U' L' B2 R2
F' L' D' B2 R2 L' F
U L' D' U' R2 L' B2
U L' D' U' R2 B2 L'
U L' D' U' B2 L' R2
U L' D' U' B2 R2 L'
L2 R' B2 L' R' U L
L2 R' B2 R' L' U L
L' R2 U' D' L' R2 B2
L' R2 U' D' L' B2 R2
L' R2 U' D' R2 L' B2
L' R2 U' D' R2 B2 L'
L' R2 U' D' B2 L' R2
L' R2 U' D' B2 R2 L'
D2 L' F2 D2 R2 U' L2
R' L2 U' B2 L' R' U
R' L2 U' B2 R' L' U
L2 R2 U' B2 L' R' U
L2 R2 U' B2 R' L' U
R2 L2 U' B2 L' R' U
R2 L2 U' B2 R' L' U
R L2 U' B2 L' R' U
R L2 U' B2 R' L' U
L' R2 U2 B2 L2 U L
F2 L' B2 L2 R U L
L' R2 D' U' L' R2 B2
F2 L' B2 R L2 U L
L' R2 D' U' L' B2 R2
L' R2 D' U' R2 L' B2
L' R2 D' U' R2 B2 L'
L' R2 D' U' B2 L' R2
L' R2 D' U' B2 R2 L'
D' L' B2 U' R2 D' B2
D' L' B2 U2 L2 U R2
F L' B2 L2 U L F
D' L' B2 D' F2 U' B2
F2 L2 R B2 L' U L
B2 L2 U L R' U' R
B2 L2 U R' L U' R
F2 L2 U' L' R B2 U
F2 L2 U' L' B2 R U
F2 L2 U' R L' B2 U
F2 L2 U' R B2 L' U
U' L2 U' B2 L' R' U
U' L2 U' B2 R' L' U
F2 L2 U' B2 L' R U
F2 L2 U' B2 R L' U
U2 L2 U' B2 L' R' U
U2 L2 U' B2 R' L' U
U L2 U' B2 L' R' U
U L2 U' B2 R' L' U
R' L2 B2 L' R' U L
R' L2 B2 R' L' U L
L2 R2 B2 L' R' U L
R2 L2 B2 L' R' U L
L2 R2 B2 R' L' U L
R2 L2 B2 R' L' U L
R L2 B2 L' R' U L
R L2 B2 R' L' U L
L2 U L U' D' R2 B2
L2 U L U' D' B2 R2
L2 U L U2 L2 B2 U
L2 U L U2 B2 L2 U
L U L U' B2 R' U
L2 U L D' U' R2 B2
L2 U L D' U' B2 R2
L2 U L D2 R2 F2 U'
L2 U L D2 F2 R2 U'
B' L2 F L U' L' B'
L' U D L2 F2 U2 L
L' U D F2 L2 R U2
L' U D F2 R L2 U2
U' L2 B2 L' R' U L
L U D L' F2 L2 R
L U D L' F2 R L2
F2 L2 B2 L' R U L
U' L2 B2 R' L' U L
U2 L2 B2 L' R' U L
U2 L2 B2 L' R' U L
F2 L2 B2 R L' U L
U2 L2 B2 R' L' U L
F L2 B2 L' U L F
L U D F2 D2 L R2
L U D F2 D2 R2 L
U L2 B2 L' R' U L
U L2 B2 L' R' U L
L U D' L R2 D2 F2
U L2 B2 R' L' U L
F2 R L U L D' R2
F2 R L U D' L R2
F2 R L U D' R2 L
L U D' R2 L D2 F2
L U D' R2 D2 L F2
L U D' R2 D2 F2 L
F2 R L D' U L R2
F2 R L D' U R2 L
L2 U D2 F2 L R U'
L2 U D2 F2 R L U'
F2 R L B2 U' R' U2
F2 R L' B2 L2 U L
F2 R L2 B2 L' U L
B2 R U2 L' R2 U' L'
B2 R U2 R2 L' U' L'
B2 R D F2 R U B2
L' U' L' U' L' B2 U
L' U' L' U' B2 L' U
L2 U' L' B2 U D F2
L2 U' L' B2 U2 L2 U'
L2 U' L' B2 D U F2
L2 U' L' B2 D2 R2 U
L' U' R D' L' R2 B2
L' U' R D' L' B2 R2
L' U' R D' R2 L' B2
L' U' R D' R2 B2 L'
L' U' R D' B2 L' R2
L' U' R D' B2 R2 L'
L2 U' R B2 L' R' U
L2 U' R B2 R' L' U
L' U' R' D' L' R2 B2
L' U' R' D' L' B2 R2
L' U' R' D' R2 L' B2
L' U' R' D' R2 B2 L'
L' U' R' D' B2 L' R2
L' U' R' D' B2 R2 L'
L2 U' R' B2 L' R' U
L2 U' R' B2 R' L' U
L' U' R2 D' L' R2 B2
L' U' R2 D' L' B2 R2
L' U' R2 D' R2 L' B2
L' U' R2 D' R2 B2 L'
L' U' R2 D' B2 L' R2
L' U' R2 D' B2 R2 L'
L2 U' R2 B2 L' R' U
L2 U' R2 B2 R' L' U
D' R B2 L' R' U' R2
D' R B2 R' L' U' R2
L' U' D' L R2 B2 L2
L' U' D' L B2 L2 R2
L' U' D' L B2 R2 L2
L' U' D' L' R B2 R
L' U' D' L' R2 B2 D
L' U' D' L' R2 B2 D'
L' U' D' L' R2 B2 D2
L U' D L2 U2 L' F2
L' U' D' L' B' R2 B'
L' U' D' L' B2 R2 D
L' U' D' L' B2 R2 D'
L' U' D' L' B2 R2 D2
L' U' D' R L' B2 R
L' U' D' R B2 L' R
L' U' D' R B2 R L'
L' U' D' R2 L B2 L2
L' U' D' R2 L' B2 D
L' U' D' R2 L' B2 D'
L' U' D' R2 L' B2 D2
L' U' D' R2 B L' B
L' U' D' R2 B2 L' D
L' U' D' R2 B2 L' D'
L' U' D' R2 B2 L' D2
L' U' D' R2 B2 D L'
L' U' D' R2 B2 D' L'
L' U' D' R2 B2 D2 L'
F2 R B2 U2 R' U' L2
L' U' D' B L' B R2
L' U' D' B' R2 B' L'
L' U' D' B2 L' R2 D
L' U' D' B2 L' R2 D'
L' U' D' B2 L' R2 D2
L' U' D' B2 R2 L' D
L' U' D' B2 R2 L' D'
L' U' D' B2 R2 L' D2
L' U' D' B2 R2 D L'
L' U' D' B2 R2 D' L'
L' U' D' B2 R2 D2 L'
L' U' D2 L' D R2 B2
L' U' D2 L' D B2 R2
L U' D' B2 R' U2 R'
L2 U' B L' B R' U
L2 U' B2 L' R' U D
L2 U' B2 L' R' U D'
L2 U' B2 L' R' U D2
L2 U' B2 L' R' D U
L2 U' B2 L' R' D' U
L2 U' B2 L' R' D2 U
L2 U' B2 L' D R' U
L2 U' B2 L' D' R' U
L2 U' B2 L' D2 R' U
L2 U' B2 R' L' U D
L2 U' B2 R' L' U D'
L2 U' B2 R' L' U D2
L2 U' B2 R' L' D U
L2 U' B2 R' L' D' U
L2 U' B2 R' L' D2 U
L2 U' B2 R' D L' U
L2 U' B2 R' D' L' U
L2 U' B2 R' D2 L' U
L2 U' B2 D L' R' U
L2 U' B2 D R' L' U
L2 U' B2 D' L' R' U
L2 U' B2 D' R' L' U
L2 U' B2 D2 L' R' U
L2 U' B2 D2 R' L' U
L' U2 L' B2 L' U L
L' U2 L2 U L D' R2
L' U2 L2 U D' L R2
L' U2 L2 U D' R2 L
L' U2 L2 D' U L R2
L' U2 L2 D' U R2 L
L' U2 L2 B2 U' R' U2
L U2 L2 U' L' D' R2
L U2 L2 U' D' L' R2
L U2 L2 U' D' R2 L'
L U2 L2 U2 B2 U L'
L U2 L2 D' U' L' R2
L U2 L2 D' U' R2 L'
D' R2 U B2 L' R' U'
D' R2 U B2 R' L' U'
B2 R2 U2 L' R U' L'
B2 R2 U2 R L' U' L'
