U2 R2 U B U F2
F2 U D F B2 U'
F2 U D B2 F U'
F2 U D2 F U' L2
F2 U F U R2 U2
F2 U F U' D2 L2
F2 U F D B2 U'
F2 U F D2 U' L2
F2 U2 R2 U' F U'
F2 D U F B2 U'
F D R2 D F L2
F2 D U B2 F U'
F D R2 F D L2
F D F R2 D L2
F' D B2 U' F' B2
F' D B2 U' B2 F'
U F' U R2 B U2
U F' U' D2 L2 F'
U F' U' D2 F' L2
U F' U' F' D2 L2
U F' D B2 U' F'
U F' D2 U' L2 F'
U F' D2 U' F' L2
F2 D2 L2 U' B' U
F2 D2 U F U' L2
F D2 F L2 D' R2
U2 L R2 U B U F2
F' L D B2 U' F' B2
F' L D B2 U' B2 F'
U L F' U R2 B U2
U L F' U' D2 L2 F'
U L F' U' D2 F' L2
U L F' U' F' D2 L2
U L F' D B2 U' F'
U L F' D2 U' L2 F'
U L F' D2 U' F' L2
U2 L' R2 U B U F2
F' L' D B2 U' F' B2
F' L' D B2 U' B2 F'
U L' F' U R2 B U2
U L' F' U' D2 L2 F'
U L' F' U' D2 F' L2
U L' F' U' F' D2 L2
U L' F' D B2 U' F'
U L' F' D2 U' L2 F'
U L' F' D2 U' F' L2
U2 L2 R2 U B U F2
D2 L2 U D L2 F' U'
D2 L2 U D F' L2 U'
D2 L2 U D2 F' U' F'
D2 L2 U F' U B2 U2
D2 L2 U F' U' D2 F2
D2 L2 U F' D L2 U'
D2 L2 U F' D2 U' F2
D2 L2 U' D' R2 B U
F2 L2 U' D' F2 B' U
F2 L2 U' D' B' F2 U
F2 L2 U' D2 B' U L2
F2 L2 U' B' U D2 L2
F2 L2 U' B' U' R2 U2
F2 L2 U' B' D' F2 U
F2 L2 U' B' D2 U L2
F2 L2 U2 R2 U B' U
D2 L2 U2 B2 U' F' U'
D2 L2 D U L2 F' U'
D2 L2 D U F' L2 U'
D2 L2 D F D R2 F2
D2 L2 D F D F2 R2
F L2 D R2 D L2 F
F' L2 D B2 U' F' B2
F' L2 D B2 U' B2 F'
D2 L2 D' U' R2 B U
F2 L2 D' U' F2 B' U
F2 L2 D' U' B' F2 U
F2 L2 D2 L2 U F U'
D2 L2 D2 U F' U' F'
D2 L2 D2 F D R2 F
D2 L2 D2 F D F R2
D' L2 D2 F' B2 U' B2
D2 L2 D2 F2 U F U'
F L2 D2 L2 D' R2 F
F L2 D2 L2 D' F R2
F L2 D2 L2 F D' R2
F2 L2 D2 U' B' U L2
D' L2 D2 B2 F' U' B2
D2 L2 F D R2 D F2
D2 L2 F D2 F2 D' R2
D' L2 F' R2 B U' B'
D2 L2 F' D2 F2 D R2
U L2 F' U R2 B U2
U L2 F' U' D2 L2 F'
U L2 F' U' D2 F' L2
U L2 F' U' F' D2 L2
U L2 F' D B2 U' F'
U L2 F' D2 U' L2 F'
U L2 F' D2 U' F' L2
R U F U' R F L'
L' U F' U R2 B U2
L' U F' U' D2 L2 F'
L' U F' U' D2 F' L2
L' U F' U' F' D2 L2
L' U F' D B2 U' F'
L' U F' D2 U' L2 F'
L' U F' D2 U' F' L2
L2 U F' U R2 B U2
L2 U F' U' D2 L2 F'
L2 U F' U' D2 F' L2
L2 U F' U' F' D2 L2
L2 U F' D B2 U' F'
L U F' U R2 B U2
L2 U F' D2 U' L2 F'
L2 U F' D2 U' F' L2
U' R U F R F L'
L U F' U' D2 L2 F'
L U F' U' D2 F' L2
L U F' U' F' D2 L2
L U F' D B2 U' F'
L U F' D2 U' L2 F'
L U F' D2 U' F' L2
F R U F2 U' L' F'
B R U' F2 B' L' R'
B R U' F2 B' R' L'
B R U' B' F2 L' R'
B R U' B' F2 R' L'
R2 U B U F2 D2 B2
F2 R U2 R U' F U'
F R D F2 L' F' R2
U' R F U F L' R
U' R F U F R L'
F R F U F U' L'
F2 R' U F U R' U2
F2 R' U F B2 U' L
F2 R' U B2 F U' L
F2 R' U2 R' U' F U'
R2 U' B U2 B' U' F2
R U' B' U F2 L' R'
R U' B' U F2 R' L'
F R' D R2 F2 L' F'
F R' D F' R2 F2 L'
R' U2 R' U B U F2
L' U2 R2 U B U F2
L2 U2 R2 U B U F2
L U2 R2 U B U F2
U2 R2 L U B U F2
U2 R2 L' U B U F2
U2 R2 L2 U B U F2
U2 R2 U D B R2 U
U' R2 U B U F2 B'
U' R2 U B U B' F2
F2 R2 U F U2 F' U
B2 R2 U B U F2 B
B2 R2 U B U B F2
U2 R2 U B R U F2
U2 R2 U B R' U F2
U2 R2 U B R2 U F2
U2 R2 U B U F2 D
U2 R2 U B U F2 D'
U2 R2 U B U F2 D2
U2 R2 U B D R2 U
B R2 U B U F2 B2
B R2 U B U B2 F2
U R2 U' R2 F' U' F'
U2 R2 U2 F2 U' B U
F R2 U2 D F R2 B
B R2 U2 F2 B' D' R2
B R2 U2 B' F2 D' R2
U2 R2 D U B R2 U
F R2 D R2 D2 F L2
F R2 D R2 F D2 L2
D R2 D B U B' L2
F R2 D U2 F R2 B
F R2 D F R2 D2 L2
F R2 D' L2 B' U2 B
U2 R2 D2 B2 U B' U
D R2 D2 F2 B U B'
D R2 D2 B F2 U B'
B' R2 F' U B U F'
U' R2 B R' U F2 L'
U' R2 B U F2 D' L2
U2 R2 B U2 F2 D R2
D R2 B U B' D L2
D R2 B U2 B U' B2
U2 R2 B' U B2 U F2
U2 R2 B' U2 F2 D' R2
U2 R2 B2 U B' U F2
D' U L2 D' F' U' L2
D' U L2 D2 F' B2 U'
D' U L2 D2 B2 F' U'
D' U L2 F' U2 F' U
F' U R2 U' R2 U' F'
U' D R2 D B U L2
F' U R2 D B U2 B
U' D R2 D2 F2 B U
U' D R2 D2 B F2 U
F' U R2 D' F2 B U2
F' U R2 D' B F2 U2
U' D R2 B U2 B U'
F' U R2 B U' R2 U'
F' U R2 B U2 D B2
F' U R2 B D U2 B2
F' U R2 B D' F2 U2
D' U F L2 F2 B' U'
D' U F L2 B' F2 U'
F2 U D F U' D L2
F2 U D F D U' L2
F2 U D F B2 U' D
F2 U D F B2 U' D'
F2 U D F B2 U' D2
F2 U D F B2 D U'
F2 U D F B2 D' U'
F2 U D F B2 D2 U'
D' U F' L2 U2 F' U
F2 U D B2 D F U'
F2 U D B2 D' F U'
F2 U D B2 D2 F U'
F2 U D B2 F U' D
F2 U D B2 F U' D'
F2 U D B2 F U' D2
F2 U D B2 F D U'
F2 U D B2 F D' U'
F2 U D B2 F D2 U'
D2 U F' U B2 U2 L2
D2 U F' U' L2 D2 F2
F2 U D' F U2 F U
D2 U F' B' U' L2 F
F U D B2 U' R2 F
F U D B2 U' F R2
F2 U D2 F U' L2 D
F2 U D2 F U' L2 D'
F2 U D2 F U' L2 D2
F2 U D2 F D' B2 U'
F2 U D2 F B U' L2
F2 U D2 F B' U' L2
F2 U D2 F B2 U' L2
F2 U D2 B F U' L2
F2 U D2 B' F U' L2
F2 U D2 B2 F U' L2
D U F' B2 U' D' F2
D U F' B2 U2 R2 U
D U F' B2 D' U' F2
D U F' B2 D2 L2 U'
F2 U F U R2 U2 D
F2 U F U R2 U2 D'
F2 U F U R2 U2 D2
F2 U F U R2 D U2
F2 U F U R2 D' U2
F2 U F U R2 D2 U2
U' D B R2 F' B U
U D F' B2 U' D' F2
U D F' B2 U2 R2 U
U' D B R2 B F' U
U D F' B2 D' U' F2
U D F' B2 D2 L2 U'
F2 U F U' L D2 L2
F2 U F U' L' D2 L2
F2 U F U' L2 D2 L2
F2 U F U' D2 L2 D
F2 U F U' D2 L2 D'
F2 U F U' D2 L2 D2
F2 U F U2 D' F2 U
F2 U F D B2 U' D
F2 U F D B2 U' D'
F2 U F D B2 U' D2
F2 U F D B2 D U'
F2 U F D B2 D' U'
F2 U F D B2 D2 U'
F2 U F D' U2 F2 U
F2 U F D2 U' L2 D
F2 U F D2 U' L2 D'
F2 U F D2 U' L2 D2
F2 U F D2 B U' L2
F2 U F D2 B' U' L2
F2 U F D2 B2 U' L2
F2 U F B U R2 U2
F2 U F B U' D2 L2
F2 U F B D B2 U'
F2 U F B D2 U' L2
F2 U F B' U R2 U2
F2 U F B' U' D2 L2
F2 U F B' D B2 U'
F2 U F B' D2 U' L2
F2 U F B2 U R2 U2
F2 U F B2 U' D2 L2
F2 U F B2 D B2 U'
F2 U F B2 D2 U' L2
F2 U F' D B2 U' R2
D2 U B' F' U' L2 F
F2 U F2 D F' B2 U'
F2 U F2 D B2 F' U'
F2 U F2 D2 F' U' L2
F U F2 U R2 B U2
F U F2 U' D2 L2 F'
F U F2 U' D2 F' L2
F U F2 U' F' D2 L2
F U F2 D B2 U' F'
F2 U B D F B2 U'
F2 U B D B2 F U'
D U B2 U2 R2 B U
F U F2 D2 U' L2 F'
F U F2 D2 U' F' L2
F2 U B D2 F U' L2
F2 U B F U R2 U2
D U B2 D' F' U' F'
F2 U B F U' D2 L2
F2 U B F D B2 U'
F2 U B F D2 U' L2
D U B2 D2 L2 F' U'
D U B2 D2 F' L2 U'
D U B2 F' U' D' F2
D U B2 F' U2 R2 U
D U B2 F' D' U' F2
D U B2 F' D2 L2 U'
U D B2 U2 R2 B U
U D B2 D' F' U' F'
U D B2 D2 L2 F' U'
U D B2 D2 F' L2 U'
U D B2 F' U' D' F2
U D B2 F' U2 R2 U
U D B2 F' D' U' F2
U D B2 F' D2 L2 U'
F2 U B' D F B2 U'
F2 U B' D B2 F U'
F2 U B' D2 F U' L2
F2 U B' F U R2 U2
F2 U B' F U' D2 L2
F2 U B' F D B2 U'
F2 U B' F D2 U' L2
F2 U B2 D F B2 U'
F2 U B2 D B2 F U'
F2 U B2 D2 F U' L2
F2 U B2 F U R2 U2
F2 U B2 F U' D2 L2
F2 U B2 F D B2 U'
F2 U B2 F D2 U' L2
U D' L2 D' F' U' L2
U D' L2 D2 F' B2 U'
U D' L2 D2 B2 F' U'
U D' L2 F' U2 F' U
D U' R2 D B U L2
D U' R2 D2 F2 B U
D U' R2 D2 B F2 U
D U' R2 B U2 B U'
U D' F L2 F2 B' U'
U D' F L2 B' F2 U'
D' U' F2 U2 F L2 U'
U' D' F2 U2 F L2 U'
U D' F' L2 U2 F' U
F2 U' D' F2 U2 F' U'
F' U' D2 L2 D' F' B2
F' U' D2 L2 D' B2 F'
D U' B R2 F' B U
D U' B R2 B F' U
F' U' D2 L2 F' D' B2
F' U' D2 F' L2 D' B2
F2 U' F U' R2 U2 R2
F U' D2 B2 U F L2
F' U' F' D2 L2 D' B2
F2 U' F' D2 B2 U L2
F2 U2 L2 R2 U B' U
