F2 L R U R U
F2 L U2 D' F2 L'
F2 L D R B2 U2
F2 L D B2 R U2
F2 L D' R U2 F2
F2 L D' U2 F2 L'
D' L2 U F2 L R
D' L2 U F2 R L
R2 U L' D2 R2 B2
R2 U L' D2 B2 R2
F2 R L U R U
R2 U D2 B2 L' R'
R2 U D2 B2 R' L'
R2 U' L F2 U2 L2
R2 U' F2 L R U2
R2 U' F2 R L U2
L' D' F2 D' R2 B2
L' D' F2 D' B2 R2
L' D2 R2 B2 D F2
R2 D2 U B2 L' R'
R2 D2 U B2 R' L'
L' D2 B2 R2 D F2
F2 D L R B2 U2
F2 D L B2 R U2
F2 D R L B2 U2
F2 D R B2 U2 R'
F2 D R B2 U2 R'
F2 D B2 R U2 R2
F2 D' L R U2 F2
F2 D' L U2 F2 L'
F2 D' R L U2 F2
L F2 U R2 U L2
L F2 U2 L2 D' F2
D2 B2 R' D L' F2
D2 B2 D L' R' F2
D2 B2 D L' F2 R'
D2 B2 D L' F2 R'
D2 B2 D R' L' F2
F2 L R U R U D
F2 L R U R U D'
F2 L R U R U D2
F2 L R U R D U
F2 L R U R D' U
F2 L R U R D2 U
F2 L R U D R U
F2 L R U D' R U
F2 L R U D2 R U
F2 L R D U R U
F2 L R D' U R U
F2 L R D2 U R U
F2 L R B U R U
F2 L R B' U R U
F2 L R B2 U R U
D' L U L U L F2
D' L U L U F2 L
F2 L U R2 U' R' U2
F2 L U F2 R2 U L'
D2 L U' L U' L B2
F2 L U2 L D' F2 L'
F2 L U2 L' D' F2 L'
F2 L U2 L2 D' F2 L'
F2 L U2 D' L F2 L'
F2 L U2 D' L' F2 L'
F2 L U2 D' L2 F2 L'
F2 L U2 D' F2 L' D
F2 L U2 D' F2 L' D'
F2 L U2 D' F2 L' D2
F2 L U2 D' F2 D L'
F2 L U2 D' F2 D' L'
F2 L U2 D' F2 D2 L'
F2 L U2 F2 L' D' F2
F2 L U2 F2 D' L' F2
F2 L D R U2 D2 F2
F2 L D R D2 U2 F2
F2 L D R B2 U2 D
F2 L D R B2 U2 D'
F2 L D R B2 U2 D2
F2 L D R B2 D U2
F2 L D R B2 D' U2
F2 L D R B2 D2 U2
F2 L D R' B2 R2 U2
F2 L D R2 B2 U2 L
F2 L D B' R B' U2
F2 L D B2 R U2 D
F2 L D B2 R U2 D'
F2 L D B2 R U2 D2
F2 L D B2 R D U2
F2 L D B2 R D' U2
F2 L D B2 R D2 U2
F2 L D B2 D R U2
F2 L D B2 D' R U2
F2 L D B2 D2 R U2
F2 L D' R U2 F2 D
F2 L D' R U2 F2 D'
F2 L D' R U2 F2 D2
F2 L D' R D2 B2 U2
F2 L D' R B U2 F2
F2 L D' R B' U2 F2
F2 L D' R B2 U2 F2
F2 L D' U2 L F2 L'
F2 L D' U2 L' F2 L'
F2 L D' U2 L2 F2 L'
F2 L D' U2 F2 L' D
F2 L D' U2 F2 L' D'
F2 L D' U2 F2 L' D2
F2 L D' U2 F2 D L'
F2 L D' U2 F2 D' L'
F2 L D' U2 F2 D2 L'
F2 L D' B R U2 F2
F2 L D' B U2 F2 L'
F2 L D' B' R U2 F2
F2 L D' B' U2 F2 L'
F2 L D' B2 R U2 F2
F2 L D' B2 U2 F2 L'
F2 L D2 R U' L2 U'
F2 L D2 R U2 D F2
F2 L D2 R D U2 F2
F2 L D2 R D' B2 U2
R' L F2 U R' U L2
L R F2 U' L' U' L'
R2 L F2 U2 L2 D F2
R L F2 U' L' U' L'
F' L F' R U R U
F' L F' U2 D' F2 L'
F' L F' D R B2 U2
F' L F' D B2 R U2
F' L F' D' R U2 F2
F' L F' D' U2 F2 L'
U2 L F2 U R2 U L2
U' L F2 U R2 U L2
U2 L F2 U2 L2 D' F2
U' L F2 U2 L2 D' F2
U L F2 U R2 U L2
U L F2 U2 L2 D' F2
F2 L B R U R U
F2 L B U2 D' F2 L'
F2 L B D R B2 U2
F2 L B D B2 R U2
F2 L B D' R U2 F2
F2 L B D' U2 F2 L'
F2 L B' R U R U
F2 L B' U2 D' F2 L'
F2 L B' D R B2 U2
F2 L B' D B2 R U2
F2 L B' D' R U2 F2
F2 L B' D' U2 F2 L'
F2 L B2 R U R U
D L B2 U' R2 U' L2
F2 L B2 U2 D' F2 L'
D L B2 U2 L2 D B2
F2 L B2 D R B2 U2
F2 L B2 D B2 R U2
F2 L B2 D' R U2 F2
F2 L B2 D' U2 F2 L'
R2 L' D' L2 B2 U L2
R2 L' D' B2 L2 U L2
R2 L' D2 R2 B2 D' F2
D' L' U' L' U F2 R
R2 L' D2 B2 R2 D' F2
L R' F2 U R' U L2
D L' D B2 D R2 F2
D L' D B2 D F2 R2
B2 L' D' R' F2 D' B2
U' L' D' F2 D' R2 B2
U' L' D' F2 D' B2 R2
U2 L' D' F2 D' R2 B2
U2 L' D' F2 D' B2 R2
B2 L' D' F2 R' D' B2
B2 L' D' F2 D' R' B2
U L' D' F2 D' R2 B2
U L' D' F2 D' B2 R2
U' L' D2 R2 B2 D F2
B2 L' D2 R' B2 D F2
U2 L' D2 R2 B2 D F2
D L' D2 R2 F2 D' B2
U L' D2 R2 B2 D F2
D L' D2 F2 R2 D' B2
U' L' D2 B2 R2 D F2
U2 L' D2 B2 R2 D F2
U L' D2 B2 R2 D F2
R2 L2 U L D2 R2 B2
L2 R2 U L D2 R2 B2
R2 L2 U L D2 B2 R2
L2 R2 U L D2 B2 R2
L2 R2 U' L' F2 U2 L2
R2 L2 U' L' F2 U2 L2
L2 R2 U' F2 U2 L R
L2 R2 U' F2 U2 R L
R2 L2 U' F2 U2 L R
R2 L2 U' F2 U2 R L
L' R2 D' L2 B2 U L2
L' R2 D' B2 L2 U L2
D' L2 R U F2 L R
D' L2 R U F2 R L
L' R2 D2 R2 B2 D' F2
L' R2 D2 B2 R2 D' F2
D' L2 R' U F2 L R
D' L2 R' U F2 R L
D' L2 R2 U F2 L R
D' L2 R2 U F2 R L
D' L2 U L F2 D2 R2
D2 L2 U L' U2 L2 B2
D2 L2 U L' U2 B2 L2
D' L2 U R F2 L R
D' L2 U R F2 R L
D' L2 U R' F2 L R
D' L2 U R' F2 R L
D' L2 U R2 F2 L R
D' L2 U R2 F2 R L
D' L2 U F' L F' R
D' L2 U F2 L R D
D' L2 U F2 L R D'
D' L2 U F2 L R D2
D' L2 U F2 L D R
D' L2 U F2 L D' R
D' L2 U F2 L D2 R
D' L2 U F2 R L D
D' L2 U F2 R L D'
D' L2 U F2 R L D2
D' L2 U F2 R D L
D' L2 U F2 R D' L
D' L2 U F2 R D2 L
D' L2 U F2 D L R
D' L2 U F2 D R L
D' L2 U F2 D' L R
D' L2 U F2 D' R L
D' L2 U F2 D2 L R
D' L2 U F2 D2 R L
D2 L2 U' L B2 D2 R2
D' L2 U' L' U2 L2 F2
D' L2 U' L' U2 F2 L2
D2 L2 U' L2 B2 L' R'
D2 L2 U' L2 B2 R' L'
L R2 F2 U2 L2 D F2
F2 L2 U2 D' F2 L' R
F2 L2 U2 D' F2 R L'
F2 L2 D L' R B2 U2
F2 L2 D L' B2 R U2
F2 L2 D R L' B2 U2
F2 L2 D R B2 L' U2
F2 L2 D B2 L' R U2
F2 L2 D B2 R L' U2
F2 L2 D' L' R U2 F2
F2 L2 D' L' U2 F2 L'
F2 L2 D' R L' U2 F2
F2 L2 D' R U2 F2 R
F2 L2 D' U2 F2 L' R
F2 L2 D' U2 F2 R L'
R2 U L F2 U2 L2 F2
R2 U L F2 U2 F2 L2
R2 U L' R D2 R2 B2
R2 U L' R D2 B2 R2
R2 U L' R' D2 R2 B2
R2 U L' R' D2 B2 R2
R2 U L' R2 D2 R2 B2
R2 U L' R2 D2 B2 R2
R2 U L' U2 L2 F2 U2
R2 U L' U2 F2 L2 U2
R2 U L' D2 R B2 R
R2 U L' D2 R2 B2 D
R2 U L' D2 R2 B2 D'
R2 U L' D2 R2 B2 D2
R2 U L' D2 B' R2 B'
R2 U L' D2 B2 R2 D
R2 U L' D2 B2 R2 D'
R2 U L' D2 B2 R2 D2
R2 U L' B D2 R2 B2
R2 U L' B D2 B2 R2
R2 U L' B' D2 R2 B2
R2 U L' B' D2 B2 R2
R2 U L' B2 D2 R2 B2
R2 U L' B2 D2 B2 R2
D' L2 F' U L F' R
D' L2 F' U F' L R
D' L2 F' U F' R L
R2 U R L' D2 R2 B2
R2 U R L' D2 B2 R2
D2 L2 F2 U' L R B2
D2 L2 F2 U' L B2 R
D2 L2 F2 U' R L B2
R2 U R D2 B2 L' R'
R2 U R D2 B2 R' L'
R2 U R' L' D2 R2 B2
R2 U R' L' D2 B2 R2
R2 U R' D2 B2 L' R'
R2 U R' D2 B2 R' L'
R2 U R2 L' D2 R2 B2
R2 U R2 L' D2 B2 R2
L U R2 U L2 D2 B2
L U R2 U' F2 U2 L2
R2 U R2 D2 B2 L' R'
R2 U R2 D2 B2 R' L'
L U R2 F U L2 B'
F2 R L U R U D
F2 R L U R U D'
F2 R L U R U D2
L' U D2 L2 U' R2 B2
F2 R L U R D U
F2 R L U R D' U
F2 R L U R D2 U
L' U D2 L2 U' B2 R2
F2 R L U D R U
F2 R L U D' R U
F2 R L U D2 R U
F2 R L D U R U
F2 R L D' U R U
F2 R L D2 U R U
R2 U D2 L' B2 D2 R2
R2 U D2 R B2 L' R'
F2 R L B U R U
R2 U D2 R B2 R' L'
R2 U D2 R' B2 L' R'
F2 R L B' U R U
R2 U D2 R' B2 R' L'
F2 R L B2 U R U
R2 U D2 R2 B2 L' R'
R2 U D2 R2 B2 R' L'
R2 U D2 B L' B R'
R2 U D2 B2 L' R' D
R2 U D2 B2 L' R' D'
R2 U D2 B2 L' R' D2
R2 U D2 B2 L' D R'
R2 U D2 B2 L' D' R'
R2 U D2 B2 L' D2 R'
R2 U D2 B2 R' L' D
R2 U D2 B2 R' L' D'
R2 U D2 B2 R' L' D2
R2 U D2 B2 R' D L'
R2 U D2 B2 R' D' L'
R2 U D2 B2 R' D2 L'
R2 U D2 B2 D L' R'
R2 U D2 B2 D R' L'
R2 U D2 B2 D' L' R'
R2 U D2 B2 D' R' L'
R2 U D2 B2 D2 L' R'
R2 U D2 B2 D2 R' L'
D' R L2 U F2 L R
D' R L2 U F2 R L
L U F R2 U L2 B'
F2 R U R U' L U2
L U F' R2 U L2 B
L U F' R2 U B L2
F2 R U R B2 U R'
R2 U F2 L R U2 F2
R2 U F2 L U2 F2 L'
F2 R U B2 R U R2
R2 U F2 R L U2 F2
F2 R D L U R U
R2 U B2 L' R' D2 B2
R2 U B2 L' D2 R' B2
F2 R D' L U R U
R2 U B2 R' L' D2 B2
R2 U B2 R' D2 L' B2
R2 U B2 R' D2 B2 L'
R2 U B2 D2 L' R' B2
R2 U B2 D2 R' L' B2
R2 U B2 D2 R' B2 L'
R2 U' L R F2 U2 L2
R2 U' L R' F2 U2 L2
R2 U' L R2 F2 U2 L2
F2 R D2 L U R U
R2 U' L U2 L2 D2 B2
R2 U' L D2 R2 U2 B2
R2 U' L F U2 L2 B'
R2 U' L F2 R U2 L2
R2 U' L F2 R' U2 L2
R2 U' L F2 R2 U2 L2
R2 U' L F2 U2 L2 D
R2 U' L F2 U2 L2 D'
R2 U' L F2 U2 L2 D2
R2 U' L F2 D2 R2 U2
R2 U' L' F2 L2 U2 L2
R2 U' L2 F2 U2 L R
R2 U' L2 F2 U2 R L
R2 U' R L F2 U2 L2
R2 U' R F2 L R U2
R2 U' R F2 R L U2
R2 U' R' L F2 U2 L2
L' U' R2 U D2 R2 B2
L' U' R2 U D2 B2 R2
L' U' R2 U' L2 F2 U2
R2 U' R' F2 L R U2
L' U' R2 U' F2 L2 U2
R2 U' R' F2 R L U2
L' U' R2 D' L2 B2 U
L' U' R2 D' B2 L2 U
L' U' R2 D2 U R2 B2
L' U' R2 D2 U B2 R2
R2 U' R2 L F2 U2 L2
F2 R B' U R B U
R2 U' R2 F2 L R U2
R2 U' R2 F2 R L U2
D2 R B2 R' D L' F2
L' U' D' L2 B2 U F2
D2 R B2 D L' R' F2
D2 R B2 D L' F2 R'
D2 R B2 D R' L' F2
F2 R B2 U R U R2
F2 R B2 U2 R' D' F2
L' U' D' B2 L2 U F2
R2 U' D2 L U2 L2 B2
R2 U' D2 L U2 B2 L2
D' R' L2 U F2 L R
D' R' L2 U F2 R L
R2 U' F' L F' R U2
R2 U' F2 L R U2 D
R2 U' F2 L R U2 D'
R2 U' F2 L R U2 D2
R2 U' F2 L R D U2
R2 U' F2 L R D' U2
R2 U' F2 L R D2 U2
R2 U' F2 L D R U2
R2 U' F2 L D' R U2
R2 U' F2 L D2 R U2
R2 U' F2 R L U2 D
R2 U' F2 R L U2 D'
R2 U' F2 R L U2 D2
R2 U' F2 R L D U2
R2 U' F2 R L D' U2
R2 U' F2 R L D2 U2
R2 U' F2 R D L U2
R2 U' F2 R D' L U2
R2 U' F2 R D2 L U2
R2 U' F2 D L R U2
R2 U' F2 D R L U2
R2 U' F2 D' L R U2
R2 U' F2 D' R L U2
R2 U' F2 D2 L R U2
R2 U' F2 D2 R L U2
B2 R' D2 B2 L' D F2
L' U2 L2 F2 U R2 U
L' U2 L2 F2 U2 D' F2
L' U2 L2 F2 D B2 U2
L' U2 L2 F2 D' U2 F2
L U2 L2 D' F2 D' B2
L U2 L2 D2 B2 D F2
D2 R' B2 R' D L' F2
D2 R' B2 D L' R' F2
D2 R' B2 D L' F2 R'
D2 R' B2 D R' L' F2
D' R2 L2 U F2 L R
D' R2 L2 U F2 R L
L U2 F L2 D' F2 B'
L U2 F L2 D' B' F2
L U2 F L2 B' D' F2
U' R2 U L' D2 R2 B2
U' R2 U L' D2 B2 R2
B2 R2 U L' R D2 B2
B2 R2 U L' D2 R B2
B2 R2 U L' D2 B2 R
B2 R2 U R L' D2 B2
B2 R2 U R D2 L' B2
B2 R2 U R D2 B2 L'
U2 R2 U L' D2 R2 B2
U2 R2 U L' D2 B2 R2
U' R2 U D2 B2 L' R'
U' R2 U D2 B2 R' L'
L' U2 F2 L2 U R2 U
L' U2 F2 L2 U2 D' F2
L' U2 F2 L2 D B2 U2
L' U2 F2 L2 D' U2 F2
D R2 U L B2 U2 L2
B2 R2 U D2 L' R B2
B2 R2 U D2 L' B2 R
B2 R2 U D2 R L' B2
B2 R2 U D2 R B2 L'
B2 R2 U D2 B2 L' R
B2 R2 U D2 B2 R L'
U2 R2 U D2 B2 L' R'
U2 R2 U D2 B2 R' L'
U' R2 U' L F2 U2 L2
U R2 U L' D2 R2 B2
U R2 U L' D2 B2 R2
U2 R2 U' L F2 U2 L2
D R2 U B2 U2 L' R'
D R2 U B2 U2 R' L'
U R2 U D2 B2 L' R'
U R2 U D2 B2 R' L'
U' R2 U' F2 L R U2
U' R2 U' F2 R L U2
D R2 U' L' D2 R2 F2
D R2 U' L' D2 F2 R2
B2 R2 U' F2 L' R U2
B2 R2 U' F2 R L' U2
U2 R2 U' F2 L R U2
U2 R2 U' F2 R L U2
U R2 U' L F2 U2 L2
U R2 U' F2 L R U2
U R2 U' F2 R L U2
B2 R2 D' L2 U L R
B2 R2 D' L2 U R L
U' R2 D2 U B2 L' R'
U' R2 D2 U B2 R' L'
B2 R2 D2 U L' R B2
B2 R2 D2 U L' B2 R
B2 R2 D2 U R L' B2
B2 R2 D2 U R B2 L'
B2 R2 D2 U B2 L' R
B2 R2 D2 U B2 R L'
U2 R2 D2 U B2 L' R'
U2 R2 D2 U B2 R' L'
U R2 D2 U B2 L' R'
U R2 D2 U B2 R' L'
D2 R2 B2 R' D L' F2
D2 R2 B2 D L' R' F2
D2 R2 B2 D L' F2 R'
D2 R2 B2 D R' L' F2
D' U L2 U F2 L R
D' U L2 U F2 R L
L' D B D R2 F' B2
L' D B D R2 B2 F'
F2 U R2 U' L R' U2
F2 U R2 U' R' L U2
L' D B' D B2 R2 F'
F2 U R2 B2 U L R'
F2 U R2 B2 U R' L
L D B2 D R2 U2 B2
L D B2 D' F2 U2 L2
R2 D' L2 U L D2 R2
L' D' L2 B2 U L2 F2
L' D' L2 B2 U F2 L2
R2 D' L2 U' L' U2 L2
R2 D' L2 F2 U L R
R2 D' L2 F2 U R L
L' D' R F2 D' R2 B2
L' D' R F2 D' B2 R2
D2 U B2 R' D L' F2
D2 U B2 D L' R' F2
D2 U B2 D L' F2 R'
D2 U B2 D R' L' F2
L' D' R' F2 D' R2 B2
L' D' R' F2 D' B2 R2
L' D' R2 F2 D' R2 B2
L' D' R2 F2 D' B2 R2
L' D' U' L2 B2 U F2
D' U' L2 U F2 L R
D' U' L2 U F2 R L
U' D' L2 U F2 L R
U' D' L2 U F2 R L
