R2 F' U' F B
R2 F' U' B F
R2 L F' U' F B
R2 L F' U' B F
R2 L' F' U' F B
R2 L' F' U' B F
L' R2 F' U' F B
L' R2 F' U' B F
L2 R2 F' U' F B
L2 R2 F' U' B F
L2 R2 F' U' B F
R2 L2 F' U' F B
R2 L2 F' U' B F
L R2 F' U' F B
L R2 F' U' B F
D2 R2 F' U' F B
D2 R2 F' U' B F
D' R2 F' U' F B
D' R2 F' U' B F
D R2 F' U' F B
D R2 F' U' B F
R2 D F' U' F B
R2 D F' U' B F
R2 D' F' U' F B
R2 D' F' U' B F
R2 D2 F' U' F B
R2 D2 F' U' B F
F' U2 B U F B'
F' U2 B U B' F
U2 F' U F B U
U2 F' U B F U
R2 F' U' D F B
R2 F' U' D B F
R2 F' U' D' F B
R2 F' U' D' B F
R2 F' U' D2 F B
R2 F' U' D2 B F
R2 F' U' F D B
R2 F' U' F D' B
R2 F' U' F D2 B
R2 F' U' F B D
R2 F' U' F B D'
R2 F' U' F B D2
R2 F' U' B D F
R2 F' U' B D' F
R2 F' U' B D2 F
R2 F' U' B F D
R2 F' U' B F D'
R2 F' U' B F D2
R2 F' D U' F B
R2 F' D U' B F
R2 F' D' U' F B
R2 F' D' U' B F
R2 F' D2 U' F B
R2 F' D2 U' B F
R2 B U F' B' U'
R2 B U B' F' U'
U2 B U' F' B' U2
U2 B U' B' F' U2
D' L R2 F' U' F B
D' L R2 F' U' B F
D2 L R2 F' U' F B
D2 L R2 F' U' B F
D L R2 F' U' F B
D L R2 F' U' B F
R2 L D F' U' F B
R2 L D F' U' B F
R2 L D' F' U' F B
R2 L D' F' U' B F
R2 L D2 F' U' F B
R2 L D2 F' U' B F
R2 L F' U' D F B
R2 L F' U' D B F
R2 L F' U' D' F B
R2 L F' U' D' B F
R2 L F' U' D2 F B
R2 L F' U' D2 B F
R2 L F' U' F D B
R2 L F' U' F D' B
R2 L F' U' F D2 B
R2 L F' U' F B D
R2 L F' U' F B D'
R2 L F' U' F B D2
R2 L F' U' B D F
R2 L F' U' B D' F
R2 L F' U' B D2 F
R2 L F' U' B F D
R2 L F' U' B F D'
R2 L F' U' B F D2
R2 L F' D U' F B
R2 L F' D U' B F
R2 L F' D' U' F B
R2 L F' D' U' B F
R2 L F' D2 U' F B
R2 L F' D2 U' B F
R2 L B U F' B' U'
R2 L B U B' F' U'
U2 L F' U F B U
U2 L F' U B F U
U2 L B U' F' B' U2
U2 L B U' B' F' U2
R2 L' D F' U' F B
R2 L' D F' U' B F
D2 L' R2 F' U' F B
D2 L' R2 F' U' B F
D' L' R2 F' U' F B
D' L' R2 F' U' B F
R2 L' D' F' U' F B
R2 L' D' F' U' B F
D L' R2 F' U' F B
D L' R2 F' U' B F
R2 L' D2 F' U' F B
R2 L' D2 F' U' B F
R2 L' F' U' D F B
R2 L' F' U' D B F
R2 L' F' U' D' F B
R2 L' F' U' D' B F
R2 L' F' U' D2 F B
R2 L' F' U' D2 B F
R2 L' F' U' F D B
R2 L' F' U' F D' B
R2 L' F' U' F D2 B
R2 L' F' U' F B D
R2 L' F' U' F B D'
R2 L' F' U' F B D2
R2 L' F' U' B D F
R2 L' F' U' B D' F
R2 L' F' U' B D2 F
R2 L' F' U' B F D
R2 L' F' U' B F D'
R2 L' F' U' B F D2
R2 L' F' D U' F B
R2 L' F' D U' B F
R2 L' F' D' U' F B
R2 L' F' D' U' F B
R2 L' F' D' U' B F
R2 L' F' D2 U' F B
R2 L' F' D2 U' B F
R2 L' B U F' B' U'
R2 L' B U B' F' U'
U2 L' F' U F B U
U2 L' F' U B F U
U2 L' B U' F' B' U2
U2 L' B U' B' F' U2
L' R2 D F' U' F B
L' R2 D F' U' B F
L2 R2 D F' U' F B
L2 R2 D F' U' B F
