U L F' U' L F2
U L F' U' F2 L
F' L' B U' B' L'
F' L' B' U' L' B
F' L' B' U' B L'
F' L' B2 U' L' B2
F' L' B2 U' B2 L'
F L2 U F2 L' U'
L2 U L F' U' F2
L2 U F' L U' F
F2 U F L' U' L'
F U F2 L' U' L'
L2 F U F2 L' U'
D' F' L' B2 U' B2
U F' L U' F L
F' D' L' B2 U' B2
D' F' B2 L' U' B2
F' D' B2 L' U' B2
L2 F2 U F L' U'
F' B' L' U' L' B
F' B' L' U' B L'
B' F' L' U' L' B
B' F' L' U' B L'
B2 F' L' U' L' B2
B2 F' L' U' B2 L'
F' B2 L' U' L' B2
F' B2 L' U' B2 L'
D' B2 F' L' U' B2
F L U F2 L' U' L2
U L U' F L D R2
U L U' F D L R2
U L U' F D R2 L
F' L D L F2 D R2
F2 L D L R F' R
F2 L D L F' R F'
F2 L D R L F' R
F2 L D R F' L R
F2 L D R F' R L
F' L D F2 L D R2
F2 L D F' L R F'
F2 L D F' R L F'
F2 L D F' R F' L
F' L D F2 D L R2
F' L D F2 D R2 L
U L D F' U' L F2
U L D F' U' F2 L
U L D' F' U' L F2
U L D' F' U' F2 L
U L D2 F' U' L F2
U L D2 F' U' F2 L
R2 L B U B' L F
D' L F' L' B2 U' B2
B' L F' L' U' L2 B
B' L F' L' U' B L2
B2 L F' L' U' L2 B2
B2 L F' L' U' B2 L2
B L F' L' U' B' L2
U L F' L' U' L2 F2
U L F' L' U' F2 L2
U L F' L2 U' L' F2
U L F' U' L F2 D
U L F' U' L F2 D'
U L F' U' L F2 D2
U L F' U' L' F2 L2
U L F' U' F' L F'
U L F' U' F2 L D
U L F' U' F2 L D'
U L F' U' F2 L D2
U L F' U' F2 D L
U L F' U' F2 D' L
U L F' U' F2 D2 L
D' L F' B2 L' U' B2
U L F' D' L2 U' L'
F' L F2 D L R2 F2
F' L F2 D L F2 R2
F' L F2 D R2 L F2
F' L F2 D R2 F2 L
F' L F2 D F2 L R2
F' L F2 D F2 R2 L
L2 R' U' R' B U F'
F' L B2 L2 U' B2 L
D' L B2 F' L' U' B2
F' L' R B U' B' L'
F' L' R B' U' L' B
F' L' R B' U' B L'
F' L' R B2 U' L' B2
F' L' R B2 U' B2 L'
F L' R' D' L' F2 R
F' L' R' B U' B' L'
F' L' R' B' U' L' B
F' L' R' B' U' B L'
F' L' R' B2 U' L' B2
F' L' R' B2 U' B2 L'
F' L' R2 B U' B' L'
F' L' R2 B' U' L' B
F' L' R2 B' U' B L'
F' L' R2 B2 U' L' B2
F' L' R2 B2 U' B2 L'
F' L' U' L' U' L U
F' L' U' L2 D' L B2
F' L' D B U' B' L'
F' L' D B' U' L' B
F' L' D B' U' B L'
F' L' D B2 U' L' B2
F' L' D B2 U' B2 L'
F' L' D' B U' B' L'
F' L' D' B' U' L' B
F' L' D' B' U' B L'
F' L' D' B2 U' L' B2
F' L' D' B2 U' B2 L'
F' L' D2 B U' B' L'
F' L' D2 B' U' L' B
F' L' D2 B' U' B L'
F' L' D2 B2 U' L' B2
F' L' D2 B2 U' B2 L'
D' L' F' L' B2 U' B2
U L' F' L2 U' F L'
D' L' F' B2 L' U' B2
U L' F' U' L2 F L'
R' L2 U' R' B U F'
L2 R2 U' B R' U F'
R2 L2 U' B R' U F'
F' L' B R U' B' L'
F' L' B R' U' B' L'
F' L' B R2 U' B' L'
F' L' B U' D B' L'
F' L' B U' D' B' L'
F' L' B U' D2 B' L'
F' L' B U' B L' B2
F' L' B U' B' L' D
F' L' B U' B' L' D'
F' L' B U' B' L' D2
F' L' B U' B' D L'
F' L' B U' B' D' L'
F' L' B U' B' D2 L'
F' L' B U' B2 L' B
F' L' B D U' B' L'
F' L' B D' U' B' L'
F' L' B D2 U' B' L'
F' L' B' U' L B L2
F' L' B' U' L' D B
F' L' B' U' L' D' B
F' L' B' U' L' D2 B
F' L' B' U' L' B D
F' L' B' U' L' B D'
F' L' B' U' L' B D2
F' L' B' U' D L' B
F' L' B' U' D B L'
F' L' B' U' D' L' B
F' L' B' U' D' B L'
F' L' B' U' D2 L' B
F' L' B' U' D2 B L'
F' L' B' U' B L' D
F' L' B' U' B L' D'
F' L' B' U' B L' D2
F' L' B' U' B D L'
F' L' B' U' B D' L'
F' L' B' U' B D2 L'
F' L' B' U' B' L' B2
F' L' B' D U' L' B
F' L' B' D U' B L'
F' L' B' D' U' L' B
F' L' B' D' U' B L'
F' L' B' D2 U' L' B
F' L' B' D2 U' B L'
F' L' B2 R U' L' B2
F' L' B2 R U' B2 L'
F' L' B2 R' U' L' B2
F' L' B2 R' U' B2 L'
F' L' B2 R2 U' L' B2
F' L' B2 R2 U' B2 L'
F' L' B2 U' L B2 L2
F' L' B2 U' L' B2 D
F' L' B2 U' L' B2 D'
F' L' B2 U' L' B2 D2
F' L' B2 U' B L' B
F' L' B2 U' B2 L' D
F' L' B2 U' B2 L' D'
F' L' B2 U' B2 L' D2
F' L' B2 U' B2 D L'
F' L' B2 U' B2 D' L'
F' L' B2 U' B2 D2 L'
F' L' B2 D' R2 U' L'
D' L' B2 F' L' U' B2
F L2 R U F2 U' F2
F L2 R D R2 D' F2
U' L2 R' D' F' R B2
U' L2 R' D' F' B2 R
U' L2 R' D' B2 F' R
F L2 R' D R2 D2 F2
F L2 R' D' F2 D2 R2
L2 R2 F U' B R U
R2 L2 F U' B R U
F' L2 U L U L' U2
F' L2 U L F2 U' R
F2 L2 U L2 F L' U'
F L2 U L F2 L' U'
F L2 U L' F2 L' U'
F L2 U L2 F2 L' U'
F L2 U F2 L' U' D
F L2 U F2 L' U' D'
F L2 U F2 L' U' D2
F L2 U F2 L' D U'
F L2 U F2 L' D' U'
F L2 U F2 L' D2 U'
F L2 U F2 D L' U'
F L2 U F2 D' L' U'
F L2 U F2 D2 L' U'
F L2 U' R U D R2
F L2 U' R U2 F2 U'
F L2 U' R D U R2
F L2 U' R D2 B2 U
F L2 U' D R U R
F' L2 U' B2 R' U R
F L2 U' D2 R B2 U
F L2 U' D2 B2 R U
L R2 B U B' L F
F L2 D R' D' R' F2
F L2 D R' D' F2 R'
F L2 D R2 U' R' U
F L2 D U' R U R
L2 U L U' F D R2
L' U L F' U' L2 F2
L' U L F' U' F2 L2
L2 U L D F' U' F2
L2 U L D' F' U' F2
L2 U L D2 F' U' F2
L2 U L F' L U' F2
L2 U L F' L' U' F2
L2 U L F' L2 U' F2
L2 U L F' U' F2 D
L2 U L F' U' F2 D'
L2 U L F' U' F2 D2
L2 U L F' D' L2 U'
F L2 D2 R' D' R2 F2
F L2 D2 R' D' F2 R2
F L2 D2 U' R B2 U
F L2 D2 U' B2 R U
L2 U L' F' L2 U' F
F' L2 F U L F' U'
L2 U L' F' U B' U2
F' L2 F U F' L U'
L U L' F' U' L2 F
F L2 F U F L' U'
B' L2 F' L' U' L B
D' L2 F' L' B2 U' B2
B2 L2 F' L' U' L B2
L2 U L2 F' L' U' F
F' L2 F' U F L U'
F2 L2 F' U' R B' U
F2 L2 F' U' B' R U
U L2 F' L' U' F L
D' L2 F' B2 L' U' B2
F' L2 F2 U L F2 U'
F' L2 F2 U F2 L U'
L2 U D L F' U' F2
L2 U D F' L U' F
L2 U D' L F' U' F2
D' L2 B2 F' L' U' B2
L2 U D' F' L U' F
L2 U D2 L F' U' F2
L2 U D2 F' L U' F
L2 U F L F2 U' F'
F' R L' B U' B' L'
F' R L' B' U' L' B
F' R L' B' U' B L'
F' R L' B2 U' L' B2
F' R L' B2 U' B2 L'
L' U F' L U' F L'
F R L2 U F2 U' F2
L2 U F' L U' D F
L2 U F' L U' D' F
L2 U F' L U' D2 F
L2 U F' L U' F D
L2 U F' L U' F D'
L2 U F' L U' F D2
L2 U F' L D U' F
L2 U F' L D' U' F
L2 U F' L D2 U' F
L2 U F' L' U B' U2
F R L2 D R2 D' F2
L U F' L' U' L2 F
L U F' L2 U' L' F
L2 U F' U2 R' U F'
L2 U F' D L U' F
L2 U F' D' L U' F
L2 U F' D2 L U' F
F2 R U F L' U' L'
F R U F2 U' L2 F2
F R U F2 U' F2 L2
U' R U' B L U2 L
B R U' B' L2 R' F'
B R U' B' R' L2 F'
B R U' B' R' F' L2
F R D R2 D' L2 F2
F R D R2 D' F2 L2
F' R D' L' B2 U' B2
F' R D' B2 L' U' B2
L2 U' R U' B L U2
L2 U' R' U D' F' R
R' U' R' B U L2 F'
R' U' R' B U F' L2
L2 U' R' D' U F' R
F' R B' L' U' L' B
F' R B' L' U' B L'
L2 U' R2 D B R' U
L2 U' R2 B R U F'
F' R B2 L' U' L' B2
F' R B2 L' U' B2 L'
U' R B2 U L2 F R
F' R' L' B U' B' L'
F' R' L' B' U' L' B
F' R' L' B' U' B L'
F' R' L' B2 U' L' B2
F' R' L' B2 U' B2 L'
F R' L' D' L' F2 R
U' R' L2 D' F' R B2
U' R' L2 D' F' B2 R
U' R' L2 D' B2 F' R
U' R' U L2 D' F' R
F R' L2 D R2 D2 F2
F R' L2 D' F2 D2 R2
F2 R' U F L' U' L'
