U L F B2 R' B
U' L B2 R' F' B
U' L B2 R' B F'
U' L B2 R' B F'
U L B2 R' F B
U L B2 R' B F
U L B2 F R' B
D2 U L R2 F B'
D2 U L R2 B' F
D2 U L F R2 B'
D2 U L F B' R2
D2 U L B' R2 F
D2 U L B' F R2
D2 U R2 L F B'
D2 U R2 L B' F
U D2 L R2 F B'
U D2 L R2 B' F
U D2 L F R2 B'
U D2 L F B' R2
U D2 L B' R2 F
U D2 L B' F R2
U D2 R2 L F B'
U D2 R2 L B' F
U L R F D2 B2 R'
U' L R' F' B2 R' B'
U' L R' B D2 F' R
U L R' F B2 R' B'
U' L R' B2 F' R' B'
U L R' B2 R' F B'
U L R' B2 R' B' F
U L R' B2 F R' B'
U L F R' B2 R' B'
U' L F B2 R' F' B
U' L F B2 R' B F'
U L F B R' B R'
U L F B2 R' D B
U L F B2 R' D' B
U L F B2 R' D2 B
U L F B2 R' B D
U L F B2 R' B D'
U L F B2 R' B D2
U' L F' B2 R' F' B
U' L F' B2 R' B F'
U L F' B2 R' F2 B
U L F' B2 R' B F2
U' L F2 B2 R' F' B
U' L F2 B2 R' B F'
U' L B R' F' B R'
U' L B R' B F' R'
U L B R' F B R'
U L B R' B R' F
U L B R' B F R'
U L B F R' B R'
F' L B2 R' D F2 B
F' L B2 R' D B F2
F' L B2 R' B D F2
U' L B2 R' D F' B
U' L B2 R' D B F'
U' L B2 R' D' F' B
U' L B2 R' D' B F'
U' L B2 R' D2 F' B
U' L B2 R' D2 B F'
U' L B2 R' F' D B
U' L B2 R' F' D' B
U' L B2 R' F' D2 B
U' L B2 R' F' B D
U' L B2 R' F' B D'
U' L B2 R' F' B D2
U' L B2 R' B D F'
U' L B2 R' B D' F'
U' L B2 R' B D2 F'
U' L B2 R' B F' D
U' L B2 R' B F' D'
U' L B2 R' B F' D2
F L B2 R' D' F2 B
F L B2 R' D' B F2
F L B2 R' B D' F2
U L B2 R' D F B
U L B2 R' D B F
U L B2 R' D' F B
U L B2 R' D' B F
U L B2 R' D2 F B
U L B2 R' D2 B F
U L B2 R' F D B
U L B2 R' F D' B
U L B2 R' F D2 B
U L B2 R' F B D
U L B2 R' F B D'
U L B2 R' F B D2
U L B2 R' B D F
U L B2 R' B D' F
U L B2 R' B D2 F
U L B2 R' B F D
U L B2 R' B F D'
U L B2 R' B F D2
U' L B2 F R' F' B
U' L B2 F R' B F'
U' L B2 F' R' F' B
U' L B2 F' R' B F'
U' L B2 F2 R' F' B
U' L B2 F2 R' B F'
U L B2 F R' D B
U L B2 F R' D' B
U L B2 F R' D2 B
U L B2 F R' B D
U L B2 F R' B D'
U L B2 F R' B D2
U L B2 F' R' F2 B
U L B2 F' R' B F2
L2 R' U2 B L' D F2
F' L' U' L2 B2 R' B
R' L2 U2 B L' D F2
U' L2 R' U2 L' F' B
U' L2 R' U2 L' B F'
U' L2 R' U2 B L' F'
U L2 R' U2 L' F B
U L2 R' U2 L' B F
U L2 R' U2 B L' F
U L2 R2 U2 L' F B'
U L2 R2 U2 L' B' F
R' U L F B2 R' B'
R' U L B2 R' F B'
R' U L B2 R' B' F
R' U L B2 F R' B'
R U L F D2 B2 R'
R' U L2 U2 L' F B
R' U L2 U2 L' B F
R' U L2 U2 B L' F
U' L2 F2 R F' B U2
U' L2 F2 R B F' U2
R' U D2 L F B R2
R' U D2 L B R2 F
R' U D2 L B F R2
R U D2 L R2 F B
R U D2 L R2 B F
U R L F D2 B2 R'
R U D2 R2 L F B
R U D2 R2 L B F
D2 R U L R F B'
D2 R U L R B' F
D2 R U L B' R F
D2 R U R L F B'
D2 R U R L B' F
R U F' L2 U2 L' F
F R U D2 L R2 B
F R U D2 R2 L B
F R U' F' L2 U2 L'
U' R D2 L R2 F' B
U' R D2 L R2 B F'
R' U' L B2 R' F' B'
R' U' L B2 R' B' F'
U' R D2 R2 L F' B
U' R D2 R2 L B F'
U' R D2 R2 F' L B
U R D2 L R2 F B
U R D2 L R2 B F
F R D2 U L R2 B
F R D2 U R2 L B
U R D2 R2 L F B
U R D2 R2 L B F
U' R F' L2 B U2 L'
L' U' L2 B2 R' F' B
L' U' L2 B2 R' B F'
U R F' L2 U2 L' F
L2 U' R' U' L' F' B
L2 U' R' U' L' B F'
L2 U' R' U' B L' F'
U' R' L F' B2 R' B'
U' R' L B D2 F' R
U' R' L B2 F' R' B'
U R' L F B2 R' B'
U R' L B2 R' F B'
U R' L B2 R' B' F
U R' L B2 F R' B'
U' R' L2 U2 L' F' B
U' R' L2 U2 L' B F'
U' R' L2 U2 B L' F'
D2 R' U L R' F B'
D2 R' U L R' B' F
D2 R' U L F R' B'
D2 R' U R' L F B'
D2 R' U R' L B' F
U R' L2 U2 L' F B
U R' L2 U2 L' B F
U R' L2 U2 B L' F
D2 R' U' L R' F' B'
D2 R' U' L R' B' F'
D2 R' U' R' L F' B'
D2 R' U' R' L B' F'
D2 R' U' R' F' L B'
U' R' D2 L F' B R2
U' R' D2 L B F' R2
U' R' D2 F' L B R2
U R' D2 L F B R2
U R' D2 L B R2 F
U R' D2 L B F R2
U' R' F' L B2 R' B'
U' R' F' D2 L B R2
U R2 L2 U2 L' F B'
U R2 L2 U2 L' B' F
D2 R2 F' L D F2 B'
D2 R2 F' L D B' F2
D2 R2 F' L B' D F2
D2 U L R B' R F
D2 U L R' F R' B'
D2 U L R2 D F B'
D2 U L R2 D B' F
D2 U L R2 D' F B'
D2 U L R2 D' B' F
D2 U L R2 D2 F B'
D2 U L R2 D2 B' F
D2 U L R2 F D B'
D2 U L R2 F D' B'
D2 U L R2 F D2 B'
D2 U L R2 F B' D
D2 U L R2 F B' D'
D2 U L R2 F B' D2
D2 U L R2 B' D F
D2 U L R2 B' D' F
D2 U L R2 B' D2 F
D2 U L R2 B' F D
D2 U L R2 B' F D'
D2 U L R2 B' F D2
D2 U L F R B' R
D2 U L F R2 D B'
D2 U L F R2 D' B'
D2 U L F R2 D2 B'
D2 U L F R2 B' D
D2 U L F R2 B' D'
D2 U L F R2 B' D2
D2 U L F B R2 B2
D2 U L F B' R2 D
D2 U L F B' R2 D'
D2 U L F B' R2 D2
D2 U L F' R2 F2 B'
D2 U L F' R2 B' F2
D2 U L F' B' R2 F2
D2 U L B R2 F B2
D2 U L B R2 B2 F
D2 U L B F R2 B2
D2 U L B' R' F R'
D2 U L B' R2 D F
D2 U L B' R2 D' F
D2 U L B' R2 D2 F
D2 U L B' R2 F D
D2 U L B' R2 F D'
D2 U L B' R2 F D2
D2 U L B' F R2 D
D2 U L B' F R2 D'
D2 U L B' F R2 D2
D2 U L B' F' R2 F2
D2 U R L B' R F
D2 U R' L F R' B'
D2 U R2 L D F B'
D2 U R2 L D B' F
D2 U R2 L D' F B'
D2 U R2 L D' B' F
D2 U R2 L D2 F B'
D2 U R2 L D2 B' F
D2 U R2 L F D B'
D2 U R2 L F D' B'
D2 U R2 L F D2 B'
D2 U R2 L F B' D
D2 U R2 L F B' D'
D2 U R2 L F B' D2
D2 U R2 L B' D F
D2 U R2 L B' D' F
D2 U R2 L B' D2 F
D2 U R2 L B' F D
D2 U R2 L B' F D'
D2 U R2 L B' F D2
D2 U R2 F L F B'
D2 U R2 F L B' F
D2 U R2 F' L F B'
D2 U R2 F' L B' F
D2 U R2 F2 L F B'
D2 U R2 F2 L B' F
D2 U F L R2 F B'
D2 U F L R2 B' F
D2 U F L F R2 B'
D2 U F L F B' R2
D2 U F L B' R2 F
D2 U F L B' F R2
D2 U F R2 L F B'
D2 U F R2 L B' F
D2 U F' L R2 F B'
D2 U F' L R2 B' F
D2 U F' L F R2 B'
D2 U F' L F B' R2
D2 U F' L B' R2 F
D2 U F' L B' F R2
D2 U F' R2 L F B'
D2 U F' R2 L B' F
D2 U F2 L R2 F B'
D2 U F2 L R2 B' F
D2 U F2 L F R2 B'
D2 U F2 L F B' R2
D2 U F2 L B' R2 F
D2 U F2 L B' F R2
D2 U F2 R2 L F B'
D2 U F2 R2 L B' F
D2 U' L R' F' R' B'
D2 U' L B' R' F' R'
D2 U' R' L F' R' B'
D2 U' R' F' L R' B'
D2 U' R' F' R' L B'
B2 U' L2 R' U2 F' B
B2 U' L2 R' U2 B F'
B2 U' R' L2 U2 F' B
B2 U' R' L2 U2 B F'
U' D2 L R' F' R' B'
U' D2 L B' R' F' R'
U D2 L R B' R F
U D2 L R' F R' B'
U D2 L R2 D F B'
U D2 L R2 D B' F
U D2 L R2 D' F B'
U D2 L R2 D' B' F
U D2 L R2 D2 F B'
U D2 L R2 D2 B' F
U D2 L R2 F D B'
U D2 L R2 F D' B'
U D2 L R2 F D2 B'
U D2 L R2 F B' D
U D2 L R2 F B' D'
U D2 L R2 F B' D2
U D2 L R2 B' D F
U D2 L R2 B' D' F
U D2 L R2 B' D2 F
U D2 L R2 B' F D
U D2 L R2 B' F D'
U D2 L R2 B' F D2
U D2 L F R B' R
U D2 L F R2 D B'
U D2 L F R2 D' B'
U D2 L F R2 D2 B'
U D2 L F R2 B' D
U D2 L F R2 B' D'
U D2 L F R2 B' D2
U D2 L F B R2 B2
U D2 L F B' R2 D
U D2 L F B' R2 D'
U D2 L F B' R2 D2
U D2 L F' R2 F2 B'
U D2 L F' R2 B' F2
U D2 L F' B' R2 F2
U D2 L B R2 F B2
U D2 L B R2 B2 F
U D2 L B F R2 B2
U D2 L B' R' F R'
U D2 L B' R2 D F
U D2 L B' R2 D' F
U D2 L B' R2 D2 F
U D2 L B' R2 F D
U D2 L B' R2 F D'
U D2 L B' R2 F D2
U D2 L B' F R2 D
U D2 L B' F R2 D'
U D2 L B' F R2 D2
U D2 L B' F' R2 F2
R' D2 U L F B R2
R' D2 U L B R2 F
R' D2 U L B F R2
U' D2 R' L F' R' B'
U' D2 R' F' L R' B'
U' D2 R' F' R' L B'
U D2 R L B' R F
R D2 U L R2 F B
R D2 U L R2 B F
U D2 R' L F R' B'
R D2 U R2 L F B
R D2 U R2 L B F
U D2 R2 L D F B'
U D2 R2 L D B' F
U D2 R2 L D' F B'
U D2 R2 L D' B' F
U D2 R2 L D2 F B'
U D2 R2 L D2 B' F
U D2 R2 L F D B'
U D2 R2 L F D' B'
U D2 R2 L F D2 B'
U D2 R2 L F B' D
U D2 R2 L F B' D'
U D2 R2 L F B' D2
U D2 R2 L B' D F
U D2 R2 L B' D' F
U D2 R2 L B' D2 F
U D2 R2 L B' F D
U D2 R2 L B' F D'
U D2 R2 L B' F D2
U D2 R2 F L F B'
U D2 R2 F L B' F
U D2 R2 F' L F B'
U D2 R2 F' L B' F
U D2 R2 F2 L F B'
U D2 R2 F2 L B' F
U D2 F L R2 F B'
U D2 F L R2 B' F
U D2 F L F R2 B'
U D2 F L F B' R2
U D2 F L B' R2 F
