U L R2 F B' L'
U L R2 B' F L'
U L F R2 B' L'
U L F B' L' R2
U L F B' R2 L'
U L B' R2 F L'
U L B' F L' R2
U L B' F R2 L'
U R2 L F B' L'
U R2 L B' F L'
F L R U R B' L2
F L R U B' L2 R
F L R U B' R L2
U L R B' R F L'
U L R' F R' B' L'
U L R2 D2 F B' L
U L R2 D2 B' F L
U L R2 F D B' L'
U L R2 F D' B' L'
U L R2 F D2 B' L'
U L R2 F B L' B2
U L R2 F B' L' D
U L R2 F B' L' D'
U L R2 F B' L' D2
U L R2 F B' D L'
U L R2 F B' D' L'
U L R2 F B' D2 L'
U L R2 F B2 L' B
U L R2 B F L' B2
U L R2 B' F L' D
U L R2 B' F L' D'
U L R2 B' F L' D2
U L R2 B' F D L'
U L R2 B' F D' L'
U L R2 B' F D2 L'
U L R2 B2 F L' B
U L U R2 F B' L'
U L U R2 B' F L'
U L U F R2 B' L'
U L U F B' L' R2
U L U F B' R2 L'
U L U B' R2 F L'
U L U B' F L' R2
U L U B' F R2 L'
U L U' R2 F B' L'
U L U' R2 B' F L'
U L U' F R2 B' L'
U L U' F B' L' R2
U L U' F B' R2 L'
U L U' B' R2 F L'
U L U' B' F L' R2
U L U' B' F R2 L'
U L U2 R2 F B' L'
U L U2 R2 B' F L'
U L U2 F R2 B' L'
U L U2 F B' L' R2
U L U2 F B' R2 L'
U L U2 B' R2 F L'
U L U2 B' F L' R2
U L U2 B' F R2 L'
U L F R B' L' R
U L F R B' R L'
U L F R2 D B' L'
U L F R2 D' B' L'
U L F R2 D2 B' L'
U L F R2 B L' B2
U L F R2 B' L' D
U L F R2 B' L' D'
U L F R2 B' L' D2
U L F R2 B' D L'
U L F R2 B' D' L'
U L F R2 B' D2 L'
U L F R2 B2 L' B
U L F B L' R2 B2
U L F B L' B2 R2
U L F B R2 L' B2
U L F B R2 B2 L'
U L F B' L' R2 D
U L F B' L' R2 D'
U L F B' L' R2 D2
U L F B' R2 L' D
U L F B' R2 L' D'
U L F B' R2 L' D2
U L F B' R2 D L'
U L F B' R2 D' L'
U L F B' R2 D2 L'
U L F B2 L' B R2
U L B R2 F L' B2
U L B R2 F B2 L'
U L B R2 B2 F L'
U L B F L' R2 B2
U L B F L' B2 R2
U L B F R2 L' B2
U L B F R2 B2 L'
U L B' R' F L' R'
U L B' R' F R' L'
U L B' R2 F L' D
U L B' R2 F L' D'
U L B' R2 F L' D2
U L B' R2 F D L'
U L B' R2 F D' L'
U L B' R2 F D2 L'
U L B' F L' R2 D
U L B' F L' R2 D'
U L B' F L' R2 D2
U L B' F R2 L' D
U L B' F R2 L' D'
U L B' F R2 L' D2
U L B' F R2 D L'
U L B' F R2 D' L'
U L B' F R2 D2 L'
U L B2 F L' B R2
U L' F B' U2 L' R2
U L' F B' U2 R2 L'
F' L' F2 U' L' R2 B
F' L' F2 U' R2 L' B
F' L' F2 U' R2 B L'
U L' B' F U2 L' R2
U L' B' F U2 R2 L'
U L2 R2 F L' F B'
U L2 R2 F L' B' F
R' U L R' F B' L'
R' U L R' B' F L'
R' U L F R' B' L'
L U L R2 F L' B'
R U L R F B' L'
R U L R B' F L'
R2 U L U' F B' L'
