D L2 B' U L U
U2 R D' R2 F B
U2 R D' R2 B F
U2 R' D' F B R2
U2 R' D' B R2 F
U2 R' D' B F R2
U2 R' F D' B R2
U R' B2 U F B'
U R' B2 U B' F
U2 F R D' R2 B
U2 F R' D' B R2
U B2 R' U F B
U B2 R' U B F
D L' D L' F B' U2
D L' D L' B' F U2
D L2 F B' U L U
D L2 F' B' U L U
D L2 F2 B' U L U
D L2 B' U L U D
D L2 B' U L U D'
D L2 B' U L U D2
D L2 B' U L D U
D L2 B' U L D' U
D L2 B' U L D2 U
D L2 B' U D L U
D L2 B' U D' L U
D L2 B' U D2 L U
D L2 B' D U L U
D L2 B' D' U L U
D L2 B' D2 U L U
D L2 B' F U L U
D L2 B' F' U L U
D L2 B' F2 U L U
B2 R U F D2 B2 L
U R U D' R2 F B
U R U D' R2 B F
U' R U' D' R2 F B
U' R U' D' R2 B F
B2 R U' F' R' U2 F2
L' U B' R' B' U B2
U2 R D F D2 R2 B2
U2 R D F D2 B2 R2
U' R D' U' R2 F B
U' R D' U' R2 B F
U2 R D' R' F R' B
U2 R D' R2 D F B
U2 R D' R2 D B F
U2 R D' R2 D' F B
U2 R D' R2 D' B F
U2 R D' R2 D2 F B
U2 R D' R2 D2 B F
U2 R D' R2 F D B
U2 R D' R2 F D' B
U2 R D' R2 F D2 B
U2 R D' R2 F B D
U2 R D' R2 F B D'
U2 R D' R2 F B D2
U2 R D' R2 B D F
U2 R D' R2 B D' F
U2 R D' R2 B D2 F
U2 R D' R2 B F D
U2 R D' R2 B F D'
U2 R D' R2 B F D2
U2 R D' F R2 D2 B2
U2 R D' B R2 F B
U2 R D' B R2 B F
U2 R D' B' R2 F B
U2 R D' B' R2 B F
U2 R D' B2 R2 F B
U2 R D' B2 R2 B F
U R D' U R2 F B
U R D' U R2 B F
F R D' B R2 B L
F R D' B2 L R2 B
F R D' B2 R2 L B
U2 R F D' R2 D' B2
U2 R F D2 B2 D R2
U R B2 R2 U F B
U R B2 R2 U B F
U R B2 U F D2 B2
U R B2 U' F' U2 F2
B2 R' U F2 L' F' B
B2 R' U F2 L' B F'
B2 R' U F2 B L' F'
B2 R' U B F2 L' F'
U R' U D' F B R2
U R' U D' B R2 F
U R' U D' B F R2
U' R' U' D' F B R2
U R' U F D' B R2
U' R' U' D' B R2 F
U' R' U' D' B F R2
U' R' U' F D' B R2
U2 R' U' B2 U F B'
U2 R' U' B2 U B' F
U' R' U2 B2 U F B'
U' R' U2 B2 U B' F
U2 R' D F D2 B R2
U2 R' D F B D2 R2
U2 R' D B D2 R2 F
U2 R' D B D2 F R2
U2 R' D B F D2 R2
U' R' D' U' F B R2
U' R' D' U' B R2 F
U' R' D' U' B F R2
U2 R' D' R2 F D2 B2
U2 R' D' F B R2 D
U2 R' D' F B R2 D'
U2 R' D' F B R2 D2
U2 R' D' F B' R2 B2
U2 R' D' F B2 R2 B'
U2 R' D' F' B R2 F2
U2 R' D' B R' F R'
U2 R' D' B R2 D F
U2 R' D' B R2 D' F
U2 R' D' B R2 D2 F
U2 R' D' B R2 F D
U2 R' D' B R2 F D'
U2 R' D' B R2 F D2
U2 R' D' B F R2 D
U2 R' D' B F R2 D'
U2 R' D' B F R2 D2
U2 R' D' B F' R2 F2
U2 R' D' B' R2 F B2
U2 R' D' B' R2 B2 F
U2 R' D' B' F R2 B2
U2 R' D' B2 R2 F B'
U2 R' D' B2 R2 B' F
U2 R' D' B2 F R2 B'
U R' D' U F B R2
U R' D' U B R2 F
U R' D' U B F R2
F R' D' B' R2 B2 L
U' R' D2 F2 U' F' B
U' R' D2 F2 U' B F'
U2 R' D2 B D R2 F
U2 R' D2 B D F R2
U2 R' F R2 D' R2 B
U2 R' F U' B2 U B'
U2 R' F D B D2 R2
U2 R' F D' B R2 D
U2 R' F D' B R2 D'
U2 R' F D' B R2 D2
U2 R' F D' B' R2 B2
U2 R' F D' B2 R2 B'
U2 R' F D2 B D R2
U2 R' F B U' B U
L' U2 R D' R2 F' B
L' U2 R D' R2 B F'
F' R' F2 L' D' B R2
B2 R' F2 U L' F' B
B2 R' F2 U L' B F'
F' R' F2 D' L' B R2
B2 R' F2 U B L' F'
F' R' F2 D' B L' R2
F' R' F2 D' B R2 L'
L' U2 R' D' F' B R2
L' U2 R' D' B F' R2
U2 R' F2 D' F' B R2
U2 R' F2 D' B F' R2
L' U2 R' F' D' B R2
U2 R' B R2 F D R2
U2 R' B U' B U F
U2 R' B F U' B U
F' R' B2 U F2 B' L'
F' R' B2 U B' F2 L'
U R' B2 R U F B'
U R' B2 R U B' F
U R' B2 R' U F B'
U R' B2 R' U B' F
U R' B2 R2 U F B'
U R' B2 R2 U B' F
U R' B2 U D F B'
U R' B2 U D B' F
U R' B2 U D' F B'
U R' B2 U D' B' F
U R' B2 U D2 F B'
U R' B2 U D2 B' F
U R' B2 U F D B'
U R' B2 U F D' B'
U R' B2 U F D2 B'
U R' B2 U F B' D
U R' B2 U F B' D'
U R' B2 U F B' D2
U R' B2 U B' D F
U R' B2 U B' D' F
U R' B2 U B' D2 F
U R' B2 U B' F D
U R' B2 U B' F D'
U R' B2 U B' F D2
U R' B2 D U F B'
U R' B2 D U B' F
U R' B2 D' U F B'
U R' B2 D' U B' F
U R' B2 D2 U F B'
U R' B2 D2 U B' F
U2 R2 D' R B R F
U2 R2 D' F R B R
U2 R2 F R D' B R2
U2 R2 F R' D' R2 B
U2 R2 F D' R B R
R' D L2 B' R U2 B2
R D L2 F' R' B' U2
U R2 B2 R U F B
U R2 B2 R U B F
F U L' B2 R' U B
R D F D2 B2 L R2
R D F D2 B2 R2 L
R D F' L2 R' U2 F2
R D F' R' L2 U2 F2
B2 U R' U B R F
B' U R' B' U F B2
B' U R' B' U B2 F
F' U R' B2 U F2 B'
F' U R' B2 U B' F2
B U R' U F B R
B U R' U B F R
L2 D B' L2 U L' U
R' D' R2 F D2 B2 L
B U B R' U F B
B U B R' U B F
B' U B' R' U F B
B' U B' R' U B F
R D' R' U2 R' F B
R D' R' U2 R' B F
R D' R' U2 F R' B
F' U B2 R' U F2 B
F' U B2 R' U B F2
R D' R2 F2 L' F' B
R D' R2 F2 L' B F'
R D' R2 F2 B L' F'
R D' R2 B F2 L' F'
U2 D' R' D R' F B
U2 D' R' D R' B F
U2 D' R' D F R' B
R' D' F2 L' F' B R2
R' D' F2 L' B F' R2
R' D' F2 B L' F' R2
U2 D' R2 F U' L' U
R D' F' R' U2 R' F2
R D' F' R' U2 F2 R'
R D' F' U2 R2 F2 L'
U2 D' F R2 U' L' U
U' D' F' R U' R F2
D' U' F' R U' R F2
U2 D' F U' L' U R2
R' D' B F2 L' F' R2
R' D' B' R2 F B2 L
R' D' B' R2 B2 F L
D2 U' F2 L U' F' B'
D2 U' F2 L U' B' F'
R D' B R2 F B L
R D' B R2 B F L
R D' B2 R2 F L B
D' U2 R' D R' F B
D' U2 R' D R' B F
D' U2 R' D F R' B
D' U2 R2 F U' L' U
D' U2 F R2 U' L' U
D' U2 F U' L' U R2
U' D2 F2 L U' F' B'
U' D2 F2 L U' B' F'
R' D2 F2 U' L' F' B
R' D2 F2 U' L' B F'
R' D2 F2 U' B L' F'
B' U2 R' F B D' R2
B' U2 R' B D' R2 F
B' U2 R' B D' F R2
B' U2 R' B F D' R2
F' U2 R' F2 D' B R2
B' U2 F R' B D' R2
B2 U2 F R' D B R'
F2 U2 F' R D' R2 B
F2 U2 F' R' D' B R2
F' U2 F2 R D' R2 B
F' U2 F2 R' D' B R2
U2 F R D' R2 D B
U2 F R D' R2 D' B
U2 F R D' R2 D2 B
U2 F R D' R2 B D
U2 F R D' R2 B D'
U2 F R D' R2 B D2
U2 F R D' B R2 B
U2 F R D' B' R2 B
U2 F R D' B2 R2 B
U2 F R' U' B2 U B'
U2 F R' D B D2 R2
U2 F R' D' B R2 D
U2 F R' D' B R2 D'
U2 F R' D' B R2 D2
U2 F R' D' B' R2 B2
U2 F R' D' B2 R2 B'
U2 F R' D2 B D R2
U2 F R' B U' B U
U2 F R2 D' R B R
U2 F D' R' D R' B
U2 F B' R' B D' R2
R F D2 B2 L D R2
R F D2 B2 D L R2
R F D2 B2 D R2 L
U2 F' R' F2 D' B R2
R F' R' U B2 U F2
R F' R' U2 F2 D' R2
D' F' U' R U' R F2
R F' U B2 U L F2
R F' U B2 U F2 L
R' F2 L' D' F' B R2
R' F2 L' D' B F' R2
R' F2 L' F' D' B R2
R' F2 D' L' F' B R2
R' F2 D' L' B F' R2
R' F2 D' B L' F' R2
R' F2 B2 U B' L' F'
U B R' U F B R
U B R' U B F R
D B' L2 B' U L' U
U2 B' R' F B D' R2
U2 B' R' B D' R2 F
U2 B' R' B D' F R2
U2 B' R' B F D' R2
L' B' U B' R' U B
U B' R' B' U F B2
U B' R' B' U B2 F
L2 B' U D B' L U
L2 B' U2 R' B D' R2
B2 F' R' U F2 L' B
B2 F' R' U F2 B L'
B2 F' R' U B F2 L'
L2 B' D U B' L U
U2 B' F R' B D' R2
D B2 L2 B' U' R' U'
U B2 R U F D2 B2
U B2 R U' F' U2 F2
R' B2 U F D2 B' L
U B2 R' U D F B
U B2 R' U D B F
U B2 R' U D' F B
U B2 R' U D' B F
U B2 R' U D2 F B
U B2 R' U D2 B F
U B2 R' U F D B
U B2 R' U F D' B
U B2 R' U F D2 B
U B2 R' U F B D
U B2 R' U F B D'
U B2 R' U F B D2
U B2 R' U B D F
U B2 R' U B D' F
U B2 R' U B D2 F
U B2 R' U B F D
U B2 R' U B F D'
U B2 R' U B F D2
R' B2 U F2 B' L' F'
U B2 R' D U F B
U B2 R' D U B F
U B2 R' D' U F B
U B2 R' D' U B F
R' B2 U B' F2 L' F'
U B2 R' D2 U F B
U B2 R' D2 U B F
F' B2 R' U F2 L' B
F' B2 R' U F2 B L'
F' B2 R' U B F2 L'
R' B2 U' R U2 F B'
R' B2 U' R U2 B' F
R B2 R2 U F L B
U B2 U R' B R F
U B2 U F R' B R
R B2 U F L D2 B2
R B2 U F D2 L B2
R B2 U' F' U2 L F2
R B2 U' F' U2 F2 L
U B2 U2 R' U' F B
U B2 U2 R' U' B F
R' B2 F2 U B' L' F'
