R2 L B U F' B2
R2 L B U B2 F'
L R2 B U F' B2
L R2 B U B2 F'
R2 B L U F' B'
R2 B L U B' F'
L R U F R F' B'
L R U F R B' F'
L R U F B' R F'
R2 L U F' B' D' R2
R L U F R F' B'
R L U F R B' F'
R L U F B' R F'
R2 L U B' D' F' R2
R2 L U B' F' D' R2
L R U B' F R F'
R L U B' F R F'
R2 L D B U F' B2
R2 L D B U B2 F'
R2 L D' B U F' B2
R2 L D' B U B2 F'
B L U2 F' U' F B'
B L U2 F' U' B' F
R2 L D2 B U F' B2
R2 L D2 B U B2 F'
B' L D' R2 B U B2
R2 L B L U F' B2
R2 L B L U B2 F'
R2 L B L' U F' B2
R2 L B L' U B2 F'
R2 L B L2 U F' B2
R2 L B L2 U B2 F'
R2 L B U F' B2 D
R2 L B U F' B2 D'
R2 L B U F' B2 D2
R2 L B U B2 D F'
R2 L B U B2 D' F'
R2 L B U B2 D2 F'
R2 L B U B2 F' D
R2 L B U B2 F' D'
R2 L B U B2 F' D2
R2 L B D L2 U F'
U2 L F' R2 U' F' B'
U2 L F' R2 U' B' F'
U2 L F' U B U2 B2
U2 L F' U' B' D2 F2
U' L B U' F' U' B2
F' L' U F B U2 L
F' L' U B F U2 L
R2 L' B L2 U F' B'
R2 L' B L2 U B' F'
R2 L' B U F' D2 B2
R2 L' B U' F U2 F2
U' L' F U2 D R2 F'
U' L' F D U2 R2 F'
U' L' F D B U2 R2
U' L' F D' L2 B U2
U' L' F D' B L2 U2
U' L' F B U' F2 U'
U' L' F B U2 D R2
U' L' F B D U2 R2
U' L' F B D' L2 U2
U2 L' F' U F2 B U2
U2 L' F' U B F2 U2
U2 L' F' D R2 U' F'
L R2 U F' B' D' R2
L R2 U B' D' F' R2
L R2 U B' F' D' R2
U' L' B F U' F2 U'
U' L' B F U2 D R2
U' L' B F D U2 R2
U' L' B F D' L2 U2
L R2 D B U F' B2
L R2 D B U B2 F'
L R2 D' B U F' B2
L R2 D' B U B2 F'
L R2 D2 B U F' B2
L R2 D2 B U B2 F'
L' R2 B L2 U F' B'
L' R2 B L2 U B' F'
L2 R2 B L' U F' B'
L2 R2 B L' U B' F'
L' R2 B U F' D2 B2
L R2 B L U F' B2
L R2 B L U B2 F'
R2 L2 B L' U F' B'
R2 L2 B L' U B' F'
L' R2 B U' F U2 F2
L R2 B L' U F' B2
L R2 B L' U B2 F'
L R2 B L2 U F' B2
L R2 B L2 U B2 F'
L R2 B U F' B2 D
L R2 B U F' B2 D'
L R2 B U F' B2 D2
L R2 B U B2 D F'
L R2 B U B2 D' F'
L R2 B U B2 D2 F'
L R2 B U B2 F' D
L R2 B U B2 F' D'
L R2 B U B2 F' D2
L R2 B D L2 U F'
L U R2 F' B' D' R2
L U R2 B' D' F' R2
L U R2 B' F' D' R2
L U F D R2 F' B'
L U F D R2 B' F'
L' U' F U2 D R2 F'
L' U' F D U2 R2 F'
L' U' F D B U2 R2
L' U' F D' L2 B U2
L' U' F D' B L2 U2
L' U' F B U' F2 U'
L' U' F B U2 D R2
