B2 L U2 F U' L'
U2 R' F' U R U2
L U2 R' F U' L'
L U2 F R' U' L'
U2 D R' F' B U'
U2 D R' B F' U'
D U2 R' F' B U'
D U2 R' B F' U'
U2 F2 R' F' U' L'
D' L U2 R' F B' U'
D' L U2 R' B' F U'
D L U2 R' F B U'
D L U2 R' B F U'
F L U2 R' F U' L2
D' L U2 F R' B' U'
B2 L U2 F U' L' D
B2 L U2 F U' L' D'
B2 L U2 F U' L' D2
B2 L U2 F U' D L'
B2 L U2 F U' D' L'
B2 L U2 F U' D2 L'
B2 L U2 F D U' L'
B2 L U2 F D' U' L'
B2 L U2 F D2 U' L'
B2 L U2 F B U' L'
B2 L U2 F B' U' L'
B2 L U2 F B2 U' L'
D L U2 F R' B U'
B L U2 F R U' L'
F L U2 F R' U' L2
B2 L U2 B F U' L'
B2 L U2 B' F U' L'
B2 L U2 B2 F U' L'
R' L F U' D' L' F
R' L F D' U' L' F
R' L F2 L' F' U' L'
B2 L F' U2 F2 U' L'
B2 L B U2 F U' L'
B2 L B' U2 F U' L'
B2 L B2 U2 F U' L'
L R' F U' D' L' F
L R' F D' U' L' F
L R' F2 L' F' U' L'
D' L' F B2 L B U
B' L' F B' L U L2
B2 L' F B' L2 U L
B' L' B' L F U L'
B2 L' B' L2 F U L'
D2 L' B' U D L B'
D2 L' B' D U L B'
D' L' B' D2 F L' U
B' L' B' F L U L2
D2 L' B2 L B U L
B2 L' B' F L2 U L
F L' B2 L B U L'
D' L' B2 F L B U
L U R' F U' L' F'
D' L2 B2 L F B' U
D' L2 B2 L B' F U
U2 R F2 R2 F' U' L'
R' U' F L' D R F'
R' U' F R D' L' F
R' U' F D L' R F'
R' U' F D R L' F'
R' U' F D' L' R F
R' U' F D' R L' F
F2 R' U2 R B U L
F R' U2 R B U L'
U2 R' D2 F' B' U' L
U2 R' D2 B' F' U' L
U2 R' F U' L' D R2
U2 R' F U' D L' R2
U2 R' F U' D R2 L'
U2 R' F D U' L' R2
U2 R' F D U' R2 L'
U2 R' F' U R U2 D
U2 R' F' U R U2 D'
U2 R' F' U R U2 D2
U2 R' F' U R D U2
U2 R' F' U R D' U2
U2 R' F' U R D2 U2
U2 R' F' U D R U2
U2 R' F' U D' R U2
U2 R' F' U D2 R U2
U2 R' F' U' F2 L' F2
R' U2 R F B U L'
U2 R' F' U2 F2 U L'
U2 R' F' D U R U2
U2 R' F' D' U R U2
R' U2 R B F U L'
U2 R' F' D2 U R U2
U2 R' F' B U R U2
U2 R' F' B' U R U2
U2 R' F' B2 U R U2
L U2 R F R2 U' L'
L U2 R' F U' L' D
L U2 R' F U' L' D'
L U2 R' F U' L' D2
L U2 R' F U' D L'
L U2 R' F U' D' L'
L U2 R' F U' D2 L'
L U2 R' F D U' L'
L U2 R' F D' U' L'
L U2 R' F D2 U' L'
L U2 R' F B U' L'
L U2 R' F B' U' L'
L U2 R' F B2 U' L'
D R' B U2 R B U
L U2 R' B F U' L'
U2 R' B F' U R U2
L U2 R' B' F U' L'
L U2 R' B2 F U' L'
R' U2 D R F' B U
R' U2 D R B F' U
U2 R' B' F' U R U2
L U2 D R' F B U'
L U2 D R' B F U'
L U2 D F R' B U'
U2 R' B2 F' U R U2
L U2 F R' U' L' D
L U2 F R' U' L' D'
L U2 F R' U' L' D2
L U2 F R' U' D L'
L U2 F R' U' D' L'
L U2 F R' U' D2 L'
L U2 F R' D U' L'
L U2 F R' D' U' L'
L U2 F R' D2 U' L'
L U2 F R' B U' L'
L U2 F R' B' U' L'
L U2 F R' B2 U' L'
L U2 F D R' U' L'
L U2 F D' R' U' L'
L U2 F D2 R' U' L'
L U2 F B U' L' B'
L U2 B F U' L' B'
R' D U2 R F' B U
R' D U2 R B F' U
L D U2 R' F B U'
L D U2 R' B F U'
L D U2 F R' B U'
F U L' U R' F' U'
