F' L' U D R2 F'
F' L' D U R2 F'
R F R B U' F'
F' D L' U R2 F'
R2 F B R U' F2
R2 B F R U' F2
F' L' R2 U D F' R2
F' L' R2 U2 F2 U' F
F' L' R2 D U F' R2
F' L' R2 D2 B2 U F'
F' L' U R2 D F' R2
F' L' U D R2 D F'
F' L' U D R2 D' F'
F' L' U D R2 D2 F'
F' L' U D R2 F' D
F' L' U D R2 F' D'
F' L' U D R2 F' D2
F' L' U D F R2 F'
F' L' U D F' R2 F'
F' L' U D F2 R2 F'
F' L' U' D B U2 R2
F' L' U' D' L2 B U2
F' L' U' D' B L2 U2
F' L' U' B U' F2 U'
F' L' U' B U2 D R2
F' L' U' B D U2 R2
F' L' U' B D' L2 U2
F' L' U2 F2 U B U2
F' L' D R U R F'
F' L' D U R2 D F'
F' L' D U R2 D' F'
F' L' D U R2 D2 F'
F' L' D U R2 F' D
F' L' D U R2 F' D'
F' L' D U R2 F' D2
F' L' D U F R2 F'
F' L' D U F' R2 F'
F' L' D U F2 R2 F'
F' L' D U' B U2 R2
F' L' D' U' L2 B U2
F' L' D' U' B L2 U2
F' L' D2 R2 B2 U F'
F' L' D2 B2 U' B' U2
B2 L' F' L' B' U F
F' L' B U2 F2 U' F2
F' L' B' D2 B2 U F2
F' L2 D L U R2 F'
B2 L2 F' B' L' U F2
B2 L2 B' F' L' U F2
F' R U2 F2 R U' F'
F R U2 R F2 U F
F R U2 F2 R U F'
F' R D2 L' B2 U F
F R D2 L' B2 U' F
F' R D2 B2 L' U F
D2 R F R B U' F'
D' R F R B U' F'
F R D2 B2 L' U' F
D R F R B U' F'
F' R2 L' U D F' R2
F' R2 L' U2 F2 U' F
F' R2 L' D U F' R2
F' R2 L' D2 B2 U F'
F' R2 U2 F2 R U' F
F' R2 D L' U F' R2
F' R2 D2 L' B2 U F'
F' R2 D2 B2 L' U F'
F2 R2 F L' B U F2
D' R2 F B R U' F2
D2 R2 F B R U' F2
F2 R2 F B L' U F2
D R2 F B R U' F2
D' R2 B F R U' F2
D2 R2 B F R U' F2
F2 R2 B F L' U F2
D R2 B F R U' F2
B U L' F' U B' R'
R2 D F B R U' F2
R2 D B F R U' F2
F U B U F2 L' U
R2 D' F B R U' F2
R D' F L' R B U'
R D' F R L' B U'
R D' F R B L' U'
B U' R F U' B L
R2 D' B F R U' F2
F' U' B U' F2 R U'
R2 D2 F B R U' F2
F' U2 R F2 R U' F'
R2 D2 B F R U' F2
F' U2 R2 F2 R U' F
R2 F L B R U' F2
R F L R B U' F'
R2 F L' B R U' F2
R F L' R B U' F'
R2 F L2 B R U' F2
R F L2 R B U' F'
R F R L B U' F'
R F R L' B U' F'
R F R L2 B U' F'
F U2 F2 L' R2 U F'
