B U L F2 B'
B U L B' F2
B U F2 L B'
B L' U L2 F2 B'
B L' U L2 B' F2
B R U L F2 B'
B R U L B' F2
B R U F2 L B'
B R' U L F2 B'
B R' U L B' F2
B R' U F2 L B'
B R2 U L F2 B'
B R2 U L B' F2
B R2 U L B' F2
B R2 U F2 L B'
B U L F2 D B'
B U L F2 D B'
B U L F2 D' B'
B U L F2 D2 B'
B U L F2 B' D
B U L F2 B' D'
B U L F2 B' D2
B U L B' F2 D
B U L B' F2 D'
B U L B' F2 D2
B U F' L F' B'
B U F' L B' F'
B U F2 L D B'
B U F2 L D' B'
B U F2 L D2 B'
B U F2 L B' D
B U F2 L B' D'
B U F2 L B' D2
B U' L F2 R B'
B U' L F2 B' R
B U' L B' F2 R
L B U L F2 B2
L B U L B2 F2
L B U F2 L B2
F' B U L F' B'
F' B U L B' F'
F' B U F' L B'
B F U F L B'
F B U F L B'
B F' U L F' B'
B F' U L B' F'
B F' U F' L B'
B2 L U F2 B' L R'
B2 L U F2 B' R' L
B2 L U B' L R' F2
B2 L U B' L F2 R'
B2 L U B' R' L F2
B2 L U B' R' F2 L
B2 L U B' F2 L R'
B2 L U B' F2 R' L
U' L F B U F B2
U' L F B U B2 F
F2 L B L B2 D' R2
B L F2 B' U' B U
B L F2 B2 D' B R2
F' L B U L F' B2
F' L B U L B2 F'
F' L B U F' L B2
U' L B F U F B2
U' L B F U B2 F
F2 L B' U' B2 U L
B L B' U' B U F2
B L B' F2 U' B U
B' L B2 U L F2 B
B' L B2 U L B F2
B' L B2 U F2 L B
B L B2 F2 D' B R2
B L' R U L2 F2 B'
B L' R U L2 B' F2
B L' R' U L2 F2 B'
B L' R' U L2 B' F2
B L' R2 U L2 F2 B'
B L' R2 U L2 B' F2
B L' U L F2 L B'
B L' U L2 F2 D B'
B L' U L2 F2 D' B'
B L' U L2 F2 D2 B'
B L' U L2 F2 B' D
B L' U L2 F2 B' D'
B L' U L2 F2 B' D2
B L' U L2 B' F2 D
B L' U L2 B' F2 D'
B L' U L2 B' F2 D2
B L' U B L2 F2 B'
B L' U B L2 B' F2
B L' U B' L2 F2 B'
B L' U B' L2 B' F2
B L' U B2 L2 F2 B'
B L' U B2 L2 B' F2
B L' U' F U2 F L2
B L' D F2 R2 U B
B R L' U L2 F2 B'
B R L' U L2 B' F2
B R U L F2 D B'
B R U L F2 D' B'
B R U L F2 D2 B'
B R U L F2 B' D
B R U L F2 B' D'
B R U L F2 B' D2
B R U L B' F2 D
B R U L B' F2 D'
B R U L B' F2 D2
B R U F' L F' B'
B R U F' L B' F'
B R U F2 L D B'
B R U F2 L D' B'
B R U F2 L D2 B'
B R U F2 L B' D
B R U F2 L B' D'
B R U F2 L B' D2
B R U' L F2 R B'
B R U' L F2 B' R
B R U' L B' F2 R
B R F U F L B'
B R F' U L F' B'
B R F' U L B' F'
B R F' U F' L B'
B2 R B' U L F2 B'
B2 R B' U L B' F2
B2 R B' U F2 L B'
B R' L' U L2 F2 B'
B R' L' U L2 B' F2
B R' U L F2 D B'
B R' U L F2 D' B'
B R' U L F2 D2 B'
B R' U L F2 B' D
B R' U L F2 B' D'
B R' U L F2 B' D2
B R' U L B' F2 D
B R' U L B' F2 D'
B R' U L B' F2 D2
B R' U F' L F' B'
B R' U F' L B' F'
B R' U F2 L D B'
B R' U F2 L D' B'
B R' U F2 L D2 B'
B R' U F2 L B' D
B R' U F2 L B' D'
B R' U F2 L B' D2
B R' U' L F2 R B'
B R' U' L F2 B' R
B R' U' L B' F2 R
B R' F U F L B'
B R' F' U L F' B'
B R' F' U L B' F'
B R' F' U F' L B'
B2 R' B' U L F2 B'
B2 R' B' U L B' F2
B2 R' B' U F2 L B'
B R2 L' U L2 F2 B'
B R2 L' U L2 B' F2
B R2 U L F2 D B'
B R2 U L F2 D' B'
B R2 U L F2 D2 B'
B R2 U L F2 B' D
B R2 U L F2 B' D'
B R2 U L F2 B' D2
B R2 U L B' F2 D
B R2 U L B' F2 D'
B R2 U L B' F2 D2
B R2 U F' L F' B'
B R2 U F' L B' F'
B R2 U F2 L D B'
B R2 U F2 L D' B'
B R2 U F2 L D2 B'
B R2 U F2 L B' D
B R2 U F2 L B' D'
B R2 U F2 L B' D2
B R2 U' L F2 R B'
B R2 U' L F2 B' R
B R2 U' L B' F2 R
D R2 U2 F' R U' L'
B R2 F U F L B'
B R2 F' U L F' B'
B R2 F' U L B' F'
B R2 F' U F' L B'
B2 R2 B' U L F2 B'
B2 R2 B' U L B' F2
B2 R2 B' U F2 L B'
B U L R F2 R' B'
B U L R' B' R F2
B U L R2 F2 R2 B'
B U L R2 F2 B' R2
B U L R2 B' R2 F2
B U L R2 B' F2 R2
B U L D B' D' F2
B U L D' B' D F2
B U L F D F B'
B U L F D B' F
B U L F D' F B'
B U L F D' B' F
B U L F D2 F B'
B U L F D2 B' F
B U L F B' D F
B U L F B' D' F
B U L F B' D2 F
B U L F' D F' B'
B U L F' D B' F'
B U L F' D' F' B'
B U L F' D' B' F'
B U L F' D2 F' B'
B U L F' D2 B' F'
B U L F' B' D F'
B U L F' B' D' F'
B U L F' B' D2 F'
B U L F2 R' B' R
B U L F2 R2 B' R2
B U L F2 D B' D
B U L F2 D B' D'
B U L F2 D B' D2
B U L F2 D' B' D
B U L F2 D' B' D'
B U L F2 D' B' D2
B U L F2 D2 B' D
B U L F2 D2 B' D'
B U L F2 D2 B' D2
B U L F2 B2 D B
B U L F2 B2 D' B
B U L F2 B2 D2 B
B U L B' L' F2 L
B U L B' L2 F2 L2
B U L B' R F2 R'
B U L B' R2 F2 R2
B U L B' F D F
B U L B' F D' F
B U L B' F D2 F
B U L B' F' D F'
B U L B' F' D' F'
B U L B' F' D2 F'
B U L B2 F2 D B
B U L B2 F2 D' B
B U L B2 F2 D2 B
B U L' B L2 F2 B'
B U L' B L2 B' F2
B U L' B' L2 F2 B'
B U L' B' L2 B' F2
B U L' B2 L2 F2 B'
B U L' B2 L2 B' F2
B U L2 B L' F2 B'
B U L2 B L' B' F2
B U L2 B' L' F2 B'
B U L2 B' L' B' F2
B U L2 B2 L' F2 B'
B U L2 B2 L' B' F2
B U R L F2 R' B'
B U R F2 L R' B'
B U R F2 R' L B'
B U R' L B' R F2
L D B R2 U L B2
B U R2 L F2 R2 B'
B U R2 L F2 B' R2
B U R2 L B' R2 F2
B U R2 L B' F2 R2
B U R2 F2 L R2 B'
B U R2 F2 L B' R2
B U R2 F2 R2 L B'
L D B' D' R2 F2 L'
B U F' L D F' B'
B U F' L D B' F'
B U F' L D' F' B'
B U F' L D' B' F'
B U F' L D2 F' B'
B U F' L D2 B' F'
B U F' L F' D B'
B U F' L F' D' B'
B U F' L F' D2 B'
B U F' L F' B' D
B U F' L F' B' D'
B U F' L F' B' D2
B U F' L B' D F'
B U F' L B' D' F'
B U F' L B' D2 F'
B U F' L B' F' D
B U F' L B' F' D'
B U F' L B' F' D2
B U F2 L R' B' R
B U F2 L R2 B' R2
B U F2 L D B' D
B U F2 L D B' D'
B U F2 L D B' D2
B U F2 L D' B' D
B U F2 L D' B' D'
B U F2 L D' B' D2
B U F2 L D2 B' D
B U F2 L D2 B' D'
B U F2 L D2 B' D2
B U F2 L B2 D B
B U F2 L B2 D' B
B U F2 L B2 D2 B
B U F2 L' B L2 B'
B U F2 L' B' L2 B'
B U F2 L' B2 L2 B'
B U F2 L2 D L' B'
B U F2 L2 D' L' B'
B U F2 L2 D2 L' B'
B U F2 L2 B L' B'
B U F2 L2 B' L' B'
B U F2 L2 B2 L' B'
B U F2 R' L B' R
B U F2 R2 L B' R2
B U F2 B L B' L
B U B L F2 B' L
B U B L B' L F2
B U B L B' F2 L
B2 U B' U L F2 B'
B2 U B' U L B' F2
B2 U B' U F2 L B'
B U B F2 L B' L
B' U B2 U L F2 B'
B' U B2 U L B' F2
B' U B2 U F2 L B'
F2 U' L F B U B2
B U' L R F2 R B'
B U' L R F2 B' R
B U' L R B' F2 R
B U' L R' F2 R B'
B U' L R' F2 B' R
B U' L R' B' F2 R
B U' L R2 F2 R B'
B U' L R2 F2 B' R
B U' L R2 B' F2 R
F2 U' L B F U B2
B U' L F2 R D B'
B U' L F2 R D' B'
B U' L F2 R D2 B'
B U' L F2 R B' D
B U' L F2 R B' D'
B U' L F2 R B' D2
B U' L F2 R' B' R2
B U' L F2 D R B'
B U' L F2 D B' R
B U' L F2 D' R B'
B U' L F2 D' B' R
B U' L F2 D2 R B'
B U' L F2 D2 B' R
B U' L F2 B R B2
B U' L F2 B' R D
B U' L F2 B' R D'
B U' L F2 B' R D2
B U' L F2 B' D R
B U' L F2 B' D' R
B U' L F2 B' D2 R
B U' L B F2 R B2
B U' L B' R F2 R
B U' L B' R' F2 R
B U' L B' R2 F2 R
B U' L B' F2 R D
B U' L B' F2 R D'
B U' L B' F2 R D2
B U' L B' F2 D R
B U' L B' F2 D' R
B U' L B' F2 D2 R
B U' R L F2 R B'
B U' R L F2 B' R
B U' R L B' F2 R
B U' R U2 L F2 B'
B U' R U2 L B' F2
B U' R U2 F2 L B'
B U' R' L F2 R B'
B U' R' L F2 B' R
B U' R' L B' F2 R
B U' R' U2 L F2 B'
B U' R' U2 L B' F2
B U' R' U2 F2 L B'
B U' R2 L F2 R B'
B U' R2 L F2 B' R
B U' R2 L B' F2 R
B U' R2 U2 L F2 B'
B U' R2 U2 L B' F2
B U' R2 U2 F2 L B'
B U' D2 B2 R' U2 B
B U' F U2 F L B'
B U' F' U2 L F' B'
B U' F' U2 L B' F'
B U' F' U2 F' L B'
F2 U' B L F U B'
F2 U' B U B L B'
B2 U' B' U L F2 B'
B2 U' B' U L B' F2
B2 U' B' U F2 L B'
B' U' B2 U L F2 B'
B' U' B2 U L B' F2
B' U' B2 U F2 L B'
B U2 L F2 D R2 B'
B U2 L F2 D B' R2
B U2 L F2 B' D R2
B U2 L B' F2 D R2
B U2 L' U' L2 F2 B'
B U2 L' U' L2 B' F2
B U2 R U' L F2 B'
B U2 R U' L B' F2
B U2 R U' F2 L B'
B U2 R' U' L F2 B'
B U2 R' U' L B' F2
B U2 R' U' F2 L B'
B U2 R2 U' L F2 B'
B U2 R2 U' L B' F2
B U2 R2 U' F2 L B'
D F L' B R2 U L
B U2 F2 L D R2 B'
B U2 F2 L D B' R2
B U2 F2 L B' D R2
B2 U2 B' U L F2 B'
B2 U2 B' U L B' F2
B2 U2 B' U F2 L B'
B' U2 B2 U L F2 B'
B' U2 B2 U L B' F2
B' U2 B2 U F2 L B'
D F B L' R2 U L2
D F B R2 L' U L2
B D R2 U D' L B'
B D R2 D' U L B'
L F B U F L B2
B D R2 F L' U L2
B D F L' R2 U L2
B D F R2 L' U L2
R2 F' B U' L F' B'
R2 F' B U' L B' F'
R2 F' B U' F' L B'
L F' B U L F' B2
L F' B U L B2 F'
L F' B U F' L B2
U F2 U' B U L B'
L F2 B L B2 D' R2
U' B L F U F B'
U' B L F U B' F
L F2 B' U' B2 U L
B D2 U' B2 R' U2 B
L2 B L' U F2 B' L2
L2 B L' U B' L2 F2
L2 B L' U B' F2 L2
L' B L2 U B' L' F2
L B L F2 B2 D' R2
L B L B2 F2 D' R2
L B L' U L2 F2 B2
L B L' U L2 B2 F2
L B L' U F2 L2 B2
L B L' U F2 B2 L2
L B L' U B2 L2 F2
L B L' U B2 F2 L2
L B L2 U L' F2 B2
L B L2 U L' B2 F2
L B L2 U B2 L' F2
L B R U L F2 B2
L B R U L B2 F2
L B R U F2 L B2
L B R' U L F2 B2
L B R' U L B2 F2
L B R' U F2 L B2
L' B U L2 B' L' F2
U' B U F2 B L B'
U' B U B L F2 B'
U' B U B L B' F2
U' B U B F2 L B'
D B R2 U D' L B'
D B R2 D' U L B'
R' B U' L F2 B' R'
R' B U' L B' R' F2
R' B U' L B' F2 R'
D B R2 F L' U L2
L B R2 U L F2 B2
L B R2 U L B2 F2
L B R2 U F2 L B2
