L2 R D F' R B'
L2 R D F' B' R
L2 R D B' F' R
L2 R B' D F' R
R L2 D F' R B'
R L2 D F' B' R
R L2 D B' F' R
U L2 R F' B' R'
U L2 R B' F' R'
U L2 R B' F' R'
U L2 R2 B' R' F'
R L2 B' D F' R
U' L2 F R F' B'
U' L2 F R B' F'
U' L2 F B' R F'
R U L2 F' B' R'
R U L2 B' F' R'
U' L2 B' F R F'
U L2 B' R F' R2
U R L2 F' B' R'
U R L2 B' F' R'
U R2 L2 B' R' F'
U' F R F' L2 B'
U' F U2 L2 R F'
U' F U2 R L2 F'
U' F U2 R F' L2
L2 B' R D F' R
U L R F' L B' R'
L2 R D F' R D B'
L2 R D F' R D' B'
L2 R D F' R D2 B'
L2 R D F' R B' D
L2 R D F' R B' D'
L2 R D F' R B' D2
L2 R D F' R' B' R2
L2 R D F' D R B'
L2 R D F' D B' R
L2 R D F' D' R B'
L2 R D F' D' B' R
L2 R D F' D2 R B'
L2 R D F' D2 B' R
L2 R D F' B R B2
L2 R D F' B' R D
L2 R D F' B' R D'
L2 R D F' B' R D2
L2 R D F' B' D R
L2 R D F' B' D' R
L2 R D F' B' D2 R
L2 R D B F' R B2
L2 R D B' F' R D
L2 R D B' F' R D'
L2 R D B' F' R D2
L2 R D B' F' D R
L2 R D B' F' D' R
L2 R D B' F' D2 R
L2 R D' F' B R' B2
L2 R D' B F' R' B2
L2 R D2 B' D' F' R
L R F U' L F2 B'
L R F U' L B' F2
L R F U' F2 L B'
R L F U' L F2 B'
R L F U' L B' F2
R L F U' F2 L B'
L R F' L D R2 B'
L R F' L D B' R2
L R F' L B' D R2
R L F' L D R2 B'
R L F' L D B' R2
R L F' L B' D R2
L2 R F' D' B R' B2
L2 R F' B2 D' B R'
U' L F L R F' B'
U' L F L R B' F'
U' L F L B' R F'
U' L F R L F' B'
U' L F R L B' F'
U' L F R F' L B'
L2 R B' D F' R D
L2 R B' D F' R D'
L2 R B' D F' R D2
L2 R B' D F' D R
L2 R B' D F' D' R
L2 R B' D F' D2 R
L2 R B2 D F' B R
L2 R B2 D B F' R
L2 R B2 D' F' B R'
L2 R B2 D' B F' R'
L2 R B2 F' D' B R'
L2 R' D R2 F' R B'
L2 R' D R2 F' B' R
L2 R' D R2 B' F' R
U' L' D2 L' F R B'
U' L' D2 L' F B' R
U' L' D2 L' B' F R
U L' D2 L' F B' R'
U L' D2 L' B' R' F
U L' D2 L' B' F R'
U' L' F R F' L' B'
R' L2 D R2 F' R B'
R' L2 D R2 F' B' R
R' L2 D R2 B' F' R
L2 R2 D R' F' R B'
L2 R2 D R' F' B' R
L2 R2 D R' B' F' R
R2 L2 D R' F' R B'
R2 L2 D R' F' B' R
R2 L2 D R' B' F' R
L2 R2 D B' R' F' R
R2 L2 D B' R' F' R
R L2 D F' R D B'
R L2 D F' R D' B'
R L2 D F' R D2 B'
R L2 D F' R B' D
R L2 D F' R B' D'
R L2 D F' R B' D2
R L2 D F' R' B' R2
R L2 D F' D R B'
R L2 D F' D B' R
R L2 D F' D' R B'
R L2 D F' D' B' R
R L2 D F' D2 R B'
R L2 D F' D2 B' R
R L2 D F' B R B2
R L2 D F' B' R D
R L2 D F' B' R D'
R L2 D F' B' R D2
R L2 D F' B' D R
R L2 D F' B' D' R
R L2 D F' B' D2 R
R L2 D B F' R B2
R L2 D B' F' R D
R L2 D B' F' R D'
R L2 D B' F' R D2
R L2 D B' F' D R
R L2 D B' F' D' R
R L2 D B' F' D2 R
L2 R2 D' B R' F' B2
L2 R2 D' B R' B2 F'
R2 L2 D' B R' F' B2
R2 L2 D' B R' B2 F'
R L2 D' F' B R' B2
B' L2 R D F' R B'
B' L2 R D F' B' R
B' L2 R D B' F' R
R L2 D' B F' R' B2
F2 L2 R D F' R B
B2 L2 R D F' R B'
B2 L2 R D F' B' R
B2 L2 R D B' F' R
U' L2 R F R F2 B'
U' L2 R F R B' F2
U' L2 R F B' R F2
B L2 R D F' R B'
B L2 R D F' B' R
B L2 R D B' F' R
B' L2 R B' D F' R
U2 L2 R F' B' D' R2
U L2 R D F' B' R'
U' L2 R B' F R F2
U L2 R D B' F' R'
U L2 R D' F' B' R'
U L2 R D' B' F' R'
B2 L2 R B' D F' R
U L2 R D2 F' B' R'
U L2 R D2 B' F' R'
U2 L2 R B' D' F' R2
U2 L2 R B' F' D' R2
U L2 R F B' R' F2
U L2 R F' R B' R'
U L2 R F' R' B' R'
U L2 R F' R2 B' R'
B L2 R B' D F' R
U L2 R F' D B' R'
U L2 R F' D' B' R'
U L2 R F' D2 B' R'
U L2 R F' B' R' D
U L2 R F' B' R' D'
U L2 R F' B' R' D2
U L2 R F' B' D R'
U L2 R F' B' D' R'
U L2 R F' B' D2 R'
U L2 R F2 B' R' F
U L2 R B' D F' R'
U L2 R B' D' F' R'
U L2 R B' D2 F' R'
U L2 R B' F R' F2
U L2 R B' F' R' D
U L2 R B' F' R' D'
U L2 R B' F' R' D2
U L2 R B' F' D R'
U L2 R B' F' D' R'
U L2 R B' F' D2 R'
U L2 R B' F2 R' F
R L2 D2 B' D' F' R
U L2 R' B' R' D2 F2
F2 L2 R2 D' B R' F'
U L2 R' B' D2 R' F2
U L2 R' B' D2 F2 R'
U L2 R2 D B' R' F'
U L2 R2 D' B' R' F'
U L2 R2 D2 B' R' F'
U L2 R2 F B' R' F'
U L2 R2 F' B' R' F'
U L2 R2 F2 B' R' F'
U L2 R2 B' R' D F'
U L2 R2 B' R' D' F'
U L2 R2 B' R' D2 F'
U L2 R2 B' R' F' D
U L2 R2 B' R' F' D'
U L2 R2 B' R' F' D2
U L2 R2 B' D R' F'
U L2 R2 B' D' R' F'
U L2 R2 B' D2 R' F'
U L2 R2 B' F R' F'
U L2 R2 B' F' R' F'
U L2 R2 B' F2 R' F'
R L2 F' D' B R' B2
R L2 F' B2 D' B R'
L2 R2 B' R' D F' R
R2 L2 B' R' D F' R
L2 R2 B' D R' F' R
R2 L2 B' D R' F' R
R L2 B' D F' R D
R L2 B' D F' R D'
R L2 B' D F' R D2
R L2 B' D F' D R
R L2 B' D F' D' R
R L2 B' D F' D2 R
L2 R2 B2 D' B R' F'
R2 L2 B2 D' B R' F'
R L2 B2 D F' B R
R L2 B2 D B F' R
R L2 B2 D' F' B R'
R L2 B2 D' B F' R'
R L2 B2 F' D' B R'
R U L F' L B' R'
U' L2 F R D F' B'
U' L2 F R D B' F'
U' L2 F R D' F' B'
U' L2 F R D' B' F'
U' L2 F R D2 F' B'
U' L2 F R D2 B' F'
U' L2 F R F' D B'
U' L2 F R F' D' B'
U' L2 F R F' D2 B'
U' L2 F R F' B' D
U' L2 F R F' B' D'
U' L2 F R F' B' D2
U' L2 F R B' D F'
U' L2 F R B' D' F'
U' L2 F R B' D2 F'
U' L2 F R B' F' D
U' L2 F R B' F' D'
U' L2 F R B' F' D2
R' U L2 R' B' R' F'
R' U L2 R2 F' B' R'
R' U L2 R2 B' F' R'
U' L2 F B R F' B2
U' L2 F B R B2 F'
U' L2 F B' R D F'
U' L2 F B' R D' F'
U' L2 F B' R D2 F'
U' L2 F B' R F' D
U' L2 F B' R F' D'
U' L2 F B' R F' D2
U L2 F R F' B' R'
U L2 F R B' F' R'
U L2 F R2 B' R' F'
R U L2 R B' R' F'
R' U L2 B' R' D2 F2
R' U L2 B' D2 R' F2
R' U L2 B' D2 F2 R'
R U L2 D F' B' R'
R U L2 D B' F' R'
U L2 F B' R F' R2
R U L2 D' F' B' R'
R U L2 D' B' F' R'
R U L2 D2 F' B' R'
R U L2 D2 B' F' R'
R U L2 F B' R' F2
R U L2 F' R B' R'
R U L2 F' R' B' R'
R U L2 F' R2 B' R'
R U L2 F' D B' R'
R U L2 F' D' B' R'
R U L2 F' D2 B' R'
R U L2 F' B' R' D
R U L2 F' B' R' D'
R U L2 F' B' R' D2
R U L2 F' B' D R'
R U L2 F' B' D' R'
R U L2 F' B' D2 R'
R U L2 F2 B' R' F
U L2 F' R F' B' R'
U L2 F' R B' F' R'
R U L2 B' D F' R'
R U L2 B' D' F' R'
R U L2 B' D2 F' R'
R U L2 B' F R' F2
R U L2 B' F' R' D
R U L2 B' F' R' D'
R U L2 B' F' R' D2
R U L2 B' F' D R'
R U L2 B' F' D' R'
R U L2 B' F' D2 R'
R U L2 B' F2 R' F
U L2 F' R2 B' R' F'
U' L2 F2 R F' R B'
U' L2 F2 R F' B' R
U' L2 F2 R B' F' R
R U R L2 B' R' F'
R' U R' L2 B' R' F'
U L2 F' B' R F' R2
U' L2 F2 B' R F' R
U L2 F2 R F' B' R'
U L2 F2 R B' F' R'
U L2 F2 R2 B' R' F'
R' U R2 L2 F' B' R'
R' U R2 L2 B' F' R'
U L2 F2 B' R F' R2
U' L2 B F R F' B2
U' L2 B F R B2 F'
U L2 B R F' B2 R'
U L2 B R B2 F' R'
U L2 B R2 B2 R' F'
B' L2 B' R D F' R
U' L2 B' R F R F2
B2 L2 B' R D F' R
B L2 B' R D F' R
U' L2 B' F R D F'
U' L2 B' F R D' F'
U' L2 B' F R D2 F'
U' L2 B' F R F' D
U' L2 B' F R F' D'
U' L2 B' F R F' D2
U' L2 B' F2 R F' R
U L2 B' R F R2 F2
U L2 B' R F' R2 D
U L2 B' R F' R2 D'
U L2 B' R F' R2 D2
U L2 B' R F2 R2 F
U L2 B' R' U2 B U2
U L2 B' F R F' R2
U L2 B' F' R F' R2
U L2 B' F2 R F' R2
U R L F' L B' R'
R' U F B L U2 L
B' R L2 D F' R B'
B' R L2 D F' B' R
B' R L2 D B' F' R
B2 R L2 D F' R B'
U' R L2 F R F2 B'
U' R L2 F R B' F2
B2 R L2 D F' B' R
B2 R L2 D B' F' R
F2 R L2 D F' R B
U' R L2 F B' R F2
B R L2 D F' R B'
B R L2 D F' B' R
B R L2 D B' F' R
B' R L2 B' D F' R
U' R L2 B' F R F2
U2 R L2 F' B' D' R2
B2 R L2 B' D F' R
U2 R L2 B' D' F' R2
U2 R L2 B' F' D' R2
U R L2 D F' B' R'
B' R U L2 F' B' R'
B' R U L2 B' F' R'
U R L2 D B' F' R'
U R L2 D' F' B' R'
U R L2 D' B' F' R'
U R L2 D2 F' B' R'
U R L2 D2 B' F' R'
B R L2 B' D F' R
B2 R U L2 F' B' R'
B2 R U L2 B' F' R'
U R L2 F B' R' F2
U R L2 F' R B' R'
U R L2 F' R' B' R'
U R L2 F' R2 B' R'
U R L2 F' D B' R'
U R L2 F' D' B' R'
U R L2 F' D2 B' R'
U R L2 F' B' R' D
U R L2 F' B' R' D'
U R L2 F' B' R' D2
U R L2 F' B' D R'
U R L2 F' B' D' R'
U R L2 F' B' D2 R'
U R L2 F2 B' R' F
B R U L2 F' B' R'
B R U L2 B' F' R'
U R L2 B' D F' R'
U R L2 B' D' F' R'
U R L2 B' D2 F' R'
U R L2 B' F R' F2
U R L2 B' F' R' D
U R L2 B' F' R' D'
U R L2 B' F' R' D2
U R L2 B' F' D R'
U R L2 B' F' D' R'
U R L2 B' F' D2 R'
U R L2 B' F2 R' F
R' U B L U2 L B'
U' R U2 L2 F' B' R'
R' U B F L U2 L
U' R U2 L2 B' F' R'
R U B' L2 F' R' B'
U' R F U2 L2 R F2
U' R F U2 R L2 F2
U' R F U2 R F2 L2
U' R F' L2 D2 B2 R'
R U' L2 F R F2 B'
R U' L2 F R B' F2
R U' L2 F B' R F2
R U' L2 B' F R F2
U2 R B U L2 F' B'
U2 R B U L2 B' F'
U R B' L2 F' R' B'
R' U' F B U2 L2 R
R' U' F B U2 R L2
R U' F U2 L2 R F2
R U' F U2 R L2 F2
R U' F U2 R F2 L2
R U' F' L2 D2 B2 R'
U R' L2 B' R' D2 F2
U R' L2 B' D2 R' F2
U R' L2 B' D2 F2 R'
R' U' B U2 L2 B' R'
R' U' B F U2 L2 R
R' U' B F U2 R L2
R' U' B2 L2 F R B'
R' U' B2 L2 F B' R
R' U' B2 L2 B' F R
U' R' F B U2 L2 R
U' R' F B U2 R L2
U R' F B L U2 L
U' R' B U2 L2 B' R'
U' R' B F U2 L2 R
U' R' B F U2 R L2
U R' B L U2 L B'
U R' B F L U2 L
U' R' B2 L2 F R B'
U' R' B2 L2 F B' R
U' R' B2 L2 B' F R
F2 R2 L2 D' B R' F'
U R2 L2 D B' R' F'
U R2 L2 D' B' R' F'
U R2 L2 D2 B' R' F'
U R2 L2 F B' R' F'
U R2 L2 F' B' R' F'
U R2 L2 F2 B' R' F'
U R2 L2 B' R' D F'
U R2 L2 B' R' D' F'
U R2 L2 B' R' D2 F'
U R2 L2 B' R' F' D
U R2 L2 B' R' F' D'
U R2 L2 B' R' F' D2
U R2 L2 B' D R' F'
U R2 L2 B' D' R' F'
U R2 L2 B' D2 R' F'
U R2 L2 B' F R' F'
U R2 L2 B' F' R' F'
U R2 L2 B' F2 R' F'
U R2 B' L2 R' F' B'
U R2 B' L2 R' B' F'
U R2 B' R' L2 F' B'
U R2 B' R' L2 B' F'
B' U L2 R F' B' R'
B' U L2 R B' F' R'
B' U L2 R2 B' R' F'
B2 U L2 R F' B' R'
B2 U L2 R B' F' R'
B2 U L2 R2 B' R' F'
B U L2 R F' B' R'
B' U L2 B' R F' R2
B U L2 R B' F' R'
B U L2 R2 B' R' F'
B2 U L2 B' R F' R2
B' U R L2 F' B' R'
B' U R L2 B' F' R'
L2 D F' D' R F' B'
L2 D F' D' R B' F'
L2 D F' D' B' R F'
B2 U R L2 F' B' R'
B2 U R L2 B' F' R'
B U L2 B' R F' R2
B U R L2 F' B' R'
B U R L2 B' F' R'
B' U R2 L2 B' R' F'
B2 U R2 L2 B' R' F'
B U R2 L2 B' R' F'
B' U' L2 F R F' B'
B' U' L2 F R B' F'
B' U' L2 F B' R F'
B2 U' L2 F R F' B'
B2 U' L2 F R B' F'
B2 U' L2 F B' R F'
B' U' L2 B' F R F'
B2 U' L2 B' F R F'
B U' L2 F R F' B'
B U' L2 F R B' F'
B U' L2 F B' R F'
B U' L2 B' F R F'
F' U' F L2 R F' B'
F' U' F L2 R B' F'
B' U' F R F' L2 B'
F' U' F L2 B' R F'
F' U' F R L2 F' B'
F' U' F R L2 B' F'
B2 U' F R F' L2 B'
B' U' F U2 L2 R F'
B' U' F U2 R L2 F'
B' U' F U2 R F' L2
B2 U' F U2 L2 R F'
B2 U' F U2 R L2 F'
B2 U' F U2 R F' L2
B U' F R F' L2 B'
B U' F U2 L2 R F'
B U' F U2 R L2 F'
B U' F U2 R F' L2
F U' F U' L2 R F'
F U' F U' R L2 F'
F U' F U' R F' L2
U' F L U2 L R F'
U' F L U2 R L F'
U' F L U2 R F' L
U' F L' U2 L' R F'
U' F L' U2 R L' F'
U' F R F' L2 D B'
U' F R F' L2 D' B'
U' F R F' L2 D2 B'
U' F R F' L2 B' D
U' F R F' L2 B' D'
U' F R F' L2 B' D2
U' F R F' B L2 B'
U' F R F' B' L2 B'
U' F R F' B2 L2 B'
U' F R B F' L2 B'
U' F R B' F' L2 B'
U' F R B2 F' L2 B'
L2 F R D F' R B'
L2 F R D F' B' R
L2 F R D B' F' R
U' F R' U2 L2 R2 F'
U' F R' U2 R2 L2 F'
U' F R' U2 R2 F' L2
L2 F R B' D F' R
U' F R' B U2 L2 R2
U' F R' B U2 R2 L2
L F R U' L F' B'
L F R U' L B' F'
L F R U' F' L B'
U F R F' L2 B' R'
U F R' B L U2 L
U' F U2 L R F' L
U' F U2 L2 R D F'
U' F U2 L2 R D' F'
U' F U2 L2 R D2 F'
U' F U2 L2 R F' D
