B2 R' F' U' F' B
B2 R' F' U' B F'
B2 U' F2 B' R' B
B2 U' B' R' F2 B
B2 U' B' R' B F2
B2 U' B' F2 R' B
R' F' B2 U' F' B'
R' F' B2 U' B' F'
R' B2 F' U' F' B'
R' B2 F' U' B' F'
B2 L R' F' U' F' B
B2 L R' F' U' B F'
B2 L U' F2 B' R' B
B2 L U' B' R' F2 B
B2 L U' B' R' B F2
B2 L U' B' F2 R' B
R' L F' B2 U' F' B'
R' L F' B2 U' B' F'
R' L B2 F' U' F' B'
R' L B2 F' U' B' F'
B2 L' R' F' U' F' B
B2 L' R' F' U' B F'
B2 L' U' F2 B' R' B
B2 L' U' B' R' F2 B
B2 L' U' B' R' B F2
B2 L' U' B' F2 R' B
R' L' F' B2 U' F' B'
R' L' F' B2 U' B' F'
L' R' F' B2 U' F' B'
L' R' F' B2 U' B' F'
L2 R' F' B2 U' F' B'
L2 R' F' B2 U' B' F'
L R' F' B2 U' F' B'
L R' F' B2 U' B' F'
R' L' B2 F' U' F' B'
R' L' B2 F' U' B' F'
L' R' B2 F' U' F' B'
L' R' B2 F' U' B' F'
L2 R' B2 F' U' F' B'
L2 R' B2 F' U' B' F'
L R' B2 F' U' F' B'
L R' B2 F' U' B' F'
B2 L2 R' F' U' F' B
B2 L2 R' F' U' B F'
R' L2 F' B2 U' F' B'
R' L2 F' B2 U' B' F'
B2 L2 U' F2 B' R' B
B2 L2 U' B' R' F2 B
B2 L2 U' B' R' B F2
B2 L2 U' B' F2 R' B
R' L2 B2 F' U' F' B'
R' L2 B2 F' U' B' F'
R' U F' B2 U' F' B'
R' U F' B2 U' B' F'
R' U B2 F' U' F' B'
R' U B2 F' U' B' F'
U' R F2 D L2 B' R'
B2 R' L F' U' F' B
B2 R' L F' U' B F'
B2 R' L' F' U' F' B
B2 R' L' F' U' B F'
B2 R' L2 F' U' F' B
B2 R' L2 F' U' B F'
R' U' F' B2 U' F' B'
R' U' F' B2 U' B' F'
F2 R' U F' B2 U' B'
F2 R' U B2 F' U' B'
R' U' B2 F' U' F' B'
R' U' B2 F' U' B' F'
B2 R' D' L2 F' U' B
B2 R' D' F' L2 U' B
B2 R' F' L U' F' B
B2 R' F' L U' B F'
B2 R' F' L' U' F' B
B2 R' F' L' U' B F'
B2 R' F' L2 U' F' B
B2 R' F' L2 U' B F'
F R' F D L2 B R2
F R' F D B L2 R2
F R' F D B R2 L2
B2 R' F' U' D F' B
B2 R' F' U' D B F'
B2 R' F' U' D' F' B
B2 R' F' U' D' B F'
B2 R' F' U' D2 F' B
B2 R' F' U' D2 B F'
B2 R' F' U' F' D B
B2 R' F' U' F' D' B
B2 R' F' U' F' D2 B
B2 R' F' U' F' B D
B2 R' F' U' F' B D'
B2 R' F' U' F' B D2
B2 R' F' U' B D F'
B2 R' F' U' B D' F'
B2 R' F' U' B D2 F'
B2 R' F' U' B F' D
B2 R' F' U' B F' D'
B2 R' F' U' B F' D2
B2 R' F' D U' F' B
B2 R' F' D U' B F'
B' R' F' B' U' F' B2
B' R' F' B' U' B2 F'
B2 R' F' D' U' F' B
B2 R' F' D' U' B F'
B2 R' F' D2 U' F' B
B2 R' F' D2 U' B F'
B R' F' U' F' B L
B R' F' U' B L F'
B R' F' U' B F' L
F2 R' F' B2 U' F B'
F2 R' F' B2 U' B' F
F R' F' B2 U' F2 B'
F R' F' B2 U' B' F2
F2 R' B U F' B U'
F2 R' B U B F' U'
B' R' B' F' U' F' B2
B' R' B' F' U' B2 F'
F2 R' B2 F' U' F B'
F2 R' B2 F' U' B' F
F R' B2 F' U' F2 B'
F R' B2 F' U' B' F2
R' U2 F' B2 U' F' B'
R' U2 F' B2 U' B' F'
