F' R U' L' U2
F' R U F2 R F2
F' R U' L' U2 D
F' R U' L' U2 D
F' R U' L' U2 D'
F' R U' L' U2 D2
F' R U' L' D U2
F' R U' L' D' U2
F' R U' L' D2 U2
F' R U' D L' U2
F' R U' D' L' U2
F' R U' D2 L' U2
F' R U2 F2 U' R
F' R D U' L' U2
F' R D' U' L' U2
F' R D2 U' L' U2
F' R B U' L' U2
F' R B U' L' U2
F R F2 R U R'
F' R B' U' L' U2
F' R B2 U' L' U2
F' R' U D' F2 R
F' R' D' U F2 R
F R' F2 R U R
F R2 F2 R U R2
F' U R' D' F2 R
F' U' L' U R U
F' U2 F2 L' U' R
F' D R U' L' U2
D' F' U' L' U2 F
D F' U F2 R F'
F' D' R U' L' U2
F' D2 R U' L' U2
F' B R U' L' U2
F' B' R U' L' U2
F' B' R U' L' U2
B' F' R U' L' U2
B' F' R U' L' U2
B2 F' R U' L' U2
B2 F' R U' L' U2
B F' R U' L' U2
B F' R U' L' U2
F' B2 R U' L' U2
F' L R D' L' B2 U
F' L R D' B2 L' U
F' L R D2 L' U R2
F' L D' L' R B2 U
F' L D' L' B2 R U
F' L D' R L' B2 U
F' L D' R B2 L' U
F' L D' B2 L' R U
F' L D' B2 R L' U
F' L D2 L' R U R
F' L D2 R L' U R
F' L' U L R U L'
F' L' U R L U L'
U L' U' F' R B' U
U L' U' F' B' R U
U L' U' B' F' R U
F L' D2 B2 R' U' R2
U L' F' R B' U B
F' L2 R U D' B2 R'
F' L2 R D' U B2 R'
F' L2 R B2 L2 U R'
F' L2 D' R U B2 R'
L U L' F' R B' U
L U L' F' B' R U
L U L' B' F' R U
F' L2 B2 L2 R U R2
F' L2 B2 R L2 U R2
F' R L D' L' B2 U
F' R L D' B2 L' U
F' R L D2 L' U R2
F' R L2 U D' B2 R'
F' R L2 D' U B2 R'
F' R L2 B2 L2 U R'
F' R U L D2 L' R2
F' R U L D2 R2 L'
F' R U R U2 L' U2
F' R U R F2 R F2
F' R U R' U2 L' U2
F' R U R' F2 R F2
F' R U R2 U2 L' U2
F' R U R2 F2 R F2
F' R U D F2 R F2
F' R U D' F2 R F2
F' R U D2 F2 R F2
F' R U F2 R F2 D
F' R U F2 R F2 D'
F' R U F2 R F2 D2
F' R U F2 R' F2 R2
F' R U F2 R2 F2 R'
F' R U' L U2 D2 R2
F' R U' L D2 U2 R2
F' R U' L2 D L U2
F' R U' L2 D' L U2
F' R U' L2 D2 L U2
F' R U' D L' U2 D
F' R U' D L' U2 D'
F' R U' D L' U2 D2
F' R U' D L' D U2
F' R U' D L' D' U2
F' R U' D L' D2 U2
F' R U' D' L' U2 D
F' R U' D' L' U2 D'
F' R U' D' L' U2 D2
F' R U' D' L' D U2
F' R U' D' L' D' U2
F' R U' D' L' D2 U2
F' R U' D2 L' U2 D
F' R U' D2 L' U2 D'
F' R U' D2 L' U2 D2
F' R U' D2 L' D U2
F' R U' D2 L' D' U2
F' R U' D2 L' D2 U2
F' R U' B' L' B U2
F' R U' B2 L' B2 U2
F' R U2 D F2 U' R
F' R U2 D' F2 U' R
F' R U2 D2 F2 U' R
F' R U2 F2 U' R D
F' R U2 F2 U' R D'
F' R U2 F2 U' R D2
F' R U2 F2 U' D R
F' R U2 F2 U' D' R
F' R U2 F2 U' D2 R
F' R U2 F2 D U' R
F' R U2 F2 D' U' R
F' R U2 F2 D2 U' R
F' R D U F2 R F2
F' R D U' L' U2 D
F' R D U' L' U2 D'
F' R D U' L' U2 D2
F' R D U' L' D U2
F' R D U' L' D' U2
F' R D U' L' D2 U2
F' R D U2 F2 U' R
F' R D B U' L' U2
F' R D B' U' L' U2
F' R D B2 U' L' U2
F' R D' U F2 R F2
F' R D' U' L' U2 D
F' R D' U' L' U2 D'
F' R D' U' L' U2 D2
F' R D' U' L' D U2
F' R D' U' L' D' U2
F' R D' U' L' D2 U2
F' R D' U2 F2 U' R
F' R D' B U' L' U2
F' R D' B' U' L' U2
F' R D' B2 U' L' U2
L' U' L F' R B U
F' R D2 U F2 R F2
F' R D2 U' L' U2 D
F' R D2 U' L' U2 D'
F' R D2 U' L' U2 D2
F' R D2 U' L' D U2
F' R D2 U' L' D' U2
F' R D2 U' L' D2 U2
F' R D2 U2 F2 U' R
F' R D2 B U' L' U2
F' R D2 B' U' L' U2
F' R D2 B2 U' L' U2
F2 R F R U' L' U2
L U' L' F' R B U
L2 U' L2 F' R B U
F' R F2 U R D' L2
F' R F2 U D' L2 R
F' R F2 U D' R L2
F' R F2 D' U L2 R
F' R F2 D' U R L2
F R F2 R U R' D
F R F2 R U R' D'
F R F2 R U R' D2
F R F2 R U D R'
F R F2 R U D' R'
F R F2 R U D2 R'
F R F2 R D U R'
F R F2 R D' U R'
F R F2 R D2 U R'
F R F2 D R U R'
F R F2 D' R U R'
F R F2 D2 R U R'
F' R B U F2 R F2
F' R B U' L' U2 D
F' R B U' L' U2 D'
F' R B U' L' U2 D2
F' R B U' L' D U2
F' R B U' L' D' U2
F' R B U' L' D2 U2
F' R B U' D L' U2
F' R B U' D' L' U2
F' R B U' D2 L' U2
F R F2 B R U R'
F R F2 B' R U R'
F' R B U2 F2 U' R
F R F2 B2 R U R'
F' R B D U' L' U2
F' R B D' U' L' U2
F' R B D2 U' L' U2
F' R B' U F2 R F2
F' R B' U' L' U2 D
F' R B' U' L' U2 D'
F' R B' U' L' U2 D2
F' R B' U' L' D U2
F' R B' U' L' D' U2
F' R B' U' L' D2 U2
F' R B' U' D L' U2
F' R B' U' D' L' U2
F' R B' U' D2 L' U2
F' R B' U2 F2 U' R
F' R B' D U' L' U2
F R B F2 R U R'
F' R B' D' U' L' U2
F' R B' D2 U' L' U2
F' R B2 U F2 R F2
F' R B2 U' L' U2 D
F' R B2 U' L' U2 D'
F' R B2 U' L' U2 D2
F' R B2 U' L' D U2
F' R B2 U' L' D' U2
F' R B2 U' L' D2 U2
F' R B2 U' D L' U2
F' R B2 U' D' L' U2
F' R B2 U' D2 L' U2
F' R B2 U2 F2 U' R
F' R B2 D U' L' U2
F R B' F2 R U R'
F' R B2 D' U' L' U2
F' R B2 D2 U' L' U2
F R B2 F2 R U R'
L' U' F' L R B U
L' U' F' R L B U
L2 U' F' L2 R B U
L2 U' F' R L2 B U
L2 U' F' R B L2 U
F' R' U D' R F2 R
F' R' U D' R' F2 R
F' R' U D' R2 F2 R
F' R' U D' F2 R D
F' R' U D' F2 R D'
F' R' U D' F2 R D2
F' R' U D' F2 D R
F' R' U D' F2 D' R
F' R' U D' F2 D2 R
F' R' U F2 D' R F2
F' R' U' L' U R2 U
F' R' U' L' U2 D' F2
F' R' U' L' D B2 U2
F' R' U' L' D' U2 F2
F' R' U' D L' B2 U2
F' R' U' D B2 L' U2
F' R' U' D' L' U2 F2
F' R' D U' L' B2 U2
F' R' D U' B2 L' U2
F' R' D' R U F2 R
F' R' D' R' U F2 R
F' R' D' R2 U F2 R
F' R' D' U R F2 R
F' R' D' U R' F2 R
F' R' D' U R2 F2 R
F' R' D' U F2 R D
F' R' D' U F2 R D'
F' R' D' U F2 R D2
F' R' D' U F2 D R
F' R' D' U F2 D' R
F' R' D' U F2 D2 R
F' R' D' U' L' U2 F2
F' R' D' B U F2 R
F' R' D' B' U F2 R
F' R' D' B2 U F2 R
F2 R' F R U' L' U2
F' R' F2 R2 F2 U R'
F R' F2 R U R D
F R' F2 R U R D'
F R' F2 R U R D2
F R' F2 R U D R
F R' F2 R U D' R
F R' F2 R U D2 R
F R' F2 R D U R
F R' F2 R D' U R
F R' F2 R D2 U R
F R' F2 R B U R
F R' F2 R B' U R
F R' F2 R B2 U R
F' R' B R2 U' L' U2
F' R' B U D' F2 R
F R' F2 D R B2 U
F R' F2 D B2 R U
F' R' B D' U F2 R
F R' F2 B R U R
F R' F2 B' R U R
F R' F2 B2 R U R
F' R' B' R2 U' L' U2
F' R' B' U D' F2 R
F' R' B' D' U F2 R
F R' B F2 R U R
F' R' B2 R2 U' L' U2
F' R' B2 U D' F2 R
F' R' B2 D' U F2 R
F R' B' F2 R U R
F R' B2 F2 R U R
R U2 F L' B' U' R'
F' R2 U R D' F2 R
F' R2 U F2 R D' F2
F' R2 U' L' U R' U
F' R2 D R' U' L' U2
F' R2 D' R' U' L' U2
F' R2 D2 R' U' L' U2
F2 R2 F R U' L' U2
F' R2 F2 R' F2 U R2
F R2 F2 R U R2 D
F R2 F2 R U R2 D'
F R2 F2 R U R2 D2
F R2 F2 R D B2 U
F R2 F2 R B U R2
F R2 F2 R B' U R2
F R2 F2 R B2 U R2
F R2 F2 U R' D' F2
F' R2 B U' L' B' U2
F R2 F2 D R U R2
F R2 F2 D' R U R2
F R2 F2 D2 R U R2
F U L D R F2 L'
R D F U R F' L'
F U R U' F2 R U
F' U R' D' R F2 R
F' U R' D' R' F2 R
F' U R' D' R2 F2 R
F' U R' D' F2 R D
F' U R' D' F2 R D'
F' U R' D' F2 R D2
F' U R' D' F2 D R
F' U R' D' F2 D' R
F' U R' D' F2 D2 R
F' U R' F2 D' R F2
F' U R2 F2 R D' F2
F' U D R' D' F2 R
F' U D' R' D' F2 R
F' U D2 R' D' F2 R
F' U F D F R F'
L D' L' F' U F2 R
F' U F2 R U L' U'
F' U F2 U L' U' R
R' D' F U L' R F
R' D' F U R L' F
F' U' L' U R U D
F' U' L' U R U D'
F' U' L' U R U D2
F' U' L' U R D U
F' U' L' U R D' U
F' U' L' U R D2 U
F' U' L' U D R U
F' U' L' U D' R U
F' U' L' U D2 R U
F' U' L' D U R U
F' U' L' D' U R U
F' U' L' D2 U R U
F' U' L' B U R U
F' U' L' B' U R U
F' U' L' B2 U R U
F' U' D L' U R U
F' U' D' L' U R U
F' U' D2 L' U R U
F' U' B L' U R U
F' U' B' L' U R U
F' U' B2 L' U R U
F' U2 L D F2 L' U'
F' U2 L' U2 R U R'
F U2 L' U' R D' L2
F U2 L' U' D' L2 R
F U2 L' U' D' R L2
F U2 L' D' U' L2 R
F U2 L' D' U' R L2
F U2 L' D2 B2 U' R
F' U2 D F2 L' U' R
F' U2 D' F2 L' U' R
F' U2 D2 F2 L' U' R
F U2 D' L' U' L' R
F U2 D' L' U' R L'
F U2 D2 L' B2 U' R
F U2 D2 B2 L' U' R
F' U2 F' U' R' F' R
F' U2 F2 L' U' R D
F' U2 F2 L' U' R D'
F' U2 F2 L' U' R D2
F' U2 F2 L' U' D R
F' U2 F2 L' U' D' R
F' U2 F2 L' U' D2 R
F' U2 F2 L' D U' R
F' U2 F2 L' D' U' R
F' U2 F2 L' D2 U' R
F' U2 F2 D L' U' R
F' U2 F2 D' L' U' R
F' U2 F2 D2 L' U' R
D F R' F2 U R2 F'
D2 F U D' L2 R F'
D2 F U D' R L2 F'
D2 F U D' R F' L2
D F U R D' L2 F'
D F U R D' F' L2
