F' L' F' U R' U L'
U' R F2 U B R2 U
F R' U' F U2 L' R2
F R' U' F U2 R2 L'
U' R' D' F2 L2 B' U
F2 U D R' B U L'
R' D2 F U L2 R B2
R' D2 F U L2 B2 R
R' D2 F U R L2 B2
R' D2 F U R B2 L2
R' D2 F U B2 L2 R
R' D2 F U B2 R L2
F2 U2 L' F' R D' F2
R' D2 F' U L2 B2 R'
R' F U D2 L2 R B'
R' F U D2 L2 B' R
R' F U D2 R L2 B'
R' F U' R2 F U2 R'
R' F D2 U L2 R B'
R' F D2 U L2 B' R
R' F D2 U R L2 B'
F2 D U R' B U L'
R F' L' U R2 U B
R F' L' D F' B2 U2
R F' L' D B2 F' U2
R F' L' D' F' U2 F'
R F' L' F' U R2 U
R F' L' F' U2 D' F2
R F' L' F' D B2 U2
R F' L' F' D' U2 F2
R' F' U' L' R2 U2 B
R' F' U' L' F' R2 U2
R' F' U' R2 L' U2 B
R F' D L' F' B2 U2
R F' D L' B2 F' U2
R F' D B2 L' F' U2
R F' D' L' F' U2 F'
R F' D' F' U2 F' R
R F2 U2 F D' F2 R
R F2 U2 F' D' R F2
