U2 L F L' B2 U'
U2 L F B2 L' U'
U2 L B2 F L' U'
F L' B2 R' F' U'
F' R D B U L2
F' R D2 F2 B U
F' R D2 B F2 U
D2 R F2 B R' U
F' R B U2 B U'
D2 R B R' F2 U
D2 R B F2 R' U
D R B U L2 F'
D R B U F' L2
U D L2 F R F'
D U L2 F R F'
D U F L2 R F'
U D F L2 R F'
D U F R L2 F'
U D F R L2 F'
D U F R F' L2
U D F R F' L2
R D2 F2 B R' U
R D2 B R' F2 U
R D2 B F2 R' U
F' D R B U L2
D2 F2 R B R' U
F' D2 R F2 B U
F' D2 R B F2 U
F D2 F2 R B U
R B R2 F' R U
U2 B2 L F L' U'
U L D L2 F R F'
U L D F L2 R F'
U L D F R L2 F'
U L D F R F' L2
U2 L F L B2 L2 U'
U2 L F L' U' D L2
U2 L F L' D U' L2
U2 L F L' B2 U' D
U2 L F L' B2 U' D'
U2 L F L' B2 U' D2
U2 L F L' B2 D U'
U2 L F L' B2 D' U'
U2 L F L' B2 D2 U'
U2 L F D L' U' L'
U2 L F B L' B U'
U2 L F B2 L' U' D
U2 L F B2 L' U' D'
U2 L F B2 L' U' D2
U2 L F B2 L' D U'
U2 L F B2 L' D' U'
U2 L F B2 L' D2 U'
U2 L F B2 D L' U'
U2 L F B2 D' L' U'
U2 L F B2 D2 L' U'
U2 L B F L' B U'
U2 L B2 F L' U' D
U2 L B2 F L' U' D'
U2 L B2 F L' U' D2
U2 L B2 F L' D U'
U2 L B2 F L' D' U'
U2 L B2 F L' D2 U'
U2 L B2 F D L' U'
U2 L B2 F D' L' U'
U2 L B2 F D2 L' U'
F L' R' F' B2 R' U'
F L' R' B2 F' R' U'
U L' D L2 F R F'
U L' D F L2 R F'
U L' D F R L2 F'
U L' D F R F' L2
F L' F B2 R' F' U'
F L' F' B2 R' F' U'
F L' F2 B2 R' F' U'
F2 L' B2 R' F' L' U'
F L' B2 R' D F' U'
F L' B2 R' D' F' U'
F L' B2 R' D2 F' U'
F L' B2 R' F' U' D
F L' B2 R' F' U' D'
F L' B2 R' F' U' D2
F L' B2 R' F' D U'
F L' B2 R' F' D' U'
F L' B2 R' F' D2 U'
F L' B2 D R' F' U'
F L' B2 D' R' F' U'
F L' B2 D2 R' F' U'
F L' B2 F R' F' U'
F L' B2 F' R' F' U'
F L' B2 F2 R' F' U'
U L2 D L2 F R F'
U L2 D F L2 R F'
U L2 D F R L2 F'
U L2 D F R F' L2
U2 L2 F L' F B2 U'
U2 L2 F L' B2 F U'
U2 L2 F B2 L' F U'
U2 L2 B2 L' F L' U'
U2 L2 B2 F L' F U'
F' R U2 B2 U2 B' U
F' R D F B U L2
F' R D F' B U L2
F' R D F2 B U L2
F' R D B U L2 D
F' R D B U L2 D'
F' R D B U L2 D2
F' R D B D F2 U
F' R D B F U L2
F' R D B F' U L2
F' R D B F2 U L2
U R D L2 F R F'
D R D F2 B U F
D R D B F2 U F
U R D F L2 R F'
U R D F R L2 F'
U R D F R F' L2
F' R D' B U D2 L2
F' R D' B U' R2 U2
F' R D' B D' F2 U
F' R D' B D2 U L2
F' R D2 F2 D B U
F' R D2 F2 D' B U
F' R D2 F2 D2 B U
F' R D2 F2 B U D
F' R D2 F2 B U D'
F' R D2 F2 B U D2
F' R D2 F2 B D U
F' R D2 F2 B D' U
F' R D2 F2 B D2 U
F' R D2 B U D' L2
F' R D2 B D' U L2
F' R D2 B F2 U D
F' R D2 B F2 U D'
F' R D2 B F2 U D2
F' R D2 B F2 D U
F' R D2 B F2 D' U
F' R D2 B F2 D2 U
F R D2 F2 B R U
F R D2 B F2 R U
F' R F D B U L2
D2 R F B R' F U
F' R F D2 F2 B U
F' R F D2 B F2 U
F' R F B U2 B U'
D R F B U L2 F2
D R F B U F2 L2
F' R F' D B U L2
F' R F' D2 F2 B U
F' R F' D2 B F2 U
F' R F' B U2 B U'
B R F' B R F' U
F' R F2 D B U L2
D2 R F2 B R' U D
D2 R F2 B R' U D'
D2 R F2 B R' U D2
D2 R F2 B R' D U
D2 R F2 B R' D' U
D2 R F2 B R' D2 U
D' R F2 B U L' F
D2 R F2 B D R' U
D2 R F2 B D' R' U
D2 R F2 B D2 R' U
F' R F2 D2 F2 B U
F' R F2 D2 B F2 U
F' R F2 B U2 B U'
D2 R B R F2 R2 U
D2 R B R' U D' L2
D2 R B R' D' U L2
D2 R B R' F2 U D
D2 R B R' F2 U D'
D2 R B R' F2 U D2
D2 R B R' F2 D U
D2 R B R' F2 D' U
D2 R B R' F2 D2 U
D R F2 B U F L2
D' R B U F2 L' F
F' R B R2 F' R2 U
D2 R B D' R' U L2
F' R B U2 D B U'
F' R B U2 D' B U'
F' R B U2 D2 B U'
F' R B U2 B U' D
F' R B U2 B U' D'
F' R B U2 B U' D2
F' R B U2 B D U'
F' R B U2 B D' U'
F' R B U2 B D2 U'
F' R B D U2 B U'
B R B R F' R U
D2 R B F R' F U
F' R B D' U2 B U'
D R B U L F' L
D R B U L2 D F'
F' R B D2 U2 B U'
D R B U L2 D' F'
D R B U L2 D2 F'
D R B U L2 F' D
D R B U L2 F' D'
D R B U L2 F' D2
D R B U F L2 F2
F2 R B U2 B L U'
D2 R B F2 R' U D
D R B U F' L2 D
D R B U F' L2 D'
D R B U F' L2 D2
D2 R B F2 R' U D'
D2 R B F2 R' U D2
D2 R B F2 R' D U
D2 R B F2 R' D' U
D2 R B F2 R' D2 U
D' R B F2 U L' F
D2 R B F2 D R' U
D2 R B F2 D' R' U
D2 R B F2 D2 R' U
F' R B F U2 B U'
F' R B F' U2 B U'
F' R B F2 U2 B U'
D R B D F2 U F
D R B F U L2 F2
D R B F U F2 L2
F R B U2 L' B U'
F R B U2 B L' U'
D R B F2 U F L2
B R B F' R F' U
F R' L' F' B2 R' U'
F R' L' B2 F' R' U'
F R' U2 L' F' B2 U'
F R' U2 L' B2 F' U'
F R' U2 B2 L' F' U'
U R' D L2 F R F'
U R' D F L2 R F'
U R' D F R L2 F'
U R' D F R F' L2
F2 R' F' L' B2 R' U'
F' R' B R2 F' B U
F' R' B R2 B F' U
R' U2 F L' F2 B2 U'
R' U2 F L' B2 F2 U'
R' U2 F B2 L' F2 U'
R' U2 F' B2 U2 R U
R' U2 B2 F L' F2 U'
R' U2 B2 F' U2 R U
U R2 D L2 F R F'
U R2 D F L2 R F'
U R2 D F R L2 F'
U R2 D F R F' L2
R U2 B2 L2 F L' U'
B R2 F' R U2 F' U'
B R2 F' R' B R2 U
D2 R2 F2 R' B R' U
D2 R2 F2 B R' B U
D2 R2 B R' F2 B U
D2 R2 B R' B F2 U
D2 R2 B F2 R' B U
D' U L D2 L2 F R
F2 U L D F L2 R
F2 U L D F R L2
F2 U L F R D L2
F2 U L F D L2 R
F2 U L F D R L2
D U L F L R F'
D U L F R L F'
D U L F R F' L
D' U L' D2 F L2 R
D' U L' D2 F R L2
D' U L' F D2 L2 R
D' U L' F D2 R L2
F2 U L' D L2 F R
U D L F L R F'
U D L F R L F'
U D L F R F' L
D U L' D2 L' F R
D U L' F R F' L'
U D L' D2 L' F R
D U L2 R F R F2
U D L' F R F' L'
U D L2 R F R F2
D U L2 F R D F'
D U L2 F R D' F'
D U L2 F R D2 F'
D U L2 F R F' D
D U L2 F R F' D'
D U L2 F R F' D2
D U L2 F2 R F' R
U' D R F' L2 B' R'
U D L2 F R D F'
U D L2 F R D' F'
U D L2 F R D2 F'
U D L2 F R F' D
U D L2 F R F' D'
U D L2 F R F' D2
D U R L2 F R F2
U D L2 F2 R F' R
U D R L2 F R F2
D U R F L2 R F2
D U R F R L2 F2
D U R F R F2 L2
U' D R' B L U2 L
U D R F L2 R F2
U D R F R L2 F2
U D R F R F2 L2
R D B R U L2 F'
R D B R U F' L2
D' U F R F2 L' F
F2 U D L F L R
F2 U D L F R L
D' U F D2 L2 R F'
D' U F D2 R L2 F'
D' U F D2 R F' L2
D U F L R F' L
D U F L2 R D F'
D U F L2 R D' F'
D U F L2 R D2 F'
D U F L2 R F' D
D U F L2 R F' D'
D U F L2 R F' D2
D U F R L F' L
D U F R L2 D F'
D U F R L2 D' F'
D U F R L2 D2 F'
D U F R L2 F' D
D U F R L2 F' D'
D U F R L2 F' D2
D U F R F L2 F2
D U F R F' L2 D
D U F R F' L2 D'
D U F R F' L2 D2
U D F L R F' L
U D F L2 R D F'
U D F L2 R D' F'
U D F L2 R D2 F'
U D F L2 R F' D
U D F L2 R F' D'
U D F L2 R F' D2
U D F R L F' L
U D F R L2 D F'
U D F R L2 D' F'
U D F R L2 D2 F'
U D F R L2 F' D
U D F R L2 F' D'
U D F R L2 F' D2
U D F R F L2 F2
U D F R F' L2 D
U D F R F' L2 D'
U D F R F' L2 D2
D U F2 L2 R F' R
D U F2 L2 F' R F'
D U F2 R L2 F' R
D U F2 R F' L2 R
D U F2 R F' R L2
F' U F D L2 R F'
F' U F D R L2 F'
F' U F D R F' L2
U D F2 L2 R F' R
U D F2 L2 F' R F'
U D F2 R L2 F' R
U D F2 R F' L2 R
U D F2 R F' R L2
D' U' L R2 B' U2 R'
U' D' L R2 B' U2 R'
D' U' L B' R2 U2 R
U' D' L B' R2 U2 R
U' D' L' R2 U2 F R
D' U' L' R2 U2 F R
U D' L D2 L2 F R
U D' L' D2 F L2 R
U D' L' D2 F R L2
U D' L' F D2 L2 R
U D' L' F D2 R L2
D U' R F' L2 B' R'
U' D' R2 L B' U2 R'
D' U' R2 L B' U2 R'
U' D' R2 L' U2 F R
D' U' R2 L' U2 F R
D' U' R2 B L B' U2
U' D' R2 B L B' U2
D U' R' B L U2 L
U D' F R F2 L' F
U D' F D2 L2 R F'
U D' F D2 R L2 F'
U D' F D2 R F' L2
D' U' B L R2 B' U2
U' D' B L R2 B' U2
U' D' B L B' R2 U2
D' U' B L B' R2 U2
D' U' B R2 L B' U2
U' D' B R2 L B' U2
R' D2 R2 F2 B R' U
R' D2 R2 B R' F2 U
R' D2 R2 B F2 R' U
B' U2 L F L' B' U'
B U2 L F L' B U'
B U2 L F B L' U'
B U2 L B F L' U'
F U2 L F L2 B2 U'
F U2 L F B2 L2 U'
F U2 L B2 F L2 U'
F U2 L' B2 U2 B U
R D2 F B R' F U
R D2 F2 B R' U D
R D2 F2 B R' U D'
R D2 F2 B R' U D2
R D2 F2 B R' D U
R D2 F2 B R' D' U
R D2 F2 B R' D2 U
R D2 F2 B D R' U
R D2 F2 B D' R' U
R D2 F2 B D2 R' U
R D2 B R F2 R2 U
R D2 B R' U D' L2
R D2 B R' D' U L2
R D2 B R' F2 U D
R D2 B R' F2 U D'
R D2 B R' F2 U D2
R D2 B R' F2 D U
R D2 B R' F2 D' U
R D2 B R' F2 D2 U
R D2 B D' R' U L2
R D2 B F R' F U
R D2 B F2 R' U D
R D2 B F2 R' U D'
R D2 B F2 R' U D2
R D2 B F2 R' D U
R D2 B F2 R' D' U
R D2 B F2 R' D2 U
R D2 B F2 D R' U
R D2 B F2 D' R' U
R D2 B F2 D2 R' U
U2 F L F L2 B2 U'
U2 F L F B2 L2 U'
B' U2 D2 B' L F U'
U2 F L B2 F L2 U'
U F L R D L2 F2
U F L R D F2 L2
R' F L' F2 B2 R' U'
R' F L' B2 R' F2 U'
R' F L' B2 F2 R' U'
U F L D L2 R F2
U F L D R L2 F2
U F L D R F2 L2
U2 F L' B2 U2 B U
U F L' B2 U' R B2
D2 F R F B R' U
U F L' B2 U' B2 R
D2 F R B R' F U
D2 F R B F R' U
U F R L D L2 F2
U F R L D F2 L2
U F R U L' B2 U'
U F R U B2 L' U'
F2 U2 B L F B U'
F2 U2 B L B F U'
D F R B U L2 F'
D F R B U F' L2
B' U2 B' L F L' U'
B U2 B L F L' U'
F' U2 B2 U2 R B U
D F U L2 F R F'
U F U L' B2 U' R
D F U F L2 R F'
D F U F R L2 F'
D F U F R F' L2
R' F U2 L' F2 B2 U'
R' F U2 L' B2 F2 U'
F U2 B2 L F L2 U'
F U2 B2 L' U2 B' U
U F U B2 L' U' R
R' F U2 B2 L' F2 U'
F' D R D F2 B U
F' D R D B F2 U
F' D R F B U L2
F' D R F' B U L2
F' D R F2 B U L2
F' D R B U L2 D
F' D R B U L2 D'
F' D R B U L2 D2
F' D R B D F2 U
F' D R B F U L2
F' D R B F' U L2
F' D R B F2 U L2
R' F D2 F2 R B2 U
R' F D2 F2 B2 R U
R' F D2 B2 F2 R U
R F D2 F2 B R U
R F D2 B F2 R U
L' F B2 L' R' F' U'
F2 D U L F L R
F2 D U L F R L
L' F B2 R' L' F' U'
U2 F B2 L F L2 U'
U2 F B2 L' U2 B' U
R F B U2 L' B U'
R F B U2 B L' U'
U F B2 L' U' R B2
U F B2 L' U' B2 R
F2 D F R B U L2
D2 F' R B R' F' U
R2 F' R U2 F' B2 U'
R2 F' R U2 B2 F' U'
F' D B R B U L2
D F' R B U L2 F'
D F' R B U F' L2
F D F2 R B U L2
R2 F' R' B R2 F' U
F' D B' R B U L2
F' D B2 R B U L2
D F' U L2 F R F'
D F' U F L2 R F'
D F' U F R L2 F'
D F' U F R F' L2
F' D' R F2 B U L'
F' D' R B U' R U2
F' D' R B F2 U L'
D2 F' D2 F' R B U
R F' D B R U L2
R F' D2 B R F2 U
R F' B R2 F' R' U
U2 F' B2 U2 R B U
D2 F2 R B R' U D
D2 F2 R B R' U D'
D2 F2 R B R' U D2
D2 F2 R B R' D U
D2 F2 R B R' D' U
D2 F2 R B R' D2 U
D2 F2 R B D R' U
D2 F2 R B D' R' U
D2 F2 R B D2 R' U
D F2 R B U L2 F'
D F2 R B U F' L2
D2 F2 R2 B R' B U
D2 F2 U D' F R F'
D2 F2 U F D' R F'
D F2 U L2 F R F'
D F2 U F L2 R F'
D F2 U F R L2 F'
D F2 U F R F' L2
D2 F2 D' R B U F'
D2 F2 D' U F R F'
F' D2 R D' B U L2
F' D2 R F2 D B U
F' D2 R F2 D' B U
F' D2 R F2 D2 B U
F' D2 R F2 B U D
F' D2 R F2 B U D'
F' D2 R F2 B U D2
F' D2 R F2 B D U
F' D2 R F2 B D' U
F' D2 R F2 B D2 U
F' D2 R B U D' L2
F' D2 R B D' U L2
F' D2 R B F2 U D
F' D2 R B F2 U D'
F' D2 R B F2 U D2
F' D2 R B F2 D U
F' D2 R B F2 D' U
F' D2 R B F2 D2 U
D2 F2 B R B R2 U
D2 F2 B R' U2 F' U'
F D2 R F2 B R U
F D2 R B F2 R U
D2 F2 B' U2 L F U'
F' D2 R2 F2 R' B U
L' F2 B2 R' F' L' U'
R F2 B U2 B L U'
B' D2 U2 B' L F U'
U2 B L F L' B U'
U2 B L F B L' U'
U2 B L B F L' U'
F2 D2 F R F B U
F2 D2 F R B F U
D2 B R F2 B R2 U
D2 B R B R2 F2 U
D2 B R B F2 R2 U
D2 B R' F2 U2 F U'
F' D2 B R F2 B U
F' D2 B R B F2 U
D B R B U L2 F'
D B R B U F' L2
R' B R2 F' B R U
F D2 F2 R D B U
F D2 F2 R D' B U
F D2 F2 R D2 B U
F D2 F2 R B U D
F D2 F2 R B U D'
F D2 F2 R B U D2
F D2 F2 R B D U
F D2 F2 R B D' U
F D2 F2 R B D2 U
R' B R2 B F' R U
F' D2 B' R F2 B U
F' D2 B' R B F2 U
F D2 F2 D R B U
F D2 F2 D' R B U
F D2 F2 D2 R B U
R B R F' R F' U
F D2 F2 B R B U
F D2 F2 B' R B U
F D2 F2 B2 R B U
R2 B R2 F' R B U
F' D2 B2 R F2 B U
F' D2 B2 R B F2 U
F D2 B F2 R B U
D B U L2 F R F'
D B U F L2 R F'
D B U F R L2 F'
D B U F R F' L2
R B R2 F' R U D
R B R2 F' R U D'
R B R2 F' R U D2
R B R2 F' R D U
R B R2 F' R D' U
R B R2 F' R D2 U
R B R2 F' D R U
R B R2 F' D' R U
R B R2 F' D2 R U
F D2 B' F2 R B U
F D2 B2 F2 R B U
F' B R2 F' R' B U
D2 B F2 R B R2 U
D2 B F2 R' U2 F' U'
R B F U2 L' B U'
R B F U2 B L' U'
R B F' R2 F' R' U
U2 B' L F L' B' U'
F2 B U2 B L F U'
R B F2 U2 B L U'
D B' R B U L2 F'
D B' R B U F' L2
D B' U L2 F R F'
