L' U' F' B' U2 R
L U' F' U2 R F2
L' U' B' F' U2 R
U' F' U' L' U' R
R2 L U D2 F B R'
R2 L U D2 B R' F
R2 L U D2 B F R'
R2 L U F' B R F2
R2 L U B F' R F2
D2 L R2 U F B R'
D2 L R2 U B R' F
D2 L R2 U B F R'
D L R2 U F B R
D L R2 U B F R
D' L R2 B' U F B2
D' L R2 B' U B2 F
D2 L U R2 F B R'
D2 L U R2 B R' F
D2 L U R2 B F R'
B' L U' F' U2 R F2
B2 L U' F' U2 R F2
B L U' F' U2 R F2
F' L U2 R D F L'
F' L U2 D R F L'
R2 L D2 U F B R'
R2 L D2 U B R' F
R2 L D2 U B F R'
F' L D U2 R F L'
U' L F' U' L' U' R
D' L B' R2 U F B
D' L B' R2 U B F
D' L B' U F D2 B2
D' L B' U' F' U2 F2
D2 L' U' F' B' L U2
B' L' U' F' B' U2 R
D2 L' U' B' L F' U2
D2 L' U' B' F' L U2
B2 L' U' F' B' U2 R
B' L' U' B' F' U2 R
B L' U' F' B' U2 R
B2 L' U' B' F' U2 R
B L' U' B' F' U2 R
U' L' F' U' L' U' R
L R2 U D2 F B R'
L R2 U D2 B R' F
L R2 U D2 B F R'
L R2 U F' B R F2
L R2 U B F' R F2
F L' F2 B' U F U
F L' B' F2 U F U
L R2 D2 U F B R'
L R2 D2 U B R' F
L R2 D2 U B F R'
D' L2 U' F' L' U2 F
U' L2 F' U' L' U' R
L U R F' R F2 B
L U R F' R B F2
L U R2 D2 F B R'
L U R2 D2 B R' F
L U R2 D2 B F R'
L U R2 F' B R F2
L U R2 B F' R F2
L2 U D2 R2 B R' F'
L U D2 R2 F B R'
L U D2 R2 B R' F
L U D2 R2 B F R'
L U F U2 L' F2 U2
L U F U2 F2 U2 R
L U F' R F2 D2 B2
L' U B2 R2 F' B R
L' U B2 R2 B F' R
L2 U' L F' B' U2 R
L2 U' L B' F' U2 R
L2 U' L' F' U2 R F2
L' U' L2 F' U2 R F2
L U' L2 F' B' U2 R
L U' L2 B' F' U2 R
L' U' D2 F' B' L U2
L' U' D2 B' L F' U2
L' U' D2 B' F' L U2
L2 U' F L' F2 U2 F'
L' U' F B' L' F2 U2
L U' F L' F2 U2 F2
L' U' F' L2 U2 R F
L2 U' F' L B' U2 R
L2 U' F' L' U2 R F
L' U' F' D B' U2 R
L' U' F' D' B' U2 R
L' U' F' D2 B' U2 R
L U' F' L U2 R F2
L' U' F' B' L U2 R
L' U' F' B' L' U2 R
L' U' F' B' L2 U2 R
L U' F' L' U2 R F2
L' U' F' B' U2 R D
L' U' F' B' U2 R D'
L' U' F' B' U2 R D2
L' U' F' B' U2 D R
L' U' F' B' U2 D' R
L' U' F' B' U2 D2 R
L' U' F' B' D U2 R
L' U' F' B' D' U2 R
L' U' F' B' D2 U2 R
L2 U' F' U2 D2 R F'
L U' F' L2 U2 R F2
L2 U' F' D2 U2 R F'
L U' F' U2 R F2 D
L U' F' U2 R F2 D'
L U' F' U2 R F2 D2
L U' F' U2 R' F2 R2
L U' F' U2 R2 F2 R'
L U' F' D2 B2 U2 R
L U' F' B U2 R F2
L U' F' B' U2 R F2
L U' F' B2 U2 R F2
U2 R' U' F' R' B R2
L' U' B' L F' U2 R
L' U' B' L' F' U2 R
L' U' B' L2 F' U2 R
L U' B F' U2 R F2
L' U' B' F L' F2 U2
L' U' B' F' L U2 R
L' U' B' F' L' U2 R
L' U' B' F' L2 U2 R
L' U' B' F' U2 R D
L' U' B' F' U2 R D'
L' U' B' F' U2 R D2
L' U' B' F' U2 D R
L' U' B' F' U2 D' R
L' U' B' F' U2 D2 R
L' U' B' F' D U2 R
