L' R U B U F
L R B' U B2 U
L R B' U2 D' R2
L R B' D L2 U2
L R B' D' U2 R2
R L B' U B2 U
R L B' U2 D' R2
R L B' D L2 U2
R L B' D' U2 R2
R L' U B U F
R U D' B R' U
D' R U B R' U
D2 R U B U F'
R D' U B R' U
L B' R U B U
D2 L R U B U F'
D' L R U B R' U
L' R U R' U F R
L' R U D B U F
L' R U D' B U F
L' R U D2 B U F
L' R U B R U F
L' R U B R' U F
L' R U B R2 U F
L' R U B U D F
L' R U B U D' F
L' R U B U D2 F
L' R U B U F D
L' R U B U F D'
L' R U B U F D2
L' R U B D U F
L' R U B D' U F
L' R U B D2 U F
B' L R B' U B2 U
B' L R B' U2 D' R2
B' L R B' D L2 U2
B' L R B' D' U2 R2
B2 L R B' U B2 U
B2 L R B' U2 D' R2
B2 L R B' D L2 U2
B2 L R B' D' U2 R2
B L R B' U B2 U
B L R B' U2 D' R2
B L R B' D L2 U2
B L R B' D' U2 R2
L2 R U B U2 L U'
L R U B U D2 F2
L R U B U' B2 U2
L R U B D' R2 U
L R U B D2 U F2
L2 R U B' R' B2 U
R L U B U D2 F2
R L U B U' B2 U2
R L U B D' R2 U
R L U B D2 U F2
L' R U2 R2 F D R2
L' R U2 F U' B U
L' R D U B U F
R2 L D R' B' L U2
L R D B' U B2 U
L R D B' U2 D' R2
L R D B' D L2 U2
L R D B' D' U2 R2
R L D B' U B2 U
R L D B' U2 D' R2
R L D B' D L2 U2
R L D B' D' U2 R2
L' R D' U B U F
L R D' B' U B2 U
L R D' B' U2 D' R2
L R D' B' D L2 U2
L R D' B' D' U2 R2
R L D' B' U B2 U
R L D' B' U2 D' R2
R L D' B' D L2 U2
R L D' B' D' U2 R2
L' R D2 U B U F
L R D2 B' U B2 U
L R D2 B' U2 D' R2
L R D2 B' D L2 U2
L R D2 B' D' U2 R2
R L D2 B' U B2 U
R L D2 B' U2 D' R2
R L D2 B' D L2 U2
R L D2 B' D' U2 R2
L R B' L U B2 U
L R B' L U2 D' R2
L R B' L D L2 U2
L R B' L D' U2 R2
L R B' L' U B2 U
R L B' L U B2 U
R L B' L U2 D' R2
L R B' L' U2 D' R2
R L B' L D L2 U2
L R B' L' D L2 U2
R L B' L D' U2 R2
L R B' L' D' U2 R2
R L B' L' U B2 U
L R B' L2 U B2 U
R L B' L' U2 D' R2
L R B' L2 U2 D' R2
R L B' L' D L2 U2
L R B' L2 D L2 U2
R' L B' R2 U B U
R L B' L' D' U2 R2
L R B' L2 D' U2 R2
R L B' L2 U B2 U
R L B' L2 U2 D' R2
R L B' L2 D L2 U2
R L B' L2 D' U2 R2
L' R B' U B2 U F
L' R B' U2 D' R2 F
L' R B' U2 D' F R2
L' R B' U2 F D' R2
L' R B' D L2 B' U2
L R B' U B2 U D
L R B' U B2 U D'
L R B' U B2 U D2
L R B' U B2 D U
L R B' U B2 D' U
L R B' U B2 D2 U
L R B' U' D2 F2 U'
L' R B' D' U2 R2 F
L' R B' D' U2 F R2
R L B' U B2 U D
R L B' U B2 U D'
R L B' U B2 U D2
R L B' U B2 D U
R L B' U B2 D' U
R L B' U B2 D2 U
L R B' U2 R D' R2
L R B' U2 R' D' R2
L R B' U2 R2 D' R2
L R B' U2 D' R2 D
L R B' U2 D' R2 D'
L R B' U2 D' R2 D2
R L B' U' D2 F2 U'
L R B' D L2 U2 D
L R B' D L2 U2 D'
L R B' D L2 U2 D2
L R B' D L2 D U2
L R B' D L2 D' U2
L R B' D L2 D2 U2
R L B' U2 R D' R2
R L B' U2 R' D' R2
R L B' U2 R2 D' R2
R L B' U2 D' R2 D
R L B' U2 D' R2 D'
R L B' U2 D' R2 D2
L R B' D' L U2 R2
L R B' D' L' U2 R2
L R B' D' L2 U2 R2
R L B' D L2 U2 D
R L B' D L2 U2 D'
R L B' D L2 U2 D2
R L B' D L2 D U2
R L B' D L2 D' U2
R L B' D L2 D2 U2
L R B' D' U2 R2 D
L R B' D' U2 R2 D'
L R B' D' U2 R2 D2
R L B' D' L U2 R2
R L B' D' L' U2 R2
R L B' D' L2 U2 R2
L R B' D2 U' F2 U'
R L B' D' U2 R2 D
R L B' D' U2 R2 D'
R L B' D' U2 R2 D2
R L B' D2 U' F2 U'
L' R B2 U B' U F
L2 R B2 U B' R' U
R L' U R' U F R
R L' U D B U F
R L' U D' B U F
R L' U D2 B U F
B' L B' R U B U
B2 L B' R U B U
B L B' R U B U
R L' U B R U F
R L' U B R' U F
R L' U B R2 U F
R L' U B U D F
R L' U B U D' F
R L' U B U D2 F
R L' U B U F D
R L' U B U F D'
R L' U B U F D2
