L U F' L' U F'
L2 R U' F2 B L R
L2 R U' F2 B R L
L2 R U' B F2 L R
L2 R U' B F2 R L
D L U F' L' R2 U
D L U F' R2 L' U
U2 L F U F2 U F'
U2 L F U2 D' F L2
U2 L F D R2 U2 F
U2 L F D' U2 F L2
D2 L B2 U F' L' U
R L2 U' F2 B L R
R L2 U' F2 B R L
R L2 U' B F2 L R
R L2 U' B F2 R L
R U L U2 F2 B L
R U L U2 B L F2
R U L U2 B F2 L
L U L F' L' U F'
L U L' F' L' U F'
U' L2 F' U F' R B
L U L2 F' L' U F'
U L2 F' L' U F' R
L U D F' L' R2 U
L U D F' R2 L' U
L2 U F' L' U F' R
L U F' L' U D F'
L U F' L' U D' F'
L U F' L' U D2 F'
L U F' L' U F' D
L U F' L' U F' D'
L U F' L' U F' D2
L U F' L' D U F'
L U F' L' D' U F'
L U F' L' D2 U F'
L U F' D L' U F'
L U F' D' L' U F'
L U F' D2 L' U F'
B2 R U' F2 B L R2
B2 R U' F2 B R2 L
B2 R U' B L R2 F2
B2 R U' B L F2 R2
B2 R U' B R2 L F2
B2 R U' B R2 F2 L
B2 R U' B F2 L R2
B2 R U' B F2 R2 L
B R U' F2 B L R'
B R U' F2 B R' L
B R U' B L R' F2
B R U' B L F2 R'
B R U' B R' L F2
B R U' B R' F2 L
B R U' B F2 L R'
B R U' B F2 R' L
R U' L B L F2 R
R U' L2 F2 B L R
R U' L2 F2 B R L
R U' L2 B F2 L R
R U' L2 B F2 R L
L2 U' F' U F' R B
R U' F2 B2 R' B' L
R U' B2 R' F2 B' L
R U' B2 R' B' L F2
R U' B2 R' B' F2 L
R U' B2 F2 R' B' L
B2 R' F2 L2 D B' L
B2 R' F2 D L2 B' L
B R2 B U' R' F2 B
B R2 B U' R' B F2
B R2 B U' F2 R' B
L D U F' L' R2 U
L D U F' R2 L' U
B2 U F' L' U F' R'
F2 U' F U' L F U2
F2 U2 L D F U2 L'
L D2 B2 U F' L' U
L2 F D' F L2 R B
L2 F D' F R L2 B
L2 F D' F R B L2
D F D' L2 F2 R B
U F' L' U D2 F' R2
U F' L' U F' D2 R2
U F' L' U' L2 U2 F'
U F' L' D' B2 U F'
U F' L' D2 U F' R2
D F' R2 U B2 R' B
U' F' U' L F U2 F2
D F' R2 B2 U R' B
U F' B2 L' U F' R'
L2 F2 L2 R B D L2
L2 F2 R L2 B D L2
L2 F2 R U' F U B
F D' F' L2 F2 R B
L2 F2 R B U' F U
R2 F2 B2 R' B D L2
R2 B R' U' F2 B R'
R2 B R' U' B R' F2
R2 B R' U' B F2 R'
R2 B U' R' F2 B R'
R2 B U' R' B R' F2
R2 B U' R' B F2 R'
L B U F' L' U F'
R2 B U' F2 R' B R'
R2 B U' F2 B R' B
R2 B U' B R' F2 B
R2 B U' B R' B F2
R2 B U' B F2 R' B
L B' U F' L' U F'
R2 B2 R' F2 B D L2
R2 B2 R' B F2 D L2
D2 B2 U F' L' U R'
L B2 U F' L' U F'
U B2 F' L' U F' R'
R2 B2 F2 R' B D L2
