F' L D' R' B2 U B'
U L' F' R' B' L U
F' R' U' D L' F U2
F' R' D U' L' F U2
F R' F2 B' L U R2
F' R' B' L U D2 R2
F' R' B' L U' L2 U2
F' R' B' L D' B2 U
F' R' B' L D2 U R2
F R' B' L F2 U R2
F' R' B2 U' L' U2 B'
F R' B' F2 L U R2
R' D2 L' F L' U R
D2 F L' R' F2 U R2
D' F R D' F2 L2 B'
D2 F R' L' F2 U R2
D' F R' F2 U B R2
F' D R' U' L' F U2
U F' L' R' B' L U
D' F' R' U' L' U2 B
U2 F' R' B' L U R'
D F' R' U' L' F U2
U F' R' L' B' L U
F' D' R' U' L' U2 B
F D' R' U L2 B R2
F D' R' U B L2 R2
F D' R' U B R2 L2
