U2 L U L' F2 B
U2 L U L' B F2
U L U F2 B R
U2 L U B L' F2
U L U B F2 R
U2 L' U L F2 B
U2 L' U L B F2
U2 L' U F2 L B
U2 L2 U L2 F2 B
U2 L2 U L2 B F2
U2 L2 U F2 L2 B
U2 L2 U F2 B L2
U2 L2 U B L2 F2
U2 L2 U B F2 L2
R U R' U2 F2 B
R U R' U2 F2 B
R U R' U2 B F2
R2 U R2 U2 F2 B
R2 U R2 U2 B F2
R2 U F' R2 B U2
U' R U' R' F2 B
U' R U' R' B F2
U' R U' F2 R' B
B' R U' F2 B2 L
B' R U' B2 L F2
B' R U' B2 F2 L
R2 U' F2 D2 L2 B'
B' R' U' F2 L' B2
B' R' U' F2 B2 L'
B' R' U' B2 F2 L'
B2 R' U' F2 B' L'
B2 R' U' B' F2 L'
B R' F2 L' D R2
B R' F2 D L' R2
B R' F2 D R2 L'
U' R2 U' R2 F2 B
U' R2 U' R2 B F2
F' U' F U' F2 B
F' U' F U' B F2
B' U' F2 B2 D L2
F U' F' U' F2 B
F U' F' U' B F2
B' U' B2 F2 D L2
F' U2 F' D B R2
F' U2 F' B D R2
F U2 F D B R2
F U2 F B D R2
B' U2 F2 B2 D' R2
F' U2 B F' D R2
F U2 B F D R2
F U2 B F D R2
B' U2 B2 F2 D' R2
F2 D B R2 D2 L2
U' F2 B U B' U'
U2 F2 B U' B' U
U' F2 B2 D B' L2
U2 F2 B2 D' R2 B'
U2 F2 B2 D' B' R2
U' B U B' U' F2
U2 B U' B' U F2
U' B F2 U B' U'
U2 B F2 U' B' U
F2 B D R2 D2 L2
B F2 D R2 D2 L2
U' B2 F2 D B' L2
U2 B2 F2 D' R2 B'
U2 B2 F2 D' B' R2
U' L R U' R' F2 B
U' L R U' R' B F2
B' L R U' F2 B2 L
B' L R U' B2 L F2
B' L R U' B2 F2 L
U' L R U' F2 R' B
L' R U R' U2 F2 B
L' R U R' U2 B F2
L2 R U R' U2 F2 B
L2 R U R' U2 B F2
L R U R' U2 F2 B
L R U R' U2 B F2
R2 L U R2 U2 F2 B
R2 L U R2 U2 B F2
R L U R' U2 F2 B
R L U R' U2 B F2
R2 L U F' R2 B U2
B' L R' U' F2 L' B2
B' L R' U' F2 B2 L'
B' L R' U' B2 F2 L'
B L R' F2 L' D R2
B L R' F2 D L' R2
B L R' F2 D R2 L'
U' L R2 U' R2 F2 B
U' L R2 U' R2 B F2
R2 L U' F2 D2 L2 B'
U2 L U L F2 L2 B
U2 L U L F2 B L2
U2 L U L B L2 F2
U2 L U L B F2 L2
U2 L U L' F2 D B
U2 L U L' F2 D' B
U2 L U L' F2 D2 B
U2 L U L' F2 B D
U2 L U L' F2 B D'
U2 L U L' F2 B D2
U2 L U L' B F2 D
U2 L U L' B F2 D'
U2 L U L' B F2 D2
U2 L U L2 F2 L B
U L U R' F2 R B
U2 L U B L F2 L2
U2 L U B L' F2 D
U2 L U B L' F2 D'
U2 L U B L' F2 D2
U2 L U B L2 F2 L
U2 L U B' L' F2 B2
U2 L U B' L' B2 F2
U L U F2 D B R
U L U F2 D' B R
U L U F2 D2 B R
U L U F2 B R D
U L U F2 B R D'
U L U F2 B R D2
U L U F2 B D R
U L U F2 B D' R
U L U F2 B D2 R
U L U F2 B' R B2
U L U F2 B2 R B'
U L U B R F2 R
U L U B R' F2 R
U L U B R2 F2 R
U L U B F2 R D
U L U B F2 R D'
U L U B F2 R D2
U L U B F2 D R
U L U B F2 D' R
U L U B F2 D2 R
U L U B' F2 R B2
U L U B2 F2 R B'
U L U' L' U2 F2 B
U L U' L' U2 B F2
B' L U' F2 B2 D L2
B' L U' B2 F2 D L2
F' L U2 D F' B R
F' L U2 D B F' R
F' L U2 D' F' B R'
F' L U2 D' B F' R'
F' L U2 F' D' B R'
B' L U2 F2 B2 D' R2
F' L U2 B D F' R
B' L U2 B2 F2 D' R2
F' L D U2 F' B R
F' L D U2 B F' R
F2 L D B R2 D2 L2
F' L D' U2 F' B R'
F' L D' U2 B F' R'
B L F2 D R2 D2 L2
U' L F2 B U B' U'
U L F2 D' L2 B R
U' L F2 B2 D B' L2
U L F2 D' B L2 R
U L F2 D' B R L2
U L F2 B R D' L2
U L F2 B R D' L2
U L F2 B D' L2 R
U L F2 B D' R L2
U' L B U B' U' F2
F2 L B D R2 D2 L2
R2 L' U R2 U2 F2 B
R2 L' U R2 U2 B F2
R L' U R' U2 F2 B
R L' U R' U2 B F2
U' L B F2 U B' U'
R2 L' U F' R2 B U2
U L B F2 R D' L2
U L B F2 D' L2 R
U L B F2 D' R L2
U L B' U F2 R B2
U L B' U F2 B2 R
U L B' U B2 F2 R
R2 L' U' F2 D2 L2 B'
U L B2 U F2 R B'
U L B2 U F2 B' R
U L B2 U B' F2 R
U' L B2 F2 D B' L2
U' L' R U' R' F2 B
U' L' R U' R' B F2
U' L' R U' F2 R' B
B' L' R U' F2 B2 L
B' L' R U' B2 L F2
B' L' R U' B2 F2 L
B' L' R' U' F2 L' B2
B' L' R' U' F2 B2 L'
B' L' R' U' B2 F2 L'
B L' R' F2 L' D R2
B L' R' F2 D L' R2
B L' R' F2 D R2 L'
U' L' R2 U' R2 F2 B
U' L' R2 U' R2 B F2
U2 L' U L F2 D B
U2 L' U L F2 D' B
U2 L' U L F2 D2 B
U2 L' U L F2 B D
U2 L' U L F2 B D'
U2 L' U L F2 B D2
U2 L' U L B F2 D
U2 L' U L B F2 D'
U2 L' U L B F2 D2
U2 L' U L' F2 L2 B
U2 L' U L' F2 B L2
U2 L' U L' B L2 F2
U2 L' U L' B F2 L2
U2 L' U L2 B L' F2
U2 L' U F' L F' B
U2 L' U F' L B F'
U2 L' U F2 L D B
U2 L' U F2 L D' B
U2 L' U F2 L D2 B
U2 L' U F2 L B D
U2 L' U F2 L B D'
U2 L' U F2 L B D2
U2 L' U F2 L' B L2
U2 L' U F2 L2 B L'
U2 L' U F2 D L B
U2 L' U F2 D' L B
U2 L' U F2 D2 L B
U2 L' U' L F2 B R
U L' U F2 B2 R' B'
U2 L' U' L B F2 R
U L' U B2 R' F2 B'
U L' U B2 R' B' F2
U L' U B2 F2 R' B'
U L' U' L U2 F2 B
U L' U' L U2 B F2
B' L' U' F2 B2 D L2
F L' U' F' L' U' B
B' L' U' B2 F2 D L2
B' L' U2 F2 B2 D' R2
B' L' U2 B2 F2 D' R2
F2 L' D B R2 D2 L2
U2 L' F U F L B
L' R2 U R2 U2 F2 B
L' R2 U R2 U2 B F2
L' R2 U F' R2 B U2
L2 R2 U R2 U2 F2 B
L2 R2 U R2 U2 B F2
R2 L2 U R2 U2 F2 B
R2 L2 U R2 U2 B F2
L R2 U R2 U2 F2 B
L R2 U R2 U2 B F2
U2 L' F' U L F' B
U2 L' F' U L B F'
U2 L' F' U F' L B
R L2 U R' U2 F2 B
R L2 U R' U2 B F2
L2 R2 U F' R2 B U2
R2 L2 U F' R2 B U2
L R2 U F' R2 B U2
L' R2 U' F2 D2 L2 B'
U' L' F2 B U B' U'
B L' F2 D R2 D2 L2
L2 R2 U' F2 D2 L2 B'
R2 L2 U' F2 D2 L2 B'
L R2 U' F2 D2 L2 B'
U' L' F2 B2 D B' L2
U' L' B U B' U' F2
F2 L' B D R2 D2 L2
U' L' B F2 U B' U'
U L' B2 U R' F2 B'
U L' B2 U R' B' F2
D' L2 R U R' U2 B
U L' B2 U F2 R' B'
U' L' B2 F2 D B' L2
B' L2 R U' F2 B2 L
B' L2 R U' B2 L F2
B' L2 R U' B2 F2 L
U' L2 R U' R' F2 B
U' L2 R U' R' B F2
U' L2 R U' F2 R' B
B' L2 R' U' F2 L' B2
B' L2 R' U' F2 B2 L'
B' L2 R' U' B2 F2 L'
D' L2 R2 U R2 U2 B
D' L2 R2 U F' R2 U2
B L2 R' F2 L' D R2
B L2 R' F2 D L' R2
B L2 R' F2 D R2 L'
U' L2 R2 U' R2 F2 B
U' L2 R2 U' R2 B F2
U2 L2 R2 U F2 L2 B'
U2 L2 U L F2 L B
U2 L2 U L' B L' F2
U2 L2 U L2 F2 D B
U2 L2 U L2 F2 D' B
U2 L2 U L2 F2 D2 B
U2 L2 U L2 F2 B D
U2 L2 U L2 F2 B D'
U2 L2 U L2 F2 B D2
U2 L2 U L2 B F2 D
U2 L2 U L2 B F2 D'
U2 L2 U L2 B F2 D2
U2 L2 U F' L2 F' B
U2 L2 U F' L2 B F'
F' L2 U B' U F' B2
F' L2 U B' U B2 F'
U2 L2 U F' B L2 F'
U2 L2 U F2 L' B L'
U2 L2 U F2 L2 D B
U2 L2 U F2 L2 D' B
U2 L2 U F2 L2 D2 B
U2 L2 U F2 L2 B D
U2 L2 U F2 L2 B D'
U2 L2 U F2 L2 B D2
U2 L2 U F2 B L2 D
U2 L2 U F2 B L2 D'
U2 L2 U F2 B L2 D2
U2 L2 U F2 B' L2 B2
U2 L2 U B L F2 L
U2 L2 U B L2 F2 D
U2 L2 U B L2 F2 D'
U2 L2 U B L2 F2 D2
U2 L2 U B F' L2 F'
U2 L2 U B F2 L2 D
U2 L2 U B F2 L2 D'
U2 L2 U B F2 L2 D2
U2 L2 U B' L2 F2 B2
U2 L2 U B' L2 B2 F2
U2 L2 U B' F2 L2 B2
U L2 U D2 B R2 F'
U L2 U F2 D2 B R2
U L2 U F2 B D2 R2
U L2 U B F2 D2 R2
U L2 U' L2 U2 F2 B
U L2 U' L2 U2 B F2
B' L2 U' F2 B2 D L2
D' L2 U' B U B' U'
D' L2 U' B2 D B' L2
D' L2 U2 L U L' B
D' L2 U2 L U B L'
B' L2 U' B2 F2 D L2
D' L2 U2 L' U L B
D' L2 U2 L2 U L2 B
D' L2 U2 L2 U B L2
F' L2 U2 F' B D' R2
B' L2 U2 F2 B2 D' R2
F' L2 U2 B D' F' R2
F' L2 U2 B F' D' R2
B' L2 U2 B2 F2 D' R2
F2 L2 D B R2 D2 L2
L' U L U F2 B R
L' U L U B F2 R
L2 U L U F2 B R
L2 U L U B F2 R
L U L U F2 B R
L U L U B F2 R
U L2 D2 U B R2 F'
U2 L2 F U F L2 B
U2 L2 F U F B L2
U2 L2 F U B F L2
B2 L2 F U' F' U' F2
B2 L2 F U2 F D R2
U2 L2 F' U L2 F' B
U2 L2 F' U L2 B F'
U2 L2 F' U F' L2 B
U2 L2 F' U F' B L2
U2 L2 F' U B L2 F'
U2 L2 F' U B F' L2
R2 U R U2 F2 L' B'
R U R F' R2 B U2
U' L2 F2 B U B' U'
U' L2 F2 B2 D B' L2
B L2 F2 D R2 D2 L2
U' L2 B U B' U' F2
R U R' U2 F2 D B
R U R' U2 F2 D' B
R U R' U2 F2 D2 B
R U R' U2 F2 B D
R U R' U2 F2 B D'
R U R' U2 F2 B D2
R U R' U2 B F2 D
R U R' U2 B F2 D'
R U R' U2 B F2 D2
R U R' D2 B2 U2 B'
R U R' F U2 F B
R U R' F U2 B F
F2 L2 B D R2 D2 L2
R U R' F' U2 F' B
R U R' F' U2 B F'
U' L2 B F2 U B' U'
R U R' B' U2 F2 B2
R U R' B' U2 B2 F2
R U R' B2 U2 F2 B'
R U R' B2 U2 B' F2
D' L2 B' R U' B2 L
R2 U R2 U2 F2 D B
R2 U R2 U2 F2 D' B
R2 U R2 U2 F2 D2 B
R2 U R2 U2 F2 B D
R2 U R2 U2 F2 B D'
R2 U R2 U2 F2 B D2
R2 U R2 U2 B F2 D
R2 U R2 U2 B F2 D'
R2 U R2 U2 B F2 D2
R2 U R2 D2 B2 U2 B'
D' L2 B' U' B2 D L2
R U R2 U2 F2 L' B'
R2 U R2 F U2 F B
R2 U R2 F U2 B F
R2 U R2 F' U2 F' B
R2 U R2 F' U2 B F'
R2 U R2 B' U2 F2 B2
R2 U R2 B' U2 B2 F2
R2 U R2 B2 U2 F2 B'
R2 U R2 B2 U2 B' F2
F L2 B' U' F' U' B2
U' L2 B2 F2 D B' L2
U' R L U' R' F2 B
U' R L U' R' B F2
B' R L U' F2 B2 L
B' R L U' B2 L F2
U' R L U' F2 R' B
B' R L U' B2 F2 L
U' R L' U' R' F2 B
U' R L' U' R' B F2
B' R L' U' F2 B2 L
B' R L' U' B2 L F2
B' R L' U' B2 F2 L
U' R L' U' F2 R' B
R2 U D2 F' B2 U2 L2
R2 U D2 B2 F' U2 L2
D' R L2 U R' U2 B
R U D2 B2 U2 L B'
U' R L2 U' R' F2 B
U' R L2 U' R' B F2
B' R L2 U' F2 B2 L
B' R L2 U' B2 L F2
B' R L2 U' B2 F2 L
U' R L2 U' F2 R' B
R2 U F R2 F2 U2 F'
R U F R' U2 F B
R U F R' U2 B F
D2 R U R' B2 U2 B'
B' R U R' U2 F2 B2
B' R U R' U2 B2 F2
U' R U R' F2 L' B
R2 U F' R2 D B U2
U' R U R' F2 B L'
R2 U F' R2 D' B U2
U' R U R' B F2 L'
R2 U F' R2 D2 B U2
R2 U F' R2 B U2 D
R2 U F' R2 B U2 D'
R2 U F' R2 B U2 D2
R2 U F' R2 B D U2
R2 U F' R2 B D' U2
R2 U F' R2 B D2 U2
B2 R U R' U2 F2 B'
B2 R U R' U2 B' F2
R2 U F' U2 D2 L2 F'
R2 U F' U2 D2 F' L2
R2 U F' U2 F' D2 L2
R2 U F' D2 U2 L2 F'
R2 U F' D2 U2 F' L2
R2 U F' B R2 B U2
R2 U F' B' R2 B U2
B' R U B2 L F2 R
R2 U F' B2 R2 B U2
B' R U' L F2 B2 L
B' R U' L B2 L F2
B' R U' L B2 F2 L
B' R U' L' F2 B2 L
B' R U' L' B2 L F2
B' R U' L' B2 F2 L
B' R U' L2 F2 B2 L
B' R U' L2 B2 L F2
B' R U' L2 B2 F2 L
U' R U' R' F2 D B
U' R U' R' F2 D' B
R2 U F2 R2 F U2 F'
U' R U' R' F2 D2 B
U' R U' R' F2 B D
U' R U' R' F2 B D'
U' R U' R' F2 B D2
U' R U' R' B F2 D
U' R U' R' B F2 D'
U' R U' R' B F2 D2
U' R U' F R' F B
U' R U' F R' B F
B' R U' F' B2 L F'
B' R U' F2 L B2 L
B' R U' F2 L' B2 L
B' R U' F2 L2 B2 L
U' R U' F2 R' D B
U' R U' F2 R' D' B
U' R U' F2 R' D2 B
U' R U' F2 R' B D
U' R U' F2 R' B D'
U' R U' F2 R' B D2
B' R U' F2 B2 L D
B' R U' F2 B2 L D'
B' R U' F2 B2 L D2
B' R U' F2 B2 D L
B' R U' F2 B2 D' L
B' R U' F2 B2 D2 L
B' R U' B2 L F2 D
B' R U' B2 L F2 D'
B' R U' B2 L F2 D2
B' R U' B2 L' F2 L2
B2 R U' F2 B2 L B
B' R U' B2 F' L F'
B' R U' B2 F2 L D
B' R U' B2 F2 L D'
B' R U' B2 F2 L D2
B' R U' B2 F2 D L
B' R U' B2 F2 D' L
B' R U' B2 F2 D2 L
B2 R U' B2 L F2 B
B2 R U' B2 L B F2
B2 R U' B2 F2 L B
R2 U B R2 U2 F2 B
R2 U B R2 U2 B F2
R2 U B F' R2 B U2
R2 U B' R2 U2 F2 B
R2 U B' R2 U2 B F2
R2 U B' F' R2 B U2
R2 U B2 R2 U2 F2 B
R2 U B2 R2 U2 B F2
R2 U B2 F' R2 B U2
R2 U' L F2 D2 L2 B'
U' R F U' R' F B
U' R F U' R' B F
U' R F U' F R' B
R2 U' L' F2 D2 L2 B'
U' R F' U' F' R' B
L' U' R U' R' F2 B
L' U' R U' R' B F2
L' U' R U' F2 R' B
R2 U' L2 F2 D2 L2 B'
L2 U' R U' R' F2 B
L2 U' R U' R' B F2
L2 U' R U' F2 R' B
L U' R U' R' F2 B
L U' R U' R' B F2
L U' R U' F2 R' B
B' R F2 B2 L D R2
B' R F2 B2 D L R2
B' R F2 B2 D R2 L
R U' R' U2 B R F2
L' U' R2 U' R2 F2 B
L' U' R2 U' R2 B F2
L2 U' R2 U' R2 F2 B
L2 U' R2 U' R2 B F2
R2 U' R2 U2 F2 B R2
R2 U' R2 U2 B R2 F2
R2 U' R2 U2 B F2 R2
L U' R2 U' R2 F2 B
L U' R2 U' R2 B F2
B' R B' U' F2 B' L
B' R B' U' B' L F2
B' R B' U' B' F2 L
B' R B2 L F2 D R2
B2 R B2 U' L F2 B
B2 R B2 U' L B F2
B2 R B2 U' F2 L B
B' R B2 F2 L D R2
B' R B2 F2 D L R2
B' R B2 F2 D R2 L
B R B2 U' L F2 B2
B R B2 U' L B2 F2
B R B2 U' F2 L B2
B' R' L U' F2 L' B2
B' R' L U' F2 B2 L'
B' R' L U' B2 F2 L'
B' R' L' U' F2 L' B2
B' R' L' U' F2 B2 L'
B' R' L' U' B2 F2 L'
B R' L F2 L' D R2
B R' L F2 D L' R2
B R' L F2 D R2 L'
B' R' L2 U' F2 L' B2
B' R' L2 U' F2 B2 L'
B' R' L2 U' B2 F2 L'
B R' L' F2 L' D R2
B R' L' F2 D L' R2
B R' L' F2 D R2 L'
R2 U' F D2 F L2 B2
R2 U' F D2 F B2 L2
R2 U' F D2 B2 F L2
B' R' U R U2 F2 B2
B' R' U R U2 B2 F2
B R' L2 F2 L' D R2
B R' L2 F2 D L' R2
B R' L2 F2 D R2 L'
R2 U' F' R2 U2 R2 F'
R2 U' F' R2 B U2 R2
B2 R' U R U2 F2 B'
B2 R' U R U2 B' F2
B' R' U F2 L' B2 R'
R2 U' F' D2 F' L2 B'
B' R' U' L F2 L' B2
B' R' U' L F2 B2 L'
B' R' U' L B2 F2 L'
R' U' F2 B L' D' B2
B' R' U' L' F2 L' B2
B' R' U' L' F2 B2 L'
B' R' U' L' B2 F2 L'
R2 U' F2 L2 D2 B' L2
R2 U' F2 L2 B' D2 L2
B' R' U' L2 F2 L' B2
B' R' U' L2 F2 B2 L'
B' R' U' L2 B2 F2 L'
B2 R' U' L F2 L' B'
L' U' F2 B U B' U'
L' U' F2 B2 D B' L2
R2 U' F2 U2 R2 F U2
R2 U' F2 U2 F R2 U2
L2 U' F2 B U B' U'
B' R' U' F2 L B2 L2
B' R' U' F2 L' B2 D
B' R' U' F2 L' B2 D'
B' R' U' F2 L' B2 D2
B' R' U' F2 B L' B
L2 U' F2 B2 D B' L2
R2 U' F2 D2 L2 D B'
R2 U' F2 D2 L2 D' B'
R2 U' F2 D2 L2 D2 B'
R2 U' F2 D2 L2 B' D
R2 U' F2 D2 L2 B' D'
R2 U' F2 D2 L2 B' D2
