R' B R D' F2 L'
D2 L D' F2 B' L' F
D2 L D' B' F2 L' F
R' L B R D' F2 L'
D2 L B' D' F2 L' F
F2 L' R' D' B R F'
F2 L' R' B R D' F2
R' L' B R D' F2 L'
L' R' B R D' F2 L'
L2 R' B R D' F2 L'
L R' B R D' F2 L'
F2 L' B U' R' U B
R' L2 B R D' F2 L'
D2 L2 D' F2 L' F B'
D2 L2 D' F2 L' B' F
B R U R2 U B R
R' U B R D' F2 L'
D' R U2 D F' R' B
D' R U2 F' R' D B2
D' R D U2 F' R' B
B R D F' B2 L U2
B R D B2 L F' U2
B R D B2 F' L U2
B R D' F' U2 F' R'
U2 R D2 F' U R U
B' R F' U' L U' R'
B R F' U R2 U R
B R F' U2 D' R' F2
B R F' U2 D' F2 R'
U2 R F' B U R' U
B R F' D B2 L U2
B R F' D' U2 R' F2
B R F' D' U2 F2 R'
U2 R F' B' U' L U'
U2 R B F' U R' U
U2 R B' F' U' L U'
F2 R' L' D' B R F'
F2 R' L' B R D' F2
B R' U D2 L2 B R
B R' U D2 B L2 R
B R' U D2 B R L2
B R' U B D2 L2 R
B R' U B D2 R L2
R' U' B R D' F2 L'
B R' U' R2 F' U2 R'
F2 R' D L' B R F
F2 R' D B L' R F
F2 R' D B R L' F
F2 R' D' L' B R F'
F' R' D' B R F' L'
F2 R' D' B L' R F'
F2 R' D' B R L' F'
B R' D2 U L2 B R
B R' D2 U B L2 R
B R' D2 U B R L2
F2 R' B L' R D' F2
F2 R' B R L' D' F2
F2 R' B R D' L' F2
R U2 R2 D' B R F'
R U2 R2 B R D' F2
R' U2 B R D' F2 L'
U2 R2 D' R' F' B U2
U2 R2 D' R' B F' U2
R D L' F' U2 R' F2
R D L' F' U2 F2 R'
R D L2 F' U2 R' F'
B' U L U R F' U2
R D F' L' U2 R' F
R D F' L' U2 F R'
R D F' L2 U2 R' F'
R D F' B2 L B' U2
R D B2 L F' B' U2
R D B2 L B' F' U2
R D B2 F' L B' U2
R' D' B R D' L2 F'
R' D' B R D' F' L2
R D' F' U2 R F' R2
B U' R' U D2 L2 B
B U' R' U D2 B L2
B U' R' U B D2 L2
B U' R' U' R2 F' U2
B U' R' D' F2 U B
B U' R' D2 U L2 B
B U' R' D2 U B L2
R' D2 L2 D B R F'
R' D2 L2 B D R F'
B U' F2 R' U L' B
B U' F2 R' U B L'
B' U2 R F' U' L U'
B2 U2 R F' U' L' U'
R' D2 B L2 D R F'
R D2 F' U R U R2
R D2 F' U2 R' D' F2
B U2 R U R2 U B
B U2 R D F' B2 U2
B U2 R D B2 F' U2
B U2 R D' F' U2 F'
B U2 R F' U R2 U
B U2 R F' U2 D' F2
B U2 R F' D B2 U2
B U2 R F' D' U2 F2
F2 D L2 D L F B'
F2 D L2 D L B' F
F2 D B' L' D' F B2
F2 D B' L' D' B2 F
F2 D B' L' F D' B2
D' F' U R U' F' L'
R F' U2 R2 D' R F'
R F' U2 D' R F' R2
R F' D L' U2 R' F
R F' D L' U2 F R'
R F' D L2 U2 R' F'
R F' D B2 L B' U2
R F' D' U2 R F' R2
D F2 L2 D L F B'
D F2 L2 D L B' F
D F2 B' L' D' F B2
D F2 B' L' D' B2 F
R' B L R D' F2 L'
D F2 B' L' F D' B2
R' B L' R D' F2 L'
R' B L2 R D' F2 L'
R' B R L D' F2 L'
R' B R L' D' F2 L'
R' B R L2 D' F2 L'
R' B R L2 D' F2 L'
R' B R D' L F2 L'
R' B R D' L' F2 L'
R' B R D' L2 F2 L'
R' B R D' F2 L' D
R' B R D' F2 L' D'
R' B R D' F2 L' D2
R' B R D' F2 D L'
R' B R D' F2 D' L'
R' B R D' F2 D2 L'
R' B R F2 L' D' F2
R' B R F2 D' L' F2
U2 B R U R2 U B
U2 B R D F' B2 U2
U2 B R D B2 F' U2
U2 B R D' F' U2 F'
U2 B R F' U R2 U
U2 B R F' U2 D' F2
U2 B R F' D B2 U2
U2 B R F' D' U2 F2
F2 B L' U' R' U B
R' B D' R D' L2 F2
R' B D' R D' F2 L2
R' B D2 L2 R D' F2
R' B D2 R L2 D' F2
F2 B R' U L' B R
F2 B R' U B L' R
F2 B R' U B R L'
F' B U' R' F' U B
F2 B U' R' U L' B
F2 B U' R' U B L'
U B' L U R F' U2
U2 B' R F' U' L U'
B F' U' R' F' U B
D B' F2 L' D' F B2
D B' F2 L' D' B2 F
D B' F2 L' F D' B2
B F2 L' U' R' U B
B F2 R' U L' B R
B F2 R' U B L' R
B F2 R' U B R L'
U B2 U R F' B U2
U B2 U R B F' U2
B F2 U' R' U L' B
B F2 U' R' U B L'
