L B' U' B' R' U'
L R U2 D L2 F B
L R U2 D L2 B F
R L U2 D L2 F B
R L U2 D L2 B F
R' L D F' U2 L2 F
L R D U2 L2 F B
L R D U2 L2 B F
R' L D F' B' U2 L2
R L D U2 L2 F B
R L D U2 L2 B F
R' L D B' F' U2 L2
L R D B' U2 L2 B2
L R D B' U2 B2 L2
R L D B' U2 L2 B2
R L D B' U2 B2 L2
R' L D' R2 B' U2 B2
L R D' R2 F' B' U2
L R D' R2 B' F' U2
R' L D' F' R2 B' U2
R' L D' F' B' R2 U2
R L D' R2 F' B' U2
R L D' R2 B' F' U2
R' L D' B' R2 U2 B
R' L D' B' F' R2 U2
L R D' B' R2 U2 B2
U2 L U2 D L2 F B'
U2 L U2 D L2 B' F
R L D' B' R2 U2 B2
U2 L D U2 L2 F B'
U2 L D U2 L2 B' F
U2 L D F U2 L2 F
U2 L D F B' U2 L2
U2 L D B' U2 L2 B'
U2 L D B' F U2 L2
U2 L D' R2 F B' U2
U2 L D' R2 B' F U2
U2 L D' F R2 B' U2
U2 L D' F B' R2 U2
U2 L D' B' R2 F U2
R' L F' U2 D L2 F
U2 L D' B' F R2 U2
R' L F' D U2 L2 F
R' L F' D B' U2 L2
R' L F' D' R2 B' U2
R' L F' D' B' R2 U2
R' L F' B' U' B' U'
U2 L F U2 D L2 F
U2 L F D U2 L2 F
U2 L F D B' U2 L2
U2 L F D' R2 B' U2
U2 L F D' B' R2 U2
U2 L F B' U' B' U'
L R B' U' B' U' B'
R L B' U' B' U' B'
R' L B' F' U' B' U'
F' L B' U' B' R' U'
U' L B' U' R' B' U'
F2 L B' U' B' R' U'
F L B' U' B' R' U'
U2 L B' F U' B' U'
B2 L' R U' F B R2
B2 L' R U' B R2 F
B2 L' R U' B F R2
L R' D F' U2 L2 F
L R' D F' B' U2 L2
L R' D B' F' U2 L2
L R' D' R2 B' U2 B2
L R' D' F' R2 B' U2
L R' D' F' B' R2 U2
L R' D' B' R2 U2 B
L R' D' B' F' R2 U2
L R' F' U2 D L2 F
L R' F' D U2 L2 F
L R' F' D B' U2 L2
L R' F' D' R2 B' U2
L R' F' D' B' R2 U2
L R' F' B' U' B' U'
L R' B' F' U' B' U'
D L2 D F2 R F' B
D L2 D F2 R B F'
B2 R L' U' F B R2
B2 R L' U' B R2 F
B2 R L' U' B F R2
L U2 D L' B' L' F
L2 D L' B' U2 L' B'
L D R U2 L2 F B
L D R U2 L2 B F
L D R B' U2 L2 B2
L D R B' U2 B2 L2
L D R' F' U2 L2 F
L D R' F' B' U2 L2
L D R' B' F' U2 L2
L D U2 L' B' L' F
L D B' R U2 L2 B
L D B' R U2 B L2
L D B' R' F' U2 L2
L D B' U2 L' B' L'
L D' R B' R U2 B2
L D' R' F' R' B' U2
L D' B' R' F' R' U2
B2 U2 L' U R' F B'
B2 U2 L' U R' B' F
B2 U2 L' U F R' B'
R' F' L U2 D L2 F
R' F' L D U2 L2 F
R' F' L D B' U2 L2
R' F' L D' R2 B' U2
R' F' L D' B' R2 U2
L F B' U' B' R' U'
R' F' L B' U' B' U'
L F' B' U' B' R' U'
B2 D2 R U' F' B R2
B2 D2 R U' B F' R2
L F2 B' U' B' R' U'
L B' R U' B' U' B2
L B' R U2 B D L2
L B' R' F' U' B' U'
L B' U' R B' R' U'
L B' U' R' B' R' U'
L B' U' R2 B' R' U'
L B' U' D B' R' U'
L B' U' D' B' R' U'
L B' U' D2 B' R' U'
L B' U' B' R' U' D
L B' U' B' R' U' D'
L B' U' B' R' U' D2
L B' U' B' R' D U'
L B' U' B' R' D' U'
L B' U' B' R' D2 U'
L B' U' B' D R' U'
L B' U' B' D' R' U'
L B' U' B' D2 R' U'
L B' U2 L' D' B' L
L B' D U' B' R' U'
L B' D' U' B' R' U'
L B' D2 U' B' R' U'
L B' F U' B' R' U'
L B' F' U' B' R' U'
L B' F2 U' B' R' U'
U2 B2 L' U' R' F B'
U2 B2 L' U' R' B' F
U2 B2 L' U' F R' B'
R2 B2 L' U' R' F B
R2 B2 L' U' R' B F
R2 B2 L' U' F R' B
