B R F L' U L'
B L R U D' L B'
B L R D' U L B'
B L R F L' U L2
B L D' R U L B'
F2 L' U2 B L U L2
F L' D' B U L' F
F L' D2 B R' U L'
F L' B U D' L' F
F L' B D' U L' F
B L2 R F L' U L
R U L2 D R' B R'
R U L2 D B R' B
B R L U D' L B'
B R L D' U L B'
B R L F L' U L2
B R L2 F L' U L
B R U L D' L B'
B' R F L' B2 U L'
B R F L' U L' D
B R F L' U L' D'
B R F L' U L' D2
B R F L' U D L'
B R F L' U D' L'
B R F L' U D2 L'
B R F L' D U L'
B R F L' D' U L'
B R F L' D2 U L'
B' R F B2 L' U L'
B2 R F B' L' U L'
B R F D L' F2 U
B R F' U2 R U' L2
B R F' D F2 L' U
B R F2 L' U L' B'
B R F2 U L' B' L'
B2 R B' F L' U L'
B' R B2 F L' U L'
B R' F L' R2 U L'
B R' F R2 L' U L'
R U2 R F' R U' L2
R U2 F' R F' U' L2
B R2 D R' F2 U B
B R2 D F2 R' U B
B R2 F L' R' U L'
B R2 F R' L' U L'
F' R2 F' L' R' U' L'
F' R2 F' R' L' U' L'
D' R2 F' B2 L U' B'
D' R2 B2 L F' U' B'
D' R2 B2 F' L U' B'
R D F2 U R' B R'
R D F2 U B R' B
R D F2 B U R' B
R D B F2 U R' B
R2 D' F' B2 L U' B'
R2 D' B2 L F' U' B'
R2 D' B2 F' L U' B'
B D R F2 L2 U B'
B D R F2 U' F U2
R2 F' R U' L2 D' F2
R2 F' R U2 R2 U L2
R2 F' R D' B2 U' F2
R F' U2 R F' U' L2
R2 F' D' B2 L R U'
R2 F' D' B2 R L U'
R2 F' B2 L R U' L
R2 F' B2 R L U' L
U' B R F L' U L'
U2 B R F L' U L'
L2 B R F L' U L
D B R F2 L2 U B'
D B R F2 U' F U2
U B R F L' U L'
B F L' U D' L' F
B F L' D' U L' F
F B L' U D' L' F
F B L' D' U L' F
F2 B U2 L' U' L' B'
R2 B2 L F' R U' L
B F2 U2 L' U' L' B'
R2 B2 F' L R U' L
R2 B2 F' R L U' L
