U2 L' F' U' B'
U2 L' R U' B' R'
U2 L' D F' U' B'
U2 L' D' F' U' B'
U2 L' D2 F' U' B'
U2 L' F' R U' B'
U2 L' F' R' U' B'
U2 L' F' R2 U' B'
U2 L' F' U' D B'
U2 L' F' U' D' B'
U2 L' F' U' D2 B'
U2 L' F' U' B' D
U2 L' F' U' B' D'
U2 L' F' U' B' D2
U2 L' F' D U' B'
U2 L' F' D' U' B'
U2 L' F' D2 U' B'
U2 L2 F' L U' B'
U2 R L' U' B' R'
U2 D L' F' U' B'
U2 D' L' F' U' B'
D2 U2 L' F' U' B'
U2 D2 L' F' U' B'
D' U2 L' F' U' B'
D U2 L' F' U' B'
B2 U2 L' F' U' B'
B' U2 L' F' U' B'
B U2 L' F' U' B'
L2 R U2 L F U' B
U2 L F' L2 U F2 U2
U2 L F' L2 U' D2 B2
U2 L F' L2 D R2 U'
U2 L F' L2 D2 U' B2
U2 L F' D R2 U' F2
U2 L' R U' R B' R'
U2 L' R U' R' B' R'
U2 L' R U' R2 B' R'
U2 L' R U' D B' R'
U2 L' R U' D' B' R'
U2 L' R U' D2 B' R'
U2 L' R U' B' R' D
U2 L' R U' B' R' D'
U2 L' R U' B' R' D2
U2 L' R U' B' D R'
U2 L' R U' B' D' R'
U2 L' R U' B' D2 R'
U2 L' R D U' B' R'
U2 L' R D' U' B' R'
U2 L' R D2 U' B' R'
U2 L' R F U' B' R'
U2 L' R F' U' B' R'
U2 L' R F2 U' B' R'
U2 L' R2 U' B' D' R2
U2 L' R2 U2 B U B2
U2 L' U' R2 B' D' R2
U2 L' U' B' U F' U'
U2 L' D R U' B' R'
U2 L' D F' R U' B'
U2 L' D F' R' U' B'
U2 L' D F' R2 U' B'
U2 L' D F' U' D B'
U2 L' D F' U' D' B'
U2 L' D F' U' D2 B'
U2 L' D F' U' B' D
U2 L' D F' U' B' D'
U2 L' D F' U' B' D2
U2 L' D F' D U' B'
U2 L' D F' D' U' B'
U2 L' D F' D2 U' B'
U2 L' D' R U' B' R'
U2 L' D' F' R U' B'
U2 L' D' F' R' U' B'
U2 L' D' F' R2 U' B'
U2 L' D' F' U' D B'
U2 L' D' F' U' D' B'
U2 L' D' F' U' D2 B'
U2 L' D' F' U' B' D
U2 L' D' F' U' B' D'
U2 L' D' F' U' B' D2
U2 L' D' F' D U' B'
U2 L' D' F' D' U' B'
U2 L' D' F' D2 U' B'
U2 L' D2 R U' B' R'
U2 L' D2 F' R U' B'
U2 L' D2 F' R' U' B'
U2 L' D2 F' R2 U' B'
U2 L' D2 F' U' D B'
U2 L' D2 F' U' D' B'
U2 L' D2 F' U' D2 B'
U2 L' D2 F' U' B' D
U2 L' D2 F' U' B' D'
U2 L' D2 F' U' B' D2
U2 L' D2 F' D U' B'
U2 L' D2 F' D' U' B'
U2 L' D2 F' D2 U' B'
U2 L' F R F2 U' B'
U2 L' F R' F2 U' B'
U2 L' F R2 F2 U' B'
U2 L' F U' D R2 B'
U2 L' F U' D B' R2
U2 L' F U' B' D R2
U L' F R F2 U' L
U2 L' F D U' R2 B'
U2 L' F D U' B' R2
U2 L' F' R U' D B'
U2 L' F' R U' D' B'
U2 L' F' R U' D2 B'
U2 L' F' R U' B' D
U2 L' F' R U' B' D'
U2 L' F' R U' B' D2
U2 L' F' R D U' B'
U2 L' F' R D' U' B'
U2 L' F' R D2 U' B'
U2 L' F' R' U' D B'
U2 L' F' R' U' D' B'
U2 L' F' R' U' D2 B'
U2 L' F' R' U' B' D
U2 L' F' R' U' B' D'
U2 L' F' R' U' B' D2
U2 L' F' R' D U' B'
U2 L' F' R' D' U' B'
U2 L' F' R' D2 U' B'
U2 L' F' R2 U' D B'
U2 L' F' R2 U' D' B'
U2 L' F' R2 U' D2 B'
U2 L' F' R2 U' B' D
U2 L' F' R2 U' B' D'
U2 L' F' R2 U' B' D2
U2 L' F' R2 D U' B'
U2 L' F' R2 D' U' B'
U2 L' F' R2 D2 U' B'
U2 L' F' U F U2 B'
U2 L' F' U F' U2 B'
U2 L' F' U F2 U2 B'
U2 L' F' U' R' B' R
U2 L' F' U' R2 B' R2
U2 L' F' U' D B' D
U2 L' F' U' D B' D'
U2 L' F' U' D B' D2
U2 L' F' U' D' B' D
U2 L' F' U' D' B' D'
U2 L' F' U' D' B' D2
U2 L' F' U' D2 B' D
U2 L' F' U' D2 B' D'
U2 L' F' U' D2 B' D2
U2 L' F' U' B2 D B
U2 L' F' U' B2 D' B
U2 L' F' U' B2 D2 B
U2 L' F' D R U' B'
U2 L' F' D R' U' B'
U2 L' F' D R2 U' B'
U2 L' F' D U' B' D
U2 L' F' D U' B' D'
U2 L' F' D U' B' D2
U2 L' F' D' R U' B'
U2 L' F' D' R' U' B'
U2 L' F' D' R2 U' B'
U2 L' F' D' U' B' D
U2 L' F' D' U' B' D'
U2 L' F' D' U' B' D2
U2 L' F' D2 R U' B'
U2 L' F' D2 R' U' B'
U2 L' F' D2 R2 U' B'
U2 L' F' D2 U' B' D
U2 L' F' D2 U' B' D'
U2 L' F' D2 U' B' D2
U L' F' U' L D' B2
U L' F' U2 L' U L2
U2 L' F2 R F U' B'
U2 L' F2 R' F U' B'
U2 L' F2 R2 F U' B'
U2 L' F2 D F U' B'
U2 L' F2 D' F U' B'
U2 L' F2 D2 F U' B'
R L2 U2 L F U' B
F2 L2 R F2 B' U B2
F2 L2 R B' F2 U B2
U2 L2 D L F' R U'
U2 L2 D F' L R U'
U2 L2 D F' R L U'
L2 R2 B2 R' B' U B2
R2 L2 B2 R' B' U B2
U2 L2 F L F2 U' B'
U2 L2 F' L R U' B'
U2 L2 F' L R' U' B'
U2 L2 F' L R2 U' B'
U2 L2 F' L U' D B'
U2 L2 F' L U' D' B'
U2 L2 F' L U' D2 B'
U2 L2 F' L U' B' D
U2 L2 F' L U' B' D'
U2 L2 F' L U' B' D2
U2 L2 F' L D U' B'
U2 L2 F' L D' U' B'
U2 L2 F' L D2 U' B'
U2 L2 F' R L U' B'
U2 L2 F' R' L U' B'
U2 L2 F' R2 L U' B'
F2 L2 B' R F2 U B
U2 R L' U' R B' R'
U2 R L' U' R' B' R'
U2 R L' U' R2 B' R'
U2 R L' U' D B' R'
U2 R L' U' D' B' R'
U2 R L' U' D2 B' R'
U2 R L' U' B' R' D
U2 R L' U' B' R' D'
U2 R L' U' B' R' D2
U2 R L' U' B' D R'
U2 R L' U' B' D' R'
U2 R L' U' B' D2 R'
U2 R L' D U' B' R'
U2 R L' D' U' B' R'
U2 R L' D2 U' B' R'
U2 R L' F U' B' R'
U2 R L' F' U' B' R'
U2 R L' F2 U' B' R'
F2 R L2 F2 B' U B2
F2 R L2 B' F2 U B2
U2 R D L' U' B' R'
U2 R D' L' U' B' R'
U2 R D2 L' U' B' R'
F2 R F2 U2 F' U' B
U2 R' D2 L' F U' B'
L2 U2 L F' U F2 U2
L2 U2 L F' U' D2 B2
L2 U2 L F' D R2 U'
L2 U2 L F' D2 U' B2
R U2 L F L2 U' B
R U2 L' U' B D' R2
R U2 L' U2 B' U B2
L U2 L2 D F' R U'
U2 R2 L' U' B' D' R2
U2 R2 L' U2 B U B2
L2 U2 F' L U F U2
U2 D L' R U' B' R'
U2 D L' D F' U' B'
U2 D L' D' F' U' B'
U2 D L' D2 F' U' B'
U2 D L' F' R U' B'
U2 D L' F' R' U' B'
U2 D L' F' R2 U' B'
U2 D L' F' U' D B'
U2 D L' F' U' D' B'
U2 D L' F' U' D2 B'
U2 D L' F' U' B' D
U2 D L' F' U' B' D'
U2 D L' F' U' B' D2
U2 D L' F' D U' B'
U2 D L' F' D' U' B'
U2 D L' F' D2 U' B'
U2 D L2 F' L U' B'
U2 D R L' U' B' R'
R2 D B U2 L' R' U'
R2 D B U2 R' L' U'
U2 D' L' R U' B' R'
U2 D' L' D F' U' B'
U2 D' L' D' F' U' B'
U2 D' L' D2 F' U' B'
U2 D' L' F' R U' B'
U2 D' L' F' R' U' B'
U2 D' L' F' R2 U' B'
U2 D' L' F' U' D B'
U2 D' L' F' U' D' B'
U2 D' L' F' U' D2 B'
U2 D' L' F' U' B' D
U2 D' L' F' U' B' D'
U2 D' L' F' U' B' D2
U2 D' L' F' D U' B'
U2 D' L' F' D' U' B'
U2 D' L' F' D2 U' B'
U2 D' L2 F' L U' B'
U2 D' R L' U' B' R'
D' U2 L' R U' B' R'
D2 U2 L' R U' B' R'
D' U2 L' D F' U' B'
D' U2 L' D' F' U' B'
D' U2 L' D2 F' U' B'
D2 U2 L' D F' U' B'
D' U2 L' F' R U' B'
D' U2 L' F' R' U' B'
D' U2 L' F' R2 U' B'
D' U2 L' F' U' D B'
D' U2 L' F' U' D' B'
D' U2 L' F' U' D2 B'
D' U2 L' F' U' B' D
D' U2 L' F' U' B' D'
D' U2 L' F' U' B' D2
D' U2 L' F' D U' B'
D' U2 L' F' D' U' B'
D' U2 L' F' D2 U' B'
D2 U2 L' D' F' U' B'
D2 U2 L' D2 F' U' B'
U2 D2 L' R U' B' R'
D2 U2 L' F' R U' B'
D2 U2 L' F' R' U' B'
D2 U2 L' F' R2 U' B'
D2 U2 L' F' U' D B'
D2 U2 L' F' U' D' B'
D2 U2 L' F' U' D2 B'
D2 U2 L' F' U' B' D
D2 U2 L' F' U' B' D'
D2 U2 L' F' U' B' D2
D2 U2 L' F' D U' B'
D2 U2 L' F' D' U' B'
D2 U2 L' F' D2 U' B'
U2 D2 L' D F' U' B'
U2 D2 L' D' F' U' B'
D U2 L' R U' B' R'
U2 D2 L' D2 F' U' B'
U2 D2 L' F' R U' B'
U2 D2 L' F' R' U' B'
U2 D2 L' F' R2 U' B'
U2 D2 L' F' U' D B'
U2 D2 L' F' U' D' B'
U2 D2 L' F' U' D2 B'
U2 D2 L' F' U' B' D
U2 D2 L' F' U' B' D'
U2 D2 L' F' U' B' D2
U2 D2 L' F' D U' B'
U2 D2 L' F' D' U' B'
U2 D2 L' F' D2 U' B'
D' U2 L2 F' L U' B'
D U2 L' D F' U' B'
D U2 L' D' F' U' B'
D2 U2 L2 F' L U' B'
D U2 L' D2 F' U' B'
D U2 L' F' R U' B'
D U2 L' F' R' U' B'
D U2 L' F' R2 U' B'
D U2 L' F' U' D B'
D U2 L' F' U' D' B'
D U2 L' F' U' D2 B'
D U2 L' F' U' B' D
D U2 L' F' U' B' D'
D U2 L' F' U' B' D2
D U2 L' F' D U' B'
D U2 L' F' D' U' B'
D U2 L' F' D2 U' B'
D' U2 R L' U' B' R'
D2 U2 R L' U' B' R'
U2 D2 L2 F' L U' B'
U2 D2 R L' U' B' R'
D U2 L2 F' L U' B'
D U2 R L' U' B' R'
B' U2 L' R U' B' R'
B2 U2 L' R U' B' R'
B' U2 L' D F' U' B'
B' U2 L' D' F' U' B'
B' U2 L' D2 F' U' B'
B' U2 L' F' R U' B'
B' U2 L' F' R' U' B'
B' U2 L' F' R2 U' B'
B2 U2 L' D F' U' B'
B' U2 L' F' U' D B'
B' U2 L' F' U' D' B'
B' U2 L' F' U' D2 B'
B' U2 L' F' U' B' D
B' U2 L' F' U' B' D'
B' U2 L' F' U' B' D2
B' U2 L' F' D U' B'
B' U2 L' F' D' U' B'
B' U2 L' F' D2 U' B'
B2 U2 L' D' F' U' B'
B2 U2 L' D2 F' U' B'
B2 U2 L' F' R U' B'
B2 U2 L' F' R' U' B'
B2 U2 L' F' R2 U' B'
B2 U2 L' F' U' D B'
B2 U2 L' F' U' D' B'
B2 U2 L' F' U' D2 B'
B2 U2 L' F' U' B' D
B2 U2 L' F' U' B' D'
B2 U2 L' F' U' B' D2
B2 U2 L' F' D U' B'
B2 U2 L' F' D' U' B'
B2 U2 L' F' D2 U' B'
B U2 L' R U' B' R'
B U2 L' D F' U' B'
B' U2 L2 F' L U' B'
B U2 L' D' F' U' B'
B U2 L' D2 F' U' B'
B U2 L' F' R U' B'
B U2 L' F' R' U' B'
