D L2 R2 U' B R'
D L2 U' R2 B R'
R2 U B2 U2 B' R'
D R2 L2 U' B R'
B2 D' F' R2 U2 R'
U B2 D' F' U2 R
R2 L U B2 U2 B' R'
B2 L D' F' R2 U2 R'
R2 L' U B2 U2 B' R'
U L B2 D' F' U2 R
D2 L' R2 F U' F B
D2 L' R2 F U' B F
B2 L' D' F' R2 U2 R'
D2 L' F U F2 U2 F'
D2 L' F U' D2 F B2
D2 L' F U' D2 B2 F
D2 L' F D R2 U' F
D2 L' F D2 U' F B2
D2 L' F D2 U' B2 F
L' R2 U B2 U2 B' R'
L2 R2 U B2 U2 B' R'
R2 L2 U B2 U2 B' R'
L R2 U B2 U2 B' R'
U L' B2 D' F' U2 R
D L2 R' U' R' B R'
D L2 R' U' B R' B
D L2 R2 U' B R' D
D L2 R2 U' B R' D'
D L2 R2 U' B R' D2
D L2 R2 U' B D R'
D L2 R2 U' B D' R'
D L2 R2 U' B D2 R'
D L2 R2 F U' B R'
D L2 R2 F' U' B R'
D L2 R2 F2 U' B R'
D L2 U D2 F' U2 R
D L2 U' R' B R' B
D L2 U' R2 B R' D
D L2 U' R2 B R' D'
D L2 U' R2 B R' D2
D L2 U' R2 B D R'
D L2 U' R2 B D' R'
D L2 U' R2 B D2 R'
D L2 U' B R2 B R
B2 L2 D' F' R2 U2 R'
D L2 D2 U F' U2 R
R2 U L B2 U2 B' R'
R2 U L' B2 U2 B' R'
R2 U L2 B2 U2 B' R'
U L2 B2 D' F' U2 R
R2 U F B2 U2 R B'
R2 U F B2 U2 B' R
R2 U F' L' B2 U2 B'
F2 R D L2 F' U' B'
F' R D F' L2 U' B'
F R D L2 F' R2 U'
R2 U B2 L2 F U2 R
L' U B2 D' F' U2 R
F R D F' L2 R2 U'
F R D F' R2 L2 U'
L2 U B2 D' F' U2 R
R2 U B2 U2 R B' R'
R2 U B2 U2 R' B' R'
R2 U B2 U2 R2 B' R'
R2 U B2 U2 D B' R'
R2 U B2 U2 D' B' R'
R2 U B2 U2 D2 B' R'
R2 U B2 U2 B' R' D
R2 U B2 U2 B' R' D'
R2 U B2 U2 B' R' D2
R2 U B2 U2 B' D R'
R2 U B2 U2 B' D' R'
R2 U B2 U2 B' D2 R'
R2 U B2 D U2 B' R'
R2 U B2 D' U2 B' R'
R2 U B2 D2 U2 B' R'
R2 U B2 F U2 R B'
R2 U B2 F U2 B' R
L U B2 D' F' U2 R
F R D2 F' U' F' B2
F R D2 F' U' B2 F'
F' R F' U F B2 U2
F' R F' U B2 F U2
F' R F' D L2 U' B'
F2 R F' U F2 B2 U2
F2 R F' U B2 F2 U2
F2 R F' U' D2 F2 B2
F2 R F' U' D2 B2 F2
F2 R F' D L2 R2 U'
F2 R F' D R2 L2 U'
F2 R F' D2 U' F2 B2
F2 R F' D2 U' B2 F2
F R F' U F' B2 U2
F R F' U B2 F' U2
F' R B2 U' F' B2 U'
F' R B2 U' B2 F' U'
R2 U' D2 F2 B' R' B2
R2 U' D2 B' R' F2 B2
R2 U' D2 B' R' B2 F2
R2 U' D2 B' F2 R' B2
D R' L2 U' R' B R'
D R' L2 U' B R' B
R2 U' B U2 L B U2
R2 U' B' R B2 R2 F'
F R' D L2 R2 F' U'
F R' D R2 L2 F' U'
F R' D R2 F' L2 U'
D2 R2 L' F U' F B
D2 R2 L' F U' B F
D R2 L2 U' B R' D
D R2 L2 U' B R' D'
D R2 L2 U' B R' D2
D R2 L2 U' B D R'
D R2 L2 U' B D' R'
D R2 L2 U' B D2 R'
D R2 L2 F U' B R'
D R2 L2 F' U' B R'
D R2 L2 F2 U' B R'
F2 R2 U F B2 U2 R
F2 R2 U B2 F U2 R
D2 R2 U' F2 D' B R'
D R2 U' B R' D F2
D R2 U' B D R' F2
D R2 U' B D F2 R'
F2 R2 D L2 U' B' R'
D2 R2 D' L2 U' B R'
L' D L2 R2 U' B R'
L' D L2 U' R2 B R'
D R2 F L2 U' B R'
L2 D L2 R2 U' B R'
L2 D L2 U' R2 B R'
R2 D L2 U' B' R' B2
L D L2 R2 U' B R'
D R2 F' L2 U' B R'
L D L2 U' R2 B R'
R D L2 F' R U' B
D R2 F2 L2 U' B R'
U' R2 B R2 D' F' R
L' D R2 L2 U' B R'
L2 D R2 L2 U' B R'
L D R2 L2 U' B R'
R D F' L2 R U' B
R D F' R L2 U' B
U' D R2 B R' D F2
U' D R2 B D R' F2
U' D R2 B D F2 R'
D' U F' U R2 U R'
D' U F' U2 D' R F2
D2 U F' U2 D F' R
D' U F' D B2 U2 R
D' U F' D' U2 R F2
D2 U F' D U2 F' R
F2 U B2 D' F L' U2
D2 U' R2 F2 D' B R'
U2 D' R2 U D2 B R'
U2 D' R2 D2 U B R'
D U' R2 B R' D F2
D U' R2 B D R' F2
D U' R2 B D F2 R'
B2 U' R2 B2 U' B' R'
U D' F' U R2 U R'
U D' F' U2 D' R F2
U D' F' D B2 U2 R
U D' F' D' U2 R F2
D' U2 R2 U D2 B R'
D' U2 R2 D2 U B R'
U' D2 R2 F2 D' B R'
R2 D2 U' F2 B' R' B2
R2 D2 U' B' R' F2 B2
R2 D2 U' B' R' B2 F2
R2 D2 U' B' F2 R' B2
U D2 F' U2 D F' R
U D2 F' D U2 F' R
B2 U2 D L2 R2 B R'
B2 U2 D R2 L2 B R'
B2 U2 D R2 B L2 R'
B2 U2 D R2 B R' L2
R2 F U B2 U2 B' R'
F2 D L2 U' B R' B2
D' F D2 L2 U' B2 R'
B2 D R2 U2 L2 B R'
B2 D R2 U2 B L2 R'
B2 D R2 U2 B R' L2
B2 D R2 B L2 R' F
B2 D R2 B L2 F R'
B2 D R2 B R' L2 F
B2 D U2 L2 R2 B R'
B2 D U2 R2 L2 B R'
B2 D U2 R2 B L2 R'
B2 D U2 R2 B R' L2
R F' R U B2 U2 B'
R F' R U' D2 F2 B
R F' R U' D2 B F2
R F' R D L2 U' B
R F' R D2 U' F2 B
R F' R D2 U' B F2
R F' R' U F' B2 U2
R F' R' U B2 F' U2
R2 F' U B2 U2 B' R'
B2 D' L F' R2 U2 R'
B2 D' L' F' R2 U2 R'
B2 D' L2 F' R2 U2 R'
R F' D L2 R U' B
R F' D R L2 U' B
B2 D' R2 U2 D2 B R'
R F' D2 R U' F2 B
R F' D2 R U' B F2
B2 D' R2 D2 U2 B R'
B2 D' R2 F L' U2 B
B2 D' R2 F' U2 B R
U F' B D B U2 R'
U F' B' D B' L U2
B2 D' F L' R2 F2 U2
B2 D' F L' F2 R2 U2
B2 D' F R2 L' F2 U2
B2 D' F R2 F2 U2 R
B2 D' F' L R2 U2 R'
B2 D' F' L' R2 U2 R'
B2 D' F' L2 R2 U2 R'
B2 D' F' R2 L U2 R'
B2 D' F' R2 L' U2 R'
B2 D' F' R2 L2 U2 R'
B2 D' F' R2 U2 R' D
B2 D' F' R2 U2 R' D'
B2 D' F' R2 U2 R' D2
B2 D' F' R2 U2 D R'
B2 D' F' R2 U2 D' R'
B2 D' F' R2 U2 D2 R'
B2 D' F' R2 D U2 R'
B2 D' F' R2 D' U2 R'
B2 D' F' R2 D2 U2 R'
B2 D' F' U2 D2 L2 R
B2 D' F' U2 D2 R L2
D F2 L2 U' B R' B2
B2 D' F' D2 U2 L2 R
B2 D' F' D2 U2 R L2
B2 D' F2 R2 F U2 R
